date,open,high,low,close,volume
2025-06-30 09:15:00,32205,32385,32100,32330,11225
2025-06-30 09:30:00,32330,32430,32305,32400,3625
2025-06-30 09:45:00,32400,32500,32370,32480,2975
2025-06-30 10:00:00,32480,32580,32400,32465,5950
2025-06-30 10:15:00,32465,32465,32220,32270,4750
2025-06-30 10:30:00,32270,32315,32250,32285,1750
2025-06-30 10:45:00,32285,32365,32280,32320,875
2025-06-30 11:00:00,32320,32400,32320,32385,875
2025-06-30 11:15:00,32385,32395,32285,32300,2200
2025-06-30 11:30:00,32300,32300,32250,32300,1175
2025-06-30 11:45:00,32300,32360,32285,32340,725
2025-06-30 12:00:00,32340,32345,32300,32345,1075
2025-06-30 12:15:00,32345,32590,32310,32535,6375
2025-06-30 12:30:00,32535,32565,32465,32505,2650
2025-06-30 12:45:00,32505,32530,32455,32475,950
2025-06-30 13:00:00,32475,32510,32420,32505,1050
2025-06-30 13:15:00,32505,32505,32445,32475,700
2025-06-30 13:30:00,32475,32485,32440,32485,775
2025-06-30 13:45:00,32485,32495,32410,32455,1100
2025-06-30 14:00:00,32455,32500,32335,32400,3300
2025-06-30 14:15:00,32400,32420,32320,32360,925
2025-06-30 14:30:00,32360,32370,32330,32370,1100
2025-06-30 14:45:00,32370,32415,32335,32415,1600
2025-06-30 15:00:00,32415,32415,32340,32370,4025
2025-06-30 15:15:00,32390,32410,32335,32360,5525
2025-07-01 09:15:00,32375,32375,32225,32260,1475
2025-07-01 09:30:00,32260,32360,32260,32275,550
2025-07-01 09:45:00,32275,32275,32160,32215,1975
2025-07-01 10:00:00,32215,32245,32165,32165,1150
2025-07-01 10:15:00,32165,32215,32125,32130,1900
2025-07-01 10:30:00,32130,32150,32050,32080,1325
2025-07-01 10:45:00,32080,32080,31915,31915,2125
2025-07-01 11:00:00,31915,31915,31815,31845,1525
2025-07-01 11:15:00,31920,31920,31835,31855,1150
2025-07-01 11:30:00,31855,31920,31820,31905,1150
