date,open,high,low,close,volume
2025-06-30 09:15:00,384.15,386.95,384.15,386.3,114125
2025-06-30 09:30:00,386.3,386.85,385.1,386.05,87150
2025-06-30 09:45:00,386.05,386.55,385.15,385.6,76775
2025-06-30 10:00:00,385.6,386.75,385.05,386.0,80925
2025-06-30 10:15:00,386.0,386.1,384.75,385.85,80925
2025-06-30 10:30:00,385.85,386.45,384.9,385.0,62250
2025-06-30 10:45:00,385.0,386.1,384.95,385.6,56025
2025-06-30 11:00:00,385.6,385.95,385.35,385.65,35275
2025-06-30 11:15:00,385.65,386.7,385.6,386.4,68475
2025-06-30 11:30:00,386.4,386.7,385.5,385.5,31125
2025-06-30 11:45:00,385.5,386.9,384.95,386.6,319550
2025-06-30 12:00:00,386.65,387.25,386.4,387.25,118275
2025-06-30 12:15:00,387.3,389.05,387.15,388.25,408775
2025-06-30 12:30:00,388.25,389.4,387.9,388.35,236550
2025-06-30 12:45:00,388.35,389.25,387.95,387.95,116200
2025-06-30 13:00:00,387.95,387.95,386.55,386.55,72625
2025-06-30 13:15:00,386.55,386.75,385.9,386.15,93375
2025-06-30 13:30:00,386.15,386.45,385.45,385.6,45650
2025-06-30 13:45:00,385.6,385.9,384.35,385.0,105825
2025-06-30 14:00:00,385.0,386.2,385.0,385.85,64325
2025-06-30 14:15:00,385.85,386.2,385.15,385.25,85075
2025-06-30 14:30:00,385.25,386.35,385.2,386.35,74700
2025-06-30 14:45:00,386.35,386.75,385.0,385.45,149400
2025-06-30 15:00:00,385.25,386.05,384.75,385.9,234475
2025-06-30 15:15:00,385.9,386.15,384.75,385.65,313325
2025-07-01 09:15:00,385.15,385.95,384.75,385.7,89225
2025-07-01 09:30:00,385.7,387.6,385.45,385.45,60175
2025-07-01 09:45:00,385.45,385.8,384.35,384.95,51875
2025-07-01 10:00:00,384.95,385.0,383.95,384.05,33200
2025-07-01 10:15:00,384.05,385.1,383.05,384.0,83000
2025-07-01 10:30:00,384.0,384.35,384.0,384.2,14525
2025-07-01 10:45:00,384.2,384.2,383.2,383.4,49800
2025-07-01 11:00:00,383.4,385.8,382.8,385.6,172225
2025-07-01 11:15:00,385.6,386.1,383.6,384.15,109975
2025-07-01 11:30:00,384.15,385.85,383.35,385.85,83000
2025-07-01 11:45:00,385.85,386.5,385.45,386.25,182600
2025-07-01 12:00:00,386.25,386.9,384.85,385.65,242775
2025-07-01 12:15:00,385.65,386.55,385.65,386.45,22825
2025-07-01 12:30:00,386.45,386.45,385.4,385.4,20750
2025-07-01 12:45:00,385.4,385.4,384.85,384.85,14525
2025-07-01 13:00:00,384.85,385.3,384.85,385.3,24900
2025-07-01 13:15:00,385.3,385.4,385.1,385.4,16600
2025-07-01 13:30:00,385.4,385.45,384.9,385.1,47725
2025-07-01 13:45:00,385.1,385.1,384.1,384.15,14525
2025-07-01 14:00:00,384.15,384.55,384.15,384.3,10375
2025-07-01 14:15:00,384.5,385.4,384.5,385.35,66400
2025-07-01 14:30:00,385.35,385.5,385.05,385.1,12450
2025-07-01 14:45:00,385.1,387.25,385.1,386.75,101675
2025-07-01 15:00:00,386.75,386.75,386.2,386.4,74700
2025-07-01 15:15:00,386.4,386.65,385.45,386.0,168075
2025-07-02 09:15:00,388.5,388.5,382.05,383.3,195050
2025-07-02 09:30:00,383.3,384.6,383.1,383.65,112050
2025-07-02 09:45:00,383.65,383.75,382.5,382.95,68475
2025-07-02 10:00:00,382.95,383.3,381.9,382.1,51875
2025-07-02 10:15:00,381.75,383.25,381.1,382.2,139025
2025-07-02 10:30:00,382.2,382.2,380.8,381.65,211650
2025-07-02 10:45:00,381.65,382.1,381.55,381.85,37350
2025-07-02 11:00:00,381.9,382.25,381.7,381.9,93375
2025-07-02 11:15:00,381.9,384.3,381.9,383.7,60175
2025-07-02 11:30:00,383.7,384.35,383.55,384.1,53950
2025-07-02 11:45:00,384.1,385.35,382.5,384.85,139025
2025-07-02 12:00:00,384.85,384.9,384.1,384.85,35275
2025-07-02 12:15:00,384.85,387.8,384.7,387.05,174300
2025-07-02 12:30:00,387.05,387.7,386.65,387.7,43575
2025-07-02 12:45:00,387.7,388.4,387.05,387.15,114125
2025-07-02 13:00:00,387.15,387.75,386.85,386.85,64325
2025-07-02 13:15:00,386.85,386.85,385.15,386.2,56025
2025-07-02 13:30:00,386.2,388.45,385.9,387.05,124500
2025-07-02 13:45:00,387.05,388.25,386.45,387.95,68475
2025-07-02 14:00:00,387.95,390.85,387.8,390.85,412925
2025-07-02 14:15:00,390.85,390.85,388.6,389.75,211650
2025-07-02 14:30:00,389.75,390.2,387.5,388.6,234475
2025-07-02 14:45:00,388.6,389.05,388.0,389.05,91300
2025-07-02 15:00:00,389.05,389.4,388.45,388.45,126575
2025-07-02 15:15:00,388.45,388.9,388.0,388.4,195050
2025-07-03 09:15:00,389.5,395.5,389.5,390.1,771900
2025-07-03 09:30:00,390.1,393.25,389.9,392.3,311250
2025-07-03 09:45:00,392.4,393.0,391.8,391.8,141100
2025-07-03 10:00:00,391.8,393.05,391.05,392.45,168075
2025-07-03 10:15:00,392.45,392.9,390.35,390.35,99600
2025-07-03 10:30:00,390.35,391.2,388.8,388.85,126575
2025-07-03 10:45:00,388.85,389.15,388.35,388.65,58100
2025-07-03 11:00:00,388.65,388.65,387.2,387.2,66400
2025-07-03 11:15:00,387.2,388.05,386.5,387.0,101675
2025-07-03 11:30:00,387.0,387.75,385.9,385.9,51875
2025-07-03 11:45:00,385.9,387.0,385.9,387.0,35275
2025-07-03 12:00:00,387.0,387.0,386.35,386.45,16600
2025-07-03 12:15:00,386.3,386.8,386.2,386.6,26975
2025-07-03 12:30:00,386.6,386.95,386.2,386.95,18675
2025-07-03 12:45:00,387.3,387.45,387.1,387.2,20750
2025-07-03 13:00:00,387.2,387.2,386.65,386.9,37350
2025-07-03 13:15:00,386.9,387.05,386.55,386.8,18675
2025-07-03 13:30:00,386.8,387.85,386.4,386.5,35275
2025-07-03 13:45:00,386.5,389.4,386.35,389.05,66400
2025-07-03 14:00:00,389.05,389.65,389.0,389.65,45650
2025-07-03 14:15:00,389.65,389.95,388.4,388.4,45650
2025-07-03 14:30:00,388.4,390.05,388.4,389.95,66400
2025-07-03 14:45:00,389.95,390.5,389.3,390.15,93375
2025-07-03 15:00:00,390.15,391.0,389.8,389.95,134875
2025-07-03 15:15:00,389.95,389.95,389.3,389.5,215800
2025-07-04 09:15:00,390.0,392.3,388.85,391.5,80925
2025-07-04 09:30:00,391.5,392.9,390.95,392.9,155625
2025-07-04 09:45:00,392.9,393.5,392.65,393.1,151475
2025-07-04 10:00:00,393.1,393.1,391.6,392.35,64325
2025-07-04 10:15:00,392.35,393.0,392.0,392.5,49800
2025-07-04 10:30:00,392.5,392.9,392.25,392.25,43575
2025-07-04 10:45:00,392.25,392.4,391.8,391.85,22825
2025-07-04 11:00:00,391.85,393.9,391.85,393.8,99600
2025-07-04 11:15:00,393.8,393.95,392.4,393.0,37350
2025-07-04 11:30:00,393.0,393.5,391.85,392.1,49800
2025-07-04 11:45:00,392.1,393.3,391.8,392.3,62250
2025-07-04 12:00:00,392.3,392.95,391.8,392.95,35275
2025-07-04 12:15:00,392.95,393.5,392.45,392.55,37350
2025-07-04 12:30:00,392.55,393.0,392.4,392.55,26975
2025-07-04 12:45:00,392.55,392.55,391.75,391.8,33200
2025-07-04 13:00:00,391.8,392.0,391.5,391.55,22825
2025-07-04 13:15:00,391.55,391.75,391.35,391.5,14525
2025-07-04 13:30:00,391.5,393.2,391.5,393.1,47725
2025-07-04 13:45:00,393.1,393.1,392.1,392.2,18675
2025-07-04 14:00:00,392.2,392.35,391.45,391.55,12450
2025-07-04 14:15:00,391.55,391.55,391.25,391.25,12450
2025-07-04 14:30:00,391.25,392.7,391.0,392.5,85075
2025-07-04 14:45:00,392.5,392.75,392.3,392.35,24900
2025-07-04 15:00:00,392.35,392.4,391.8,392.35,66400
2025-07-04 15:15:00,392.35,392.6,391.15,391.15,199200
2025-07-07 09:15:00,392.1,394.6,390.05,394.0,116200
2025-07-07 09:30:00,394.4,395.3,393.5,393.5,120350
2025-07-07 09:45:00,393.5,393.75,390.95,391.0,149400
2025-07-07 10:00:00,391.0,391.35,390.0,391.25,141100
2025-07-07 10:15:00,391.25,393.75,391.25,393.75,58100
2025-07-07 10:30:00,393.75,394.5,393.75,394.3,64325
2025-07-07 10:45:00,394.3,394.3,394.3,394.3,0
2025-07-07 11:00:00,394.3,395.1,393.8,393.8,41500
2025-07-07 11:15:00,393.8,394.55,393.8,394.1,14525
2025-07-07 11:30:00,394.1,394.1,393.8,393.8,10375
2025-07-07 11:45:00,393.8,394.25,393.8,394.25,10375
2025-07-07 12:00:00,394.25,394.8,394.05,394.05,29050
2025-07-07 12:15:00,394.05,395.0,394.05,394.25,24900
2025-07-07 12:30:00,394.25,394.35,394.2,394.25,10375
2025-07-07 12:45:00,394.25,394.55,394.1,394.4,8300
2025-07-07 13:00:00,394.4,394.4,393.8,394.4,22825
2025-07-07 13:15:00,394.4,394.4,394.2,394.2,4150
2025-07-07 13:30:00,394.2,394.2,394.05,394.05,4150
2025-07-07 13:45:00,394.05,395.45,393.95,395.05,26975
2025-07-07 14:00:00,395.05,395.05,394.9,394.9,10375
2025-07-07 14:15:00,394.9,399.0,394.9,398.15,375575
2025-07-07 14:30:00,398.15,398.5,395.8,397.15,159775
2025-07-07 14:45:00,397.15,397.2,396.0,396.0,101675
2025-07-07 15:00:00,396.1,397.6,396.1,397.4,126575
2025-07-07 15:15:00,397.4,397.9,396.05,397.0,195050
2025-07-08 09:15:00,398.75,398.75,394.75,395.65,192975
2025-07-08 09:30:00,395.65,398.5,395.65,398.5,184675
2025-07-08 09:45:00,398.5,400.55,397.7,398.9,439900
2025-07-08 10:00:00,398.9,398.9,396.8,397.65,172225
2025-07-08 10:15:00,397.65,398.5,396.8,397.1,72625
2025-07-08 10:30:00,397.1,397.6,396.8,396.8,24900
2025-07-08 10:45:00,396.8,398.6,396.45,398.6,130725
2025-07-08 11:00:00,398.6,399.75,396.95,399.75,257300
2025-07-08 11:15:00,399.75,399.75,398.45,398.6,31125
2025-07-08 11:30:00,398.6,398.75,398.2,398.2,26975
2025-07-08 11:45:00,398.2,398.45,397.85,398.3,37350
2025-07-08 12:00:00,398.3,398.6,397.85,398.4,112050
2025-07-08 12:15:00,398.4,399.55,398.05,399.5,161850
2025-07-08 12:30:00,399.5,401.3,399.5,400.65,168075
2025-07-08 12:45:00,400.65,401.3,400.5,400.5,60175
2025-07-08 13:00:00,400.5,402.8,400.45,402.7,170150
2025-07-08 13:15:00,402.7,406.35,402.55,405.75,471025
2025-07-08 13:30:00,405.75,407.3,405.35,406.85,244850
2025-07-08 13:45:00,406.85,407.8,406.8,406.95,263525
2025-07-08 14:00:00,406.95,407.0,403.2,404.5,286350
2025-07-08 14:15:00,404.5,406.5,404.3,405.65,128650
2025-07-08 14:30:00,405.65,409.5,405.25,408.7,630800
2025-07-08 14:45:00,408.7,411.1,408.5,410.0,709650
2025-07-08 15:00:00,410.0,410.3,408.7,410.0,292575
2025-07-08 15:15:00,410.0,410.35,408.75,410.05,554025
2025-07-09 09:15:00,412.5,417.7,410.3,416.8,948275
2025-07-09 09:30:00,416.8,419.5,414.85,417.05,1022975
2025-07-09 09:45:00,417.05,418.05,414.7,416.55,423300
2025-07-09 10:00:00,416.55,417.55,415.0,415.5,271825
2025-07-09 10:15:00,415.5,415.6,412.8,412.8,201275
2025-07-09 10:30:00,412.8,418.0,412.8,417.7,317475
2025-07-09 10:45:00,417.7,418.5,417.15,417.65,124500
2025-07-09 11:00:00,417.65,418.85,417.05,417.2,139025
2025-07-09 11:15:00,417.2,418.45,417.15,418.05,68475
