date,open,high,low,close,volume
2025-06-30 09:15:00,85.1,85.88,85.1,85.16,1136925
2025-06-30 09:30:00,85.16,85.34,85.0,85.15,690525
2025-06-30 09:45:00,85.15,85.5,84.92,85.33,1408950
2025-06-30 10:00:00,85.25,85.4,85.17,85.22,272025
2025-06-30 10:15:00,85.22,85.44,85.2,85.25,683550
2025-06-30 10:30:00,85.25,85.32,85.13,85.17,299925
2025-06-30 10:45:00,85.17,85.17,85.02,85.13,216225
2025-06-30 11:00:00,85.1,85.49,85.1,85.33,237150
2025-06-30 11:15:00,85.33,85.45,85.23,85.37,209250
2025-06-30 11:30:00,85.37,85.71,85.33,85.68,627750
2025-06-30 11:45:00,85.68,85.78,85.59,85.75,223200
2025-06-30 12:00:00,85.75,85.82,85.7,85.76,397575
2025-06-30 12:15:00,85.76,85.78,85.58,85.61,383625
2025-06-30 12:30:00,85.6,85.66,85.5,85.55,181350
2025-06-30 12:45:00,85.55,85.78,85.52,85.65,313875
2025-06-30 13:00:00,85.65,85.65,85.5,85.54,223200
2025-06-30 13:15:00,85.54,85.7,85.49,85.7,571950
2025-06-30 13:30:00,85.7,85.73,85.54,85.63,369675
2025-06-30 13:45:00,85.63,85.66,85.27,85.45,802125
2025-06-30 14:00:00,85.45,85.55,85.29,85.5,390600
2025-06-30 14:15:00,85.5,85.52,85.4,85.47,341775
2025-06-30 14:30:00,85.47,85.55,85.45,85.55,139500
2025-06-30 14:45:00,85.55,85.82,85.55,85.81,941625
2025-06-30 15:00:00,85.81,85.82,85.61,85.7,1178775
2025-06-30 15:15:00,85.7,85.83,85.6,85.8,1262475
2025-07-01 09:15:00,85.75,86.39,85.43,86.02,1088100
2025-07-01 09:30:00,86.02,86.27,86.01,86.13,551025
2025-07-01 09:45:00,86.13,86.34,86.1,86.25,648675
2025-07-01 10:00:00,86.25,86.49,86.1,86.26,1116000
2025-07-01 10:15:00,86.26,86.37,86.0,86.09,544050
2025-07-01 10:30:00,86.09,86.4,86.07,86.4,404550
2025-07-01 10:45:00,86.4,86.4,86.0,86.02,1206675
2025-07-01 11:00:00,86.02,86.05,85.87,85.88,139500
2025-07-01 11:15:00,85.88,86.09,85.88,86.09,146475
2025-07-01 11:30:00,86.09,86.3,85.96,86.3,1304325
2025-07-01 11:45:00,86.3,86.3,86.05,86.05,76725
2025-07-01 12:00:00,86.05,86.8,86.03,86.69,1381050
2025-07-01 12:15:00,86.68,86.73,86.52,86.61,613800
2025-07-01 12:30:00,86.61,86.72,86.5,86.52,209250
2025-07-01 12:45:00,86.52,86.6,86.44,86.44,223200
2025-07-01 13:00:00,86.44,86.5,86.34,86.46,104625
2025-07-01 13:15:00,86.46,86.46,86.32,86.39,285975
2025-07-01 13:30:00,86.39,86.48,86.34,86.37,76725
2025-07-01 13:45:00,86.37,86.42,86.35,86.35,41850
2025-07-01 14:00:00,86.35,86.45,86.19,86.22,292950
2025-07-01 14:15:00,86.22,86.27,86.12,86.22,125550
2025-07-01 14:30:00,86.22,86.26,86.14,86.15,320850
2025-07-01 14:45:00,86.15,86.3,86.12,86.22,578925
2025-07-01 15:00:00,86.22,86.5,86.18,86.39,739350
2025-07-01 15:15:00,86.39,86.73,86.35,86.51,1771650
2025-07-02 09:15:00,86.9,88.16,86.6,88.04,7902675
2025-07-02 09:30:00,88.04,88.4,87.83,88.25,4687200
2025-07-02 09:45:00,88.25,88.91,87.96,88.81,4896450
2025-07-02 10:00:00,88.81,88.88,88.33,88.7,2183175
2025-07-02 10:15:00,88.7,89.2,88.49,89.09,2922525
2025-07-02 10:30:00,89.09,89.11,88.79,88.91,2190150
2025-07-02 10:45:00,88.91,89.3,88.91,89.25,1674000
2025-07-02 11:00:00,89.25,89.29,88.81,89.0,983475
2025-07-02 11:15:00,89.0,89.09,88.82,88.83,585900
2025-07-02 11:30:00,88.83,89.06,88.77,88.96,655650
2025-07-02 11:45:00,88.96,89.01,88.86,89.0,676575
2025-07-02 12:00:00,89.0,89.0,88.88,88.95,244125
2025-07-02 12:15:00,88.95,89.04,88.84,88.98,732375
2025-07-02 12:30:00,88.98,88.98,88.78,88.84,509175
2025-07-02 12:45:00,88.84,88.84,88.35,88.35,1255500
2025-07-02 13:00:00,88.35,88.7,88.22,88.24,411525
2025-07-02 13:15:00,88.24,88.29,87.87,87.87,732375
2025-07-02 13:30:00,87.87,88.3,87.85,88.2,272025
2025-07-02 13:45:00,88.2,88.35,88.1,88.28,209250
2025-07-02 14:00:00,88.28,88.44,88.28,88.38,111600
2025-07-02 14:15:00,88.38,88.56,88.33,88.48,418500
2025-07-02 14:30:00,88.48,88.54,88.29,88.4,767250
2025-07-02 14:45:00,88.4,88.77,88.4,88.68,1018350
2025-07-02 15:00:00,88.68,88.92,88.68,88.79,1534500
2025-07-02 15:15:00,88.82,88.85,88.58,88.63,1004400
2025-07-03 09:15:00,89.5,90.54,89.37,89.65,9716175
2025-07-03 09:30:00,89.65,89.81,88.96,89.06,2964375
2025-07-03 09:45:00,89.06,89.9,88.89,89.4,4568625
2025-07-03 10:00:00,89.4,89.8,89.27,89.51,1973925
2025-07-03 10:15:00,89.52,89.67,89.29,89.33,1143900
2025-07-03 10:30:00,89.33,89.53,89.25,89.3,843975
2025-07-03 10:45:00,89.3,89.4,89.17,89.3,516150
2025-07-03 11:00:00,89.3,89.31,89.14,89.2,397575
2025-07-03 11:15:00,89.2,89.24,89.0,89.07,948600
2025-07-03 11:30:00,89.07,89.21,88.9,89.12,1415925
2025-07-03 11:45:00,89.12,89.24,88.95,89.21,509175
2025-07-03 12:00:00,89.21,89.62,89.05,89.57,2866725
2025-07-03 12:15:00,89.57,89.57,89.33,89.47,299925
2025-07-03 12:30:00,89.47,89.47,89.22,89.32,320850
2025-07-03 12:45:00,89.32,89.33,89.22,89.32,251100
2025-07-03 13:00:00,89.32,89.32,89.25,89.29,146475
2025-07-03 13:15:00,89.29,89.29,88.91,89.24,2078550
2025-07-03 13:30:00,89.24,89.29,89.05,89.05,530100
2025-07-03 13:45:00,89.05,89.1,88.87,88.87,334800
2025-07-03 14:00:00,88.87,88.89,88.52,88.55,2001825
