date,open,high,low,close,volume
2025-06-30 09:15:00,653.0,653.0,646.9,646.9,293225
2025-06-30 09:30:00,646.9,649.85,646.6,649.85,74000
2025-06-30 09:45:00,649.85,653.55,649.3,652.0,118400
2025-06-30 10:00:00,652.0,654.0,651.4,653.25,249750
2025-06-30 10:15:00,653.25,653.6,651.65,653.0,74925
2025-06-30 10:30:00,653.0,655.7,653.0,653.6,121175
2025-06-30 10:45:00,653.6,654.7,652.9,654.4,50875
2025-06-30 11:00:00,654.4,657.3,653.9,657.3,186850
2025-06-30 11:15:00,657.3,658.85,656.9,657.9,190550
2025-06-30 11:30:00,657.9,661.6,657.45,661.0,266400
2025-06-30 11:45:00,661.0,661.45,659.15,659.15,151700
2025-06-30 12:00:00,659.15,659.8,658.9,659.55,71225
2025-06-30 12:15:00,659.55,659.7,657.7,658.75,83250
2025-06-30 12:30:00,658.75,659.6,656.9,657.6,147075
2025-06-30 12:45:00,657.6,659.1,657.55,657.55,38850
2025-06-30 13:00:00,657.55,658.1,656.35,657.2,64750
2025-06-30 13:15:00,657.2,659.35,657.0,659.35,33300
2025-06-30 13:30:00,659.35,660.1,658.65,659.2,148925
2025-06-30 13:45:00,659.2,660.05,658.55,660.0,60125
2025-06-30 14:00:00,660.0,660.8,659.6,660.1,51800
2025-06-30 14:15:00,660.1,660.3,659.8,660.1,25900
2025-06-30 14:30:00,660.1,660.55,659.75,660.4,53650
2025-06-30 14:45:00,660.4,660.9,659.9,660.45,69375
2025-06-30 15:00:00,660.45,660.65,659.7,660.5,99900
2025-06-30 15:15:00,660.5,661.95,659.7,660.75,214600
2025-07-01 09:15:00,662.2,665.6,661.3,664.3,355200
2025-07-01 09:30:00,664.3,669.3,663.0,666.0,401450
2025-07-01 09:45:00,666.0,668.8,665.0,668.1,223850
2025-07-01 10:00:00,668.1,668.1,662.65,662.65,91575
2025-07-01 10:15:00,662.65,663.5,662.5,662.95,34225
2025-07-01 10:30:00,662.95,664.6,662.95,663.75,32375
2025-07-01 10:45:00,663.75,663.75,660.55,661.85,113775
2025-07-01 11:00:00,661.85,664.0,661.65,664.0,49025
2025-07-01 11:15:00,664.0,665.3,663.8,664.5,43475
2025-07-01 11:30:00,664.5,664.5,662.15,662.15,23125
2025-07-01 11:45:00,662.15,664.5,662.15,663.85,74000
2025-07-01 12:00:00,663.85,663.85,662.1,662.8,30525
2025-07-01 12:15:00,662.8,664.0,662.5,663.55,34225
2025-07-01 12:30:00,663.55,664.0,662.8,663.1,56425
2025-07-01 12:45:00,663.1,663.2,662.1,663.1,17575
2025-07-01 13:00:00,663.1,663.95,662.7,663.85,19425
2025-07-01 13:15:00,663.85,663.85,662.95,663.3,14800
2025-07-01 13:30:00,663.3,663.3,662.4,662.95,13875
2025-07-01 13:45:00,662.95,663.3,662.15,662.65,24050
2025-07-01 14:00:00,662.65,664.0,662.65,664.0,37000
2025-07-01 14:15:00,664.0,664.35,663.1,663.9,27750
2025-07-01 14:30:00,663.9,663.95,662.85,662.9,14800
2025-07-01 14:45:00,662.9,663.65,662.6,663.35,48100
2025-07-01 15:00:00,663.35,664.6,663.2,664.15,69375
2025-07-01 15:15:00,664.15,666.45,663.95,666.0,243275
2025-07-02 09:15:00,665.5,666.5,663.9,665.5,89725
2025-07-02 09:30:00,665.5,666.3,664.05,664.3,50875
2025-07-02 09:45:00,664.3,664.3,661.15,661.4,129500
2025-07-02 10:00:00,661.4,662.45,660.15,661.35,85100
2025-07-02 10:15:00,661.35,662.5,660.65,662.4,43475
2025-07-02 10:30:00,662.4,662.4,660.4,661.75,20350
2025-07-02 10:45:00,661.75,662.35,660.7,662.3,23125
2025-07-02 11:00:00,662.3,662.3,660.4,660.6,28675
2025-07-02 11:15:00,660.6,662.4,660.6,661.75,22200
2025-07-02 11:30:00,661.75,662.5,661.5,662.0,14800
2025-07-02 11:45:00,662.0,662.65,661.85,661.95,13875
2025-07-02 12:00:00,661.95,663.4,661.3,662.7,44400
2025-07-02 12:15:00,662.7,663.25,662.6,662.75,11100
2025-07-02 12:30:00,662.75,663.6,662.7,663.35,12950
2025-07-02 12:45:00,663.35,663.4,662.05,662.3,37925
2025-07-02 13:00:00,662.3,663.45,662.3,662.5,23125
2025-07-02 13:15:00,662.5,662.5,660.3,660.45,99900
2025-07-02 13:30:00,660.45,661.6,659.0,659.0,87875
2025-07-02 13:45:00,659.0,661.15,658.75,661.15,37925
2025-07-02 14:00:00,661.15,661.15,660.35,661.15,27750
2025-07-02 14:15:00,661.15,661.85,661.1,661.45,11100
2025-07-02 14:30:00,661.45,661.45,659.7,660.55,72150
2025-07-02 14:45:00,660.55,661.3,660.5,661.3,27750
2025-07-02 15:00:00,661.3,662.55,660.95,661.9,110075
2025-07-02 15:15:00,661.9,662.05,658.95,659.6,194250
2025-07-03 09:15:00,662.65,663.0,653.5,656.3,183150
2025-07-03 09:30:00,656.3,656.65,653.5,653.5,58275
2025-07-03 09:45:00,653.5,653.85,649.9,653.0,160950
2025-07-03 10:00:00,653.0,653.0,651.65,651.85,30525
2025-07-03 10:15:00,651.85,652.65,651.3,651.75,34225
2025-07-03 10:30:00,651.75,651.9,647.1,648.65,125800
2025-07-03 10:45:00,648.65,649.65,648.0,648.2,54575
2025-07-03 11:00:00,648.2,649.8,648.1,649.5,33300
2025-07-03 11:15:00,649.5,653.0,648.95,653.0,48100
2025-07-03 11:30:00,653.0,653.0,651.75,651.75,6475
