date,open,high,low,close,volume
2025-06-30 09:15:00,245.75,246.75,244.8,246.35,1001250
2025-06-30 09:30:00,246.35,246.35,244.75,244.9,522000
2025-06-30 09:45:00,244.9,244.95,244.59,244.68,346500
2025-06-30 10:00:00,244.68,245.5,244.28,245.1,348750
2025-06-30 10:15:00,245.1,245.67,245.01,245.56,330750
2025-06-30 10:30:00,245.56,245.75,245.01,245.4,200250
2025-06-30 10:45:00,245.4,245.93,244.32,244.54,762750
2025-06-30 11:00:00,244.54,244.62,243.67,243.91,789750
2025-06-30 11:15:00,244.07,244.2,243.66,244.15,366750
2025-06-30 11:30:00,244.15,244.3,244.05,244.12,195750
2025-06-30 11:45:00,244.12,244.3,244.0,244.09,213750
2025-06-30 12:00:00,244.09,244.2,243.85,244.05,90000
2025-06-30 12:15:00,244.05,244.16,243.75,243.85,342000
2025-06-30 12:30:00,243.85,243.91,243.25,243.6,823500
2025-06-30 12:45:00,243.6,243.9,243.47,243.72,117000
2025-06-30 13:00:00,243.72,243.95,243.4,243.75,364500
2025-06-30 13:15:00,243.75,243.8,243.44,243.58,175500
2025-06-30 13:30:00,243.58,244.0,243.44,243.71,231750
2025-06-30 13:45:00,243.71,243.88,243.3,243.58,213750
2025-06-30 14:00:00,243.58,243.8,243.45,243.5,148500
2025-06-30 14:15:00,243.5,243.72,243.3,243.5,153000
2025-06-30 14:30:00,243.5,243.95,243.5,243.9,267750
2025-06-30 14:45:00,243.9,244.35,243.79,244.14,339750
2025-06-30 15:00:00,244.14,244.88,244.08,244.47,2328750
2025-06-30 15:15:00,244.47,244.61,243.4,243.5,2481750
2025-07-01 09:15:00,245.3,245.3,243.37,244.62,1559250
2025-07-01 09:30:00,244.62,244.95,243.6,243.61,661500
2025-07-01 09:45:00,243.61,244.07,243.6,243.97,357750
2025-07-01 10:00:00,243.97,244.06,243.4,243.4,308250
2025-07-01 10:15:00,243.4,243.45,242.69,242.86,618750
2025-07-01 10:30:00,242.76,243.47,242.25,242.25,450000
2025-07-01 10:45:00,242.25,242.59,241.85,242.18,459000
2025-07-01 11:00:00,242.18,242.75,242.07,242.63,265500
2025-07-01 11:15:00,242.63,243.0,242.4,243.0,321750
2025-07-01 11:30:00,243.0,243.0,242.69,242.95,87750
2025-07-01 11:45:00,242.95,242.98,242.55,242.6,81000
2025-07-01 12:00:00,242.6,242.74,242.51,242.55,76500
2025-07-01 12:15:00,242.55,243.16,242.43,242.9,218250
2025-07-01 12:30:00,242.9,243.46,242.79,243.2,159750
2025-07-01 12:45:00,243.2,243.45,243.11,243.32,225000
2025-07-01 13:00:00,243.32,243.75,243.32,243.6,180000
2025-07-01 13:15:00,243.6,243.7,243.27,243.4,240750
2025-07-01 13:30:00,243.4,243.47,243.16,243.2,96750
2025-07-01 13:45:00,243.2,243.64,243.2,243.36,355500
2025-07-01 14:00:00,243.36,244.11,243.36,244.0,308250
2025-07-01 14:15:00,244.0,244.2,243.95,244.11,310500
2025-07-01 14:30:00,244.11,244.11,243.46,243.54,200250
2025-07-01 14:45:00,243.54,243.9,243.42,243.82,162000
2025-07-01 15:00:00,243.82,244.07,243.72,243.83,265500
2025-07-01 15:15:00,243.83,244.01,243.65,243.85,497250
2025-07-02 09:15:00,244.92,244.92,243.32,244.03,843750
2025-07-02 09:30:00,244.03,244.3,243.75,243.9,508500
2025-07-02 09:45:00,244.06,244.33,243.55,243.6,312750
2025-07-02 10:00:00,243.6,244.12,243.51,243.63,236250
2025-07-02 10:15:00,243.63,244.1,243.5,244.1,200250
2025-07-02 10:30:00,244.1,244.21,243.52,243.56,245250
