date,open,high,low,close,volume
2025-06-30 09:15:00,303.0,303.3,301.9,301.9,174600
2025-06-30 09:30:00,301.9,302.3,301.7,301.75,118800
2025-06-30 09:45:00,301.75,302.2,301.3,301.3,100800
2025-06-30 10:00:00,301.3,301.55,300.9,301.4,66600
2025-06-30 10:15:00,301.4,302.2,301.3,301.3,133200
2025-06-30 10:30:00,301.3,302.05,301.3,301.8,48600
2025-06-30 10:45:00,301.8,302.1,301.7,301.7,34200
2025-06-30 11:00:00,301.7,301.85,301.65,301.65,21600
2025-06-30 11:15:00,301.65,301.7,301.2,301.5,27000
2025-06-30 11:30:00,301.5,301.85,301.3,301.35,43200
2025-06-30 11:45:00,301.35,301.35,300.35,301.1,90000
2025-06-30 12:00:00,301.1,301.1,300.8,300.95,12600
2025-06-30 12:15:00,301.1,301.3,300.8,300.8,18000
2025-06-30 12:30:00,300.8,300.95,300.2,300.8,43200
2025-06-30 12:45:00,300.8,300.9,299.1,299.95,158400
2025-06-30 13:00:00,299.95,300.05,299.55,299.85,25200
2025-06-30 13:15:00,299.85,300.25,299.75,300.0,39600
2025-06-30 13:30:00,300.0,300.2,300.0,300.2,10800
2025-06-30 13:45:00,300.2,300.85,300.1,300.85,50400
2025-06-30 14:00:00,300.85,301.4,300.55,301.15,165600
2025-06-30 14:15:00,301.15,301.2,301.0,301.0,25200
2025-06-30 14:30:00,301.0,301.55,300.95,301.05,64800
2025-06-30 14:45:00,301.05,301.3,300.65,301.3,127800
2025-06-30 15:00:00,301.3,301.3,300.55,300.95,196200
2025-06-30 15:15:00,300.95,301.7,300.55,301.25,340200
2025-07-01 09:15:00,300.15,302.4,300.15,301.7,127800
2025-07-01 09:30:00,301.7,302.5,301.1,301.1,118800
2025-07-01 09:45:00,301.1,301.6,300.95,301.6,61200
2025-07-01 10:00:00,301.6,301.8,301.2,301.2,32400
2025-07-01 10:15:00,301.2,301.6,301.1,301.45,23400
2025-07-01 10:30:00,301.45,301.45,301.1,301.1,12600
2025-07-01 10:45:00,301.1,301.1,300.2,300.2,43200
2025-07-01 11:00:00,300.2,300.4,299.55,300.4,165600
2025-07-01 11:15:00,300.4,300.5,299.2,299.7,39600
2025-07-01 11:30:00,299.7,300.65,299.55,300.65,18000
2025-07-01 11:45:00,300.65,300.65,299.55,299.6,82800
2025-07-01 12:00:00,299.6,299.6,299.0,299.4,48600
2025-07-01 12:15:00,299.4,300.4,299.3,299.85,52200
2025-07-01 12:30:00,299.85,300.45,299.75,300.45,28800
2025-07-01 12:45:00,300.45,300.45,299.7,299.95,30600
2025-07-01 13:00:00,299.95,300.2,299.7,300.1,61200
2025-07-01 13:15:00,300.1,300.15,298.0,298.0,199800
2025-07-01 13:30:00,298.0,298.3,297.9,297.9,95400
2025-07-01 13:45:00,297.9,298.2,297.55,297.65,126000
2025-07-01 14:00:00,297.65,298.3,297.55,298.15,142200
2025-07-01 14:15:00,298.15,298.5,297.3,297.3,199800
2025-07-01 14:30:00,297.3,298.2,297.2,298.2,259200
2025-07-01 14:45:00,298.2,299.0,297.75,298.7,243000
2025-07-01 15:00:00,298.7,298.95,298.4,298.65,174600
2025-07-01 15:15:00,298.65,299.4,298.65,299.35,205200
2025-07-02 09:15:00,297.35,299.7,297.25,298.05,226800
2025-07-02 09:30:00,298.05,298.75,297.55,297.65,167400
2025-07-02 09:45:00,297.7,298.1,297.1,297.75,102600
2025-07-02 10:00:00,297.75,297.75,296.65,297.2,104400
2025-07-02 10:15:00,297.2,298.05,296.8,298.05,54000
2025-07-02 10:30:00,298.05,298.05,297.25,297.65,28800
2025-07-02 10:45:00,297.65,297.65,297.35,297.65,12600
2025-07-02 11:00:00,297.65,298.4,297.3,298.3,72000
2025-07-02 11:15:00,298.3,300.05,298.15,299.85,108000
2025-07-02 11:30:00,299.85,299.95,299.3,299.65,30600
2025-07-02 11:45:00,299.65,300.5,299.65,300.3,73800
2025-07-02 12:00:00,300.3,300.3,299.85,299.85,41400
2025-07-02 12:15:00,299.85,301.0,299.55,300.65,108000
2025-07-02 12:30:00,300.65,300.85,300.45,300.6,37800
2025-07-02 12:45:00,300.6,301.1,299.85,301.0,174600
2025-07-02 13:00:00,301.0,301.25,300.1,300.25,52200
2025-07-02 13:15:00,300.25,300.25,298.75,298.75,70200
2025-07-02 13:30:00,298.75,299.3,298.4,298.85,41400
2025-07-02 13:45:00,298.85,299.3,298.6,299.1,46800
2025-07-02 14:00:00,299.1,300.15,299.1,300.15,45000
2025-07-02 14:15:00,300.15,300.25,299.45,299.85,50400
2025-07-02 14:30:00,299.85,299.85,299.45,299.5,32400
2025-07-02 14:45:00,299.5,300.35,299.5,300.25,70200
2025-07-02 15:00:00,300.25,300.9,300.25,300.45,68400
2025-07-02 15:15:00,300.45,301.55,300.3,301.3,207000
2025-07-03 09:15:00,303.45,303.45,297.45,299.0,644400
2025-07-03 09:30:00,299.0,301.15,298.9,299.55,491400
2025-07-03 09:45:00,299.55,301.7,299.4,300.15,572400
2025-07-03 10:00:00,300.15,300.95,299.7,300.0,93600
2025-07-03 10:15:00,300.0,300.45,300.0,300.05,28800
2025-07-03 10:30:00,300.05,300.35,299.7,299.75,34200
2025-07-03 10:45:00,299.75,300.0,299.4,299.65,73800
2025-07-03 11:00:00,299.65,300.15,299.5,299.95,23400
2025-07-03 11:15:00,299.95,299.95,299.7,299.7,18000
2025-07-03 11:30:00,299.7,299.7,299.2,299.3,176400
2025-07-03 11:45:00,299.3,300.5,298.7,300.4,223200
2025-07-03 12:00:00,300.4,301.25,299.5,299.85,135000
2025-07-03 12:15:00,299.85,299.85,299.1,299.5,37800
2025-07-03 12:30:00,299.5,299.85,299.1,299.7,66600
2025-07-03 12:45:00,299.7,300.5,299.4,300.0,84600
2025-07-03 13:00:00,300.0,300.4,300.0,300.4,36000
2025-07-03 13:15:00,300.4,300.7,299.75,300.1,91800
2025-07-03 13:30:00,300.1,301.2,300.1,300.15,700200
2025-07-03 13:45:00,300.15,300.4,299.7,299.8,50400
2025-07-03 14:00:00,299.8,300.3,299.8,300.15,32400
2025-07-03 14:15:00,300.15,300.2,299.3,299.3,48600
2025-07-03 14:30:00,299.3,299.7,299.0,299.4,95400
