date,open,high,low,close,volume
2025-06-30 09:15:00,400.85,405.35,399.45,402.05,679250
2025-06-30 09:30:00,402.05,403.65,399.85,401.05,525250
2025-06-30 09:45:00,401.05,401.05,399.0,399.0,178750
2025-06-30 10:00:00,399.3,400.0,399.0,399.1,154000
2025-06-30 10:15:00,399.1,400.25,399.1,399.4,103125
2025-06-30 10:30:00,399.4,400.9,398.85,399.75,89375
2025-06-30 10:45:00,399.75,400.75,399.3,400.7,99000
2025-06-30 11:00:00,400.7,400.9,399.9,399.95,53625
2025-06-30 11:15:00,399.95,400.0,399.2,400.0,31625
2025-06-30 11:30:00,400.0,400.0,399.7,399.8,30250
2025-06-30 11:45:00,399.8,400.0,398.0,398.0,103125
2025-06-30 12:00:00,398.0,399.25,398.0,399.0,38500
2025-06-30 12:15:00,399.0,399.4,398.25,398.25,53625
2025-06-30 12:30:00,398.25,398.9,397.65,398.6,86625
2025-06-30 12:45:00,398.6,399.5,398.5,398.5,55000
2025-06-30 13:00:00,398.5,398.5,397.75,398.5,57750
2025-06-30 13:15:00,398.5,398.6,398.15,398.35,20625
2025-06-30 13:30:00,398.35,398.6,398.15,398.4,34375
2025-06-30 13:45:00,398.4,398.4,397.1,397.55,92125
2025-06-30 14:00:00,397.55,398.0,397.3,397.6,77000
2025-06-30 14:15:00,397.6,397.7,396.4,397.4,133375
2025-06-30 14:30:00,397.4,398.55,397.1,398.45,53625
2025-06-30 14:45:00,398.45,398.45,395.3,396.75,314875
2025-06-30 15:00:00,396.75,397.65,396.15,397.5,163625
2025-06-30 15:15:00,397.35,398.55,395.65,396.85,886875
2025-07-01 09:15:00,397.45,401.0,396.65,397.45,291500
2025-07-01 09:30:00,397.45,397.45,395.05,395.1,206250
2025-07-01 09:45:00,395.1,396.5,394.65,396.5,169125
2025-07-01 10:00:00,396.5,396.5,392.85,393.05,191125
2025-07-01 10:15:00,393.05,394.5,392.9,393.75,118250
2025-07-01 10:30:00,393.75,394.5,393.75,394.2,59125
2025-07-01 10:45:00,394.2,394.25,392.4,393.05,218625
2025-07-01 11:00:00,393.05,393.45,391.8,393.45,92125
2025-07-01 11:15:00,393.45,393.85,393.1,393.85,34375
2025-07-01 11:30:00,393.85,394.3,393.55,394.3,27500
2025-07-01 11:45:00,394.3,394.3,392.8,393.6,35750
2025-07-01 12:00:00,393.6,394.05,393.35,394.0,35750
2025-07-01 12:15:00,394.0,395.35,394.0,395.0,92125
