date,open,high,low,close,volume
2025-06-30 09:15:00,17625,17750,17539,17724,17175
2025-06-30 09:30:00,17724,17790,17692,17766,14550
2025-06-30 09:45:00,17766,17783,17675,17675,20175
2025-06-30 10:00:00,17675,17690,17669,17677,10050
2025-06-30 10:15:00,17677,17699,17640,17681,5325
2025-06-30 10:30:00,17681,17802,17681,17724,14250
2025-06-30 10:45:00,17724,17724,17680,17692,10425
2025-06-30 11:00:00,17692,17702,17593,17620,7950
2025-06-30 11:15:00,17620,17656,17620,17633,1725
2025-06-30 11:30:00,17633,17633,17606,17625,2100
2025-06-30 11:45:00,17625,17685,17613,17685,1650
2025-06-30 12:00:00,17693,17875,17670,17875,30000
2025-06-30 12:15:00,17875,17940,17748,17766,19725
2025-06-30 12:30:00,17766,17777,17754,17773,11625
2025-06-30 12:45:00,17765,17852,17750,17821,6600
2025-06-30 13:00:00,17821,17830,17707,17712,10125
2025-06-30 13:15:00,17712,17726,17691,17717,7500
2025-06-30 13:30:00,17717,17717,17672,17680,2925
2025-06-30 13:45:00,17680,17680,17633,17652,5625
2025-06-30 14:00:00,17652,17727,17642,17714,4575
2025-06-30 14:15:00,17714,17728,17701,17701,2325
2025-06-30 14:30:00,17701,17734,17701,17722,8025
2025-06-30 14:45:00,17722,17739,17696,17711,6375
2025-06-30 15:00:00,17711,17722,17694,17704,8175
2025-06-30 15:15:00,17704,17733,17690,17720,17175
2025-07-01 09:15:00,17618,17745,17597,17597,9225
2025-07-01 09:30:00,17602,17741,17576,17650,10725
2025-07-01 09:45:00,17650,17668,17627,17668,5250
2025-07-01 10:00:00,17668,17699,17630,17654,4350
2025-07-01 10:15:00,17654,17657,17587,17612,7950
2025-07-01 10:30:00,17612,17612,17507,17514,5850
2025-07-01 10:45:00,17523,17544,17510,17511,5250
2025-07-01 11:00:00,17511,17521,17481,17508,3825
2025-07-01 11:15:00,17508,17533,17501,17523,2325
2025-07-01 11:30:00,17523,17527,17470,17505,5775
2025-07-01 11:45:00,17505,17514,17460,17462,3150
2025-07-01 12:00:00,17462,17470,17422,17446,5400
2025-07-01 12:15:00,17446,17478,17440,17453,2925
2025-07-01 12:30:00,17453,17471,17400,17400,5625
2025-07-01 12:45:00,17400,17405,17360,17369,8325
2025-07-01 13:00:00,17360,17367,17272,17303,15075
2025-07-01 13:15:00,17303,17313,17270,17293,5775
2025-07-01 13:30:00,17293,17326,17293,17318,9075
2025-07-01 13:45:00,17318,17319,17286,17309,3000
2025-07-01 14:00:00,17309,17348,17309,17348,4800
2025-07-01 14:15:00,17348,17370,17331,17331,9675
2025-07-01 14:30:00,17331,17341,17268,17284,5700
2025-07-01 14:45:00,17284,17307,17276,17278,7050
2025-07-01 15:00:00,17278,17324,17271,17284,7425
2025-07-01 15:15:00,17284,17317,17280,17317,11250
2025-07-02 09:15:00,17349,17364,17158,17158,13650
2025-07-02 09:30:00,17158,17230,17090,17090,11325
2025-07-02 09:45:00,17090,17125,17039,17083,8325
2025-07-02 10:00:00,17083,17097,17050,17078,4500
2025-07-02 10:15:00,17078,17083,17022,17057,5625
2025-07-02 10:30:00,17057,17097,17003,17097,12750
2025-07-02 10:45:00,17097,17200,17090,17178,15750
2025-07-02 11:00:00,17178,17180,17095,17106,4650
2025-07-02 11:15:00,17106,17118,17052,17070,4275
2025-07-02 11:30:00,17070,17074,17020,17074,4650
2025-07-02 11:45:00,17074,17132,17059,17077,4950
2025-07-02 12:00:00,17077,17077,17041,17069,3000
2025-07-02 12:15:00,17069,17082,17031,17043,2475
2025-07-02 12:30:00,17043,17043,16920,16926,13125
2025-07-02 12:45:00,16926,16957,16900,16956,10575
2025-07-02 13:00:00,16956,16956,16900,16918,6375
2025-07-02 13:15:00,16899,16905,16870,16886,4875
2025-07-02 13:30:00,16886,16940,16880,16925,3600
2025-07-02 13:45:00,16925,16944,16904,16943,5775
2025-07-02 14:00:00,16943,16988,16935,16988,3975
2025-07-02 14:15:00,16988,17040,16969,17038,5025
2025-07-02 14:30:00,17038,17067,17038,17045,3975
2025-07-02 14:45:00,17045,17077,17027,17029,4875
2025-07-02 15:00:00,17029,17069,17014,17039,6525
2025-07-02 15:15:00,17039,17060,17012,17060,7650
2025-07-03 09:15:00,17040,17183,16950,16969,12525
2025-07-03 09:30:00,16969,17025,16969,17001,6150
2025-07-03 09:45:00,17001,17016,16970,17016,3600
2025-07-03 10:00:00,17016,17123,17015,17092,10650
2025-07-03 10:15:00,17092,17121,17080,17107,12075
2025-07-03 10:30:00,17107,17115,17042,17067,8100
2025-07-03 10:45:00,17067,17067,17001,17006,1350
2025-07-03 11:00:00,17006,17046,17006,17030,675
2025-07-03 11:15:00,17030,17049,17023,17040,600
2025-07-03 11:30:00,17040,17040,16990,17000,2625
2025-07-03 11:45:00,17000,17025,16994,16996,3525
2025-07-03 12:00:00,16995,16995,16963,16969,1200
2025-07-03 12:15:00,16969,16969,16936,16969,3825
2025-07-03 12:30:00,16969,16983,16932,16943,1725
2025-07-03 12:45:00,16943,16989,16943,16989,1800
2025-07-03 13:00:00,16989,16993,16977,16985,1050
2025-07-03 13:15:00,16985,16986,16916,16930,6750
2025-07-03 13:30:00,16930,16975,16918,16946,2325
2025-07-03 13:45:00,16946,16960,16925,16956,4800
2025-07-03 14:00:00,16956,16964,16951,16953,1800
2025-07-03 14:15:00,16953,16956,16931,16931,1200
2025-07-03 14:30:00,16931,16945,16931,16944,675
2025-07-03 14:45:00,16944,16960,16944,16960,1650
2025-07-03 15:00:00,16960,16960,16905,16906,10125
2025-07-03 15:15:00,16906,16930,16875,16930,15375
2025-07-04 09:15:00,16920,17042,16918,17000,7050
2025-07-04 09:30:00,17000,17049,16970,17049,3525
2025-07-04 09:45:00,17049,17059,16993,16999,7725
2025-07-04 10:00:00,16999,17020,16985,17011,1725
2025-07-04 10:15:00,17011,17025,16999,17025,1125
2025-07-04 10:30:00,17025,17032,17020,17021,750
2025-07-04 10:45:00,17021,17021,16985,16986,1200
2025-07-04 11:00:00,16986,17066,16982,17020,5550
2025-07-04 11:15:00,17020,17021,16990,16990,900
2025-07-04 11:30:00,16990,17009,16970,16978,4275
2025-07-04 11:45:00,16978,16978,16907,16908,2175
2025-07-04 12:00:00,16908,16929,16850,16884,6375
2025-07-04 12:15:00,16884,16917,16880,16883,1425
2025-07-04 12:30:00,16883,16901,16870,16870,975
2025-07-04 12:45:00,16870,16870,16818,16854,2250
2025-07-04 13:00:00,16854,16909,16834,16870,5100
2025-07-04 13:15:00,16870,16879,16852,16872,1950
2025-07-04 13:30:00,16872,16890,16865,16884,1650
2025-07-04 13:45:00,16884,16886,16881,16881,900
2025-07-04 14:00:00,16881,16899,16872,16875,1500
2025-07-04 14:15:00,16875,16877,16860,16860,450
2025-07-04 14:30:00,16860,16936,16860,16935,2250
2025-07-04 14:45:00,16935,16940,16916,16919,900
2025-07-04 15:00:00,16919,16938,16911,16936,2775
2025-07-04 15:15:00,16934,16950,16927,16950,8925
2025-07-07 09:15:00,16987,16991,16893,16918,6900
2025-07-07 09:30:00,16918,16937,16842,16847,7575
2025-07-07 09:45:00,16847,16847,16685,16729,19050
2025-07-07 10:00:00,16729,16765,16697,16700,9150
2025-07-07 10:15:00,16700,16743,16685,16707,6450
2025-07-07 10:30:00,16707,16722,16694,16720,2475
2025-07-07 10:45:00,16720,16788,16707,16712,5700
2025-07-07 11:00:00,16712,16741,16697,16709,3450
2025-07-07 11:15:00,16709,16739,16694,16729,3300
2025-07-07 11:30:00,16729,16729,16692,16696,3225
2025-07-07 11:45:00,16696,16701,16663,16689,3450
2025-07-07 12:00:00,16689,16792,16650,16788,9075
2025-07-07 12:15:00,16788,16840,16776,16814,6750
2025-07-07 12:30:00,16814,16929,16807,16879,17850
2025-07-07 12:45:00,16879,16879,16818,16818,2775
2025-07-07 13:00:00,16818,16855,16818,16833,5550
2025-07-07 13:15:00,16833,16933,16833,16918,2700
2025-07-07 13:30:00,16918,16918,16868,16875,2475
2025-07-07 13:45:00,16875,16884,16838,16873,4950
2025-07-07 14:00:00,16873,16880,16839,16839,1725
2025-07-07 14:15:00,16839,16859,16821,16821,1575
2025-07-07 14:30:00,16832,16834,16801,16801,4275
2025-07-07 14:45:00,16801,16807,16753,16778,4575
2025-07-07 15:00:00,16778,16810,16778,16790,4050
2025-07-07 15:15:00,16790,16815,16780,16815,4725
2025-07-08 09:15:00,16720,16898,16717,16814,6825
2025-07-08 09:30:00,16814,16814,16649,16651,8775
2025-07-08 09:45:00,16651,16691,16600,16600,8250
2025-07-08 10:00:00,16600,16625,16572,16625,6825
2025-07-08 10:15:00,16625,16631,16602,16621,2475
