date,open,high,low,close,volume
2025-06-30 09:15:00,649.35,652.6,648.15,652.0,164000
2025-06-30 09:30:00,652.0,652.0,648.8,650.1,52000
2025-06-30 09:45:00,650.1,650.1,646.75,646.75,111000
2025-06-30 10:00:00,646.75,647.15,645.0,645.5,49000
2025-06-30 10:15:00,645.5,645.95,644.5,644.85,48000
2025-06-30 10:30:00,644.85,646.45,644.5,645.25,38000
2025-06-30 10:45:00,645.25,645.45,643.65,645.05,65000
2025-06-30 11:00:00,645.05,645.5,644.15,644.75,22000
2025-06-30 11:15:00,644.75,645.0,643.15,644.5,35000
2025-06-30 11:30:00,644.5,645.0,643.85,644.5,24000
2025-06-30 11:45:00,644.5,644.8,643.85,644.2,12000
2025-06-30 12:00:00,644.2,644.35,642.45,643.2,38000
2025-06-30 12:15:00,643.2,643.75,642.45,642.45,23000
2025-06-30 12:30:00,642.45,642.9,641.3,641.8,58000
2025-06-30 12:45:00,641.8,642.3,641.0,641.65,32000
2025-06-30 13:00:00,641.65,642.0,641.05,641.9,21000
2025-06-30 13:15:00,641.9,643.3,641.5,642.5,18000
2025-06-30 13:30:00,642.5,643.15,639.8,641.3,65000
2025-06-30 13:45:00,641.3,641.5,640.65,640.65,9000
2025-06-30 14:00:00,640.65,642.1,640.65,641.45,8000
2025-06-30 14:15:00,641.45,642.25,641.0,641.3,15000
2025-06-30 14:30:00,641.3,642.7,641.15,642.7,18000
2025-06-30 14:45:00,642.7,643.0,642.2,642.25,41000
2025-06-30 15:00:00,642.25,643.0,641.9,642.2,18000
2025-06-30 15:15:00,642.2,643.85,642.2,643.85,94000
2025-07-01 09:15:00,644.9,646.2,643.1,645.75,71000
2025-07-01 09:30:00,645.75,646.1,641.5,641.5,58000
2025-07-01 09:45:00,641.5,641.5,639.5,640.0,88000
2025-07-01 10:00:00,640.0,640.5,639.45,639.65,43000
2025-07-01 10:15:00,639.65,640.85,638.5,640.65,37000
2025-07-01 10:30:00,640.65,640.65,639.7,640.0,17000
2025-07-01 10:45:00,640.0,640.0,637.05,637.3,65000
2025-07-01 11:00:00,637.3,638.0,636.4,637.85,27000
2025-07-01 11:15:00,637.85,638.95,637.0,638.05,29000
2025-07-01 11:30:00,638.05,639.75,638.05,639.1,18000
2025-07-01 11:45:00,639.1,639.45,639.0,639.0,8000
2025-07-01 12:00:00,639.0,641.2,639.0,641.15,26000
2025-07-01 12:15:00,641.15,641.45,640.85,641.0,8000
2025-07-01 12:30:00,641.0,641.2,640.55,641.2,8000
2025-07-01 12:45:00,641.2,641.2,640.25,641.1,9000
2025-07-01 13:00:00,641.1,641.1,639.55,640.1,13000
2025-07-01 13:15:00,640.1,640.1,639.55,639.75,11000
2025-07-01 13:30:00,639.75,640.25,639.5,639.8,15000
2025-07-01 13:45:00,639.8,641.35,639.8,641.35,5000
2025-07-01 14:00:00,641.35,641.35,639.95,641.05,24000
2025-07-01 14:15:00,641.05,641.05,639.5,639.5,16000
2025-07-01 14:30:00,639.5,639.75,638.6,639.7,11000
2025-07-01 14:45:00,639.7,640.7,639.7,640.35,18000
2025-07-01 15:00:00,640.35,640.7,639.75,639.75,17000
2025-07-01 15:15:00,639.75,642.45,639.75,642.0,151000
2025-07-02 09:15:00,640.85,648.9,640.25,646.6,239000
2025-07-02 09:30:00,646.6,649.45,646.0,646.3,132000
2025-07-02 09:45:00,646.3,646.3,643.0,644.1,55000
2025-07-02 10:00:00,644.1,644.5,642.5,643.85,43000
2025-07-02 10:15:00,643.85,643.9,641.6,642.35,49000
2025-07-02 10:30:00,642.35,642.8,640.8,641.8,31000
2025-07-02 10:45:00,641.8,641.95,639.9,640.9,68000
2025-07-02 11:00:00,640.9,640.9,639.25,640.05,40000
2025-07-02 11:15:00,640.05,642.5,640.05,642.05,29000
2025-07-02 11:30:00,642.05,642.7,640.35,640.6,16000
2025-07-02 11:45:00,640.6,645.15,640.6,644.15,73000
2025-07-02 12:00:00,644.15,645.05,643.55,644.3,40000
2025-07-02 12:15:00,644.3,645.15,644.1,645.05,56000
2025-07-02 12:30:00,645.05,646.0,643.95,644.0,58000
2025-07-02 12:45:00,644.0,644.2,642.5,643.0,23000
2025-07-02 13:00:00,643.0,643.0,641.7,641.7,23000
2025-07-02 13:15:00,641.7,641.7,639.3,639.3,48000
2025-07-02 13:30:00,639.3,640.6,638.25,639.1,41000
2025-07-02 13:45:00,639.1,640.9,639.1,640.9,3000
2025-07-02 14:00:00,640.9,641.45,640.4,641.45,15000
2025-07-02 14:15:00,641.45,641.45,640.9,641.0,9000
2025-07-02 14:30:00,641.0,641.85,641.0,641.0,6000
2025-07-02 14:45:00,641.0,641.7,640.6,641.25,12000
2025-07-02 15:00:00,641.25,642.55,641.05,641.25,52000
2025-07-02 15:15:00,641.25,642.0,640.5,641.95,70000
2025-07-03 09:15:00,643.55,645.0,641.45,641.8,59000
2025-07-03 09:30:00,641.8,641.9,639.4,640.4,98000
2025-07-03 09:45:00,640.4,641.75,639.55,641.75,18000
2025-07-03 10:00:00,641.75,643.3,640.9,642.75,29000
2025-07-03 10:15:00,642.75,643.1,641.0,641.0,23000
2025-07-03 10:30:00,641.0,642.25,641.0,641.0,19000
2025-07-03 10:45:00,641.0,641.25,637.15,639.8,142000
2025-07-03 11:00:00,639.8,642.5,639.8,641.65,54000
2025-07-03 11:15:00,641.65,642.1,641.2,642.1,9000
2025-07-03 11:30:00,642.1,643.25,641.75,642.75,43000
2025-07-03 11:45:00,642.75,644.55,641.35,643.9,41000
2025-07-03 12:00:00,643.9,643.9,642.1,642.9,21000
