date,open,high,low,close,volume
2025-06-30 09:15:00,644.9,645.35,642.7,643.2,212735
2025-06-30 09:30:00,643.2,643.35,641.55,642.85,107045
2025-06-30 09:45:00,642.85,643.5,641.25,642.75,105690
2025-06-30 10:00:00,642.75,643.05,641.5,641.5,81300
2025-06-30 10:15:00,641.5,642.1,640.4,641.95,90785
2025-06-30 10:30:00,641.95,642.8,641.0,642.0,115175
2025-06-30 10:45:00,642.0,643.7,641.35,643.15,77235
2025-06-30 11:00:00,643.15,643.9,642.9,643.05,111110
2025-06-30 11:15:00,643.05,643.25,642.5,642.5,39295
2025-06-30 11:30:00,642.5,645.5,642.3,645.35,135500
2025-06-30 11:45:00,645.35,657.65,645.2,656.65,1730335
2025-06-30 12:00:00,656.65,663.05,656.25,660.25,1592125
2025-06-30 12:15:00,660.25,661.85,658.55,659.2,565035
2025-06-30 12:30:00,659.2,659.55,657.2,657.8,223575
2025-06-30 12:45:00,657.8,658.35,654.3,655.3,344170
2025-06-30 13:00:00,655.3,656.1,655.0,655.0,178860
2025-06-30 13:15:00,655.0,655.6,653.7,655.5,219510
2025-06-30 13:30:00,655.5,656.25,653.3,655.75,249320
2025-06-30 13:45:00,655.75,656.4,654.45,655.85,204605
2025-06-30 14:00:00,655.85,657.9,654.9,657.1,168020
2025-06-30 14:15:00,657.1,657.65,656.4,657.2,128725
2025-06-30 14:30:00,657.2,659.8,657.2,659.5,329265
2025-06-30 14:45:00,659.5,661.0,659.2,660.0,376690
2025-06-30 15:00:00,660.0,661.0,659.3,659.55,426825
2025-06-30 15:15:00,659.55,659.65,658.4,658.9,487800
2025-07-01 09:15:00,662.65,663.55,656.6,661.75,539290
2025-07-01 09:30:00,661.75,663.5,658.6,658.6,518965
2025-07-01 09:45:00,658.6,659.4,657.0,657.85,219510
2025-07-01 10:00:00,657.85,658.2,655.35,656.0,265580
2025-07-01 10:15:00,656.0,659.65,656.0,658.3,123305
2025-07-01 10:30:00,658.3,660.95,658.0,660.95,182925
2025-07-01 10:45:00,660.95,662.0,659.55,659.85,283195
2025-07-01 11:00:00,659.85,660.8,659.1,660.5,78590
2025-07-01 11:15:00,660.5,660.8,659.9,660.65,63685
2025-07-01 11:30:00,660.65,668.5,660.65,668.5,1216790
2025-07-01 11:45:00,668.15,668.7,665.4,668.5,789965
2025-07-01 12:00:00,668.5,669.0,666.0,668.65,494575
2025-07-01 12:15:00,668.65,669.4,667.4,667.55,504060
2025-07-01 12:30:00,667.55,670.8,667.0,670.5,563680
2025-07-01 12:45:00,670.5,671.05,669.45,670.8,403790
2025-07-01 13:00:00,670.8,671.25,670.0,670.55,257450
2025-07-01 13:15:00,670.55,671.0,669.05,670.75,340105
2025-07-01 13:30:00,670.75,671.2,669.2,669.2,200540
2025-07-01 13:45:00,669.2,670.1,667.4,667.8,176150
2025-07-01 14:00:00,667.8,668.2,663.1,663.9,495930
2025-07-01 14:15:00,663.9,666.0,663.9,664.95,189700
2025-07-01 14:30:00,664.95,665.2,664.3,664.75,126015
2025-07-01 14:45:00,665.0,667.15,664.85,666.4,195120
2025-07-01 15:00:00,666.4,667.2,665.5,666.6,292680
2025-07-01 15:15:00,666.6,667.65,666.4,666.65,426825
2025-07-02 09:15:00,668.3,668.3,665.9,666.85,216800
2025-07-02 09:30:00,666.85,669.05,666.45,667.1,228995
2025-07-02 09:45:00,667.1,667.45,665.0,665.45,200540
2025-07-02 10:00:00,665.45,666.0,664.15,665.7,281840
2025-07-02 10:15:00,665.7,666.95,664.6,666.95,124660
2025-07-02 10:30:00,666.95,667.55,665.65,666.75,69105
2025-07-02 10:45:00,666.75,669.15,666.25,668.85,192410
2025-07-02 11:00:00,668.85,669.95,666.6,667.7,185635
2025-07-02 11:15:00,667.7,668.1,667.0,667.7,33875
2025-07-02 11:30:00,667.7,667.7,665.35,667.1,92140
2025-07-02 11:45:00,667.1,670.0,667.1,668.8,224930
2025-07-02 12:00:00,668.8,669.5,668.15,669.4,79945
2025-07-02 12:15:00,669.4,669.4,668.5,668.8,54200
2025-07-02 12:30:00,668.8,669.15,668.0,668.35,67750
2025-07-02 12:45:00,668.35,668.55,666.5,667.35,98915
2025-07-02 13:00:00,667.35,668.45,666.8,667.7,185635
2025-07-02 13:15:00,667.7,667.7,663.8,664.05,204605
2025-07-02 13:30:00,664.05,665.2,663.75,664.0,233060
2025-07-02 13:45:00,664.0,665.15,663.55,665.15,143630
2025-07-02 14:00:00,665.15,667.55,664.6,667.55,200540
2025-07-02 14:15:00,667.55,671.8,667.55,671.7,510835
2025-07-02 14:30:00,671.7,673.9,667.15,668.6,873975
2025-07-02 14:45:00,668.6,669.75,667.85,669.1,268290
2025-07-02 15:00:00,669.1,671.0,668.75,669.1,498640
2025-07-02 15:15:00,669.1,669.8,668.8,669.5,407855
2025-07-03 09:15:00,669.6,676.4,667.55,674.1,745250
2025-07-03 09:30:00,674.1,680.9,673.55,680.75,1238470
2025-07-03 09:45:00,680.75,682.45,677.25,678.1,730345
2025-07-03 10:00:00,678.1,680.15,677.2,679.1,246610
2025-07-03 10:15:00,679.1,682.5,679.1,681.25,383465
2025-07-03 10:30:00,681.25,682.5,679.5,679.5,226285
2025-07-03 10:45:00,679.5,680.05,677.5,679.9,220865
2025-07-03 11:00:00,679.9,680.15,676.65,677.0,157180
2025-07-03 11:15:00,677.0,680.0,676.75,678.0,112465
2025-07-03 11:30:00,678.0,678.0,675.55,676.15,172085
2025-07-03 11:45:00,676.15,677.1,676.15,677.0,81300
2025-07-03 12:00:00,677.0,677.0,675.3,675.3,96205
2025-07-03 12:15:00,675.3,676.0,674.0,675.9,201895
2025-07-03 12:30:00,675.9,676.15,674.9,675.65,79945
2025-07-03 12:45:00,675.65,681.2,675.6,679.5,476960
2025-07-03 13:00:00,679.5,681.55,678.95,680.4,289970
2025-07-03 13:15:00,680.4,680.75,679.55,679.9,94850
2025-07-03 13:30:00,679.9,682.1,679.9,682.0,227640
2025-07-03 13:45:00,682.0,683.8,681.15,683.1,261515
2025-07-03 14:00:00,683.1,683.75,681.25,681.75,283195
2025-07-03 14:15:00,681.75,684.0,681.75,682.45,317070
2025-07-03 14:30:00,682.45,682.5,680.5,681.5,464765
2025-07-03 14:45:00,681.5,681.5,680.5,681.0,97560
2025-07-03 15:00:00,681.0,681.95,680.45,680.75,245255
