date,open,high,low,close,volume
2025-04-11 09:15:00,825.95,833.45,818.1,824.7,104203
2025-04-11 09:30:00,824.55,830.0,824.55,825.0,66266
2025-04-11 09:45:00,824.95,830.8,822.7,829.35,54429
2025-04-11 10:00:00,829.4,831.0,823.05,825.15,38727
2025-04-11 10:15:00,825.15,826.15,823.05,824.15,23422
2025-04-11 10:30:00,824.15,826.35,823.35,825.7,26568
2025-04-11 10:45:00,825.7,826.55,821.55,822.4,18657
2025-04-11 11:00:00,822.4,822.45,813.05,815.25,31103
2025-04-11 11:15:00,815.25,820.4,812.0,819.55,25028
2025-04-11 11:30:00,819.55,838.95,818.6,838.35,165735
2025-04-11 11:45:00,838.45,849.8,836.35,839.6,93593
2025-04-11 12:00:00,839.6,845.25,838.5,841.85,77449
2025-04-11 12:15:00,841.85,842.5,830.0,831.7,45890
2025-04-11 12:30:00,831.7,845.65,830.9,839.7,86691
2025-04-11 12:45:00,839.7,842.3,839.55,841.6,19398
2025-04-11 13:00:00,841.6,843.5,840.0,840.0,39717
2025-04-11 13:15:00,840.6,841.8,839.55,840.3,24693
2025-04-11 13:30:00,840.3,844.4,840.1,842.0,31629
2025-04-11 13:45:00,842.0,848.45,840.6,848.45,174936
2025-04-11 14:00:00,848.5,863.9,847.3,860.3,150895
2025-04-11 14:15:00,860.3,867.85,853.5,861.05,129293
2025-04-11 14:30:00,861.05,862.75,859.0,861.0,80468
2025-04-11 14:45:00,861.0,880.9,860.0,875.15,176989
2025-04-11 15:00:00,875.45,878.1,869.9,871.25,135025
2025-04-11 15:15:00,871.3,873.2,865.0,873.0,134047
2025-04-15 09:15:00,900.0,936.6,895.0,932.95,274829
2025-04-15 09:30:00,933.65,934.75,922.5,929.0,109695
2025-04-15 09:45:00,929.9,936.65,926.15,928.7,133564
2025-04-15 10:00:00,929.95,930.55,927.1,929.6,45270
2025-04-15 10:15:00,929.6,940.9,924.55,930.3,118099
2025-04-15 10:30:00,930.3,934.3,930.0,934.3,34866
2025-04-15 10:45:00,934.3,934.3,931.55,933.3,36804
2025-04-15 11:00:00,933.3,934.6,931.05,934.5,20874
2025-04-15 11:15:00,934.5,934.5,928.6,928.85,29846
2025-04-15 11:30:00,928.85,929.45,925.6,928.0,26816
2025-04-15 11:45:00,927.75,930.9,927.0,929.75,71693
2025-04-15 12:00:00,929.8,937.9,927.0,936.45,101442
2025-04-15 12:15:00,936.5,937.5,931.0,932.75,33532
2025-04-15 12:30:00,932.75,935.35,931.0,933.15,23733
2025-04-15 12:45:00,933.15,934.3,931.5,932.15,42913
2025-04-15 13:00:00,932.15,934.45,930.0,932.85,101565
2025-04-15 13:15:00,932.95,944.85,932.7,940.0,129436
2025-04-15 13:30:00,940.0,947.9,937.25,946.75,454258
2025-04-15 13:45:00,946.85,950.0,942.05,944.35,92665
2025-04-15 14:00:00,944.15,945.1,935.15,940.4,103873
2025-04-15 14:15:00,940.25,940.95,936.9,938.1,470390
2025-04-15 14:30:00,938.1,939.5,937.0,937.9,47735
2025-04-15 14:45:00,937.55,940.0,936.7,939.45,34429
2025-04-15 15:00:00,939.3,941.85,938.45,940.6,142731
2025-04-15 15:15:00,940.65,940.7,929.1,929.9,172650
2025-04-16 09:15:00,933.95,937.3,922.8,927.35,47938
2025-04-16 09:30:00,926.55,928.8,920.1,920.1,29980
2025-04-16 09:45:00,919.55,926.6,917.3,926.5,34219
2025-04-16 10:00:00,926.5,928.15,924.55,925.45,14716
2025-04-16 10:15:00,925.45,925.9,918.75,922.45,10273
2025-04-16 10:30:00,922.45,931.0,921.5,924.1,352221
2025-04-16 10:45:00,924.55,925.0,923.05,923.4,7484
2025-04-16 11:00:00,923.4,925.35,922.0,924.8,7208
