date,open,high,low,close,volume
2025-04-11 09:15:00,860.7,863.35,842.1,846.75,258491
2025-04-11 09:30:00,846.75,854.05,845.6,847.65,135523
2025-04-11 09:45:00,847.65,848.0,842.7,843.4,68179
2025-04-11 10:00:00,843.4,845.15,839.2,842.65,84193
2025-04-11 10:15:00,842.65,844.0,837.9,837.9,57290
2025-04-11 10:30:00,837.35,842.2,835.6,839.0,78817
2025-04-11 10:45:00,839.0,840.0,837.0,839.5,37398
2025-04-11 11:00:00,839.5,842.4,839.5,841.8,58529
2025-04-11 11:15:00,841.8,844.8,840.65,843.8,45789
2025-04-11 11:30:00,843.8,845.95,842.7,843.2,40443
2025-04-11 11:45:00,843.2,843.95,841.25,842.1,20536
2025-04-11 12:00:00,842.1,843.7,840.75,842.9,26123
2025-04-11 12:15:00,842.9,843.9,841.0,842.0,22440
2025-04-11 12:30:00,842.0,842.5,838.35,840.05,38901
2025-04-11 12:45:00,840.05,841.1,838.7,839.95,34087
2025-04-11 13:00:00,839.95,842.05,839.95,840.5,19235
2025-04-11 13:15:00,840.5,840.6,838.5,838.65,26556
2025-04-11 13:30:00,838.65,840.0,836.8,839.35,39125
2025-04-11 13:45:00,839.35,839.4,837.3,838.1,39092
2025-04-11 14:00:00,838.1,838.1,833.8,835.5,67016
2025-04-11 14:15:00,835.5,837.0,833.75,835.25,41524
2025-04-11 14:30:00,835.25,844.95,835.0,844.8,117352
2025-04-11 14:45:00,845.6,848.0,843.2,844.1,188971
2025-04-11 15:00:00,844.4,846.5,844.05,845.5,204844
2025-04-11 15:15:00,845.55,846.0,841.1,842.65,117672
2025-04-15 09:15:00,855.65,860.95,851.45,852.85,143811
2025-04-15 09:30:00,853.0,856.75,853.0,855.1,62899
2025-04-15 09:45:00,855.65,863.1,854.05,860.0,109986
2025-04-15 10:00:00,860.0,860.6,857.85,858.55,33754
2025-04-15 10:15:00,858.55,861.0,856.0,858.9,39234
2025-04-15 10:30:00,858.9,861.7,858.0,860.4,38677
2025-04-15 10:45:00,860.4,869.5,858.9,869.5,97150
