date,open,high,low,close,volume
2025-04-11 09:15:00,553.75,556.8,548.6,548.75,239584
2025-04-11 09:30:00,548.85,552.35,548.85,551.8,82453
2025-04-11 09:45:00,552.4,552.95,548.3,549.35,64714
2025-04-11 10:00:00,549.35,550.7,548.5,548.75,39715
2025-04-11 10:15:00,548.75,549.95,544.0,545.7,152288
2025-04-11 10:30:00,545.5,547.0,544.0,547.0,179430
2025-04-11 10:45:00,547.0,549.1,544.95,548.85,312512
2025-04-11 11:00:00,549.0,550.4,549.0,550.35,39599
2025-04-11 11:15:00,550.35,550.35,549.6,549.75,72064
2025-04-11 11:30:00,549.9,551.3,548.3,550.05,366440
2025-04-11 11:45:00,550.05,551.05,549.45,549.85,182901
2025-04-11 12:00:00,549.8,552.9,549.8,551.75,66343
2025-04-11 12:15:00,551.75,552.9,550.95,551.0,74562
2025-04-11 12:30:00,551.3,551.7,550.95,551.15,109890
2025-04-11 12:45:00,551.4,553.0,551.0,552.15,103434
2025-04-11 13:00:00,552.25,554.25,552.15,553.65,75769
2025-04-11 13:15:00,553.65,553.75,551.05,551.85,57875
2025-04-11 13:30:00,551.85,551.85,549.35,550.0,285427
2025-04-11 13:45:00,549.8,550.0,548.0,548.1,86397
2025-04-11 14:00:00,548.1,548.1,546.05,546.45,96800
2025-04-11 14:15:00,546.85,547.7,545.7,545.7,70657
2025-04-11 14:30:00,545.7,547.55,545.15,546.75,99844
2025-04-11 14:45:00,546.75,549.85,546.35,548.25,180777
2025-04-11 15:00:00,548.45,550.0,547.65,548.6,281729
2025-04-11 15:15:00,548.65,548.95,547.25,547.95,208677
2025-04-15 09:15:00,555.0,555.0,550.5,551.75,106032
2025-04-15 09:30:00,551.85,553.0,550.25,552.75,39870
2025-04-15 09:45:00,552.5,553.35,551.2,552.65,44147
2025-04-15 10:00:00,552.65,553.35,551.75,552.9,39289
2025-04-15 10:15:00,552.9,553.4,551.4,551.95,74752
2025-04-15 10:30:00,551.95,552.8,551.5,552.4,21511
2025-04-15 10:45:00,552.4,553.3,552.1,553.05,23432
2025-04-15 11:00:00,552.8,554.2,551.85,553.2,316935
2025-04-15 11:15:00,553.2,553.2,551.5,552.0,61605
2025-04-15 11:30:00,552.0,553.0,551.75,551.75,62939
2025-04-15 11:45:00,551.75,553.3,551.75,552.9,31795
2025-04-15 12:00:00,552.9,555.55,552.45,554.55,251267
