date,open,high,low,close,volume
2025-04-11 09:15:00,224.77,225.9,223.5,224.03,879391
2025-04-11 09:30:00,224.07,225.19,223.88,224.91,341194
2025-04-11 09:45:00,224.9,225.08,223.64,223.83,324597
2025-04-11 10:00:00,223.71,224.13,223.67,223.8,229026
2025-04-11 10:15:00,223.87,224.17,222.88,223.53,197146
2025-04-11 10:30:00,223.45,224.03,223.1,223.59,551727
2025-04-11 10:45:00,223.56,225.16,223.5,225.04,237182
2025-04-11 11:00:00,225.04,226.75,225.0,225.94,1015863
2025-04-11 11:15:00,225.94,226.14,225.13,225.66,384636
2025-04-11 11:30:00,225.66,226.08,225.62,225.82,150083
2025-04-11 11:45:00,225.82,226.44,225.81,225.94,133794
2025-04-11 12:00:00,225.82,226.02,225.61,226.02,157568
2025-04-11 12:15:00,226.02,226.1,225.88,225.94,125622
2025-04-11 12:30:00,225.94,226.12,225.79,226.01,268991
2025-04-11 12:45:00,226.01,226.2,225.89,225.9,128199
2025-04-11 13:00:00,225.9,226.16,225.62,225.96,144770
2025-04-11 13:15:00,225.96,226.01,225.91,225.98,262886
2025-04-11 13:30:00,225.98,225.98,225.24,225.28,292062
2025-04-11 13:45:00,225.4,226.02,224.75,225.04,248603
2025-04-11 14:00:00,225.04,225.14,224.14,224.46,171492
2025-04-11 14:15:00,224.47,224.56,224.13,224.13,105103
2025-04-11 14:30:00,224.21,224.84,224.12,224.55,146361
2025-04-11 14:45:00,224.55,225.43,224.51,224.82,317049
2025-04-11 15:00:00,224.95,225.02,224.52,224.67,329595
2025-04-11 15:15:00,224.68,224.9,224.47,224.57,485494
2025-04-15 09:15:00,228.14,228.22,224.38,225.06,1452307
2025-04-15 09:30:00,225.05,226.25,224.63,226.1,723849
2025-04-15 09:45:00,226.12,226.54,224.75,224.75,421369
2025-04-15 10:00:00,224.75,225.62,224.71,225.28,440815
2025-04-15 10:15:00,225.28,225.74,224.89,225.23,429952
2025-04-15 10:30:00,225.24,225.61,225.17,225.35,90790
2025-04-15 10:45:00,225.35,225.72,225.35,225.48,84734
2025-04-15 11:00:00,225.53,225.72,225.32,225.35,78355
2025-04-15 11:15:00,225.35,225.47,225.11,225.25,96945
2025-04-15 11:30:00,225.25,225.67,225.17,225.35,176058
2025-04-15 11:45:00,225.33,225.46,225.01,225.09,404858
2025-04-15 12:00:00,225.11,225.22,224.67,224.73,305494
2025-04-15 12:15:00,224.73,224.85,224.08,224.35,438095
2025-04-15 12:30:00,224.44,225.46,224.15,225.24,728744
2025-04-15 12:45:00,225.25,225.53,225.19,225.28,211682
2025-04-15 13:00:00,225.29,226.11,225.24,225.89,283032
2025-04-15 13:15:00,225.89,226.34,225.8,225.94,425007
2025-04-15 13:30:00,225.94,226.4,225.83,226.22,165829
2025-04-15 13:45:00,226.35,226.45,226.06,226.15,185393
2025-04-15 14:00:00,226.2,227.46,226.18,227.13,522320
2025-04-15 14:15:00,227.13,227.56,227.03,227.52,346579
2025-04-15 14:30:00,227.54,227.59,226.99,227.07,485404
2025-04-15 14:45:00,227.0,227.45,226.69,227.32,616325
2025-04-15 15:00:00,227.27,227.39,226.79,226.91,1139695
2025-04-15 15:15:00,227.01,227.52,226.5,227.13,1028066
2025-04-16 09:15:00,227.12,231.44,225.6,231.04,1438622
2025-04-16 09:30:00,231.04,231.71,230.46,231.13,980448
2025-04-16 09:45:00,231.13,231.23,229.47,230.19,857961
2025-04-16 10:00:00,230.19,231.38,230.08,231.32,377091
2025-04-16 10:15:00,231.32,231.61,230.08,231.55,374557
