date,open,high,low,close,volume
2025-04-11 09:15:00,152.8,154.0,151.56,151.83,234063
2025-04-11 09:30:00,151.83,152.44,151.75,151.82,117127
2025-04-11 09:45:00,151.93,152.02,151.4,151.54,86889
2025-04-11 10:00:00,151.6,151.6,151.21,151.36,64331
2025-04-11 10:15:00,151.36,151.45,151.0,151.26,70275
2025-04-11 10:30:00,151.26,151.69,151.0,151.29,66205
2025-04-11 10:45:00,151.23,151.74,150.92,151.58,49283
2025-04-11 11:00:00,151.58,152.3,151.58,152.13,102883
2025-04-11 11:15:00,152.13,152.81,152.06,152.59,88311
2025-04-11 11:30:00,152.58,152.8,152.45,152.5,50902
2025-04-11 11:45:00,152.5,152.74,152.09,152.11,63151
2025-04-11 12:00:00,152.11,152.44,152.11,152.44,22101
2025-04-11 12:15:00,152.44,153.79,152.26,153.62,170315
2025-04-11 12:30:00,153.62,153.98,153.55,153.96,118046
2025-04-11 12:45:00,153.96,153.99,153.69,153.71,71227
2025-04-11 13:00:00,153.75,153.84,153.57,153.73,44441
2025-04-11 13:15:00,153.73,153.73,153.1,153.3,56743
2025-04-11 13:30:00,153.3,153.56,153.0,153.49,59885
2025-04-11 13:45:00,153.49,153.5,152.66,152.95,61472
2025-04-11 14:00:00,152.95,153.04,152.55,152.74,56788
2025-04-11 14:15:00,152.74,153.23,152.66,152.88,81723
2025-04-11 14:30:00,152.88,153.75,152.88,153.72,165757
2025-04-11 14:45:00,153.72,154.26,153.7,153.99,152003
2025-04-11 15:00:00,153.98,153.98,153.52,153.67,148843
2025-04-11 15:15:00,153.7,153.85,153.45,153.45,278500
2025-04-15 09:15:00,155.5,158.0,155.5,157.74,400679
2025-04-15 09:30:00,157.75,158.0,156.8,157.1,329079
2025-04-15 09:45:00,157.1,157.3,156.8,157.22,116815
2025-04-15 10:00:00,157.22,157.46,156.8,157.33,117183
2025-04-15 10:15:00,157.3,157.32,156.82,156.88,42971
2025-04-15 10:30:00,156.82,157.24,156.68,157.15,64705
2025-04-15 10:45:00,157.15,157.47,157.13,157.21,94058
2025-04-15 11:00:00,157.21,157.26,156.9,156.95,20270
2025-04-15 11:15:00,156.95,157.0,156.8,157.0,38412
2025-04-15 11:30:00,157.0,157.02,156.72,156.78,32825
2025-04-15 11:45:00,156.78,157.0,156.13,156.56,67525
2025-04-15 12:00:00,156.56,156.72,156.41,156.64,43348
2025-04-15 12:15:00,156.64,157.0,156.61,156.72,24488
2025-04-15 12:30:00,156.72,156.8,156.61,156.66,18733
2025-04-15 12:45:00,156.66,156.84,156.52,156.84,26342
2025-04-15 13:00:00,156.84,157.0,156.7,156.82,29391
2025-04-15 13:15:00,156.82,156.99,156.7,156.77,23044
2025-04-15 13:30:00,156.8,157.0,156.5,156.86,74216
2025-04-15 13:45:00,156.86,157.18,156.86,157.01,37441
2025-04-15 14:00:00,157.01,157.1,156.87,156.95,30998
2025-04-15 14:15:00,156.96,157.1,156.85,156.85,36101
2025-04-15 14:30:00,156.85,156.87,156.6,156.62,43971
2025-04-15 14:45:00,156.62,157.03,156.62,156.99,61888
2025-04-15 15:00:00,156.99,157.13,156.72,156.94,154668
2025-04-15 15:15:00,157.05,157.13,156.81,156.81,184184
2025-04-16 09:15:00,157.5,157.86,156.21,157.15,171313
2025-04-16 09:30:00,157.15,157.43,156.06,157.12,111465
2025-04-16 09:45:00,157.12,157.28,156.61,157.21,70697
2025-04-16 10:00:00,157.2,157.43,156.15,156.21,229801
2025-04-16 10:15:00,156.15,157.0,155.59,156.65,370262
2025-04-16 10:30:00,156.65,157.06,156.3,156.88,204947
2025-04-16 10:45:00,156.87,158.29,156.6,157.22,241595
2025-04-16 11:00:00,157.22,157.88,156.86,157.75,69844
2025-04-16 11:15:00,157.75,158.0,157.52,157.73,48838
2025-04-16 11:30:00,157.73,157.92,157.59,157.79,23043
2025-04-16 11:45:00,157.81,158.0,157.56,157.9,45497
2025-04-16 12:00:00,157.9,158.19,157.88,158.04,53444
2025-04-16 12:15:00,158.0,158.08,157.75,157.86,37200
2025-04-16 12:30:00,157.86,157.97,157.7,157.77,49135
2025-04-16 12:45:00,157.77,157.84,157.51,157.52,39261
2025-04-16 13:00:00,157.52,157.98,157.52,157.85,26996
2025-04-16 13:15:00,157.85,157.88,157.16,157.16,24600
2025-04-16 13:30:00,157.16,157.18,156.57,156.85,34136
2025-04-16 13:45:00,156.85,157.87,156.69,157.71,97619
2025-04-16 14:00:00,157.71,157.9,157.55,157.85,38714
2025-04-16 14:15:00,157.77,157.83,157.53,157.65,30801
2025-04-16 14:30:00,157.65,157.73,157.32,157.36,27476
2025-04-16 14:45:00,157.36,157.69,157.36,157.67,31722
2025-04-16 15:00:00,157.68,157.7,157.41,157.49,74716
2025-04-16 15:15:00,157.53,158.0,157.47,157.56,144988
2025-04-17 09:15:00,157.68,159.25,156.56,157.41,286924
2025-04-17 09:30:00,157.35,158.73,157.14,158.48,114539
2025-04-17 09:45:00,158.39,159.0,158.16,158.23,114312
2025-04-17 10:00:00,158.23,158.52,157.95,158.47,117565
2025-04-17 10:15:00,158.47,161.64,158.47,160.72,997053
2025-04-17 10:30:00,160.85,161.47,160.2,161.25,226842
2025-04-17 10:45:00,161.24,161.5,160.6,160.83,194402
2025-04-17 11:00:00,160.82,160.83,159.75,159.88,199411
2025-04-17 11:15:00,159.88,159.94,159.7,159.76,132478
2025-04-17 11:30:00,159.8,159.87,159.51,159.68,87254
2025-04-17 11:45:00,159.62,159.62,158.81,159.11,223178
2025-04-17 12:00:00,159.17,159.17,158.63,158.98,95459
2025-04-17 12:15:00,158.98,159.55,158.78,159.25,155254
2025-04-17 12:30:00,159.25,159.25,158.13,158.93,66953
