date,open,high,low,close,volume
2025-04-11 09:15:00,642.5,645.0,635.85,638.2,255614
2025-04-11 09:30:00,638.95,644.65,638.6,643.5,133080
2025-04-11 09:45:00,643.5,649.5,643.5,648.2,275431
2025-04-11 10:00:00,648.2,654.55,648.2,653.2,402815
2025-04-11 10:15:00,653.25,654.5,651.25,653.05,111649
2025-04-11 10:30:00,653.3,654.35,648.7,651.8,133420
2025-04-11 10:45:00,652.0,653.35,651.0,652.0,58247
2025-04-11 11:00:00,652.0,654.3,652.0,653.35,60233
2025-04-11 11:15:00,653.4,653.6,652.0,652.2,38482
2025-04-11 11:30:00,652.2,652.45,649.5,649.8,128685
2025-04-11 11:45:00,649.5,650.6,648.7,650.6,48432
2025-04-11 12:00:00,650.6,651.4,650.05,650.8,31444
2025-04-11 12:15:00,650.8,651.0,650.25,651.0,20678
2025-04-11 12:30:00,651.0,651.0,649.55,650.9,23501
2025-04-11 12:45:00,650.9,651.95,650.05,650.05,45017
2025-04-11 13:00:00,649.8,651.35,649.55,649.6,23664
2025-04-11 13:15:00,649.6,649.6,647.55,647.9,42888
2025-04-11 13:30:00,647.85,648.3,647.1,648.0,32835
2025-04-11 13:45:00,648.0,648.45,645.5,646.7,45358
2025-04-11 14:00:00,646.7,647.0,644.45,645.35,55683
2025-04-11 14:15:00,645.7,646.2,644.45,644.95,26607
2025-04-11 14:30:00,645.05,646.8,644.7,646.5,29753
2025-04-11 14:45:00,646.45,647.95,646.0,646.85,39872
2025-04-11 15:00:00,646.8,646.95,645.45,646.3,124382
2025-04-11 15:15:00,646.3,646.35,643.85,646.0,266881
2025-04-15 09:15:00,653.85,653.85,641.25,642.0,260816
2025-04-15 09:30:00,642.25,644.85,642.25,643.8,144120
2025-04-15 09:45:00,643.65,647.3,642.5,646.8,89673
2025-04-15 10:00:00,646.85,648.5,646.85,648.0,92344
2025-04-15 10:15:00,648.0,650.0,645.8,646.8,78204
2025-04-15 10:30:00,646.8,646.95,645.2,646.35,63410
2025-04-15 10:45:00,646.4,646.4,643.95,644.95,88706
2025-04-15 11:00:00,644.9,648.0,644.1,647.3,53382
2025-04-15 11:15:00,647.3,648.15,647.1,648.05,39122
2025-04-15 11:30:00,648.25,649.1,647.05,648.55,76921
2025-04-15 11:45:00,648.45,650.5,648.0,650.3,79096
2025-04-15 12:00:00,650.3,652.0,649.3,650.0,128816
2025-04-15 12:15:00,650.0,651.0,649.7,649.95,59744
2025-04-15 12:30:00,649.95,651.55,649.8,650.6,66986
2025-04-15 12:45:00,650.6,651.2,649.7,650.85,40476
2025-04-15 13:00:00,650.85,654.5,650.6,653.0,98270
2025-04-15 13:15:00,653.15,653.5,652.25,652.85,31855
2025-04-15 13:30:00,652.9,655.9,652.4,655.75,169675
2025-04-15 13:45:00,655.7,658.95,655.5,657.6,183240
2025-04-15 14:00:00,657.35,659.9,657.35,658.65,112658
2025-04-15 14:15:00,658.95,661.9,658.5,661.6,147731
2025-04-15 14:30:00,661.6,661.9,660.85,661.65,76952
2025-04-15 14:45:00,661.65,663.0,661.25,662.45,131986
2025-04-15 15:00:00,662.45,664.55,661.7,664.55,225922
2025-04-15 15:15:00,664.7,665.85,663.3,664.65,250574
2025-04-16 09:15:00,662.55,667.45,661.15,664.85,298270
2025-04-16 09:30:00,664.75,665.3,661.75,662.3,107001
2025-04-16 09:45:00,662.3,662.7,659.5,659.55,141602
2025-04-16 10:00:00,659.55,660.5,658.45,659.85,93330
2025-04-16 10:15:00,659.7,660.0,655.5,657.35,104297
2025-04-16 10:30:00,657.05,659.15,656.0,658.15,49257
2025-04-16 10:45:00,658.15,659.9,658.0,658.3,32186
2025-04-16 11:00:00,658.3,659.85,657.05,659.7,31332
2025-04-16 11:15:00,659.5,660.25,657.65,658.1,29898
2025-04-16 11:30:00,658.1,658.85,655.5,655.6,27781
2025-04-16 11:45:00,655.6,656.5,652.8,653.3,88153
2025-04-16 12:00:00,653.35,654.55,652.6,653.55,76540
2025-04-16 12:15:00,653.55,655.1,653.35,654.25,46281
2025-04-16 12:30:00,654.0,655.3,654.0,654.7,23092
2025-04-16 12:45:00,654.7,654.95,651.45,652.35,59937
2025-04-16 13:00:00,652.5,652.6,650.5,652.0,42902
2025-04-16 13:15:00,652.0,652.2,647.0,647.0,102196
2025-04-16 13:30:00,647.05,649.1,645.3,648.7,104968
