date,open,high,low,close,volume
2025-04-11 09:15:00,463.0,465.2,455.9,459.4,293800
2025-04-11 09:30:00,459.0,461.2,457.6,459.8,123756
2025-04-11 09:45:00,459.8,460.7,458.35,459.7,89001
2025-04-11 10:00:00,459.7,460.65,459.1,460.45,63273
2025-04-11 10:15:00,460.45,460.45,458.45,459.1,43896
2025-04-11 10:30:00,459.3,460.65,458.65,460.0,32995
2025-04-11 10:45:00,460.0,460.6,459.5,460.3,18247
2025-04-11 11:00:00,460.45,460.9,460.1,460.45,21005
2025-04-11 11:15:00,460.65,461.45,460.4,461.2,28884
2025-04-11 11:30:00,461.2,462.8,461.2,462.05,51635
2025-04-11 11:45:00,462.05,463.75,461.65,463.0,57368
2025-04-11 12:00:00,463.0,463.5,462.3,463.0,32762
2025-04-11 12:15:00,463.2,463.5,462.2,462.4,26775
2025-04-11 12:30:00,462.3,463.05,462.2,462.5,24628
2025-04-11 12:45:00,462.5,462.85,462.2,462.2,32044
2025-04-11 13:00:00,462.2,462.3,461.75,462.3,35606
2025-04-11 13:15:00,462.3,462.95,461.8,462.6,28953
2025-04-11 13:30:00,462.6,462.6,459.7,460.55,93400
2025-04-11 13:45:00,460.7,461.3,460.3,461.1,57980
2025-04-11 14:00:00,461.25,461.65,460.5,461.05,138547
2025-04-11 14:15:00,461.15,462.5,461.0,462.25,95236
2025-04-11 14:30:00,462.2,462.8,462.05,462.5,55681
2025-04-11 14:45:00,462.5,462.75,462.15,462.5,78075
2025-04-11 15:00:00,462.45,462.45,461.05,461.25,335338
2025-04-11 15:15:00,461.3,461.35,460.85,461.15,291878
2025-04-15 09:15:00,467.65,468.25,462.6,464.2,155500
2025-04-15 09:30:00,463.9,465.0,463.1,464.25,53136
2025-04-15 09:45:00,464.1,464.4,463.6,464.25,26232
2025-04-15 10:00:00,464.25,464.4,463.35,464.05,62089
2025-04-15 10:15:00,464.0,465.3,463.8,465.1,68227
2025-04-15 10:30:00,465.1,465.15,464.1,465.05,32339
2025-04-15 10:45:00,465.05,466.2,464.95,465.2,43179
2025-04-15 11:00:00,465.25,465.95,464.15,464.9,33767
2025-04-15 11:15:00,464.8,466.7,464.5,466.65,55258
2025-04-15 11:30:00,466.55,467.45,466.4,467.2,44745
2025-04-15 11:45:00,467.1,467.3,466.5,467.05,38687
2025-04-15 12:00:00,467.0,467.4,466.6,467.4,40654
2025-04-15 12:15:00,467.4,467.4,466.8,467.25,27443
2025-04-15 12:30:00,467.2,467.75,466.9,467.35,26265
2025-04-15 12:45:00,467.35,467.5,466.05,467.1,37726
2025-04-15 13:00:00,467.1,467.45,466.5,467.1,62548
2025-04-15 13:15:00,466.9,467.0,465.5,465.95,131727
2025-04-15 13:30:00,465.95,467.5,465.3,467.4,103455
2025-04-15 13:45:00,467.45,469.8,467.25,469.2,237545
2025-04-15 14:00:00,469.2,471.55,469.05,470.7,419464
2025-04-15 14:15:00,470.7,472.0,470.6,471.9,87571
2025-04-15 14:30:00,471.9,472.0,471.5,471.55,79611
2025-04-15 14:45:00,471.9,472.5,471.6,472.1,62383
2025-04-15 15:00:00,472.1,474.0,472.1,473.9,207808
2025-04-15 15:15:00,473.85,474.45,473.05,473.85,222911
2025-04-16 09:15:00,474.8,477.65,473.8,476.15,124020
2025-04-16 09:30:00,476.2,476.7,474.55,475.9,54542
2025-04-16 09:45:00,476.0,477.5,475.1,477.1,59401
2025-04-16 10:00:00,477.15,478.0,476.55,477.0,52508
2025-04-16 10:15:00,477.0,477.2,476.2,476.95,111913
2025-04-16 10:30:00,476.95,478.4,476.4,478.05,52001
2025-04-16 10:45:00,478.05,478.75,477.2,477.7,69955
2025-04-16 11:00:00,477.7,478.5,477.5,478.5,20526
2025-04-16 11:15:00,478.5,478.85,478.0,478.5,26722
2025-04-16 11:30:00,478.5,478.5,477.7,478.2,30265
2025-04-16 11:45:00,478.2,478.45,477.85,478.25,16684
2025-04-16 12:00:00,478.25,480.4,478.25,480.3,79823
2025-04-16 12:15:00,480.3,480.5,479.9,480.05,28235
2025-04-16 12:30:00,480.05,481.2,480.05,480.75,55853
2025-04-16 12:45:00,480.75,481.25,480.1,480.45,41547
2025-04-16 13:00:00,480.45,481.25,480.2,481.25,31351
2025-04-16 13:15:00,481.25,481.4,479.45,479.85,66460
2025-04-16 13:30:00,479.85,479.95,479.15,479.95,38639
2025-04-16 13:45:00,479.95,481.55,479.6,480.95,42765
2025-04-16 14:00:00,480.95,481.2,480.7,481.0,18440
2025-04-16 14:15:00,481.0,481.2,480.5,480.75,48096
2025-04-16 14:30:00,480.75,481.2,480.4,480.7,35911
2025-04-16 14:45:00,480.7,480.8,480.15,480.7,20297
2025-04-16 15:00:00,480.7,481.7,480.7,481.55,88415
2025-04-16 15:15:00,481.5,481.7,480.7,481.0,160197
2025-04-17 09:15:00,480.45,480.55,477.3,477.5,86197
2025-04-17 09:30:00,477.5,479.1,476.2,478.8,50159
2025-04-17 09:45:00,478.8,480.4,478.8,479.55,23579
2025-04-17 10:00:00,479.75,479.75,478.15,478.95,8985
2025-04-17 10:15:00,478.95,479.8,478.5,479.6,16486
2025-04-17 10:30:00,479.6,479.65,479.05,479.65,7841
2025-04-17 10:45:00,479.65,479.65,479.0,479.05,9137
2025-04-17 11:00:00,479.25,479.6,477.65,478.3,13447
2025-04-17 11:15:00,478.3,479.0,478.1,478.75,12857
2025-04-17 11:30:00,478.75,479.3,478.4,478.9,15337
2025-04-17 11:45:00,479.2,479.2,478.0,478.95,20887
2025-04-17 12:00:00,478.95,479.15,478.05,479.05,15457
2025-04-17 12:15:00,479.05,479.4,478.8,479.0,20633
