date,open,high,low,close,volume
2025-04-11 09:15:00,249.45,249.45,242.05,244.7,874940
2025-04-11 09:30:00,244.7,245.85,243.65,244.5,353846
2025-04-11 09:45:00,244.55,246.5,244.5,245.5,296359
2025-04-11 10:00:00,245.4,245.9,244.55,244.65,226016
2025-04-11 10:15:00,244.65,244.8,243.5,243.85,182984
2025-04-11 10:30:00,243.85,244.4,242.8,243.0,183962
2025-04-11 10:45:00,243.0,243.0,242.55,242.7,273527
2025-04-11 11:00:00,242.65,243.8,242.45,243.8,192670
2025-04-11 11:15:00,243.7,244.3,243.4,243.4,174450
2025-04-11 11:30:00,243.4,245.2,243.25,245.0,155280
2025-04-11 11:45:00,245.0,245.65,244.55,244.85,198345
2025-04-11 12:00:00,244.85,245.0,243.75,244.65,105577
2025-04-11 12:15:00,244.75,245.45,244.5,245.3,122136
2025-04-11 12:30:00,245.3,245.55,245.25,245.35,153412
2025-04-11 12:45:00,245.35,245.8,244.4,244.7,100006
2025-04-11 13:00:00,244.7,245.35,244.7,245.0,55908
2025-04-11 13:15:00,245.0,245.05,244.25,244.7,88442
2025-04-11 13:30:00,244.7,245.0,244.7,244.8,103097
2025-04-11 13:45:00,244.8,245.05,244.65,244.95,99226
2025-04-11 14:00:00,244.95,244.95,243.25,243.65,226904
2025-04-11 14:15:00,243.65,244.45,243.55,244.15,45642
2025-04-11 14:30:00,244.1,244.45,244.05,244.45,64196
2025-04-11 14:45:00,244.45,246.2,244.35,245.9,249662
2025-04-11 15:00:00,245.85,247.1,245.85,246.95,461732
2025-04-11 15:15:00,246.95,247.6,246.0,246.9,349974
2025-04-15 09:15:00,249.9,250.45,247.35,249.15,642696
2025-04-15 09:30:00,249.15,251.0,248.65,250.9,351838
2025-04-15 09:45:00,250.9,253.25,250.3,253.15,731422
2025-04-15 10:00:00,253.2,253.5,252.7,253.1,328971
2025-04-15 10:15:00,253.1,253.35,252.4,253.1,322042
2025-04-15 10:30:00,253.15,254.2,253.1,253.75,247138
2025-04-15 10:45:00,253.75,254.3,253.2,253.85,91681
2025-04-15 11:00:00,253.85,254.6,253.6,253.85,94789
2025-04-15 11:15:00,253.85,254.35,253.8,254.0,70756
2025-04-15 11:30:00,254.0,254.25,253.6,254.0,130008
2025-04-15 11:45:00,254.0,254.55,253.85,254.4,112764
2025-04-15 12:00:00,254.4,255.4,254.2,255.0,212509
2025-04-15 12:15:00,255.05,255.35,254.2,255.05,125039
2025-04-15 12:30:00,255.0,255.65,255.0,255.25,122710
2025-04-15 12:45:00,255.25,255.5,254.95,255.15,136512
2025-04-15 13:00:00,255.15,255.95,254.95,255.75,130895
2025-04-15 13:15:00,255.75,256.0,255.35,255.65,102621
2025-04-15 13:30:00,255.65,255.75,255.0,255.75,98207
2025-04-15 13:45:00,255.75,256.5,255.6,256.05,332219
2025-04-15 14:00:00,256.05,256.6,255.95,256.6,110320
2025-04-15 14:15:00,256.35,256.85,256.15,256.75,115412
2025-04-15 14:30:00,256.65,257.35,256.5,257.25,201183
2025-04-15 14:45:00,257.25,258.55,257.2,257.95,335015
2025-04-15 15:00:00,258.0,259.4,257.65,258.75,439306
2025-04-15 15:15:00,258.7,259.05,258.0,258.05,388971
2025-04-16 09:15:00,258.6,261.7,257.2,260.35,396110
2025-04-16 09:30:00,260.35,260.8,259.25,260.15,192055
2025-04-16 09:45:00,260.25,260.5,259.05,259.5,82584
2025-04-16 10:00:00,259.4,262.9,259.4,261.95,988096
2025-04-16 10:15:00,261.95,261.95,259.75,261.85,146099
2025-04-16 10:30:00,261.65,262.1,260.9,261.55,68915
2025-04-16 10:45:00,261.55,262.2,260.7,260.9,105168
2025-04-16 11:00:00,260.9,263.45,260.1,262.45,155961
2025-04-16 11:15:00,262.45,262.55,261.8,261.8,84767
2025-04-16 11:30:00,261.8,262.0,260.75,261.65,61845
