date,open,high,low,close,volume
2025-04-11 09:15:00,373.7,373.7,366.05,367.3,178341
2025-04-11 09:30:00,367.2,369.45,367.15,367.8,73667
2025-04-11 09:45:00,367.8,368.5,365.65,365.9,58989
2025-04-11 10:00:00,366.25,367.15,365.7,366.5,51126
2025-04-11 10:15:00,366.5,366.5,365.0,365.7,40458
2025-04-11 10:30:00,365.85,366.8,365.15,365.9,28517
2025-04-11 10:45:00,365.7,367.0,365.45,366.8,18719
2025-04-11 11:00:00,366.8,368.35,366.7,367.1,41345
2025-04-11 11:15:00,367.35,367.65,367.0,367.3,20445
2025-04-11 11:30:00,367.45,368.6,367.1,368.0,33139
2025-04-11 11:45:00,367.8,368.3,367.05,367.4,30330
2025-04-11 12:00:00,367.4,367.7,367.15,367.7,22997
2025-04-11 12:15:00,367.55,367.9,367.2,367.55,22135
2025-04-11 12:30:00,367.4,367.55,366.5,366.9,23219
2025-04-11 12:45:00,366.9,367.4,366.3,366.35,39404
2025-04-11 13:00:00,366.35,368.0,366.35,367.9,29348
2025-04-11 13:15:00,367.9,368.05,366.2,366.25,36445
2025-04-11 13:30:00,366.25,368.15,365.7,368.15,113974
2025-04-11 13:45:00,368.15,368.5,367.3,368.2,112473
2025-04-11 14:00:00,368.15,368.25,366.7,367.05,82438
2025-04-11 14:15:00,367.05,368.1,367.05,367.7,45497
2025-04-11 14:30:00,367.5,368.35,367.5,368.0,43187
2025-04-11 14:45:00,368.0,369.3,368.0,369.0,60577
2025-04-11 15:00:00,368.85,370.5,368.15,369.8,162171
2025-04-11 15:15:00,369.7,369.9,368.0,368.2,99006
2025-04-15 09:15:00,374.6,374.6,370.6,372.4,213993
2025-04-15 09:30:00,372.4,373.9,372.4,373.65,79754
2025-04-15 09:45:00,373.65,374.45,372.6,374.3,61197
2025-04-15 10:00:00,374.3,378.4,374.3,377.45,391273
2025-04-15 10:15:00,377.5,378.25,377.0,377.2,143448
2025-04-15 10:30:00,377.2,377.4,376.55,376.8,64084
2025-04-15 10:45:00,376.8,376.85,375.7,375.95,55577
2025-04-15 11:00:00,375.95,376.0,375.1,375.35,44064
2025-04-15 11:15:00,375.35,375.8,375.1,375.5,39356
2025-04-15 11:30:00,375.5,375.6,375.3,375.5,35875
2025-04-15 11:45:00,375.5,376.85,375.0,376.35,58292
2025-04-15 12:00:00,376.35,377.25,376.2,376.8,47206
2025-04-15 12:15:00,376.9,377.0,376.25,376.7,23526
2025-04-15 12:30:00,376.7,378.0,376.55,377.9,53438
2025-04-15 12:45:00,377.9,378.0,377.0,377.45,38159
2025-04-15 13:00:00,377.45,377.65,377.05,377.05,33317
2025-04-15 13:15:00,377.3,377.5,377.05,377.3,18684
2025-04-15 13:30:00,377.3,377.5,376.5,376.8,66310
2025-04-15 13:45:00,376.75,378.0,376.65,377.7,48564
2025-04-15 14:00:00,377.75,377.75,376.9,377.2,27827
2025-04-15 14:15:00,377.25,377.7,376.95,377.2,35139
2025-04-15 14:30:00,377.3,378.05,376.8,378.0,69252
2025-04-15 14:45:00,377.8,378.6,377.8,378.6,66289
2025-04-15 15:00:00,378.6,379.9,378.55,379.55,207729
2025-04-15 15:15:00,379.65,381.3,379.65,380.3,206672
2025-04-16 09:15:00,382.8,383.5,379.35,379.65,495713
2025-04-16 09:30:00,379.65,381.0,377.5,381.0,216400
2025-04-16 09:45:00,381.05,381.4,379.65,379.95,85683
2025-04-16 10:00:00,380.0,382.85,379.85,381.75,259702
2025-04-16 10:15:00,381.75,381.85,380.1,381.6,104494
