date,open,high,low,close,volume
2025-04-11 09:15:00,86.1,86.25,85.3,85.61,1513392
2025-04-11 09:30:00,85.7,87.14,85.6,87.04,4816908
2025-04-11 09:45:00,87.04,87.04,86.2,86.25,2152951
2025-04-11 10:00:00,86.27,86.98,86.21,86.51,1391319
2025-04-11 10:15:00,86.55,86.55,85.88,85.97,732157
2025-04-11 10:30:00,85.94,86.02,85.2,85.4,724599
2025-04-11 10:45:00,85.4,85.8,85.32,85.61,523737
2025-04-11 11:00:00,85.67,86.33,85.07,86.01,3467728
2025-04-11 11:15:00,86.05,86.25,85.96,86.14,531526
2025-04-11 11:30:00,86.14,86.27,86.02,86.11,384598
2025-04-11 11:45:00,86.11,86.3,85.82,85.88,426489
2025-04-11 12:00:00,85.88,86.07,85.8,85.95,400803
2025-04-11 12:15:00,85.94,86.06,85.75,85.9,357587
2025-04-11 12:30:00,85.9,85.97,85.7,85.84,484175
2025-04-11 12:45:00,85.84,85.88,85.7,85.7,438901
2025-04-11 13:00:00,85.7,85.97,85.7,85.95,476634
2025-04-11 13:15:00,85.89,85.94,85.59,85.72,436673
2025-04-11 13:30:00,85.72,85.84,85.52,85.72,404255
2025-04-11 13:45:00,85.67,86.4,85.66,85.95,1393377
2025-04-11 14:00:00,85.95,86.12,85.61,85.77,1308816
2025-04-11 14:15:00,85.75,86.03,85.6,85.91,4592643
2025-04-11 14:30:00,85.9,86.08,85.61,85.87,523566
2025-04-11 14:45:00,85.87,86.15,85.81,86.0,645273
2025-04-11 15:00:00,85.98,86.09,85.7,85.92,1478144
2025-04-11 15:15:00,85.91,85.91,85.33,85.4,1917008
2025-04-15 09:15:00,87.0,87.0,85.9,86.58,1485345
2025-04-15 09:30:00,86.54,86.78,86.42,86.59,564418
2025-04-15 09:45:00,86.59,86.85,86.54,86.7,322079
2025-04-15 10:00:00,86.7,86.9,86.62,86.77,316735
2025-04-15 10:15:00,86.81,86.89,86.32,86.45,10281052
2025-04-15 10:30:00,86.45,86.47,86.12,86.26,420178
2025-04-15 10:45:00,86.26,86.47,86.21,86.47,603519
2025-04-15 11:00:00,86.47,86.69,86.39,86.5,966457
2025-04-15 11:15:00,86.5,86.62,86.43,86.62,218334
2025-04-15 11:30:00,86.62,86.78,86.44,86.75,860063
2025-04-15 11:45:00,86.75,87.07,86.64,86.72,762550
2025-04-15 12:00:00,86.68,86.68,86.39,86.5,430295
2025-04-15 12:15:00,86.54,86.56,86.34,86.38,428946
2025-04-15 12:30:00,86.34,86.43,86.3,86.3,315938
2025-04-15 12:45:00,86.3,86.41,85.94,86.11,662820
2025-04-15 13:00:00,86.12,86.21,85.95,85.96,298916
2025-04-15 13:15:00,85.96,86.02,85.8,85.84,861585
2025-04-15 13:30:00,85.81,86.05,85.71,86.04,435074
2025-04-15 13:45:00,86.04,86.25,85.9,86.05,388385
2025-04-15 14:00:00,86.05,86.46,86.03,86.13,660785
2025-04-15 14:15:00,86.13,86.22,86.1,86.15,390511
2025-04-15 14:30:00,86.15,86.15,85.9,85.97,747053
2025-04-15 14:45:00,85.96,86.11,85.89,85.95,3195900
2025-04-15 15:00:00,85.95,86.1,85.93,86.1,837672
2025-04-15 15:15:00,86.1,86.1,85.88,86.01,1534894
2025-04-16 09:15:00,86.0,86.55,85.8,86.29,581518
2025-04-16 09:30:00,86.29,86.29,85.49,85.79,1222538
2025-04-16 09:45:00,85.79,85.91,85.5,85.59,897815
2025-04-16 10:00:00,85.56,85.89,85.56,85.85,166141
2025-04-16 10:15:00,85.87,85.87,85.25,85.55,340871
2025-04-16 10:30:00,85.51,85.69,85.48,85.66,81830
2025-04-16 10:45:00,85.61,85.67,85.43,85.48,103839
2025-04-16 11:00:00,85.48,85.59,85.28,85.45,133755
2025-04-16 11:15:00,85.45,85.59,85.41,85.44,227298
2025-04-16 11:30:00,85.42,85.42,84.8,84.99,896589
2025-04-16 11:45:00,84.99,85.1,84.9,84.97,219617
2025-04-16 12:00:00,84.9,85.2,84.9,85.18,176719
2025-04-16 12:15:00,85.18,85.46,85.1,85.45,220664
2025-04-16 12:30:00,85.45,85.68,85.43,85.65,138608
2025-04-16 12:45:00,85.67,85.67,85.44,85.5,85350
2025-04-16 13:00:00,85.5,85.55,85.33,85.5,100908
2025-04-16 13:15:00,85.5,85.5,85.15,85.15,104702
2025-04-16 13:30:00,85.18,85.28,85.04,85.25,179964
2025-04-16 13:45:00,85.25,85.71,85.12,85.66,150658
2025-04-16 14:00:00,85.66,85.81,85.52,85.63,137130
2025-04-16 14:15:00,85.63,85.63,85.43,85.49,120272
2025-04-16 14:30:00,85.49,85.57,85.35,85.49,85486
2025-04-16 14:45:00,85.47,85.57,85.46,85.56,154729
2025-04-16 15:00:00,85.56,85.7,85.56,85.61,349976
2025-04-16 15:15:00,85.6,85.75,85.56,85.6,545870
2025-04-17 09:15:00,85.5,86.33,85.49,85.8,834093
2025-04-17 09:30:00,85.81,86.45,85.81,86.4,467093
2025-04-17 09:45:00,86.39,86.83,86.28,86.6,623754
2025-04-17 10:00:00,86.6,86.63,86.12,86.19,261784
2025-04-17 10:15:00,86.19,86.7,86.15,86.64,224916
2025-04-17 10:30:00,86.64,87.3,86.48,87.29,748111
2025-04-17 10:45:00,87.24,87.5,86.7,86.8,566108
2025-04-17 11:00:00,86.8,87.1,86.79,86.86,301562
2025-04-17 11:15:00,86.86,87.12,86.82,86.95,242904
2025-04-17 11:30:00,86.95,87.0,86.81,86.93,205284
2025-04-17 11:45:00,86.98,86.98,86.73,86.81,163042
2025-04-17 12:00:00,86.81,86.93,86.72,86.82,188236
2025-04-17 12:15:00,86.82,87.05,86.82,86.99,200309
2025-04-17 12:30:00,86.99,87.05,86.81,86.9,134065
2025-04-17 12:45:00,86.85,86.99,86.77,86.78,161075
2025-04-17 13:00:00,86.76,86.91,86.76,86.84,93830
2025-04-17 13:15:00,86.84,86.88,86.8,86.8,103839
2025-04-17 13:30:00,86.8,86.88,86.64,86.88,142955
2025-04-17 13:45:00,86.88,87.22,86.77,87.15,625146
2025-04-17 14:00:00,87.15,87.28,86.75,86.75,241002
2025-04-17 14:15:00,86.75,86.88,86.69,86.81,173438
2025-04-17 14:30:00,86.81,86.9,86.69,86.78,289456
2025-04-17 14:45:00,86.78,86.79,86.57,86.64,525156
2025-04-17 15:00:00,86.6,86.65,86.45,86.62,452834
2025-04-17 15:15:00,86.62,86.62,86.3,86.5,542709
2025-04-21 09:15:00,87.2,87.4,86.03,86.35,968449
2025-04-21 09:30:00,86.4,86.75,86.26,86.46,483307
2025-04-21 09:45:00,86.44,86.91,86.41,86.86,470127
2025-04-21 10:00:00,86.88,86.88,86.32,86.39,411843
2025-04-21 10:15:00,86.37,86.63,86.3,86.58,329941
2025-04-21 10:30:00,86.58,86.73,86.4,86.63,325704
2025-04-21 10:45:00,86.58,86.81,86.48,86.77,356968
2025-04-21 11:00:00,86.77,86.81,86.53,86.69,221521
2025-04-21 11:15:00,86.69,86.71,86.55,86.63,208826
2025-04-21 11:30:00,86.63,86.63,86.35,86.36,297048
2025-04-21 11:45:00,86.36,86.39,86.13,86.2,282306
2025-04-21 12:00:00,86.2,86.2,86.05,86.12,221507
2025-04-21 12:15:00,86.16,86.44,86.12,86.38,241546
2025-04-21 12:30:00,86.38,86.46,86.35,86.39,222040
2025-04-21 12:45:00,86.39,86.92,86.37,86.53,486666
2025-04-21 13:00:00,86.53,86.88,86.48,86.88,454754
2025-04-21 13:15:00,86.88,86.88,86.68,86.74,351385
2025-04-21 13:30:00,86.78,86.84,86.67,86.69,325452
2025-04-21 13:45:00,86.69,86.7,86.53,86.55,254388
2025-04-21 14:00:00,86.56,86.72,86.52,86.55,207235
2025-04-21 14:15:00,86.55,87.23,86.54,86.83,611505
2025-04-21 14:30:00,86.83,87.09,86.71,86.77,270207
2025-04-21 14:45:00,86.77,86.87,86.69,86.77,302405
2025-04-21 15:00:00,86.77,86.9,86.6,86.7,536605
2025-04-21 15:15:00,86.75,86.89,86.69,86.8,643835
2025-04-22 09:15:00,86.98,87.64,86.2,87.61,1086836
2025-04-22 09:30:00,87.61,87.95,86.8,87.05,3160478
2025-04-22 09:45:00,87.05,87.44,86.95,87.4,514117
2025-04-22 10:00:00,87.39,87.39,87.07,87.16,295096
2025-04-22 10:15:00,87.11,87.42,87.1,87.22,260898
2025-04-22 10:30:00,87.21,87.82,87.15,87.5,741221
2025-04-22 10:45:00,87.5,87.86,87.47,87.75,1308538
2025-04-22 11:00:00,87.73,87.77,87.42,87.53,233429
2025-04-22 11:15:00,87.53,87.7,87.4,87.4,258936
2025-04-22 11:30:00,87.4,87.55,87.18,87.32,259402
2025-04-22 11:45:00,87.35,87.5,87.22,87.28,157022
2025-04-22 12:00:00,87.28,87.31,87.15,87.26,126864
2025-04-22 12:15:00,87.26,87.29,86.91,87.07,215277
2025-04-22 12:30:00,87.07,87.39,87.04,87.2,351588
2025-04-22 12:45:00,87.2,87.55,87.16,87.48,251441
2025-04-22 13:00:00,87.48,87.63,87.35,87.5,159430
2025-04-22 13:15:00,87.5,87.55,87.35,87.4,152956
2025-04-22 13:30:00,87.4,87.57,87.39,87.39,118541
2025-04-22 13:45:00,87.39,87.42,87.2,87.23,131214
2025-04-22 14:00:00,87.23,87.3,87.15,87.2,197158
2025-04-22 14:15:00,87.2,87.27,87.05,87.16,401199
2025-04-22 14:30:00,87.16,87.16,87.04,87.08,139732
2025-04-22 14:45:00,87.06,87.07,86.63,86.79,339975
2025-04-22 15:00:00,86.77,86.83,86.53,86.7,494997
2025-04-22 15:15:00,86.69,86.76,86.5,86.65,707088
2025-04-23 09:15:00,87.0,87.28,86.77,86.85,459822
2025-04-23 09:30:00,86.9,86.9,86.43,86.82,286254
2025-04-23 09:45:00,86.87,87.0,86.5,86.51,269880
2025-04-23 10:00:00,86.53,86.68,86.05,86.05,327518
2025-04-23 10:15:00,86.06,86.55,85.94,86.54,272153
2025-04-23 10:30:00,86.54,86.55,86.02,86.09,156474
2025-04-23 10:45:00,86.1,86.11,85.81,86.09,237021
2025-04-23 11:00:00,86.03,86.64,86.03,86.23,534776
2025-04-23 11:15:00,86.22,86.48,85.83,85.85,260857
2025-04-23 11:30:00,85.9,85.9,85.71,85.9,272962
2025-04-23 11:45:00,85.9,86.26,85.87,86.18,138733
2025-04-23 12:00:00,86.18,86.45,86.02,86.33,88406
2025-04-23 12:15:00,86.33,86.44,86.2,86.2,144388
2025-04-23 12:30:00,86.23,86.28,86.13,86.21,41681
2025-04-23 12:45:00,86.21,86.42,86.19,86.41,94703
2025-04-23 13:00:00,86.41,86.41,86.25,86.31,68938
2025-04-23 13:15:00,86.31,86.36,86.2,86.3,58034
2025-04-23 13:30:00,86.3,86.5,86.11,86.29,142456
2025-04-23 13:45:00,86.29,86.76,86.28,86.5,351384
2025-04-23 14:00:00,86.5,86.51,86.2,86.35,84654
2025-04-23 14:15:00,86.35,86.44,86.25,86.38,116814
2025-04-23 14:30:00,86.38,86.39,86.28,86.31,73343
2025-04-23 14:45:00,86.31,87.04,86.31,86.93,638197
2025-04-23 15:00:00,86.96,87.8,86.91,87.79,1457123
2025-04-23 15:15:00,87.8,87.9,87.5,87.51,1268394
2025-04-24 09:15:00,87.75,88.67,87.3,88.45,1996407
2025-04-24 09:30:00,88.39,88.58,88.04,88.12,691735
2025-04-24 09:45:00,88.1,88.39,87.91,88.14,640779
2025-04-24 10:00:00,88.14,88.19,87.96,88.1,432099
2025-04-24 10:15:00,88.1,88.59,88.05,88.44,770063
2025-04-24 10:30:00,88.44,88.44,87.95,88.38,357834
2025-04-24 10:45:00,88.38,88.7,88.38,88.49,514397
2025-04-24 11:00:00,88.49,88.64,88.42,88.52,290757
2025-04-24 11:15:00,88.52,88.56,88.39,88.47,349207
2025-04-24 11:30:00,88.47,88.88,88.39,88.8,622715
2025-04-24 11:45:00,88.78,89.1,88.5,88.67,1250262
2025-04-24 12:00:00,88.67,88.78,88.6,88.69,260475
2025-04-24 12:15:00,88.69,88.7,88.57,88.6,136873
2025-04-24 12:30:00,88.6,88.77,88.6,88.74,137950
2025-04-24 12:45:00,88.74,88.78,88.67,88.73,161053
2025-04-24 13:00:00,88.73,88.88,88.72,88.84,297379
2025-04-24 13:15:00,88.84,88.98,88.8,88.87,205494
2025-04-24 13:30:00,88.86,89.1,88.84,89.07,395813
2025-04-24 13:45:00,89.06,89.1,88.89,88.95,474422
2025-04-24 14:00:00,88.95,89.05,88.84,88.93,581452
2025-04-24 14:15:00,88.95,89.05,88.73,88.9,1420659
2025-04-24 14:30:00,88.92,89.3,88.9,89.29,663055
2025-04-24 14:45:00,89.29,89.5,89.13,89.36,1334029
2025-04-24 15:00:00,89.37,89.37,88.92,89.08,1258415
2025-04-24 15:15:00,89.06,89.2,88.7,88.75,1579905
2025-04-25 09:15:00,89.72,90.19,88.49,88.52,2041375
2025-04-25 09:30:00,88.55,88.56,87.22,87.4,1023921
2025-04-25 09:45:00,87.31,87.58,86.21,86.28,1542867
2025-04-25 10:00:00,86.3,86.3,85.82,86.17,1324686
2025-04-25 10:15:00,86.13,86.19,85.35,85.43,728826
2025-04-25 10:30:00,85.45,85.73,85.05,85.28,1588522
2025-04-25 10:45:00,85.25,85.3,84.4,84.68,1050030
2025-04-25 11:00:00,84.68,84.68,84.11,84.46,547902
2025-04-25 11:15:00,84.46,84.48,83.86,84.37,600685
2025-04-25 11:30:00,84.36,84.68,84.02,84.44,296537
2025-04-25 11:45:00,84.45,84.76,84.12,84.6,581317
2025-04-25 12:00:00,84.6,85.39,84.5,85.34,567679
2025-04-25 12:15:00,85.32,85.5,85.11,85.18,548379
2025-04-25 12:30:00,85.24,85.5,85.01,85.29,310313
2025-04-25 12:45:00,85.31,85.78,85.25,85.78,358824
2025-04-25 13:00:00,85.78,85.98,85.69,85.94,241657
2025-04-25 13:15:00,85.95,86.18,85.84,85.92,659071
2025-04-25 13:30:00,85.94,86.67,85.94,86.6,405059
2025-04-25 13:45:00,86.6,86.91,86.55,86.8,261146
2025-04-25 14:00:00,86.85,86.91,86.18,86.32,295557
2025-04-25 14:15:00,86.3,86.7,86.28,86.34,368265
2025-04-25 14:30:00,86.4,86.4,85.9,86.12,446415
2025-04-25 14:45:00,86.05,86.13,85.5,85.67,618751
2025-04-25 15:00:00,85.66,85.9,85.42,85.49,677655
2025-04-25 15:15:00,85.51,85.51,85.24,85.42,1115447
2025-04-28 09:15:00,85.0,87.25,84.86,86.81,1386805
2025-04-28 09:30:00,86.98,87.55,86.8,87.45,613010
2025-04-28 09:45:00,87.47,88.16,87.27,88.16,1132511
2025-04-28 10:00:00,88.11,88.42,87.89,88.35,1295737
2025-04-28 10:15:00,88.35,88.5,88.21,88.28,1414959
2025-04-28 10:30:00,88.29,88.6,88.16,88.53,1235502
2025-04-28 10:45:00,88.52,88.91,88.48,88.89,983707
2025-04-28 11:00:00,88.91,88.97,87.84,87.9,1782642
2025-04-28 11:15:00,87.9,88.3,87.73,88.24,377477
2025-04-28 11:30:00,88.24,88.24,87.7,87.79,622079
2025-04-28 11:45:00,87.78,88.07,87.76,87.97,148002
2025-04-28 12:00:00,87.92,88.19,87.88,88.18,157929
2025-04-28 12:15:00,88.08,88.24,88.01,88.21,169301
2025-04-28 12:30:00,88.24,88.43,88.19,88.41,207959
2025-04-28 12:45:00,88.4,88.47,88.21,88.27,157036
2025-04-28 13:00:00,88.3,88.3,88.0,88.11,277743
2025-04-28 13:15:00,88.11,88.2,88.0,88.19,131265
2025-04-28 13:30:00,88.19,88.31,88.04,88.17,279989
2025-04-28 13:45:00,88.17,88.29,87.97,88.17,173442
2025-04-28 14:00:00,88.17,88.2,87.99,88.05,141015
2025-04-28 14:15:00,88.05,88.24,87.79,87.82,282382
2025-04-28 14:30:00,87.82,87.94,87.71,87.94,423011
2025-04-28 14:45:00,87.94,88.18,87.88,88.09,357070
2025-04-28 15:00:00,88.12,88.3,88.1,88.21,583252
2025-04-28 15:15:00,88.23,88.3,87.81,88.1,1374493
2025-04-29 09:15:00,88.17,88.9,88.06,88.54,10570858
2025-04-29 09:30:00,88.55,88.75,88.15,88.31,2594037
2025-04-29 09:45:00,88.26,89.35,88.26,89.3,2290646
2025-04-29 10:00:00,89.32,89.78,89.26,89.71,4009464
2025-04-29 10:15:00,89.75,90.0,89.7,89.79,3413997
2025-04-29 10:30:00,89.78,89.85,89.48,89.62,1910697
2025-04-29 10:45:00,89.61,90.0,89.55,89.99,633039
2025-04-29 11:00:00,89.99,90.08,89.27,89.34,1043399
2025-04-29 11:15:00,89.3,89.4,89.05,89.25,594119
2025-04-29 11:30:00,89.25,89.4,89.05,89.27,454171
2025-04-29 11:45:00,89.27,89.32,89.03,89.09,522325
2025-04-29 12:00:00,89.04,89.3,88.97,88.97,1033670
2025-04-29 12:15:00,88.97,89.2,88.93,88.93,816207
