date,open,high,low,close,volume
2025-04-11 09:15:00,60.42,60.42,59.33,59.63,5108230
2025-04-11 09:30:00,59.61,60.09,59.61,59.93,1871134
2025-04-11 09:45:00,59.93,59.99,59.55,59.63,1353862
2025-04-11 10:00:00,59.63,59.75,59.45,59.73,1143666
2025-04-11 10:15:00,59.79,59.82,59.4,59.54,676068
2025-04-11 10:30:00,59.54,59.8,59.43,59.53,768161
2025-04-11 10:45:00,59.52,59.65,59.41,59.62,602034
2025-04-11 11:00:00,59.63,59.78,59.62,59.69,439602
2025-04-11 11:15:00,59.69,59.82,59.51,59.75,927134
2025-04-11 11:30:00,59.75,60.1,59.71,59.98,2735539
2025-04-11 11:45:00,59.98,60.16,59.97,60.02,996386
2025-04-11 12:00:00,60.01,60.05,59.9,60.01,422463
2025-04-11 12:15:00,60.04,60.29,60.0,60.26,1812130
2025-04-11 12:30:00,60.29,60.29,60.11,60.11,1422070
2025-04-11 12:45:00,60.12,60.22,60.04,60.1,419047
2025-04-11 13:00:00,60.11,60.27,60.1,60.16,436773
2025-04-11 13:15:00,60.16,60.18,59.92,60.05,877123
2025-04-11 13:30:00,60.09,60.09,60.0,60.01,550877
2025-04-11 13:45:00,60.0,60.04,59.86,59.9,852130
2025-04-11 14:00:00,59.93,59.93,59.7,59.89,1157432
2025-04-11 14:15:00,59.89,59.93,59.81,59.9,837798
2025-04-11 14:30:00,59.89,59.98,59.82,59.86,738235
2025-04-11 14:45:00,59.9,60.15,59.85,60.07,908895
2025-04-11 15:00:00,60.1,60.1,59.91,59.91,1051734
2025-04-11 15:15:00,59.91,60.02,59.84,59.92,2125881
2025-04-15 09:15:00,61.01,61.24,60.2,60.24,5797407
2025-04-15 09:30:00,60.24,60.29,60.0,60.22,2860178
2025-04-15 09:45:00,60.24,61.05,60.14,60.62,3788825
2025-04-15 10:00:00,60.67,61.18,60.63,61.01,2147387
2025-04-15 10:15:00,61.01,61.57,60.93,61.35,3550668
2025-04-15 10:30:00,61.4,61.48,61.03,61.12,945808
2025-04-15 10:45:00,61.12,61.35,61.09,61.2,897618
2025-04-15 11:00:00,61.2,61.32,61.07,61.25,851247
2025-04-15 11:15:00,61.25,61.6,61.24,61.6,1281479
2025-04-15 11:30:00,61.6,61.93,61.51,61.84,2284334
2025-04-15 11:45:00,61.84,61.87,61.62,61.66,1344772
2025-04-15 12:00:00,61.66,61.66,61.42,61.43,856136
2025-04-15 12:15:00,61.46,61.78,61.42,61.59,2555065
2025-04-15 12:30:00,61.56,61.65,61.44,61.53,1234905
2025-04-15 12:45:00,61.55,61.62,61.49,61.55,610513
2025-04-15 13:00:00,61.57,61.83,61.51,61.81,972002
2025-04-15 13:15:00,61.8,61.98,61.75,61.78,1199595
2025-04-15 13:30:00,61.78,61.82,61.64,61.64,775312
2025-04-15 13:45:00,61.67,61.71,61.61,61.65,864064
2025-04-15 14:00:00,61.65,61.73,61.58,61.71,551378
2025-04-15 14:15:00,61.73,62.14,61.73,62.04,2096506
2025-04-15 14:30:00,62.04,62.32,62.0,62.05,5285268
2025-04-15 14:45:00,62.05,62.07,61.9,61.97,1768693
2025-04-15 15:00:00,61.98,61.99,61.81,61.9,2404215
2025-04-15 15:15:00,61.93,62.06,61.88,61.97,3677202
2025-04-16 09:15:00,62.3,62.44,61.86,62.28,4798223
2025-04-16 09:30:00,62.27,62.35,61.96,61.98,2088323
2025-04-16 09:45:00,61.99,62.03,61.62,61.76,2562642
2025-04-16 10:00:00,61.76,62.19,61.76,61.99,1121130
2025-04-16 10:15:00,61.99,61.99,61.67,61.91,659556
2025-04-16 10:30:00,61.93,61.97,61.8,61.81,390689
2025-04-16 10:45:00,61.83,61.9,61.76,61.84,495658
2025-04-16 11:00:00,61.84,62.11,61.71,62.03,707163
2025-04-16 11:15:00,62.03,62.09,61.95,62.01,653991
2025-04-16 11:30:00,62.01,62.1,61.83,62.05,988701
2025-04-16 11:45:00,62.07,62.39,62.04,62.3,1449733
2025-04-16 12:00:00,62.31,62.86,62.3,62.68,2444839
2025-04-16 12:15:00,62.68,63.24,62.64,62.92,2873919
2025-04-16 12:30:00,62.95,63.08,62.71,62.99,1199672
2025-04-16 12:45:00,63.03,63.04,62.81,62.88,413362
