date,open,high,low,close,volume
2025-04-11 09:15:00,46.26,46.5,45.7,45.75,1587724
2025-04-11 09:30:00,45.74,46.1,45.74,45.94,853412
2025-04-11 09:45:00,45.94,45.97,45.55,45.68,607593
2025-04-11 10:00:00,45.68,45.77,45.4,45.52,805410
2025-04-11 10:15:00,45.52,45.61,45.35,45.38,480365
2025-04-11 10:30:00,45.36,45.37,45.01,45.12,713944
2025-04-11 10:45:00,45.11,45.19,45.01,45.18,315221
2025-04-11 11:00:00,45.18,45.34,45.13,45.3,326870
2025-04-11 11:15:00,45.3,45.35,45.18,45.3,426949
2025-04-11 11:30:00,45.3,45.39,45.25,45.33,389188
2025-04-11 11:45:00,45.33,45.4,45.31,45.34,218790
2025-04-11 12:00:00,45.35,45.4,45.26,45.33,166590
2025-04-11 12:15:00,45.38,45.71,45.34,45.63,1515469
2025-04-11 12:30:00,45.62,45.62,45.44,45.51,332887
2025-04-11 12:45:00,45.51,45.58,45.4,45.42,224909
2025-04-11 13:00:00,45.4,45.5,45.4,45.49,118482
2025-04-11 13:15:00,45.48,45.5,45.2,45.23,382392
2025-04-11 13:30:00,45.23,45.26,45.03,45.22,601816
2025-04-11 13:45:00,45.22,45.25,45.03,45.06,500359
2025-04-11 14:00:00,45.09,45.1,44.85,45.04,1037987
2025-04-11 14:15:00,45.04,45.19,44.99,44.99,466274
2025-04-11 14:30:00,45.0,45.24,45.0,45.21,387168
2025-04-11 14:45:00,45.24,45.3,45.08,45.11,441168
2025-04-11 15:00:00,45.13,45.2,45.0,45.02,982706
2025-04-11 15:15:00,45.02,45.05,44.92,45.0,1463227
2025-04-15 09:15:00,46.0,46.04,45.54,45.91,1132899
2025-04-15 09:30:00,45.99,46.22,45.93,46.2,1142243
2025-04-15 09:45:00,46.2,46.2,46.0,46.0,395544
2025-04-15 10:00:00,46.0,46.15,45.81,45.85,443074
2025-04-15 10:15:00,45.85,45.9,45.8,45.84,261922
2025-04-15 10:30:00,45.84,46.04,45.82,45.98,573492
2025-04-15 10:45:00,45.98,46.06,45.9,46.0,402799
2025-04-15 11:00:00,46.0,46.15,46.0,46.06,345237
2025-04-15 11:15:00,46.1,46.1,45.99,46.06,149457
2025-04-15 11:30:00,46.06,46.1,45.97,45.98,225582
2025-04-15 11:45:00,45.98,46.03,45.91,45.95,160182
2025-04-15 12:00:00,45.98,46.08,45.96,46.04,132635
2025-04-15 12:15:00,46.05,46.1,46.03,46.04,149733
2025-04-15 12:30:00,46.04,46.07,46.01,46.05,106452
2025-04-15 12:45:00,46.05,46.06,46.0,46.01,117528
2025-04-15 13:00:00,46.01,46.05,45.94,45.98,145732
2025-04-15 13:15:00,45.97,46.02,45.94,45.96,79218
2025-04-15 13:30:00,45.95,46.0,45.82,45.87,325513
2025-04-15 13:45:00,45.87,45.9,45.81,45.87,247137
2025-04-15 14:00:00,45.86,45.9,45.83,45.87,125065
2025-04-15 14:15:00,45.91,46.45,45.87,46.28,2189260
2025-04-15 14:30:00,46.28,46.34,46.18,46.22,732163
2025-04-15 14:45:00,46.22,46.45,46.15,46.41,1437370
2025-04-15 15:00:00,46.41,46.41,46.2,46.25,400778
2025-04-15 15:15:00,46.25,46.4,46.21,46.37,1867808
2025-04-16 09:15:00,46.0,46.66,46.0,46.51,1364755
2025-04-16 09:30:00,46.54,46.6,46.31,46.59,512218
2025-04-16 09:45:00,46.59,46.65,46.54,46.57,426131
2025-04-16 10:00:00,46.57,46.72,46.55,46.67,460637
2025-04-16 10:15:00,46.68,46.69,46.31,46.58,568087
2025-04-16 10:30:00,46.55,46.57,46.44,46.48,313773
2025-04-16 10:45:00,46.48,46.9,46.45,46.71,680234
2025-04-16 11:00:00,46.74,46.74,46.51,46.68,270363
2025-04-16 11:15:00,46.68,46.74,46.66,46.7,130252
2025-04-16 11:30:00,46.69,46.71,46.55,46.65,189773
2025-04-16 11:45:00,46.65,46.74,46.61,46.7,263571
2025-04-16 12:00:00,46.72,46.78,46.69,46.75,234537
2025-04-16 12:15:00,46.76,46.88,46.74,46.87,351011
2025-04-16 12:30:00,46.88,46.88,46.75,46.85,299664
2025-04-16 12:45:00,46.85,46.9,46.67,46.69,1094438
2025-04-16 13:00:00,46.67,46.71,46.53,46.71,302160
2025-04-16 13:15:00,46.71,46.71,46.31,46.33,362052
2025-04-16 13:30:00,46.34,46.42,46.26,46.41,270162
2025-04-16 13:45:00,46.41,46.55,46.33,46.52,199923
2025-04-16 14:00:00,46.55,46.59,46.48,46.51,1155224
2025-04-16 14:15:00,46.53,46.6,46.5,46.55,366159
2025-04-16 14:30:00,46.52,46.58,46.45,46.57,303347
2025-04-16 14:45:00,46.57,46.57,46.5,46.54,217965
2025-04-16 15:00:00,46.54,46.59,46.51,46.57,897829
2025-04-16 15:15:00,46.57,47.03,46.56,46.7,2609933
2025-04-17 09:15:00,46.5,47.07,46.27,46.63,1527928
2025-04-17 09:30:00,46.65,46.69,46.5,46.69,843057
2025-04-17 09:45:00,46.69,46.8,46.54,46.6,503837
2025-04-17 10:00:00,46.58,46.6,46.39,46.51,406760
2025-04-17 10:15:00,46.51,46.69,46.5,46.62,243131
2025-04-17 10:30:00,46.65,46.75,46.61,46.74,321464
2025-04-17 10:45:00,46.74,46.89,46.69,46.8,397122
2025-04-17 11:00:00,46.84,46.88,46.71,46.83,289822
2025-04-17 11:15:00,46.85,46.98,46.82,46.92,433917
2025-04-17 11:30:00,46.92,46.98,46.8,46.93,337544
2025-04-17 11:45:00,46.94,46.96,46.77,46.89,274421
2025-04-17 12:00:00,46.89,46.9,46.8,46.82,134063
2025-04-17 12:15:00,46.84,46.98,46.8,46.96,361912
2025-04-17 12:30:00,46.92,46.98,46.77,46.87,302292
2025-04-17 12:45:00,46.86,46.89,46.72,46.77,303240
2025-04-17 13:00:00,46.77,46.78,46.63,46.71,418040
2025-04-17 13:15:00,46.74,46.76,46.62,46.62,195011
2025-04-17 13:30:00,46.65,46.72,46.58,46.71,262130
2025-04-17 13:45:00,46.71,46.77,46.66,46.66,245084
2025-04-17 14:00:00,46.66,46.74,46.65,46.65,250504
2025-04-17 14:15:00,46.67,46.89,46.61,46.79,991312
2025-04-17 14:30:00,46.79,46.95,46.75,46.92,733914
2025-04-17 14:45:00,46.91,47.37,46.9,47.05,1741846
2025-04-17 15:00:00,47.07,47.16,46.8,46.84,834597
2025-04-17 15:15:00,46.84,46.91,46.81,46.88,600412
2025-04-21 09:15:00,47.0,47.14,46.67,46.8,1336132
2025-04-21 09:30:00,46.8,47.2,46.77,47.06,870655
2025-04-21 09:45:00,47.06,47.26,46.96,47.16,754682
2025-04-21 10:00:00,47.11,47.21,47.06,47.18,289926
2025-04-21 10:15:00,47.17,47.24,47.12,47.2,328147
2025-04-21 10:30:00,47.2,47.39,47.17,47.24,566692
2025-04-21 10:45:00,47.24,47.32,47.2,47.26,296967
2025-04-21 11:00:00,47.26,47.3,47.18,47.23,163919
2025-04-21 11:15:00,47.23,47.4,47.23,47.27,624219
