date,open,high,low,close,volume
2025-04-11 09:15:00,728.35,729.0,723.0,723.75,93171
2025-04-11 09:30:00,724.35,727.5,723.7,724.8,43641
2025-04-11 09:45:00,724.9,724.95,722.7,722.7,40171
2025-04-11 10:00:00,722.7,724.7,722.45,722.9,20461
2025-04-11 10:15:00,723.2,723.95,721.5,723.15,22177
2025-04-11 10:30:00,723.15,725.2,722.75,724.45,25017
2025-04-11 10:45:00,724.05,726.35,723.15,726.25,21585
2025-04-11 11:00:00,726.25,732.5,726.2,732.0,102538
2025-04-11 11:15:00,732.0,734.0,731.8,733.1,57620
2025-04-11 11:30:00,733.1,735.45,732.0,732.0,66786
2025-04-11 11:45:00,732.0,732.35,730.1,730.45,31662
2025-04-11 12:00:00,730.45,732.4,730.05,731.95,19162
2025-04-11 12:15:00,731.95,732.4,730.9,731.35,17580
2025-04-11 12:30:00,731.35,731.85,730.4,731.5,14331
2025-04-11 12:45:00,731.5,731.95,730.5,730.5,11451
2025-04-11 13:00:00,730.5,731.95,730.5,731.55,15526
2025-04-11 13:15:00,731.9,731.95,730.5,731.0,16266
2025-04-11 13:30:00,731.0,731.2,730.4,730.4,14588
2025-04-11 13:45:00,730.4,730.7,728.45,729.55,40311
2025-04-11 14:00:00,729.55,729.55,727.2,727.5,18866
2025-04-11 14:15:00,727.6,729.6,727.05,728.45,18817
2025-04-11 14:30:00,728.45,730.45,728.25,730.0,27572
2025-04-11 14:45:00,730.4,731.8,729.1,730.05,30854
2025-04-11 15:00:00,730.4,731.5,729.65,731.4,59060
2025-04-11 15:15:00,731.35,731.5,729.3,729.7,96755
2025-04-15 09:15:00,745.4,745.5,735.05,738.9,111527
2025-04-15 09:30:00,739.0,742.4,738.8,741.9,68932
2025-04-15 09:45:00,741.8,744.6,741.6,743.35,59418
2025-04-15 10:00:00,743.5,746.95,743.5,746.75,107696
2025-04-15 10:15:00,746.75,747.45,744.0,744.05,46213
2025-04-15 10:30:00,744.05,745.0,742.1,744.0,40243
2025-04-15 10:45:00,744.0,745.0,743.55,744.75,23069
2025-04-15 11:00:00,744.9,746.0,744.45,745.25,32894
2025-04-15 11:15:00,745.25,745.5,744.1,745.5,20884
2025-04-15 11:30:00,745.5,746.5,745.2,745.5,18749
2025-04-15 11:45:00,745.5,745.8,744.0,745.5,16565
2025-04-15 12:00:00,745.5,746.45,745.1,746.3,12703
2025-04-15 12:15:00,746.3,746.85,745.85,746.25,11293
2025-04-15 12:30:00,746.25,746.5,745.7,746.2,7947
2025-04-15 12:45:00,746.2,747.75,746.2,746.75,26912
2025-04-15 13:00:00,746.75,747.3,746.2,746.5,15328
2025-04-15 13:15:00,746.5,748.0,746.1,748.0,23733
2025-04-15 13:30:00,748.0,749.0,747.3,747.65,41901
2025-04-15 13:45:00,747.65,749.1,747.55,748.4,20666
2025-04-15 14:00:00,748.4,751.2,747.9,750.85,65615
2025-04-15 14:15:00,750.85,751.95,749.7,750.0,42067
2025-04-15 14:30:00,750.0,750.9,749.7,750.9,35080
2025-04-15 14:45:00,750.9,751.95,750.7,751.6,37090
2025-04-15 15:00:00,751.5,754.15,751.1,753.95,131860
2025-04-15 15:15:00,754.0,756.4,754.0,755.0,246438
2025-04-16 09:15:00,760.95,762.7,757.15,760.65,184338
2025-04-16 09:30:00,760.65,764.5,758.0,763.9,128894
2025-04-16 09:45:00,763.6,766.0,762.05,763.0,88389
2025-04-16 10:00:00,762.8,764.7,761.1,761.9,65132
2025-04-16 10:15:00,761.85,761.9,757.7,760.95,83087
2025-04-16 10:30:00,760.95,761.8,759.4,759.4,17387
2025-04-16 10:45:00,759.4,760.35,758.55,758.55,16914
2025-04-16 11:00:00,758.55,761.45,758.0,761.0,29192
