date,open,high,low,close,volume
2025-04-11 09:15:00,63.0,63.12,62.23,62.63,3180924
2025-04-11 09:30:00,62.63,62.95,62.36,62.91,1134779
2025-04-11 09:45:00,62.92,62.95,62.35,62.35,975250
2025-04-11 10:00:00,62.39,62.5,62.29,62.45,568208
2025-04-11 10:15:00,62.45,62.6,62.41,62.54,729077
2025-04-11 10:30:00,62.53,62.74,62.23,62.4,800581
2025-04-11 10:45:00,62.36,62.58,62.23,62.55,408013
2025-04-11 11:00:00,62.55,62.89,62.5,62.88,948561
2025-04-11 11:15:00,62.88,62.92,62.73,62.82,466868
2025-04-11 11:30:00,62.82,63.08,62.79,63.03,802921
2025-04-11 11:45:00,63.03,63.08,62.98,63.05,580950
2025-04-11 12:00:00,63.05,63.19,63.03,63.11,506993
2025-04-11 12:15:00,63.11,63.14,62.99,63.02,376938
2025-04-11 12:30:00,63.03,63.28,63.0,63.21,499028
2025-04-11 12:45:00,63.17,63.23,63.11,63.12,375748
2025-04-11 13:00:00,63.11,63.22,63.06,63.08,249095
2025-04-11 13:15:00,63.11,63.14,62.98,63.03,360741
2025-04-11 13:30:00,63.03,63.09,62.95,63.03,329861
2025-04-11 13:45:00,63.02,63.03,62.88,63.0,798910
2025-04-11 14:00:00,63.0,63.0,62.7,62.79,858861
2025-04-11 14:15:00,62.79,62.85,62.64,62.65,1112216
2025-04-11 14:30:00,62.7,62.96,62.68,62.88,726928
2025-04-11 14:45:00,62.89,63.08,62.88,63.07,615134
2025-04-11 15:00:00,63.07,63.07,62.9,62.93,1110617
2025-04-11 15:15:00,62.93,63.0,62.83,63.0,1209937
2025-04-15 09:15:00,64.04,64.18,63.55,64.05,2112011
2025-04-15 09:30:00,64.05,64.5,63.96,64.27,1236201
2025-04-15 09:45:00,64.29,64.45,64.21,64.42,588637
2025-04-15 10:00:00,64.43,64.53,64.14,64.38,863410
2025-04-15 10:15:00,64.36,64.5,64.26,64.37,721955
2025-04-15 10:30:00,64.4,64.72,64.34,64.61,822524
2025-04-15 10:45:00,64.61,64.92,64.61,64.74,537901
2025-04-15 11:00:00,64.74,64.77,64.59,64.65,339772
2025-04-15 11:15:00,64.65,64.89,64.61,64.81,321712
2025-04-15 11:30:00,64.81,64.85,64.36,64.39,758502
2025-04-15 11:45:00,64.39,64.39,64.11,64.27,602637
2025-04-15 12:00:00,64.26,64.32,64.2,64.29,283882
2025-04-15 12:15:00,64.29,64.4,64.25,64.36,222029
2025-04-15 12:30:00,64.35,64.5,64.34,64.34,174620
2025-04-15 12:45:00,64.35,64.47,64.32,64.39,175332
2025-04-15 13:00:00,64.38,64.49,64.31,64.35,291950
2025-04-15 13:15:00,64.35,64.44,64.3,64.31,255747
2025-04-15 13:30:00,64.31,64.35,64.2,64.3,566807
2025-04-15 13:45:00,64.3,64.47,64.25,64.47,314269
2025-04-15 14:00:00,64.44,64.87,64.34,64.81,1259758
2025-04-15 14:15:00,64.81,64.99,64.75,64.8,892557
2025-04-15 14:30:00,64.8,64.95,64.67,64.92,853857
2025-04-15 14:45:00,64.93,65.09,64.8,64.81,1076926
2025-04-15 15:00:00,64.87,65.22,64.73,65.15,2147628
2025-04-15 15:15:00,65.15,65.33,65.13,65.33,2150536
2025-04-16 09:15:00,65.5,65.5,64.85,65.36,1594151
2025-04-16 09:30:00,65.36,65.45,65.11,65.39,802041
2025-04-16 09:45:00,65.39,65.39,65.21,65.31,413067
2025-04-16 10:00:00,65.31,65.45,65.27,65.4,394182
2025-04-16 10:15:00,65.37,65.39,65.01,65.21,819637
2025-04-16 10:30:00,65.25,65.28,65.07,65.18,371379
2025-04-16 10:45:00,65.18,65.44,65.16,65.31,454749
2025-04-16 11:00:00,65.35,65.44,65.15,65.41,373686
2025-04-16 11:15:00,65.44,65.6,65.41,65.5,625889
2025-04-16 11:30:00,65.5,65.55,65.37,65.5,318480
2025-04-16 11:45:00,65.5,65.65,65.38,65.63,659872
2025-04-16 12:00:00,65.63,65.66,65.44,65.56,435798
2025-04-16 12:15:00,65.56,65.8,65.52,65.69,923619
2025-04-16 12:30:00,65.69,65.73,65.6,65.71,367757
2025-04-16 12:45:00,65.71,65.74,65.54,65.6,448683
2025-04-16 13:00:00,65.6,65.65,65.08,65.25,1187383
2025-04-16 13:15:00,65.25,65.25,64.78,64.79,1036056
2025-04-16 13:30:00,64.85,65.0,64.7,65.0,988593
2025-04-16 13:45:00,65.0,65.25,64.85,65.23,975586
2025-04-16 14:00:00,65.24,65.9,65.23,65.88,1229422
2025-04-16 14:15:00,65.89,66.1,65.72,65.78,1135818
2025-04-16 14:30:00,65.79,65.83,65.44,65.65,651917
2025-04-16 14:45:00,65.65,65.9,65.6,65.85,403846
2025-04-16 15:00:00,65.85,65.86,65.74,65.77,652555
2025-04-16 15:15:00,65.77,65.86,65.64,65.75,1938040
2025-04-17 09:15:00,65.74,66.39,65.61,65.81,2079950
2025-04-17 09:30:00,65.8,65.83,65.29,65.7,1007073
2025-04-17 09:45:00,65.7,65.85,65.36,65.41,571646
2025-04-17 10:00:00,65.41,65.5,65.2,65.31,531593
2025-04-17 10:15:00,65.29,65.7,65.28,65.58,314928
2025-04-17 10:30:00,65.56,66.05,65.56,65.96,588177
2025-04-17 10:45:00,65.94,66.05,65.81,65.81,376296
2025-04-17 11:00:00,65.84,65.99,65.74,65.97,269044
2025-04-17 11:15:00,65.98,66.16,65.97,66.15,595635
2025-04-17 11:30:00,66.16,66.19,65.94,66.08,267577
2025-04-17 11:45:00,66.05,66.08,65.76,65.82,425738
2025-04-17 12:00:00,65.82,65.94,65.72,65.87,297895
2025-04-17 12:15:00,65.9,65.97,65.74,65.88,331005
2025-04-17 12:30:00,65.93,66.05,65.83,66.05,221298
2025-04-17 12:45:00,66.05,66.1,65.91,65.94,353262
2025-04-17 13:00:00,65.94,66.09,65.93,66.0,417158
2025-04-17 13:15:00,66.0,66.04,65.92,65.94,179742
2025-04-17 13:30:00,65.94,66.09,65.92,66.05,236890
2025-04-17 13:45:00,66.05,66.1,66.03,66.09,276832
2025-04-17 14:00:00,66.09,66.1,65.92,65.92,238671
2025-04-17 14:15:00,65.91,66.01,65.88,65.99,366107
2025-04-17 14:30:00,66.0,66.15,65.95,66.11,361027
2025-04-17 14:45:00,66.11,66.14,66.01,66.04,361619
2025-04-17 15:00:00,66.03,66.09,65.91,65.96,614275
2025-04-17 15:15:00,65.96,65.98,65.73,65.95,1715071
2025-04-21 09:15:00,66.45,66.45,65.91,66.34,1084758
2025-04-21 09:30:00,66.34,66.72,66.29,66.51,1083574
2025-04-21 09:45:00,66.59,66.8,66.51,66.75,595348
2025-04-21 10:00:00,66.75,66.9,66.7,66.82,538851
2025-04-21 10:15:00,66.83,67.1,66.75,67.05,707076
2025-04-21 10:30:00,67.09,67.2,66.95,67.05,482023
2025-04-21 10:45:00,67.07,67.24,67.0,67.2,353625
2025-04-21 11:00:00,67.2,67.25,67.16,67.25,328311
2025-04-21 11:15:00,67.23,67.4,67.22,67.37,406038
2025-04-21 11:30:00,67.37,67.63,67.3,67.55,732179
2025-04-21 11:45:00,67.57,67.8,67.57,67.7,859790
2025-04-21 12:00:00,67.75,67.95,67.66,67.86,727454
2025-04-21 12:15:00,67.82,67.93,67.81,67.82,321620
2025-04-21 12:30:00,67.82,67.85,67.76,67.79,243085
2025-04-21 12:45:00,67.78,67.93,67.71,67.85,313305
2025-04-21 13:00:00,67.8,67.88,67.75,67.8,382794
