date,open,high,low,close,volume
2025-04-11 09:15:00,179.0,182.49,178.01,180.14,580854
2025-04-11 09:30:00,180.15,180.3,179.55,179.9,151288
2025-04-11 09:45:00,179.9,180.05,179.03,179.12,117927
2025-04-11 10:00:00,179.12,179.67,178.84,179.0,123568
2025-04-11 10:15:00,179.09,179.35,178.46,178.94,147397
2025-04-11 10:30:00,179.04,179.52,178.67,179.31,96531
2025-04-11 10:45:00,179.31,179.93,178.92,179.88,142217
2025-04-11 11:00:00,179.94,180.2,179.6,179.82,221196
2025-04-11 11:15:00,179.85,180.8,179.53,180.8,138760
2025-04-11 11:30:00,180.77,180.8,180.55,180.66,130492
2025-04-11 11:45:00,180.66,180.71,179.75,179.78,167854
2025-04-11 12:00:00,179.9,180.01,179.65,180.01,120338
2025-04-11 12:15:00,180.01,180.09,179.85,179.99,116914
2025-04-11 12:30:00,179.99,180.0,179.52,179.8,151288
2025-04-11 12:45:00,179.8,179.91,179.55,179.72,152790
2025-04-11 13:00:00,179.7,180.0,179.64,180.0,91662
2025-04-11 13:15:00,180.0,180.0,179.75,179.87,103604
2025-04-11 13:30:00,179.87,179.95,179.36,179.55,109748
2025-04-11 13:45:00,179.55,179.68,177.85,178.02,601424
2025-04-11 14:00:00,178.09,178.09,177.5,177.99,122737
2025-04-11 14:15:00,177.99,178.12,177.71,177.89,815476
2025-04-11 14:30:00,177.89,178.48,177.73,178.0,243602
2025-04-11 14:45:00,178.08,179.94,177.95,179.94,255355
2025-04-11 15:00:00,179.85,180.0,179.56,179.93,296955
2025-04-11 15:15:00,179.98,180.0,178.69,180.0,694017
2025-04-15 09:15:00,180.0,180.94,178.48,178.65,623768
2025-04-15 09:30:00,178.76,179.57,178.53,179.05,243213
2025-04-15 09:45:00,179.02,179.02,177.94,178.1,285751
2025-04-15 10:00:00,178.1,178.66,177.8,178.34,292780
2025-04-15 10:15:00,178.4,178.5,178.05,178.42,229755
2025-04-15 10:30:00,178.42,178.42,178.0,178.0,176979
