date,open,high,low,close,volume
2025-04-11 09:15:00,288.95,288.95,284.05,286.5,100575
2025-04-11 09:30:00,286.6,288.7,286.6,287.45,58296
2025-04-11 09:45:00,287.45,287.75,285.95,285.95,63701
2025-04-11 10:00:00,285.95,286.7,284.5,284.8,64652
2025-04-11 10:15:00,284.8,285.15,283.9,284.6,65623
2025-04-11 10:30:00,284.4,285.8,283.7,284.4,43580
2025-04-11 10:45:00,284.4,284.4,283.05,283.55,48954
2025-04-11 11:00:00,283.55,286.8,283.3,286.55,90495
2025-04-11 11:15:00,286.55,287.4,285.9,287.3,38365
2025-04-11 11:30:00,287.3,287.4,286.4,286.5,22112
2025-04-11 11:45:00,286.5,287.2,286.1,286.45,38642
2025-04-11 12:00:00,286.45,287.5,286.3,287.35,42980
2025-04-11 12:15:00,287.35,287.35,286.45,287.05,22446
2025-04-11 12:30:00,287.05,287.05,285.55,286.05,28884
2025-04-11 12:45:00,286.2,286.2,285.6,285.8,15170
2025-04-11 13:00:00,285.65,286.9,285.6,286.9,28212
2025-04-11 13:15:00,286.9,287.25,285.7,285.95,39434
2025-04-11 13:30:00,285.95,285.95,285.15,285.8,31214
2025-04-11 13:45:00,285.8,285.8,284.45,284.7,32161
2025-04-11 14:00:00,284.4,284.65,283.5,283.7,32599
2025-04-11 14:15:00,283.7,284.75,283.7,284.15,39242
2025-04-11 14:30:00,284.15,284.2,283.4,283.9,32919
2025-04-11 14:45:00,283.9,285.4,283.9,285.4,59226
2025-04-11 15:00:00,285.4,285.4,284.75,285.15,193777
2025-04-11 15:15:00,285.15,285.65,284.45,285.0,224310
2025-04-15 09:15:00,288.25,294.0,287.55,293.2,227248
2025-04-15 09:30:00,293.05,294.2,293.0,293.7,102862
2025-04-15 09:45:00,293.7,294.9,292.85,293.7,125393
2025-04-15 10:00:00,293.9,294.8,293.65,294.2,88803
2025-04-15 10:15:00,294.2,294.65,293.6,293.8,85132
2025-04-15 10:30:00,293.8,294.55,293.35,294.25,60228
2025-04-15 10:45:00,294.15,294.4,292.9,293.65,89735
2025-04-15 11:00:00,293.65,294.75,293.65,294.1,51937
2025-04-15 11:15:00,294.2,294.75,293.7,294.5,63185
2025-04-15 11:30:00,294.5,294.55,293.25,293.25,47008
2025-04-15 11:45:00,293.25,293.3,292.4,293.0,77935
2025-04-15 12:00:00,293.0,293.5,292.8,293.25,66567
2025-04-15 12:15:00,293.2,293.9,292.85,293.75,68493
2025-04-15 12:30:00,293.9,294.6,293.8,294.1,56656
2025-04-15 12:45:00,294.1,294.45,293.45,294.2,55450
2025-04-15 13:00:00,294.2,294.85,293.35,293.9,83320
2025-04-15 13:15:00,293.9,294.35,293.55,293.9,66068
2025-04-15 13:30:00,293.9,294.25,293.35,293.9,58673
2025-04-15 13:45:00,293.9,294.4,293.6,293.6,57011
2025-04-15 14:00:00,293.8,294.35,293.6,294.15,59121
2025-04-15 14:15:00,294.4,294.65,294.1,294.4,50187
2025-04-15 14:30:00,294.35,294.5,293.85,294.05,70397
2025-04-15 14:45:00,294.05,294.55,293.85,294.1,95031
2025-04-15 15:00:00,294.15,295.95,294.15,295.95,272786
2025-04-15 15:15:00,295.95,296.8,294.5,295.85,308200
2025-04-16 09:15:00,295.75,295.75,293.15,294.2,62965
2025-04-16 09:30:00,294.15,295.95,294.15,295.85,53347
2025-04-16 09:45:00,295.95,296.3,294.85,295.15,79584
2025-04-16 10:00:00,295.15,296.45,294.9,295.95,50118
2025-04-16 10:15:00,295.95,296.15,295.0,295.8,60478
2025-04-16 10:30:00,295.8,296.3,295.35,296.0,40495
2025-04-16 10:45:00,295.65,297.3,295.6,296.85,85940
2025-04-16 11:00:00,297.05,298.0,296.15,297.95,74388
2025-04-16 11:15:00,297.95,299.05,297.45,298.2,77441
2025-04-16 11:30:00,298.35,299.05,298.0,299.0,57291
2025-04-16 11:45:00,299.0,299.05,298.85,299.0,49655
2025-04-16 12:00:00,299.0,299.9,298.9,299.75,57743
2025-04-16 12:15:00,299.75,300.05,299.3,299.3,59874
2025-04-16 12:30:00,299.45,299.8,299.3,299.6,57392
2025-04-16 12:45:00,299.6,299.6,299.15,299.25,53533
2025-04-16 13:00:00,299.25,299.65,298.9,299.65,48442
2025-04-16 13:15:00,299.7,300.05,298.35,298.95,67361
2025-04-16 13:30:00,298.95,300.55,298.95,300.2,463977
2025-04-16 13:45:00,300.2,301.35,299.95,301.3,128359
2025-04-16 14:00:00,301.35,301.4,299.8,300.65,149501
2025-04-16 14:15:00,300.65,300.65,299.65,299.8,77023
2025-04-16 14:30:00,299.8,300.0,299.6,300.0,25554
2025-04-16 14:45:00,300.0,300.0,299.8,300.0,31640
2025-04-16 15:00:00,300.05,300.55,299.9,300.0,220634
2025-04-16 15:15:00,300.0,301.9,299.95,301.5,265541
2025-04-17 09:15:00,300.4,304.6,300.35,300.65,149440
2025-04-17 09:30:00,300.75,302.25,300.35,301.55,53774
2025-04-17 09:45:00,301.4,302.1,300.3,300.4,48102
2025-04-17 10:00:00,300.4,300.9,299.25,299.55,28206
2025-04-17 10:15:00,299.55,301.4,299.55,300.85,26829
2025-04-17 10:30:00,300.85,301.5,300.05,301.5,25573
2025-04-17 10:45:00,301.4,302.3,301.4,301.8,45193
2025-04-17 11:00:00,301.7,302.9,301.7,302.5,42041
2025-04-17 11:15:00,302.4,303.35,302.4,302.7,32890
2025-04-17 11:30:00,302.5,303.05,302.2,302.9,22377
2025-04-17 11:45:00,302.9,302.9,301.85,302.4,15426
2025-04-17 12:00:00,302.3,303.6,302.0,303.05,55039
2025-04-17 12:15:00,303.05,304.1,302.85,303.3,63707
2025-04-17 12:30:00,303.2,304.8,303.2,304.75,95780
2025-04-17 12:45:00,304.7,304.8,303.55,303.85,42091
2025-04-17 13:00:00,303.7,304.15,303.6,304.1,16517
2025-04-17 13:15:00,304.0,304.0,303.1,303.25,21146
2025-04-17 13:30:00,303.35,304.1,302.75,303.85,14799
2025-04-17 13:45:00,303.9,305.3,303.5,305.3,1067089
2025-04-17 14:00:00,305.35,305.45,303.8,303.85,52165
2025-04-17 14:15:00,303.9,304.5,303.4,304.3,109909
2025-04-17 14:30:00,304.3,304.6,303.9,304.6,40584
2025-04-17 14:45:00,304.6,305.2,304.4,305.1,87362
2025-04-17 15:00:00,305.05,305.05,303.7,304.0,95381
