date,open,high,low,close,volume
2025-04-11 09:15:00,107.84,108.7,107.0,108.1,2998092
2025-04-11 09:30:00,108.01,109.99,108.01,109.95,2037018
2025-04-11 09:45:00,109.99,110.2,108.78,108.95,1577763
2025-04-11 10:00:00,108.92,109.27,108.65,108.95,466458
2025-04-11 10:15:00,108.95,109.19,108.26,108.36,546045
2025-04-11 10:30:00,108.35,108.7,107.97,108.32,601244
2025-04-11 10:45:00,108.31,108.36,108.01,108.32,265052
2025-04-11 11:00:00,108.38,108.5,108.15,108.29,298718
2025-04-11 11:15:00,108.29,108.57,108.1,108.4,362127
2025-04-11 11:30:00,108.45,109.0,108.32,108.92,703917
2025-04-11 11:45:00,108.92,109.3,108.53,108.61,659505
2025-04-11 12:00:00,108.61,109.08,108.51,109.0,415458
2025-04-11 12:15:00,109.0,109.12,108.6,108.83,496858
2025-04-11 12:30:00,108.83,109.88,108.76,109.35,1286406
2025-04-11 12:45:00,109.34,109.83,109.29,109.35,1107968
2025-04-11 13:00:00,109.34,109.47,109.12,109.17,421022
2025-04-11 13:15:00,109.15,109.19,108.6,108.63,540857
2025-04-11 13:30:00,108.6,108.63,108.34,108.42,427161
2025-04-11 13:45:00,108.42,108.48,108.0,108.17,371432
2025-04-11 14:00:00,108.17,108.2,107.61,107.74,534383
2025-04-11 14:15:00,107.74,107.8,107.55,107.58,282989
2025-04-11 14:30:00,107.58,107.95,107.55,107.94,323835
2025-04-11 14:45:00,107.96,108.35,107.95,108.24,484573
2025-04-11 15:00:00,108.25,108.61,108.05,108.38,1060109
2025-04-11 15:15:00,108.42,108.58,108.04,108.25,1003701
2025-04-15 09:15:00,110.21,110.88,109.66,110.25,1161508
2025-04-15 09:30:00,110.28,111.4,110.28,110.91,2398096
2025-04-15 09:45:00,110.9,111.54,110.71,111.48,1431992
2025-04-15 10:00:00,111.47,111.88,111.32,111.8,1119560
2025-04-15 10:15:00,111.82,111.95,111.51,111.55,499077
2025-04-15 10:30:00,111.51,111.89,111.5,111.84,330414
2025-04-15 10:45:00,111.89,112.24,111.6,111.64,643682
2025-04-15 11:00:00,111.64,112.38,111.64,111.89,534843
2025-04-15 11:15:00,111.89,112.19,111.87,112.08,207718
2025-04-15 11:30:00,112.1,112.16,111.8,111.87,212518
2025-04-15 11:45:00,111.87,111.88,111.52,111.75,278740
2025-04-15 12:00:00,111.75,111.84,111.7,111.81,123209
2025-04-15 12:15:00,111.85,112.15,111.85,111.9,240493
