date,open,high,low,close,volume
2025-04-11 09:15:00,850.0,855.75,848.5,851.9,59825
2025-04-11 09:30:00,852.05,856.2,851.25,852.8,24627
2025-04-11 09:45:00,852.85,856.55,849.4,850.15,25282
2025-04-11 10:00:00,850.15,852.0,849.15,849.75,20511
2025-04-11 10:15:00,849.75,850.5,848.85,849.9,13042
2025-04-11 10:30:00,849.8,851.85,847.65,849.25,12392
2025-04-11 10:45:00,849.25,851.65,848.1,851.0,13006
2025-04-11 11:00:00,851.3,852.95,850.7,850.7,18359
2025-04-11 11:15:00,850.7,853.0,850.3,851.75,9653
2025-04-11 11:30:00,851.75,853.8,851.3,852.25,12474
2025-04-11 11:45:00,852.25,853.65,851.75,852.15,12158
2025-04-11 12:00:00,852.15,852.6,851.1,852.05,7073
2025-04-11 12:15:00,852.05,853.75,851.6,852.15,9689
2025-04-11 12:30:00,852.1,852.45,850.25,851.5,11273
2025-04-11 12:45:00,851.4,852.95,851.35,851.55,6523
2025-04-11 13:00:00,851.55,853.75,851.55,851.7,22707
2025-04-11 13:15:00,852.25,853.6,851.7,853.05,12982
2025-04-11 13:30:00,853.4,853.4,851.65,852.2,6115
2025-04-11 13:45:00,852.35,852.9,850.45,851.6,7173
2025-04-11 14:00:00,851.6,852.1,849.35,850.25,10773
2025-04-11 14:15:00,850.25,851.05,849.75,850.4,14246
2025-04-11 14:30:00,850.4,851.9,850.15,850.65,9039
2025-04-11 14:45:00,850.35,853.4,850.35,852.45,18880
2025-04-11 15:00:00,852.45,853.8,852.0,852.3,33948
2025-04-11 15:15:00,851.95,854.0,850.55,852.0,59304
2025-04-15 09:15:00,861.3,866.0,857.8,864.45,61355
2025-04-15 09:30:00,864.45,867.0,863.65,867.0,33200
2025-04-15 09:45:00,867.2,868.6,866.5,866.6,29404
2025-04-15 10:00:00,866.65,867.5,865.05,866.4,23078
2025-04-15 10:15:00,866.4,869.95,865.25,868.45,38814
2025-04-15 10:30:00,868.45,871.55,868.0,869.4,52567
2025-04-15 10:45:00,869.8,874.8,869.0,871.5,41871
2025-04-15 11:00:00,871.1,872.0,870.0,870.15,14331
2025-04-15 11:15:00,870.15,872.0,869.8,871.3,17113
2025-04-15 11:30:00,871.3,873.5,869.25,873.5,24919
2025-04-15 11:45:00,873.5,876.0,872.75,874.3,44631
2025-04-15 12:00:00,874.4,875.95,874.05,874.55,16323
2025-04-15 12:15:00,874.55,875.8,873.75,874.9,14151
2025-04-15 12:30:00,874.9,875.0,873.75,874.35,11697
2025-04-15 12:45:00,874.35,874.8,873.3,873.5,10917
2025-04-15 13:00:00,873.5,874.0,871.5,872.15,15282
2025-04-15 13:15:00,872.15,872.55,870.0,870.7,27242
2025-04-15 13:30:00,870.7,876.35,870.4,875.75,44068
2025-04-15 13:45:00,875.6,879.4,875.55,878.75,38506
2025-04-15 14:00:00,878.75,880.55,877.65,880.15,55715
2025-04-15 14:15:00,880.15,880.75,878.55,878.8,40413
2025-04-15 14:30:00,878.8,881.0,878.15,881.0,42818
2025-04-15 14:45:00,880.95,882.0,880.45,881.5,39383
2025-04-15 15:00:00,881.8,882.1,880.2,882.0,121131
2025-04-15 15:15:00,882.0,884.0,881.85,883.0,152895
2025-04-16 09:15:00,882.3,887.85,880.0,885.15,69755
2025-04-16 09:30:00,885.15,889.9,882.5,886.85,76067
2025-04-16 09:45:00,886.55,889.0,886.25,886.55,32549
2025-04-16 10:00:00,886.55,890.55,886.55,888.25,54662
2025-04-16 10:15:00,888.25,889.05,881.55,883.45,59399
2025-04-16 10:30:00,883.35,883.9,880.3,882.0,25640
2025-04-16 10:45:00,882.1,882.3,880.55,881.2,12102
2025-04-16 11:00:00,881.2,881.5,878.0,879.05,31230
2025-04-16 11:15:00,879.05,881.35,878.0,880.95,19335
2025-04-16 11:30:00,880.85,882.0,877.0,878.85,24664
2025-04-16 11:45:00,878.85,879.4,877.5,877.8,16811
2025-04-16 12:00:00,877.8,880.45,877.8,878.45,10913
2025-04-16 12:15:00,878.25,879.3,877.05,878.7,13467
2025-04-16 12:30:00,878.7,881.2,878.7,881.1,16928
2025-04-16 12:45:00,881.1,882.2,879.95,880.3,9777
2025-04-16 13:00:00,880.3,883.85,880.25,882.95,16888
2025-04-16 13:15:00,883.35,883.8,880.65,881.05,22360
2025-04-16 13:30:00,881.05,885.6,880.85,885.25,46285
2025-04-16 13:45:00,885.25,887.0,884.3,886.85,37596
2025-04-16 14:00:00,886.8,888.0,885.45,886.5,49375
2025-04-16 14:15:00,886.4,888.0,886.0,886.8,39303
2025-04-16 14:30:00,887.0,888.9,886.6,888.85,49601
2025-04-16 14:45:00,888.5,889.0,887.55,888.55,35427
2025-04-16 15:00:00,888.85,889.5,888.15,888.9,53946
2025-04-16 15:15:00,888.9,889.0,885.45,886.85,86879
2025-04-17 09:15:00,888.0,890.45,882.25,884.0,55980
2025-04-17 09:30:00,884.0,886.45,883.35,885.95,24494
2025-04-17 09:45:00,885.95,891.45,885.95,890.1,43714
2025-04-17 10:00:00,890.15,890.55,887.8,890.1,29421
2025-04-17 10:15:00,890.15,893.35,889.2,891.8,51025
2025-04-17 10:30:00,891.8,897.65,891.25,895.35,89949
2025-04-17 10:45:00,895.4,897.95,895.0,896.6,42929
2025-04-17 11:00:00,896.6,898.5,895.75,898.05,55920
2025-04-17 11:15:00,898.05,898.4,894.5,895.1,32616
2025-04-17 11:30:00,895.1,896.95,893.65,895.95,40531
2025-04-17 11:45:00,895.95,900.9,894.6,898.7,100863
2025-04-17 12:00:00,898.7,900.9,897.25,900.7,58946
2025-04-17 12:15:00,900.7,902.4,899.9,902.05,60398
2025-04-17 12:30:00,902.05,904.3,901.0,904.0,62356
2025-04-17 12:45:00,904.0,905.0,902.6,903.05,45633
2025-04-17 13:00:00,903.05,904.95,900.1,902.85,42223
2025-04-17 13:15:00,902.8,903.25,900.2,902.2,36392
2025-04-17 13:30:00,901.8,902.5,898.35,899.45,44165
2025-04-17 13:45:00,899.45,904.0,899.25,903.7,38726
2025-04-17 14:00:00,903.7,904.95,902.0,903.7,59669
2025-04-17 14:15:00,903.7,905.9,901.55,905.2,75678
2025-04-17 14:30:00,905.2,906.95,903.8,906.45,107190
2025-04-17 14:45:00,906.4,908.0,905.0,905.6,58291
2025-04-17 15:00:00,906.0,907.9,905.6,906.6,89574
2025-04-17 15:15:00,906.6,907.7,905.0,905.5,266409
2025-04-21 09:15:00,906.3,918.5,904.5,917.95,126252
2025-04-21 09:30:00,917.45,919.0,914.55,917.2,78874
2025-04-21 09:45:00,917.0,917.75,913.8,914.8,68193
2025-04-21 10:00:00,914.8,918.95,913.95,916.45,83570
2025-04-21 10:15:00,916.25,921.9,916.25,919.85,54414
2025-04-21 10:30:00,919.85,926.0,919.0,921.3,101797
2025-04-21 10:45:00,921.0,921.5,917.55,918.0,46304
2025-04-21 11:00:00,918.0,918.85,916.15,918.3,41474
2025-04-21 11:15:00,918.3,926.0,917.6,922.85,71098
2025-04-21 11:30:00,922.85,922.85,920.55,922.2,27556
2025-04-21 11:45:00,922.2,922.3,919.0,920.0,27034
2025-04-21 12:00:00,920.0,920.0,913.6,917.5,42783
2025-04-21 12:15:00,917.1,919.55,917.1,917.8,22290
2025-04-21 12:30:00,917.45,919.5,917.25,919.0,22878
2025-04-21 12:45:00,919.0,920.0,918.45,919.3,28129
2025-04-21 13:00:00,919.05,919.75,915.8,916.0,19172
2025-04-21 13:15:00,915.65,917.1,914.15,915.6,19562
2025-04-21 13:30:00,915.3,915.7,908.7,909.4,34216
2025-04-21 13:45:00,908.75,910.7,908.0,910.4,75981
2025-04-21 14:00:00,910.05,911.45,910.0,910.5,36020
2025-04-21 14:15:00,910.5,911.0,909.55,910.0,57561
2025-04-21 14:30:00,910.0,910.4,907.35,910.0,99898
2025-04-21 14:45:00,910.0,910.85,909.75,910.0,101548
2025-04-21 15:00:00,910.1,910.95,907.0,910.4,90421
2025-04-21 15:15:00,910.2,911.0,910.0,910.0,54263
2025-04-22 09:15:00,910.0,915.0,905.1,907.0,59771
2025-04-22 09:30:00,907.0,909.65,906.0,907.05,48040
2025-04-22 09:45:00,907.3,909.4,906.0,906.75,33027
2025-04-22 10:00:00,906.3,908.9,906.3,907.95,15684
2025-04-22 10:15:00,907.9,908.05,906.0,907.0,17689
2025-04-22 10:30:00,907.0,908.9,906.5,908.35,20723
2025-04-22 10:45:00,908.35,908.6,902.55,904.05,30972
2025-04-22 11:00:00,903.65,904.3,898.55,899.35,55326
2025-04-22 11:15:00,899.35,900.8,896.4,899.15,73938
2025-04-22 11:30:00,898.95,905.5,897.1,900.9,80177
2025-04-22 11:45:00,900.3,901.0,899.45,900.35,65605
2025-04-22 12:00:00,900.7,904.35,899.75,903.0,64616
2025-04-22 12:15:00,903.65,904.0,900.1,901.0,45664
2025-04-22 12:30:00,901.0,901.25,898.05,899.65,60882
2025-04-22 12:45:00,899.95,902.6,899.5,900.35,41646
2025-04-22 13:00:00,900.35,905.3,898.6,903.0,61413
2025-04-22 13:15:00,903.45,911.7,902.25,910.2,68651
2025-04-22 13:30:00,910.2,912.95,909.05,911.3,63916
2025-04-22 13:45:00,911.45,913.85,911.25,912.8,43132
2025-04-22 14:00:00,912.55,914.8,910.0,914.8,182632
2025-04-22 14:15:00,914.8,917.15,912.85,917.15,51208
2025-04-22 14:30:00,916.95,922.9,915.35,921.05,173910
2025-04-22 14:45:00,921.1,921.7,916.1,919.45,54091
2025-04-22 15:00:00,919.2,919.5,915.95,916.15,68091
2025-04-22 15:15:00,916.15,916.45,913.2,915.5,139064
2025-04-23 09:15:00,914.8,921.55,910.05,915.05,98781
2025-04-23 09:30:00,914.55,914.8,906.5,909.15,53586
2025-04-23 09:45:00,909.15,909.95,902.8,906.3,51326
2025-04-23 10:00:00,906.3,909.2,904.9,907.15,76232
2025-04-23 10:15:00,907.15,909.85,905.9,909.3,32429
2025-04-23 10:30:00,909.3,912.8,906.0,906.4,43319
2025-04-23 10:45:00,906.4,907.45,901.3,904.0,49594
2025-04-23 11:00:00,904.0,906.75,902.95,905.75,31105
2025-04-23 11:15:00,905.75,907.15,905.55,905.65,24851
2025-04-23 11:30:00,905.65,908.65,904.4,908.55,22705
2025-04-23 11:45:00,907.4,915.5,907.1,913.15,36878
2025-04-23 12:00:00,913.2,918.0,911.35,916.25,35990
2025-04-23 12:15:00,916.25,920.7,914.05,915.2,47490
2025-04-23 12:30:00,915.2,916.6,913.2,916.6,20627
2025-04-23 12:45:00,916.6,918.35,915.9,917.45,16695
2025-04-23 13:00:00,917.0,917.8,915.2,916.15,21122
2025-04-23 13:15:00,915.8,917.0,915.25,916.55,15968
2025-04-23 13:30:00,916.55,918.85,916.25,918.3,16029
2025-04-23 13:45:00,918.2,921.25,917.25,920.7,35284
2025-04-23 14:00:00,920.3,921.55,918.15,918.85,33738
2025-04-23 14:15:00,918.6,919.75,915.05,917.3,29992
2025-04-23 14:30:00,917.25,919.0,913.4,918.55,65215
2025-04-23 14:45:00,918.2,918.5,914.1,914.65,47254
2025-04-23 15:00:00,914.6,917.85,914.0,916.95,71027
2025-04-23 15:15:00,916.95,917.1,913.65,913.7,77888
2025-04-24 09:15:00,911.0,919.0,909.0,911.7,62910
2025-04-24 09:30:00,911.2,914.4,910.05,913.5,37242
2025-04-24 09:45:00,913.5,915.0,907.5,913.4,57629
2025-04-24 10:00:00,913.4,914.0,911.35,911.35,43326
2025-04-24 10:15:00,911.35,914.7,911.0,912.9,74988
2025-04-24 10:30:00,913.25,914.5,912.1,914.35,11871
2025-04-24 10:45:00,914.0,916.85,912.95,913.3,40516
2025-04-24 11:00:00,913.3,920.0,912.85,917.4,40418
2025-04-24 11:15:00,917.4,918.25,915.55,916.45,14793
2025-04-24 11:30:00,916.45,921.0,916.45,920.7,52157
2025-04-24 11:45:00,920.7,923.35,917.1,918.65,85675
2025-04-24 12:00:00,918.65,922.4,917.85,921.4,171195
2025-04-24 12:15:00,921.4,924.25,920.05,922.35,51748
2025-04-24 12:30:00,922.35,923.1,920.1,921.8,25860
2025-04-24 12:45:00,922.1,926.0,921.7,923.4,52354
2025-04-24 13:00:00,923.4,930.65,921.15,921.7,114775
2025-04-24 13:15:00,921.7,925.5,921.35,925.5,34806
2025-04-24 13:30:00,925.0,927.35,924.45,925.3,31103
2025-04-24 13:45:00,924.6,927.5,924.25,926.35,62183
2025-04-24 14:00:00,926.35,927.9,926.0,926.15,32431
2025-04-24 14:15:00,926.15,927.05,925.75,926.6,58474
2025-04-24 14:30:00,926.6,928.85,926.0,927.65,72929
2025-04-24 14:45:00,927.65,929.0,926.0,926.1,43192
2025-04-24 15:00:00,926.35,928.45,926.0,927.7,63132
2025-04-24 15:15:00,927.7,928.25,922.05,924.0,110174
2025-04-25 09:15:00,875.0,898.95,871.0,886.55,1030445
