date,open,high,low,close,volume
2025-04-11 09:15:00,610.0,612.8,601.1,607.5,4135873
2025-04-11 09:30:00,607.55,609.9,605.0,605.55,1498840
2025-04-11 09:45:00,605.5,607.6,601.0,601.2,1612446
2025-04-11 10:00:00,601.2,603.6,600.8,602.8,821175
2025-04-11 10:15:00,603.0,603.65,599.3,599.7,857199
2025-04-11 10:30:00,599.85,601.35,597.15,598.2,784798
2025-04-11 10:45:00,598.05,600.55,597.0,600.1,612813
2025-04-11 11:00:00,600.3,601.6,599.25,600.35,678275
2025-04-11 11:15:00,600.3,600.9,598.3,600.2,392149
2025-04-11 11:30:00,600.2,603.0,600.15,601.5,531571
2025-04-11 11:45:00,601.25,602.0,600.3,600.9,303728
2025-04-11 12:00:00,600.85,601.8,600.0,601.55,262330
2025-04-11 12:15:00,601.55,601.95,600.2,600.95,251661
2025-04-11 12:30:00,600.85,600.85,598.05,598.95,475582
2025-04-11 12:45:00,598.9,600.25,598.5,598.85,337645
2025-04-11 13:00:00,598.85,600.4,598.8,599.7,260351
2025-04-11 13:15:00,599.7,599.75,596.55,596.6,610021
2025-04-11 13:30:00,596.5,597.7,595.65,597.5,539506
2025-04-11 13:45:00,597.45,597.45,595.0,595.5,489437
2025-04-11 14:00:00,595.45,595.5,592.0,593.0,787702
2025-04-11 14:15:00,593.0,593.5,591.0,592.15,640905
2025-04-11 14:30:00,592.2,594.45,592.0,593.9,478849
2025-04-11 14:45:00,593.75,594.8,593.1,593.75,555726
2025-04-11 15:00:00,593.75,596.55,593.05,595.75,1330690
2025-04-11 15:15:00,595.85,596.6,594.1,596.4,1486055
2025-04-15 09:15:00,614.0,628.3,612.65,625.2,5682376
2025-04-15 09:30:00,625.3,626.65,623.15,624.7,1707313
2025-04-15 09:45:00,624.55,624.55,622.25,623.8,980467
2025-04-15 10:00:00,623.75,626.25,623.0,624.0,859079
2025-04-15 10:15:00,623.8,624.5,622.5,622.75,422443
2025-04-15 10:30:00,622.95,623.7,621.6,622.85,539574
2025-04-15 10:45:00,622.85,623.4,621.55,621.85,353240
2025-04-15 11:00:00,621.8,623.5,621.75,622.5,383365
2025-04-15 11:15:00,622.5,622.95,621.3,622.1,379990
2025-04-15 11:30:00,622.1,623.5,620.6,620.75,497409
2025-04-15 11:45:00,620.75,621.3,619.7,621.15,620511
2025-04-15 12:00:00,621.15,621.9,620.3,621.35,305562
2025-04-15 12:15:00,621.3,622.2,620.6,621.55,286908
2025-04-15 12:30:00,621.55,622.1,621.4,621.6,197960
2025-04-15 12:45:00,621.55,622.5,621.1,621.9,214810
2025-04-15 13:00:00,621.95,623.0,621.85,622.4,312006
2025-04-15 13:15:00,622.35,622.55,621.05,621.3,255251
2025-04-15 13:30:00,621.35,621.4,620.6,620.6,223417
2025-04-15 13:45:00,620.6,621.4,620.5,620.7,208078
2025-04-15 14:00:00,620.75,620.85,619.6,619.95,427744
2025-04-15 14:15:00,619.95,620.5,619.75,619.8,249576
2025-04-15 14:30:00,619.8,620.0,618.2,618.75,642151
2025-04-15 14:45:00,618.75,621.9,618.6,619.65,956783
2025-04-15 15:00:00,619.65,622.5,619.65,622.35,1260060
2025-04-15 15:15:00,622.5,623.6,621.8,622.5,1506050
2025-04-16 09:15:00,625.0,625.0,615.2,621.3,1790968
2025-04-16 09:30:00,621.3,621.3,618.45,619.7,616520
2025-04-16 09:45:00,619.55,619.7,616.8,618.0,476626
2025-04-16 10:00:00,617.85,619.1,617.55,618.9,238274
2025-04-16 10:15:00,618.9,618.9,615.5,615.7,704573
2025-04-16 10:30:00,615.9,616.95,615.5,616.25,310113
2025-04-16 10:45:00,616.1,616.5,614.0,614.75,456304
2025-04-16 11:00:00,614.9,615.95,613.6,615.5,411004
2025-04-16 11:15:00,615.4,616.6,615.3,615.45,317798
2025-04-16 11:30:00,615.5,616.3,615.25,616.3,257680
2025-04-16 11:45:00,616.2,617.45,615.5,616.25,262718
2025-04-16 12:00:00,616.2,616.85,616.15,616.7,223324
2025-04-16 12:15:00,616.7,617.3,616.2,617.1,383047
2025-04-16 12:30:00,617.0,617.8,617.0,617.05,204881
2025-04-16 12:45:00,617.05,617.2,616.0,616.75,351503
2025-04-16 13:00:00,616.7,617.65,615.55,616.55,239723
2025-04-16 13:15:00,616.55,616.95,614.0,614.0,579543
2025-04-16 13:30:00,614.25,615.4,614.0,614.75,222121
2025-04-16 13:45:00,614.6,616.9,614.5,616.9,380739
2025-04-16 14:00:00,616.75,617.05,615.35,616.65,542405
2025-04-16 14:15:00,616.6,616.6,615.0,615.35,335972
2025-04-16 14:30:00,615.4,615.6,614.3,614.8,437587
2025-04-16 14:45:00,614.8,616.0,614.6,615.8,404089
2025-04-16 15:00:00,615.8,616.9,615.45,615.8,869054
2025-04-16 15:15:00,615.9,616.7,615.35,616.2,1198302
2025-04-17 09:15:00,616.05,616.1,608.25,608.45,1561900
2025-04-17 09:30:00,608.45,612.9,608.45,612.25,765259
2025-04-17 09:45:00,612.25,615.5,612.05,612.35,672382
2025-04-17 10:00:00,612.15,612.8,611.05,611.65,333619
2025-04-17 10:15:00,611.55,613.9,611.5,613.7,296483
2025-04-17 10:30:00,613.7,616.9,613.0,616.8,468722
