date,open,high,low,close,volume
2025-04-11 09:15:00,131.6,131.63,127.52,128.49,11186709
2025-04-11 09:30:00,128.58,130.74,128.5,130.67,7084959
2025-04-11 09:45:00,130.68,131.14,129.53,129.72,7401513
2025-04-11 10:00:00,129.77,130.09,129.38,129.85,3161181
2025-04-11 10:15:00,129.85,130.16,129.5,129.62,2512858
2025-04-11 10:30:00,129.6,130.02,129.24,129.58,2367591
2025-04-11 10:45:00,129.6,130.03,129.4,129.97,1633140
2025-04-11 11:00:00,129.98,130.11,129.43,129.83,2519711
2025-04-11 11:15:00,129.87,130.35,129.66,129.99,2370730
2025-04-11 11:30:00,129.99,131.08,129.96,130.8,3155046
2025-04-11 11:45:00,130.82,131.08,130.5,130.9,2132942
2025-04-11 12:00:00,130.9,130.95,130.58,130.86,1137731
2025-04-11 12:15:00,130.85,130.9,130.65,130.71,1113166
2025-04-11 12:30:00,130.71,131.03,130.57,130.82,1615384
2025-04-11 12:45:00,130.77,131.43,130.77,131.16,2074534
2025-04-11 13:00:00,131.16,131.37,131.09,131.17,1391326
2025-04-11 13:15:00,131.21,131.22,130.71,130.77,1304774
2025-04-11 13:30:00,130.81,130.81,129.9,130.43,2287826
2025-04-11 13:45:00,130.45,130.46,129.92,130.16,1509669
2025-04-11 14:00:00,130.15,130.16,129.63,129.76,1737419
2025-04-11 14:15:00,129.76,129.97,129.48,129.54,1564123
2025-04-11 14:30:00,129.54,129.95,129.48,129.94,1249146
2025-04-11 14:45:00,129.94,130.35,129.86,130.34,2296893
2025-04-11 15:00:00,130.34,130.7,130.23,130.45,3310207
2025-04-11 15:15:00,130.45,130.57,130.16,130.43,4753361
2025-04-15 09:15:00,132.51,132.74,131.77,132.64,5684815
2025-04-15 09:30:00,132.63,133.1,132.56,132.8,3089848
2025-04-15 09:45:00,132.79,133.28,132.61,133.18,2193658
2025-04-15 10:00:00,133.17,133.57,132.71,132.97,2130771
2025-04-15 10:15:00,132.92,133.45,132.76,132.8,1535624
2025-04-15 10:30:00,132.8,133.08,132.75,132.91,758035
2025-04-15 10:45:00,132.92,133.0,132.41,132.65,1321915
2025-04-15 11:00:00,132.63,132.84,132.56,132.58,654995
2025-04-15 11:15:00,132.61,133.14,132.53,133.05,859877
2025-04-15 11:30:00,133.05,133.05,132.56,132.58,477144
2025-04-15 11:45:00,132.58,132.63,132.34,132.58,875789
2025-04-15 12:00:00,132.58,132.66,132.43,132.57,443052
2025-04-15 12:15:00,132.58,132.75,132.53,132.58,539645
2025-04-15 12:30:00,132.63,132.99,132.41,132.5,1503628
2025-04-15 12:45:00,132.54,132.85,132.47,132.77,621582
2025-04-15 13:00:00,132.77,133.1,132.68,132.8,922226
2025-04-15 13:15:00,132.83,133.27,132.75,133.18,849491
2025-04-15 13:30:00,133.21,133.24,132.8,133.06,595795
2025-04-15 13:45:00,133.09,133.13,132.85,132.86,573370
2025-04-15 14:00:00,132.86,132.96,132.61,132.65,739063
2025-04-15 14:15:00,132.7,133.25,132.63,132.85,1365919
2025-04-15 14:30:00,132.86,133.03,132.75,132.93,885448
2025-04-15 14:45:00,132.91,133.29,132.8,132.82,1797656
2025-04-15 15:00:00,132.88,133.24,132.85,133.24,3119111
2025-04-15 15:15:00,133.23,133.88,133.14,133.58,5126664
2025-04-16 09:15:00,133.3,133.4,132.02,132.57,5057747
2025-04-16 09:30:00,132.57,132.66,131.93,132.34,2343339
2025-04-16 09:45:00,132.34,132.43,132.14,132.23,1312881
2025-04-16 10:00:00,132.31,132.46,132.22,132.31,788103
2025-04-16 10:15:00,132.29,132.31,131.68,131.89,2717694
2025-04-16 10:30:00,131.88,132.25,131.8,132.14,971734
2025-04-16 10:45:00,132.15,132.28,132.07,132.09,862899
2025-04-16 11:00:00,132.1,132.2,131.75,132.18,1386007
2025-04-16 11:15:00,132.18,132.59,132.16,132.43,1883009
2025-04-16 11:30:00,132.43,132.51,132.15,132.35,717042
2025-04-16 11:45:00,132.35,132.41,132.25,132.33,386338
2025-04-16 12:00:00,132.33,132.53,132.26,132.45,692124
2025-04-16 12:15:00,132.45,132.95,132.4,132.8,1676040
2025-04-16 12:30:00,132.81,133.0,132.75,132.86,775018
2025-04-16 12:45:00,132.86,132.94,132.63,132.64,558110
2025-04-16 13:00:00,132.64,132.69,132.12,132.37,1119146
2025-04-16 13:15:00,132.36,132.46,131.91,131.92,1683897
2025-04-16 13:30:00,131.92,132.06,131.79,131.97,1026118
2025-04-16 13:45:00,131.97,132.83,131.55,132.67,1861566
2025-04-16 14:00:00,132.66,134.31,132.66,134.21,4548440
2025-04-16 14:15:00,134.25,134.46,133.33,133.39,2153405
2025-04-16 14:30:00,133.41,133.52,133.09,133.29,1136144
2025-04-16 14:45:00,133.26,134.26,133.14,133.89,1902800
2025-04-16 15:00:00,133.97,134.16,133.68,133.73,1754208
2025-04-16 15:15:00,133.74,134.07,133.7,133.98,3000871
2025-04-17 09:15:00,131.34,132.1,131.04,131.19,9390422
2025-04-17 09:30:00,131.19,131.73,130.65,131.6,4768789
2025-04-17 09:45:00,131.61,131.99,131.36,131.48,2452188
