date,open,high,low,close,volume
2025-04-11 09:15:00,118.6,119.8,117.66,118.25,1364133
2025-04-11 09:30:00,118.3,119.04,118.17,118.7,411329
2025-04-11 09:45:00,118.7,119.1,118.2,118.54,572339
2025-04-11 10:00:00,118.64,118.89,118.02,118.42,380924
2025-04-11 10:15:00,118.42,118.69,118.1,118.24,163006
2025-04-11 10:30:00,118.24,118.55,117.73,118.16,225654
2025-04-11 10:45:00,118.15,118.75,117.83,118.67,167750
2025-04-11 11:00:00,118.67,118.98,118.54,118.9,246180
2025-04-11 11:15:00,118.9,119.3,118.8,119.2,276174
2025-04-11 11:30:00,119.2,119.44,119.07,119.29,198423
2025-04-11 11:45:00,119.34,120.52,119.1,119.96,1185583
2025-04-11 12:00:00,119.96,120.55,119.52,120.1,458609
2025-04-11 12:15:00,120.1,120.14,119.8,119.93,185346
2025-04-11 12:30:00,119.93,120.05,118.32,118.84,622174
2025-04-11 12:45:00,118.84,119.26,118.72,119.03,254085
2025-04-11 13:00:00,119.03,119.14,118.76,118.99,103579
2025-04-11 13:15:00,118.99,119.03,118.66,118.72,99081
2025-04-11 13:30:00,118.72,118.79,118.36,118.6,199317
2025-04-11 13:45:00,118.68,119.31,118.41,118.53,263813
2025-04-11 14:00:00,118.41,118.48,117.62,117.72,366750
2025-04-11 14:15:00,117.73,117.92,117.35,117.44,293281
2025-04-11 14:30:00,117.4,117.99,117.4,117.93,244909
2025-04-11 14:45:00,117.93,118.38,117.93,118.04,315416
2025-04-11 15:00:00,118.04,118.07,117.65,117.95,533077
2025-04-11 15:15:00,117.9,118.0,117.65,117.96,755155
2025-04-15 09:15:00,120.12,120.88,119.5,120.61,1361399
2025-04-15 09:30:00,120.55,121.2,120.36,120.82,890379
2025-04-15 09:45:00,120.82,121.4,120.53,120.53,455835
2025-04-15 10:00:00,120.53,120.8,120.29,120.76,341001
2025-04-15 10:15:00,120.76,120.84,120.55,120.61,191656
2025-04-15 10:30:00,120.6,120.8,120.59,120.7,207301
2025-04-15 10:45:00,120.68,120.87,120.51,120.79,158044
2025-04-15 11:00:00,120.79,121.05,120.79,120.9,157211
2025-04-15 11:15:00,120.9,120.99,120.75,120.96,131908
2025-04-15 11:30:00,120.96,121.4,120.96,121.27,232312
2025-04-15 11:45:00,121.27,121.32,120.86,121.3,320299
2025-04-15 12:00:00,121.33,121.41,120.87,121.02,175795
2025-04-15 12:15:00,121.03,121.06,120.72,120.91,194874
2025-04-15 12:30:00,120.91,121.0,120.83,120.87,128499
2025-04-15 12:45:00,120.87,120.88,120.75,120.77,84856
2025-04-15 13:00:00,120.77,121.0,120.76,120.8,98703
2025-04-15 13:15:00,120.78,121.05,120.75,120.9,125638
2025-04-15 13:30:00,120.9,121.0,120.75,120.94,327459
2025-04-15 13:45:00,120.9,121.25,120.9,121.2,290489
2025-04-15 14:00:00,121.2,121.9,121.17,121.6,481699
2025-04-15 14:15:00,121.56,122.0,121.56,121.96,266015
2025-04-15 14:30:00,121.96,122.0,121.72,121.75,213735
2025-04-15 14:45:00,121.75,122.1,121.75,121.95,233060
2025-04-15 15:00:00,121.98,122.42,121.97,122.34,679808
2025-04-15 15:15:00,122.35,122.68,122.34,122.57,948993
2025-04-16 09:15:00,122.6,124.52,122.25,124.41,1297995
2025-04-16 09:30:00,124.41,125.0,124.05,124.7,1171100
2025-04-16 09:45:00,124.7,124.93,124.34,124.55,511972
2025-04-16 10:00:00,124.58,125.2,124.55,125.05,565623
2025-04-16 10:15:00,125.12,125.35,124.3,125.04,609745
2025-04-16 10:30:00,125.04,125.2,124.72,124.95,274599
2025-04-16 10:45:00,124.97,125.4,124.9,125.18,321210
2025-04-16 11:00:00,125.18,125.5,124.83,125.47,347615
2025-04-16 11:15:00,125.47,126.14,125.39,125.95,804891
2025-04-16 11:30:00,125.95,126.34,125.86,126.22,356698
2025-04-16 11:45:00,126.27,126.4,126.05,126.31,228926
2025-04-16 12:00:00,126.32,126.6,125.86,125.88,679889
2025-04-16 12:15:00,125.88,125.99,125.8,125.88,160731
2025-04-16 12:30:00,125.87,125.94,125.61,125.77,125218
2025-04-16 12:45:00,125.8,125.8,125.52,125.55,265966
2025-04-16 13:00:00,125.55,125.97,125.5,125.92,157183
2025-04-16 13:15:00,125.94,125.95,124.6,124.63,542081
2025-04-16 13:30:00,124.61,124.94,124.37,124.9,253600
2025-04-16 13:45:00,124.9,125.28,124.71,125.19,278546
2025-04-16 14:00:00,125.2,125.82,125.2,125.75,362808
2025-04-16 14:15:00,125.69,125.9,125.42,125.7,193040
2025-04-16 14:30:00,125.7,126.37,125.4,126.2,658997
2025-04-16 14:45:00,126.1,127.2,126.08,127.06,1093947
2025-04-16 15:00:00,127.12,127.65,126.9,127.3,1077070
2025-04-16 15:15:00,127.3,127.54,127.05,127.34,1394559
2025-04-17 09:15:00,127.1,127.85,125.81,126.05,1157227
2025-04-17 09:30:00,126.09,126.55,125.8,126.17,504877
2025-04-17 09:45:00,126.21,126.48,125.7,125.83,472261
2025-04-17 10:00:00,125.88,125.88,125.15,125.48,474720
2025-04-17 10:15:00,125.58,125.99,125.4,125.73,199332
2025-04-17 10:30:00,125.81,126.24,125.75,126.05,196153
2025-04-17 10:45:00,126.05,126.18,125.72,125.89,249444
2025-04-17 11:00:00,125.95,126.4,125.9,126.33,173066
2025-04-17 11:15:00,126.3,126.4,126.2,126.38,136794
2025-04-17 11:30:00,126.38,126.59,126.13,126.43,268845
2025-04-17 11:45:00,126.43,126.46,125.9,126.1,221967
2025-04-17 12:00:00,126.05,126.2,125.92,126.12,136193
2025-04-17 12:15:00,126.04,126.2,125.92,126.2,181205
2025-04-17 12:30:00,126.2,127.36,126.15,126.87,674582
2025-04-17 12:45:00,126.87,127.48,126.7,127.35,323301
2025-04-17 13:00:00,127.44,127.74,127.25,127.31,430018
2025-04-17 13:15:00,127.31,127.42,126.9,126.91,258320
2025-04-17 13:30:00,126.97,127.15,126.71,127.04,292276
2025-04-17 13:45:00,127.04,127.2,126.96,127.16,109455
2025-04-17 14:00:00,127.16,127.24,126.79,126.79,116907
2025-04-17 14:15:00,126.81,127.24,126.66,127.1,154604
2025-04-17 14:30:00,127.1,127.38,127.05,127.16,144960
2025-04-17 14:45:00,127.15,127.22,126.69,126.69,402816
2025-04-17 15:00:00,126.71,126.88,126.53,126.63,700044
2025-04-17 15:15:00,126.57,126.7,126.45,126.49,932628
2025-04-21 09:15:00,126.59,128.55,126.4,128.55,1201873
2025-04-21 09:30:00,128.44,129.59,128.44,129.09,1332979
2025-04-21 09:45:00,129.11,129.15,128.29,128.49,702545
2025-04-21 10:00:00,128.43,129.0,128.36,128.84,317531
2025-04-21 10:15:00,128.84,129.8,128.8,129.55,967275
2025-04-21 10:30:00,129.66,129.75,128.9,128.98,690499
2025-04-21 10:45:00,129.0,129.3,128.93,129.07,167944
2025-04-21 11:00:00,129.06,129.41,129.03,129.22,149618
2025-04-21 11:15:00,129.22,129.23,128.91,129.08,361586
2025-04-21 11:30:00,129.08,129.25,128.91,129.2,302071
2025-04-21 11:45:00,129.2,129.78,129.05,129.55,539982
2025-04-21 12:00:00,129.55,129.75,129.34,129.43,226391
2025-04-21 12:15:00,129.43,129.9,129.39,129.5,327067
2025-04-21 12:30:00,129.54,129.9,129.18,129.28,323634
2025-04-21 12:45:00,129.28,129.32,129.1,129.21,143535
2025-04-21 13:00:00,129.22,129.35,128.83,129.12,434834
2025-04-21 13:15:00,129.12,129.35,129.06,129.1,365843
2025-04-21 13:30:00,129.1,129.29,128.9,129.08,330644
2025-04-21 13:45:00,129.05,129.3,128.9,129.22,271676
2025-04-21 14:00:00,129.22,129.3,129.0,129.01,184528
2025-04-21 14:15:00,129.01,129.19,128.92,129.07,211275
2025-04-21 14:30:00,129.1,129.13,128.91,129.0,188349
2025-04-21 14:45:00,129.0,129.21,128.99,129.04,256590
2025-04-21 15:00:00,129.04,129.1,128.61,128.7,509734
2025-04-21 15:15:00,128.7,128.8,128.42,128.51,1355506
2025-04-22 09:15:00,130.1,130.44,128.2,128.98,1145660
2025-04-22 09:30:00,129.04,130.14,129.04,129.75,646090
2025-04-22 09:45:00,129.83,129.89,128.9,128.97,315172
2025-04-22 10:00:00,128.9,129.66,128.9,129.42,156094
2025-04-22 10:15:00,129.42,130.39,129.3,129.99,1310936
2025-04-22 10:30:00,130.0,130.36,129.71,130.03,1507385
2025-04-22 10:45:00,130.03,130.5,129.94,130.0,1339448
2025-04-22 11:00:00,130.0,130.4,129.95,130.38,1149765
2025-04-22 11:15:00,130.38,130.8,129.91,130.0,2050959
2025-04-22 11:30:00,130.02,130.45,129.44,129.98,1925563
2025-04-22 11:45:00,130.09,130.3,129.98,130.22,231405
2025-04-22 12:00:00,130.16,130.34,130.01,130.07,242864
2025-04-22 12:15:00,130.07,130.2,129.87,130.09,224563
2025-04-22 12:30:00,130.09,130.2,129.96,130.05,819800
2025-04-22 12:45:00,130.03,130.17,129.65,130.07,507044
2025-04-22 13:00:00,130.14,130.16,129.75,129.81,285642
2025-04-22 13:15:00,129.81,129.97,129.6,129.66,422043
2025-04-22 13:30:00,129.7,129.84,129.28,129.8,604259
2025-04-22 13:45:00,129.79,129.87,129.32,129.4,432943
2025-04-22 14:00:00,129.39,129.39,128.73,128.79,700515
2025-04-22 14:15:00,128.8,129.0,127.8,128.18,1816683
2025-04-22 14:30:00,128.18,128.18,127.0,128.0,1008837
2025-04-22 14:45:00,128.0,128.06,126.85,127.56,1209844
2025-04-22 15:00:00,127.56,127.72,127.22,127.27,805360
2025-04-22 15:15:00,127.26,127.75,127.11,127.58,2507922
2025-04-23 09:15:00,128.51,129.0,126.92,127.49,3093188
2025-04-23 09:30:00,127.48,127.68,125.77,127.52,3647503
2025-04-23 09:45:00,127.46,127.59,126.86,127.21,928307
2025-04-23 10:00:00,127.21,127.4,125.9,125.9,606265
2025-04-23 10:15:00,125.95,126.47,125.64,126.21,636825
2025-04-23 10:30:00,126.22,126.45,125.56,125.72,623061
2025-04-23 10:45:00,125.67,125.75,125.21,125.65,516978
2025-04-23 11:00:00,125.65,126.05,125.35,125.65,553624
2025-04-23 11:15:00,125.65,126.4,125.1,126.33,2052914
