date,open,high,low,close,volume
2025-04-11 09:15:00,385.0,386.0,378.4,382.45,2549090
2025-04-11 09:30:00,382.5,387.55,382.4,387.5,1125033
2025-04-11 09:45:00,387.45,388.8,381.9,382.85,1294832
2025-04-11 10:00:00,382.85,383.6,381.75,382.8,554592
2025-04-11 10:15:00,382.8,383.65,380.6,380.75,444800
2025-04-11 10:30:00,380.7,382.8,379.2,380.5,504763
2025-04-11 10:45:00,380.2,381.65,379.75,380.9,279837
2025-04-11 11:00:00,381.0,382.6,381.0,382.3,199775
2025-04-11 11:15:00,382.3,382.55,381.4,382.1,189616
2025-04-11 11:30:00,382.2,383.75,382.0,383.1,262110
2025-04-11 11:45:00,383.15,384.1,382.35,383.25,235962
2025-04-11 12:00:00,383.2,385.3,383.1,384.85,385805
2025-04-11 12:15:00,385.05,385.1,383.1,383.6,272383
2025-04-11 12:30:00,383.65,385.55,383.3,384.35,317039
2025-04-11 12:45:00,384.45,384.75,383.75,383.8,160905
2025-04-11 13:00:00,383.8,384.55,383.5,383.95,193344
2025-04-11 13:15:00,384.0,384.05,382.7,383.0,233189
2025-04-11 13:30:00,382.8,383.0,381.6,381.9,293352
2025-04-11 13:45:00,381.9,382.15,379.95,380.5,402067
2025-04-11 14:00:00,380.45,380.65,378.7,379.2,481911
2025-04-11 14:15:00,379.1,379.85,378.05,379.45,417879
2025-04-11 14:30:00,379.45,380.85,379.25,380.0,298853
2025-04-11 14:45:00,380.3,381.3,380.05,381.2,333129
2025-04-11 15:00:00,381.15,381.15,379.7,380.0,492379
2025-04-11 15:15:00,380.0,380.35,380.0,380.0,879909
2025-04-15 09:15:00,389.95,391.0,384.05,388.6,1581831
2025-04-15 09:30:00,388.8,393.5,388.15,392.5,1412146
2025-04-15 09:45:00,392.5,394.2,391.6,391.95,622014
2025-04-15 10:00:00,392.0,392.5,391.0,391.6,329805
2025-04-15 10:15:00,391.6,392.9,391.3,391.3,224011
2025-04-15 10:30:00,391.45,392.65,391.3,392.3,378296
2025-04-15 10:45:00,392.3,393.6,392.05,392.15,267510
2025-04-15 11:00:00,392.15,392.2,390.0,390.1,226845
2025-04-15 11:15:00,390.1,392.0,390.1,391.55,129013
2025-04-15 11:30:00,391.55,391.55,390.35,390.45,206124
2025-04-15 11:45:00,390.6,390.65,389.4,390.4,346764
2025-04-15 12:00:00,390.4,390.7,390.1,390.45,102010
2025-04-15 12:15:00,390.6,391.95,390.5,391.1,185604
2025-04-15 12:30:00,391.05,392.45,391.0,391.55,169789
2025-04-15 12:45:00,391.55,393.5,391.3,393.25,188628
2025-04-15 13:00:00,393.25,394.9,392.65,394.2,486949
2025-04-15 13:15:00,394.25,394.8,393.8,394.65,192506
2025-04-15 13:30:00,394.65,394.65,392.85,393.6,174238
2025-04-15 13:45:00,393.55,394.5,392.9,394.1,171221
2025-04-15 14:00:00,394.1,394.15,393.15,393.7,154958
2025-04-15 14:15:00,393.7,394.3,393.4,393.4,144629
2025-04-15 14:30:00,393.45,393.85,393.2,393.8,179977
2025-04-15 14:45:00,393.75,394.8,393.6,394.8,420909
2025-04-15 15:00:00,394.8,395.75,394.55,395.15,847204
2025-04-15 15:15:00,395.1,397.7,395.1,396.85,1258799
2025-04-16 09:15:00,398.0,400.0,394.2,398.25,1168200
2025-04-16 09:30:00,398.25,398.65,395.05,396.8,519979
2025-04-16 09:45:00,396.6,396.75,395.75,396.3,213373
2025-04-16 10:00:00,396.25,396.85,395.3,395.75,213286
2025-04-16 10:15:00,395.75,395.9,393.05,394.45,452312
2025-04-16 10:30:00,394.45,395.0,393.85,393.9,170146
2025-04-16 10:45:00,393.9,394.6,393.7,393.85,204201
2025-04-16 11:00:00,394.0,394.35,392.05,394.35,316159
2025-04-16 11:15:00,394.25,394.45,393.85,394.0,143145
2025-04-16 11:30:00,394.1,394.25,393.0,394.25,162318
2025-04-16 11:45:00,394.3,394.45,394.0,394.1,91602
2025-04-16 12:00:00,394.15,394.9,394.0,394.4,160112
2025-04-16 12:15:00,394.5,395.95,394.35,395.25,201287
2025-04-16 12:30:00,395.05,395.25,394.45,394.9,110626
2025-04-16 12:45:00,394.95,395.0,394.1,394.2,113875
2025-04-16 13:00:00,394.25,394.5,393.5,394.25,127488
2025-04-16 13:15:00,394.2,394.5,391.75,391.85,349824
2025-04-16 13:30:00,391.85,392.5,391.6,392.0,183031
2025-04-16 13:45:00,392.0,395.0,391.1,394.25,343434
2025-04-16 14:00:00,394.25,400.75,394.25,400.0,1160279
2025-04-16 14:15:00,400.1,402.0,398.35,398.9,809995
2025-04-16 14:30:00,398.9,399.4,398.05,398.9,602065
2025-04-16 14:45:00,398.95,400.0,397.5,399.9,457294
2025-04-16 15:00:00,399.9,400.5,398.15,398.55,611497
2025-04-16 15:15:00,398.6,398.85,398.0,398.05,742861
2025-04-17 09:15:00,398.25,398.95,394.25,394.85,707632
2025-04-17 09:30:00,394.8,395.8,393.95,395.55,418868
2025-04-17 09:45:00,395.5,396.45,393.55,394.0,404272
2025-04-17 10:00:00,394.2,394.5,393.15,393.75,245242
2025-04-17 10:15:00,393.85,395.55,393.6,394.9,230408
2025-04-17 10:30:00,395.0,399.7,394.95,398.4,478603
2025-04-17 10:45:00,398.5,399.4,396.8,396.8,296802
2025-04-17 11:00:00,396.7,398.3,396.35,398.25,177656
2025-04-17 11:15:00,398.25,400.95,398.1,400.15,508551
2025-04-17 11:30:00,400.1,400.25,399.1,400.05,196519
2025-04-17 11:45:00,399.95,400.05,398.15,398.65,171744
2025-04-17 12:00:00,398.65,399.8,398.3,399.5,191908
2025-04-17 12:15:00,399.45,400.45,398.8,400.35,209918
2025-04-17 12:30:00,400.1,401.4,399.3,400.7,316312
2025-04-17 12:45:00,400.7,401.2,400.4,400.8,180165
2025-04-17 13:00:00,400.8,401.35,400.0,401.2,201157
2025-04-17 13:15:00,401.2,401.2,400.0,400.75,172321
2025-04-17 13:30:00,400.7,401.4,400.1,401.2,237461
2025-04-17 13:45:00,401.2,401.35,400.75,401.35,232513
2025-04-17 14:00:00,401.3,401.7,400.5,400.5,239332
2025-04-17 14:15:00,400.65,400.65,399.85,400.45,225856
2025-04-17 14:30:00,400.4,403.75,400.4,402.75,706451
2025-04-17 14:45:00,402.65,403.0,401.1,401.15,298930
2025-04-17 15:00:00,401.3,401.5,399.55,399.6,527380
2025-04-17 15:15:00,399.55,400.35,399.5,399.5,594479
2025-04-21 09:15:00,404.0,404.65,400.05,404.5,1051583
2025-04-21 09:30:00,404.6,406.4,404.45,405.1,807979
2025-04-21 09:45:00,405.1,408.35,405.05,407.2,580007
2025-04-21 10:00:00,407.4,408.4,406.8,408.25,325293
2025-04-21 10:15:00,407.95,410.5,407.15,409.8,549406
2025-04-21 10:30:00,409.8,410.2,408.75,409.35,549865
2025-04-21 10:45:00,409.5,410.4,409.2,410.3,242818
2025-04-21 11:00:00,410.35,411.0,410.0,410.7,279737
2025-04-21 11:15:00,410.8,411.9,410.45,410.7,262385
2025-04-21 11:30:00,410.7,410.9,409.6,410.8,204124
2025-04-21 11:45:00,410.7,411.0,410.4,410.7,94596
2025-04-21 12:00:00,410.85,410.85,410.1,410.45,90902
2025-04-21 12:15:00,410.2,411.35,410.1,410.75,130416
2025-04-21 12:30:00,410.9,411.5,410.65,410.65,168581
2025-04-21 12:45:00,410.5,411.0,410.45,410.8,78530
2025-04-21 13:00:00,410.9,411.3,410.6,411.1,85578
2025-04-21 13:15:00,411.2,411.5,410.3,410.3,130094
2025-04-21 13:30:00,410.3,410.7,409.25,409.35,244349
2025-04-21 13:45:00,409.45,412.75,409.45,411.6,332264
2025-04-21 14:00:00,411.7,412.1,411.5,412.1,226624
2025-04-21 14:15:00,412.05,412.1,411.5,411.7,192662
2025-04-21 14:30:00,411.8,412.0,411.0,411.6,221000
2025-04-21 14:45:00,411.9,412.45,411.35,412.1,252559
2025-04-21 15:00:00,412.1,412.2,410.85,411.7,353267
2025-04-21 15:15:00,411.65,412.9,411.5,412.75,507007
2025-04-22 09:15:00,414.0,418.3,413.0,415.95,1814772
2025-04-22 09:30:00,415.8,416.95,414.8,415.9,430666
2025-04-22 09:45:00,415.85,416.5,413.45,414.8,475286
2025-04-22 10:00:00,414.6,415.85,414.45,415.2,184750
2025-04-22 10:15:00,415.05,415.2,414.3,414.75,179513
2025-04-22 10:30:00,414.8,417.35,414.55,416.75,345570
2025-04-22 10:45:00,416.8,417.0,416.0,416.7,234354
2025-04-22 11:00:00,416.7,417.95,416.5,417.3,243641
2025-04-22 11:15:00,417.35,417.9,415.6,415.9,319671
2025-04-22 11:30:00,415.9,416.35,415.3,415.65,131927
2025-04-22 11:45:00,415.5,415.8,415.0,415.1,102998
2025-04-22 12:00:00,415.1,415.65,414.3,415.35,162764
2025-04-22 12:15:00,415.35,415.7,414.85,415.55,103775
2025-04-22 12:30:00,415.55,415.6,413.95,414.5,274339
2025-04-22 12:45:00,414.5,415.25,413.8,414.75,135158
2025-04-22 13:00:00,414.8,415.8,414.65,415.8,109785
2025-04-22 13:15:00,415.75,416.6,415.65,416.5,156343
2025-04-22 13:30:00,416.5,417.3,416.3,416.85,172816
2025-04-22 13:45:00,416.8,416.85,416.0,416.1,146386
2025-04-22 14:00:00,416.0,416.5,415.4,415.8,112233
2025-04-22 14:15:00,415.8,416.8,415.7,416.6,113738
2025-04-22 14:30:00,416.75,416.8,415.2,415.3,108403
2025-04-22 14:45:00,415.4,415.4,413.55,413.9,363849
2025-04-22 15:00:00,414.1,414.55,412.5,413.05,426302
2025-04-22 15:15:00,413.05,413.4,412.3,413.15,433527
2025-04-23 09:15:00,416.0,419.7,415.45,416.85,1197471
2025-04-23 09:30:00,416.9,417.0,413.55,415.9,554794
2025-04-23 09:45:00,415.9,416.85,414.65,415.35,304302
2025-04-23 10:00:00,415.35,415.45,410.85,410.95,734762
2025-04-23 10:15:00,411.15,414.3,410.6,414.0,379928
2025-04-23 10:30:00,414.0,414.35,411.7,412.65,229792
2025-04-23 10:45:00,412.65,413.9,411.8,413.6,315068
2025-04-23 11:00:00,413.65,415.9,413.65,414.1,406752
2025-04-23 11:15:00,414.3,415.25,413.85,413.95,139214
2025-04-23 11:30:00,413.95,416.8,413.9,416.75,259733
2025-04-23 11:45:00,416.55,416.75,415.8,416.0,178574
2025-04-23 12:00:00,416.0,417.25,415.5,417.2,266010
2025-04-23 12:15:00,417.15,418.25,416.65,416.7,401955
2025-04-23 12:30:00,416.65,417.2,416.6,417.2,145445
2025-04-23 12:45:00,417.05,417.65,416.55,417.65,152827
2025-04-23 13:00:00,417.6,418.2,416.15,416.15,237083
2025-04-23 13:15:00,416.25,417.5,415.85,417.5,162936
2025-04-23 13:30:00,417.5,417.85,417.0,417.45,139611
2025-04-23 13:45:00,417.5,417.95,417.3,417.75,177510
2025-04-23 14:00:00,417.8,418.8,417.75,418.15,256594
2025-04-23 14:15:00,418.2,418.45,417.4,417.7,157804
2025-04-23 14:30:00,417.6,418.75,417.3,417.65,234346
2025-04-23 14:45:00,417.6,418.5,417.35,418.4,212787
2025-04-23 15:00:00,418.4,418.45,417.7,417.95,486492
2025-04-23 15:15:00,418.0,419.2,417.6,418.0,907676
2025-04-24 09:15:00,418.2,420.85,416.5,420.2,849866
2025-04-24 09:30:00,420.15,424.75,419.85,424.7,986358
2025-04-24 09:45:00,424.65,429.0,422.25,426.5,1251709
2025-04-24 10:00:00,426.5,426.9,424.3,426.0,533473
2025-04-24 10:15:00,426.0,427.5,425.4,427.2,375152
2025-04-24 10:30:00,427.2,427.3,424.3,424.4,302918
2025-04-24 10:45:00,424.45,426.35,424.35,425.5,196339
2025-04-24 11:00:00,425.5,427.5,425.5,427.3,242057
2025-04-24 11:15:00,427.35,427.8,427.0,427.05,270311
2025-04-24 11:30:00,427.05,427.9,426.5,427.7,370145
2025-04-24 11:45:00,427.65,427.7,426.5,426.9,156807
