symbol,date,open,high,low,close,Signal,entry_price,target1,target2,target3,stop_loss
ADANIGREEN-I,2025-07-14 10:45:00,1029.7,1040.7,1028.9,1031.8,Sell,1028.9,1023.76,1017.38,1007.09,1034.04
ALKEM-I,2025-07-14 10:45:00,4881.7,4892.0,4870.0,4872.2,Sell,4870.0,4845.65,4815.46,4766.76,4894.35
ATGL-I,2025-07-14 10:45:00,652.15,658.0,652.15,653.2,Sell,652.15,648.89,644.85,638.32,655.41
BHEL-I,2025-07-14 10:45:00,258.95,259.65,258.95,259.0,Sell,258.95,257.66,256.05,253.46,260.24
BSE-I,2025-07-14 10:45:00,2473.2,2475.0,2458.0,2463.7,Sell,2458.0,2445.71,2430.47,2405.89,2470.29
CGPOWER-I,2025-07-14 10:45:00,680.55,683.0,677.75,678.0,Sell,677.75,674.36,670.16,663.38,681.14
CROMPTON-I,2025-07-14 10:45:00,335.45,337.15,335.4,337.0,Sell,335.4,333.72,331.64,328.29,337.08
DIVISLAB-I,2025-07-14 10:45:00,6719.0,6762.0,6717.0,6744.5,Sell,6717.0,6683.42,6641.77,6574.6,6750.58
DIXON-I,2025-07-14 10:45:00,16023.0,16059.0,15967.0,15967.0,Sell,15967.0,15887.16,15788.17,15628.5,16046.84
GODREJCP-I,2025-07-14 10:45:00,1286.4,1288.7,1286.4,1287.1,Sell,1286.4,1279.97,1271.99,1259.13,1292.83
HAL-I,2025-07-14 10:45:00,4910.0,4922.1,4903.9,4905.7,Sell,4903.9,4879.38,4848.98,4799.94,4928.42
HAVELLS-I,2025-07-14 10:45:00,1533.9,1536.9,1533.1,1535.4,Sell,1533.1,1525.43,1515.93,1500.6,1540.77
HDFCLIFE-I,2025-07-14 10:45:00,762.0,766.0,761.7,764.3,Sell,761.7,757.89,753.17,745.55,765.51
HFCL-I,2025-07-14 10:45:00,82.46,82.72,82.31,82.31,Sell,82.31,81.9,81.39,80.57,82.72
ICICIBANK-I,2025-07-14 10:45:00,1423.5,1423.9,1421.8,1423.0,Buy,1423.9,1431.02,1437.0,1449.39,1416.78
ICICIGI-I,2025-07-14 10:45:00,2025.7,2039.7,2024.3,2036.1,Sell,2024.3,2014.18,2001.63,1981.38,2034.42
ICICIPRULI-I,2025-07-14 10:45:00,666.05,670.5,666.05,669.15,Sell,666.05,662.72,658.59,651.93,669.38
IGL-I,2025-07-14 10:45:00,219.28,220.2,219.28,219.65,Sell,219.28,218.18,216.82,214.63,220.38
INDUSTOWER-I,2025-07-14 10:45:00,408.85,409.7,408.5,408.9,Sell,408.5,406.46,403.92,399.84,410.54
KALYANKJIL-I,2025-07-14 10:45:00,588.5,589.3,586.5,586.85,Sell,586.5,583.57,579.93,574.07,589.43
LAURUSLABS-I,2025-07-14 10:45:00,818.2,823.0,817.05,821.5,Sell,817.05,812.96,807.9,799.73,821.14
LICI-I,2025-07-14 10:45:00,905.05,908.55,905.05,906.65,Sell,905.05,900.52,894.91,885.86,909.58
LUPIN-I,2025-07-14 10:45:00,1925.5,1931.7,1925.1,1927.4,Sell,1925.1,1915.47,1903.54,1884.29,1934.73
MANAPPURAM-I,2025-07-14 10:45:00,265.5,266.0,265.2,265.2,Sell,265.2,263.87,262.23,259.58,266.53
MFSL-I,2025-07-14 10:45:00,1590.8,1599.3,1589.3,1596.3,Sell,1589.3,1581.35,1571.5,1555.61,1597.25
MIDCPNIFTY-I,2025-07-14 10:45:00,13203.9,13226.0,13184.4,13186.0,Sell,13184.4,13118.48,13036.73,12904.89,13250.32
OFSS-I,2025-07-14 10:45:00,8704.5,8735.0,8704.5,8712.0,Sell,8704.5,8660.98,8607.01,8519.96,8748.02
PATANJALI-I,2025-07-14 10:45:00,1675.0,1676.9,1670.0,1673.8,Sell,1670.0,1661.65,1651.3,1634.6,1678.35
PAYTM-I,2025-07-14 10:45:00,966.95,971.7,966.75,968.4,Sell,966.75,961.92,955.92,946.25,971.58
RVNL-I,2025-07-14 10:45:00,381.45,383.5,381.45,383.1,Sell,381.45,379.54,377.18,373.36,383.36
SJVN-I,2025-07-14 10:45:00,98.98,99.05,98.87,98.92,Sell,98.87,98.38,97.76,96.77,99.36
SUPREMEIND-I,2025-07-14 10:45:00,4122.7,4125.0,4111.1,4111.6,Sell,4111.1,4090.54,4065.06,4023.94,4131.66
SYNGENE-I,2025-07-14 10:45:00,633.55,636.6,633.25,634.8,Sell,633.25,630.08,626.16,619.83,636.42
TITAGARH-I,2025-07-14 10:45:00,938.95,940.45,937.75,938.6,Sell,937.75,933.06,927.25,917.87,942.44
VBL-I,2025-07-14 10:45:00,459.95,460.6,457.85,458.15,Sell,457.85,455.56,452.72,448.14,460.14
