date,open,high,low,close,volume
2025-07-01 09:15:00,75.25,75.25,74.75,74.85,179400
2025-07-01 09:30:00,74.85,74.99,74.63,74.63,241800
2025-07-01 09:45:00,74.63,74.64,74.25,74.48,236600
2025-07-01 10:00:00,74.48,74.48,74.03,74.03,270400
2025-07-01 10:15:00,74.03,74.62,74.02,74.54,369200
2025-07-01 10:30:00,74.54,74.75,74.54,74.61,145600
2025-07-01 10:45:00,74.6,74.65,74.49,74.53,137800
2025-07-01 11:00:00,74.53,74.9,74.48,74.74,145600
2025-07-01 11:15:00,74.74,74.84,74.66,74.82,88400
2025-07-01 11:30:00,74.82,74.85,74.73,74.78,106600
2025-07-01 11:45:00,74.78,74.8,74.74,74.8,52000
2025-07-01 12:00:00,74.8,74.97,74.79,74.97,54600
2025-07-01 12:15:00,74.97,75.55,74.95,75.4,299000
2025-07-01 12:30:00,75.4,75.49,75.3,75.44,202800
2025-07-01 12:45:00,75.44,75.48,75.34,75.34,98800
2025-07-01 13:00:00,75.34,75.5,75.3,75.5,117000
2025-07-01 13:15:00,75.5,75.54,75.4,75.48,91000
2025-07-01 13:30:00,75.48,75.57,75.48,75.53,101400
2025-07-01 13:45:00,75.53,75.57,75.39,75.39,65000
2025-07-01 14:00:00,75.39,75.5,74.81,74.83,345800
2025-07-01 14:15:00,74.83,74.98,74.83,74.87,41600
2025-07-01 14:30:00,74.85,74.9,74.83,74.86,33800
2025-07-01 14:45:00,74.86,75.05,74.86,74.99,137800
2025-07-01 15:00:00,75.03,75.09,74.88,74.96,223600
2025-07-01 15:15:00,74.96,74.96,74.77,74.91,452400
2025-07-02 09:15:00,75.43,75.43,74.58,74.89,166400
2025-07-02 09:30:00,74.89,75.0,74.61,74.8,442000
2025-07-02 09:45:00,74.8,74.86,74.41,74.53,319800
2025-07-02 10:00:00,74.53,74.7,74.35,74.39,257400
2025-07-02 10:15:00,74.39,74.74,74.28,74.65,257400
2025-07-02 10:30:00,74.66,74.9,74.6,74.61,130000
2025-07-02 10:45:00,74.61,74.61,74.37,74.52,127400
2025-07-02 11:00:00,74.52,74.74,74.51,74.7,106600
2025-07-02 11:15:00,74.7,74.78,74.65,74.72,65000
2025-07-02 11:30:00,74.72,75.14,74.72,75.14,275600
2025-07-02 11:45:00,75.14,75.2,74.8,74.8,200200
2025-07-02 12:00:00,74.8,74.8,74.63,74.74,104000
2025-07-02 12:15:00,74.74,74.85,74.64,74.65,70200
2025-07-02 12:30:00,74.65,74.75,74.65,74.68,41600
2025-07-02 12:45:00,74.68,74.93,74.63,74.93,132600
2025-07-02 13:00:00,74.93,75.44,74.88,75.06,327600
2025-07-02 13:15:00,75.02,75.02,74.77,74.82,114400
2025-07-02 13:30:00,74.82,75.41,74.78,75.3,330200
2025-07-02 13:45:00,75.3,76.9,75.22,76.64,2111200
2025-07-02 14:00:00,76.64,76.83,76.26,76.75,761800
2025-07-02 14:15:00,76.75,77.39,76.65,77.19,1440400
2025-07-02 14:30:00,77.19,77.25,76.75,77.09,553800
2025-07-02 14:45:00,77.09,78.1,76.94,77.85,2509000
2025-07-02 15:00:00,77.85,78.58,77.85,78.35,3192800
2025-07-02 15:15:00,78.35,78.5,78.01,78.2,2142400
2025-07-03 09:15:00,78.27,78.9,78.0,78.38,1882400
2025-07-03 09:30:00,78.38,78.6,77.84,77.93,806000
2025-07-03 09:45:00,77.93,77.93,77.34,77.53,920400
2025-07-03 10:00:00,77.53,77.76,77.44,77.6,200200
2025-07-03 10:15:00,77.6,77.71,77.45,77.7,462800
2025-07-03 10:30:00,77.7,77.7,77.4,77.46,296400
2025-07-03 10:45:00,77.46,77.46,77.26,77.33,192400
2025-07-03 11:00:00,77.33,77.37,77.16,77.18,241800
2025-07-03 11:15:00,77.18,77.47,77.17,77.4,327600
2025-07-03 11:30:00,77.4,77.89,77.35,77.56,299000
2025-07-03 11:45:00,77.56,78.17,77.41,78.17,460200
2025-07-03 12:00:00,78.17,78.2,77.8,78.04,278200
2025-07-03 12:15:00,78.04,78.14,77.65,77.79,447200
2025-07-03 12:30:00,77.79,77.79,77.67,77.76,39000
2025-07-03 12:45:00,77.76,77.76,77.61,77.66,49400
2025-07-03 13:00:00,77.66,77.68,77.59,77.59,62400
2025-07-03 13:15:00,77.59,77.6,77.45,77.56,46800
2025-07-03 13:30:00,77.56,77.6,77.48,77.54,62400
2025-07-03 13:45:00,77.54,77.54,77.3,77.45,140400
2025-07-03 14:00:00,77.45,77.45,77.21,77.28,137800
2025-07-03 14:15:00,77.28,77.36,77.04,77.04,192400
2025-07-03 14:30:00,77.04,77.09,76.85,77.01,351000
2025-07-03 14:45:00,77.01,77.03,76.84,76.88,80600
2025-07-03 15:00:00,76.88,77.05,76.73,76.9,481000
2025-07-03 15:15:00,76.9,76.93,76.71,76.8,228800
2025-07-04 09:15:00,76.81,77.24,76.33,77.24,527800
2025-07-04 09:30:00,77.24,77.52,77.08,77.24,410800
2025-07-04 09:45:00,77.24,77.91,77.24,77.74,527800
2025-07-04 10:00:00,77.68,77.96,77.62,77.9,332800
2025-07-04 10:15:00,77.9,78.64,77.84,78.57,1183000
2025-07-04 10:30:00,78.57,78.59,78.15,78.4,546000
2025-07-04 10:45:00,78.4,79.2,78.3,79.2,1279200
2025-07-04 11:00:00,79.2,79.39,78.49,78.8,1053000
2025-07-04 11:15:00,78.8,79.17,78.63,79.02,782600
2025-07-04 11:30:00,79.02,79.2,78.24,78.4,657800
2025-07-04 11:45:00,78.4,78.55,77.91,78.36,660400
2025-07-04 12:00:00,78.36,78.68,78.31,78.66,231400
2025-07-04 12:15:00,78.66,78.66,78.25,78.33,101400
2025-07-04 12:30:00,78.33,78.34,77.85,77.88,657800
2025-07-04 12:45:00,77.88,78.11,77.66,78.08,249600
2025-07-04 13:00:00,78.08,78.09,77.88,78.02,124800
2025-07-04 13:15:00,78.02,78.11,77.8,77.85,249600
2025-07-04 13:30:00,77.85,77.98,77.76,77.9,161200
2025-07-04 13:45:00,77.9,78.25,77.8,78.25,283400
2025-07-04 14:00:00,78.25,78.25,77.86,77.93,163800
2025-07-04 14:15:00,77.93,78.01,77.77,77.83,91000
2025-07-04 14:30:00,77.88,78.16,77.81,78.12,247000
2025-07-04 14:45:00,78.12,78.58,78.12,78.55,475800
2025-07-04 15:00:00,78.55,78.8,78.5,78.6,548600
2025-07-04 15:15:00,78.6,78.6,78.13,78.23,754000
2025-07-07 09:15:00,79.5,79.5,77.9,78.16,967200
2025-07-07 09:30:00,78.16,78.55,78.1,78.14,275600
2025-07-07 09:45:00,78.14,78.51,78.05,78.51,377000
2025-07-07 10:00:00,78.51,78.51,78.01,78.15,208000
2025-07-07 10:15:00,78.15,78.8,78.01,78.51,572000
2025-07-07 10:30:00,78.51,78.8,78.48,78.7,161200
2025-07-07 10:45:00,78.7,78.75,78.53,78.53,117000
2025-07-07 11:00:00,78.53,79.09,78.53,78.81,345800
2025-07-07 11:15:00,78.81,78.95,78.59,78.59,197600
2025-07-07 11:30:00,78.59,78.78,78.37,78.78,205400
2025-07-07 11:45:00,78.78,78.89,78.66,78.87,202800
2025-07-07 12:00:00,78.84,78.84,78.62,78.62,156000
2025-07-07 12:15:00,78.62,78.71,78.51,78.64,137800
2025-07-07 12:30:00,78.64,78.68,78.47,78.5,150800
2025-07-07 12:45:00,78.5,78.53,78.09,78.19,431600
2025-07-07 13:00:00,78.19,78.19,78.03,78.03,176800
2025-07-07 13:15:00,78.16,78.25,78.1,78.1,78000
2025-07-07 13:30:00,78.08,78.09,78.0,78.03,182000
2025-07-07 13:45:00,78.03,78.43,78.02,78.4,226200
2025-07-07 14:00:00,78.4,78.43,78.08,78.1,137800
2025-07-07 14:15:00,78.17,78.43,78.15,78.26,236600
2025-07-07 14:30:00,78.26,78.26,78.08,78.14,218400
2025-07-07 14:45:00,78.11,78.42,78.03,78.37,317200
2025-07-07 15:00:00,78.4,78.51,78.3,78.3,400400
2025-07-07 15:15:00,78.3,78.35,77.96,77.96,613600
2025-07-08 09:15:00,78.41,78.59,77.93,78.34,644800
2025-07-08 09:30:00,78.34,78.38,77.94,78.0,288600
2025-07-08 09:45:00,78.07,78.2,77.83,77.95,442000
2025-07-08 10:00:00,77.95,78.0,77.73,77.85,410800
2025-07-08 10:15:00,77.85,78.05,77.85,78.05,205400
2025-07-08 10:30:00,78.05,78.11,77.84,77.98,174200
2025-07-08 10:45:00,77.98,78.65,77.98,78.64,241800
2025-07-08 11:00:00,78.64,79.14,78.34,79.0,1032200
2025-07-08 11:15:00,79.0,79.0,78.44,78.94,408200
2025-07-08 11:30:00,78.94,78.96,78.6,78.8,244400
2025-07-08 11:45:00,78.8,79.41,78.8,79.35,1253200
2025-07-08 12:00:00,79.3,79.48,79.25,79.44,1003600
2025-07-08 12:15:00,79.45,79.48,79.17,79.35,582400
2025-07-08 12:30:00,79.35,79.35,79.01,79.11,197600
2025-07-08 12:45:00,79.11,79.19,78.86,78.86,215800
2025-07-08 13:00:00,78.86,78.86,78.4,78.76,686400
2025-07-08 13:15:00,78.76,79.1,78.69,79.04,353600
2025-07-08 13:30:00,79.04,79.13,78.9,78.93,288600
2025-07-08 13:45:00,78.93,79.4,78.81,79.38,254800
2025-07-08 14:00:00,79.38,79.85,79.31,79.55,1427400
2025-07-08 14:15:00,79.55,79.6,79.38,79.47,387400
2025-07-08 14:30:00,79.47,79.56,79.31,79.31,616200
2025-07-08 14:45:00,79.31,79.54,79.3,79.47,239200
2025-07-08 15:00:00,79.47,79.9,79.41,79.79,696800
2025-07-08 15:15:00,79.79,79.94,79.62,79.65,1378000
2025-07-09 09:15:00,80.04,80.13,79.39,79.77,673400
2025-07-09 09:30:00,79.77,79.78,79.15,79.24,468000
2025-07-09 09:45:00,79.24,79.4,79.06,79.12,733200
2025-07-09 10:00:00,79.12,79.2,78.96,79.1,962000
2025-07-09 10:15:00,79.1,79.63,79.03,79.6,309400
2025-07-09 10:30:00,79.6,79.6,79.34,79.43,158600
2025-07-09 10:45:00,79.43,79.47,79.03,79.06,228800
2025-07-09 11:00:00,79.06,79.11,78.6,78.75,452400
2025-07-09 11:15:00,78.75,78.81,78.62,78.65,260000
2025-07-09 11:30:00,78.65,79.1,78.47,78.73,585000
2025-07-09 11:45:00,78.73,78.78,78.52,78.68,85800
2025-07-09 12:00:00,78.68,78.68,78.45,78.55,353600
2025-07-09 12:15:00,78.55,78.74,78.54,78.61,114400
2025-07-09 12:30:00,78.66,79.1,78.55,79.07,325000
2025-07-09 12:45:00,79.07,79.18,78.96,79.18,59800
2025-07-09 13:00:00,79.18,79.19,79.0,79.0,176800
2025-07-09 13:15:00,79.0,79.19,78.96,79.19,117000
2025-07-09 13:30:00,79.19,79.22,79.06,79.12,122200
2025-07-09 13:45:00,79.15,79.15,79.08,79.1,54600
2025-07-09 14:00:00,79.12,79.2,79.06,79.2,96200
2025-07-09 14:15:00,79.19,79.2,78.75,79.06,325000
2025-07-09 14:30:00,79.06,79.06,78.81,78.97,283400
2025-07-09 14:45:00,78.97,79.02,78.75,79.02,371800
2025-07-09 15:00:00,79.02,79.1,78.95,79.02,408200
2025-07-09 15:15:00,79.02,79.08,78.9,78.9,442000
2025-07-10 09:15:00,78.4,79.29,78.4,79.13,132600
2025-07-10 09:30:00,79.07,79.23,79.0,79.07,111800
2025-07-10 09:45:00,79.07,79.15,78.56,78.66,109200
2025-07-10 10:00:00,78.63,78.7,78.59,78.59,85800
2025-07-10 10:15:00,78.59,78.71,78.57,78.65,72800
2025-07-10 10:30:00,78.65,78.7,78.5,78.65,72800
2025-07-10 10:45:00,78.65,78.69,78.08,78.16,481000
2025-07-10 11:00:00,78.16,78.22,77.8,78.09,634400
2025-07-10 11:15:00,78.09,78.17,77.85,77.85,187200
2025-07-10 11:30:00,77.85,78.01,77.84,77.86,65000
2025-07-10 11:45:00,77.86,77.95,77.8,77.95,213200
2025-07-10 12:00:00,77.92,77.92,77.54,77.69,423800
2025-07-10 12:15:00,77.69,78.02,77.69,78.02,106600
2025-07-10 12:30:00,78.02,78.08,77.91,77.96,124800
2025-07-10 12:45:00,77.96,78.02,77.87,78.0,117000
2025-07-10 13:00:00,78.0,78.0,77.83,77.87,18200
2025-07-10 13:15:00,77.87,77.88,77.62,77.69,187200
2025-07-10 13:30:00,77.69,77.77,77.6,77.6,54600
2025-07-10 13:45:00,77.6,77.98,77.55,77.98,70200
2025-07-10 14:00:00,77.85,78.03,77.83,77.91,54600
2025-07-10 14:15:00,77.91,78.59,77.8,78.42,509600
2025-07-10 14:30:00,78.42,78.53,78.32,78.43,140400
2025-07-10 14:45:00,78.43,78.43,78.21,78.21,93600
2025-07-10 15:00:00,78.21,78.25,78.15,78.21,143000
2025-07-10 15:15:00,78.21,78.21,77.76,77.85,899600
2025-07-11 09:15:00,78.11,78.13,77.5,77.79,442000
2025-07-11 09:30:00,77.79,77.79,77.4,77.55,265200
2025-07-11 09:45:00,77.55,77.57,77.23,77.24,179400
2025-07-11 10:00:00,77.24,77.26,76.65,76.75,803400
