date,open,high,low,close,volume
2025-07-01 09:15:00,74.0,76.19,74.0,75.82,31813250
2025-07-01 09:30:00,75.82,76.3,75.31,75.37,10434375
2025-07-01 09:45:00,75.37,75.54,75.04,75.25,4099550
2025-07-01 10:00:00,75.25,75.35,74.86,74.86,4452000
2025-07-01 10:15:00,74.86,75.15,74.78,75.13,1957025
2025-07-01 10:30:00,75.13,75.59,75.09,75.44,2365125
2025-07-01 10:45:00,75.44,75.75,75.41,75.63,3710000
2025-07-01 11:00:00,75.63,76.43,75.57,76.38,8199100
2025-07-01 11:15:00,76.38,76.55,76.18,76.48,5685575
2025-07-01 11:30:00,76.48,76.75,76.28,76.51,6084400
2025-07-01 11:45:00,76.44,76.6,76.39,76.52,4034625
2025-07-01 12:00:00,76.52,76.59,76.42,76.59,1892100
2025-07-01 12:15:00,76.59,77.05,76.58,77.05,5036325
2025-07-01 12:30:00,77.05,77.15,76.92,77.08,4136650
2025-07-01 12:45:00,77.08,77.15,76.95,77.06,3607975
2025-07-01 13:00:00,77.06,77.27,77.0,77.21,2420775
2025-07-01 13:15:00,77.21,77.26,77.04,77.15,2708300
2025-07-01 13:30:00,77.15,77.42,77.15,77.2,3710000
2025-07-01 13:45:00,77.2,77.45,77.2,77.33,2689750
2025-07-01 14:00:00,77.33,77.39,77.19,77.33,1595300
2025-07-01 14:15:00,77.33,77.39,77.21,77.32,2096150
2025-07-01 14:30:00,77.32,77.41,77.27,77.4,2652650
2025-07-01 14:45:00,77.4,77.55,77.22,77.47,3227700
2025-07-01 15:00:00,77.47,77.61,77.42,77.54,4118100
2025-07-01 15:15:00,77.54,77.57,77.36,77.45,8087800
2025-07-02 09:15:00,77.59,77.76,77.27,77.51,7559125
2025-07-02 09:30:00,77.51,77.63,77.3,77.51,3227700
2025-07-02 09:45:00,77.51,77.55,77.36,77.44,1363425
2025-07-02 10:00:00,77.44,77.7,77.35,77.4,2226000
2025-07-02 10:15:00,77.4,77.85,77.35,77.57,3812025
2025-07-02 10:30:00,77.57,77.58,77.34,77.49,1428350
2025-07-02 10:45:00,77.49,77.6,77.41,77.58,1066625
2025-07-02 11:00:00,77.58,77.62,77.45,77.61,908950
2025-07-02 11:15:00,77.61,77.89,77.47,77.77,1864275
2025-07-02 11:30:00,77.77,77.79,77.59,77.64,1558200
2025-07-02 11:45:00,77.64,77.68,77.41,77.46,1817900
2025-07-02 12:00:00,77.46,77.51,77.36,77.4,1335600
2025-07-02 12:15:00,77.4,77.43,77.17,77.28,1966300
2025-07-02 12:30:00,77.28,77.39,77.25,77.34,1196475
2025-07-02 12:45:00,77.34,77.4,77.28,77.35,1048075
2025-07-02 13:00:00,77.35,77.47,77.35,77.36,908950
2025-07-02 13:15:00,77.36,77.45,77.21,77.25,1678775
2025-07-02 13:30:00,77.25,77.34,77.18,77.25,1511825
2025-07-02 13:45:00,77.25,77.36,77.12,77.36,1623125
2025-07-02 14:00:00,77.36,77.43,77.24,77.43,1669500
2025-07-02 14:15:00,77.43,77.48,77.34,77.47,1372700
2025-07-02 14:30:00,77.47,77.52,77.4,77.44,1678775
2025-07-02 14:45:00,77.44,77.5,77.33,77.45,1456175
2025-07-02 15:00:00,77.45,77.67,77.42,77.58,2272375
2025-07-02 15:15:00,77.58,77.6,77.38,77.39,2374400
2025-07-03 09:15:00,77.53,78.0,77.24,77.75,8199100
2025-07-03 09:30:00,77.75,78.08,77.27,77.3,4479825
2025-07-03 09:45:00,77.3,77.58,77.25,77.45,2689750
2025-07-03 10:00:00,77.45,77.5,77.37,77.44,1817900
2025-07-03 10:15:00,77.44,77.7,77.44,77.7,1177925
2025-07-03 10:30:00,77.7,77.72,77.5,77.56,1344875
2025-07-03 10:45:00,77.56,77.56,77.41,77.45,1066625
2025-07-03 11:00:00,77.45,77.63,77.45,77.6,1715875
2025-07-03 11:15:00,77.6,77.68,77.51,77.58,844025
2025-07-03 11:30:00,77.58,77.83,77.55,77.68,1140825
2025-07-03 11:45:00,77.68,77.96,77.62,77.93,1066625
2025-07-03 12:00:00,77.93,77.99,77.88,77.91,1010975
2025-07-03 12:15:00,77.91,77.95,77.76,77.83,1586025
2025-07-03 12:30:00,77.83,77.85,77.52,77.72,1678775
2025-07-03 12:45:00,77.72,77.86,77.71,77.79,881125
2025-07-03 13:00:00,77.79,77.85,77.73,77.85,630700
2025-07-03 13:15:00,77.85,77.92,77.7,77.88,2068325
2025-07-03 13:30:00,77.88,77.91,77.76,77.86,1400525
2025-07-03 13:45:00,77.86,77.88,77.7,77.88,1010975
2025-07-03 14:00:00,77.87,77.87,77.72,77.87,2875250
2025-07-03 14:15:00,77.87,77.87,77.67,77.71,1623125
2025-07-03 14:30:00,77.71,77.81,77.6,77.81,2309475
2025-07-03 14:45:00,77.8,77.81,77.57,77.61,1938475
2025-07-03 15:00:00,77.61,77.79,77.61,77.73,1752975
2025-07-03 15:15:00,77.73,77.82,77.48,77.5,4730250
2025-07-04 09:15:00,77.83,77.98,77.11,77.59,4739525
2025-07-04 09:30:00,77.59,77.9,77.59,77.85,2467150
2025-07-04 09:45:00,77.85,78.05,77.82,77.98,2763950
2025-07-04 10:00:00,77.98,78.1,77.87,78.0,1233575
2025-07-04 10:15:00,78.0,78.09,77.95,78.04,816200
