date,open,high,low,close,volume
2025-07-01 09:15:00,217.7,218.19,216.5,217.97,547250
2025-07-01 09:30:00,217.97,218.6,216.78,216.85,280500
2025-07-01 09:45:00,216.85,217.25,216.45,216.75,277750
2025-07-01 10:00:00,216.75,217.0,216.24,216.28,189750
2025-07-01 10:15:00,216.28,216.66,216.15,216.25,71500
2025-07-01 10:30:00,216.25,216.76,216.25,216.5,79750
2025-07-01 10:45:00,216.5,216.5,215.17,215.49,184250
2025-07-01 11:00:00,215.49,215.89,215.06,215.57,143000
2025-07-01 11:15:00,215.57,216.2,215.57,216.0,88000
2025-07-01 11:30:00,216.0,216.07,215.6,215.61,49500
2025-07-01 11:45:00,215.61,215.62,214.5,215.26,352000
2025-07-01 12:00:00,215.26,215.41,215.11,215.4,44000
2025-07-01 12:15:00,215.4,216.12,215.38,216.03,110000
2025-07-01 12:30:00,216.03,216.2,215.84,215.84,60500
2025-07-01 12:45:00,215.84,216.4,215.76,216.06,71500
2025-07-01 13:00:00,216.06,216.09,215.77,215.84,49500
2025-07-01 13:15:00,215.84,216.02,215.82,215.9,68750
2025-07-01 13:30:00,215.9,216.14,215.89,216.06,60500
2025-07-01 13:45:00,216.06,216.06,215.49,215.69,77000
2025-07-01 14:00:00,215.69,216.2,215.69,216.07,44000
2025-07-01 14:15:00,216.07,217.2,216.07,216.88,167750
2025-07-01 14:30:00,216.88,217.1,216.67,217.1,96250
2025-07-01 14:45:00,217.1,217.44,216.98,217.15,96250
2025-07-01 15:00:00,217.15,217.15,216.38,216.84,231000
2025-07-01 15:15:00,216.84,217.5,216.74,217.47,434500
2025-07-02 09:15:00,217.33,218.53,216.32,218.0,723250
2025-07-02 09:30:00,218.0,220.67,217.89,219.25,2054250
2025-07-02 09:45:00,219.25,219.79,218.52,218.7,264000
2025-07-02 10:00:00,218.7,219.02,218.2,218.51,123750
2025-07-02 10:15:00,218.51,219.4,217.85,219.3,195250
2025-07-02 10:30:00,219.3,219.4,218.63,219.03,101750
2025-07-02 10:45:00,219.03,219.49,218.75,219.2,148500
2025-07-02 11:00:00,219.2,220.79,219.2,220.79,404250
2025-07-02 11:15:00,220.67,222.11,219.8,221.71,1130250
2025-07-02 11:30:00,221.71,221.96,220.72,221.5,379500
2025-07-02 11:45:00,221.5,221.5,220.81,221.1,429000
2025-07-02 12:00:00,221.1,221.5,220.7,221.25,151250
2025-07-02 12:15:00,221.25,221.8,221.25,221.48,192500
2025-07-02 12:30:00,221.48,222.31,221.48,221.61,398750
2025-07-02 12:45:00,221.61,222.2,221.0,221.2,464750
2025-07-02 13:00:00,221.2,223.1,221.2,222.68,1196250
2025-07-02 13:15:00,222.68,222.68,219.96,220.28,547250
2025-07-02 13:30:00,220.28,220.8,220.28,220.42,134750
2025-07-02 13:45:00,220.42,221.25,219.91,221.04,426250
2025-07-02 14:00:00,221.04,221.83,220.9,221.72,145750
2025-07-02 14:15:00,221.72,221.84,221.06,221.49,123750
2025-07-02 14:30:00,221.49,221.49,220.86,221.41,156750
2025-07-02 14:45:00,221.41,221.68,221.33,221.54,82500
2025-07-02 15:00:00,221.54,222.6,221.34,222.09,896500
2025-07-02 15:15:00,222.09,222.4,221.82,222.06,877250
2025-07-03 09:15:00,222.87,223.02,221.05,221.35,767250
2025-07-03 09:30:00,221.35,222.53,221.11,222.0,459250
2025-07-03 09:45:00,222.0,222.0,221.11,221.55,176000
2025-07-03 10:00:00,221.55,221.83,221.16,221.82,258500
2025-07-03 10:15:00,221.82,221.84,221.5,221.52,299750
2025-07-03 10:30:00,221.52,221.58,220.77,220.83,143000
2025-07-03 10:45:00,220.83,220.9,220.6,220.78,110000
2025-07-03 11:00:00,220.78,221.57,220.71,221.37,96250
