date,open,high,low,close,volume
2025-07-01 09:15:00,328.75,331.2,328.05,330.65,3823450
2025-07-01 09:30:00,330.65,331.0,329.5,330.45,1440550
2025-07-01 09:45:00,330.45,332.0,330.0,330.85,1534550
2025-07-01 10:00:00,330.85,330.85,328.3,328.3,1149150
2025-07-01 10:15:00,328.3,329.3,328.2,329.3,700300
2025-07-01 10:30:00,329.3,330.8,329.2,330.2,763750
2025-07-01 10:45:00,330.2,331.2,329.25,329.75,940000
2025-07-01 11:00:00,329.75,331.65,329.4,331.6,606300
2025-07-01 11:15:00,331.7,332.6,331.25,331.35,1522800
2025-07-01 11:30:00,331.35,331.7,331.0,331.2,411250
2025-07-01 11:45:00,331.2,331.6,330.55,331.0,298450
2025-07-01 12:00:00,331.0,331.85,330.95,331.7,232650
2025-07-01 12:15:00,331.7,333.6,331.45,332.7,1833000
2025-07-01 12:30:00,332.7,333.85,332.45,333.4,1048100
2025-07-01 12:45:00,333.4,333.5,332.0,332.1,676800
2025-07-01 13:00:00,332.1,332.7,332.05,332.7,371300
2025-07-01 13:15:00,332.7,332.7,331.7,331.7,420650
2025-07-01 13:30:00,331.7,332.05,331.0,331.3,615700
2025-07-01 13:45:00,331.3,331.4,330.5,331.2,467650
2025-07-01 14:00:00,331.2,332.15,331.0,332.15,538150
2025-07-01 14:15:00,332.15,332.8,331.9,332.5,634500
2025-07-01 14:30:00,332.5,332.9,331.5,332.0,479400
2025-07-01 14:45:00,332.0,332.05,331.25,331.35,385400
2025-07-01 15:00:00,331.35,331.6,331.05,331.05,470000
2025-07-01 15:15:00,331.05,332.25,331.05,332.25,1226700
2025-07-02 09:15:00,331.7,332.3,328.6,329.55,2077400
2025-07-02 09:30:00,329.55,329.65,327.55,328.05,1478150
2025-07-02 09:45:00,328.0,328.5,327.0,327.2,1015200
2025-07-02 10:00:00,327.2,328.2,327.0,327.7,860100
2025-07-02 10:15:00,327.7,328.45,326.65,328.25,824850
2025-07-02 10:30:00,328.25,328.3,327.1,327.75,397150
2025-07-02 10:45:00,327.75,328.9,327.4,328.75,599250
2025-07-02 11:00:00,328.75,328.95,328.0,328.6,465300
2025-07-02 11:15:00,328.6,329.9,327.85,329.3,531100
2025-07-02 11:30:00,329.3,329.5,328.4,329.45,329000
2025-07-02 11:45:00,329.45,329.8,328.8,329.15,373650
2025-07-02 12:00:00,329.15,329.15,328.55,328.8,218550
2025-07-02 12:15:00,328.8,328.95,328.45,328.75,89300
2025-07-02 12:30:00,328.75,329.2,328.5,328.5,197400
2025-07-02 12:45:00,328.5,328.6,327.35,327.6,681500
2025-07-02 13:00:00,327.6,328.05,327.2,327.2,387750
2025-07-02 13:15:00,327.2,327.35,326.55,326.8,740250
2025-07-02 13:30:00,326.8,327.5,326.4,326.85,603950
2025-07-02 13:45:00,326.8,327.15,326.3,327.05,453550
2025-07-02 14:00:00,327.3,328.0,326.6,327.8,653300
2025-07-02 14:15:00,327.8,328.35,327.6,328.35,289050
2025-07-02 14:30:00,328.35,328.35,327.15,327.55,399500
2025-07-02 14:45:00,327.55,328.1,327.4,328.1,296100
2025-07-02 15:00:00,328.1,328.95,328.0,328.15,834250
2025-07-02 15:15:00,328.15,328.35,327.6,327.85,975250
2025-07-03 09:15:00,327.9,329.7,326.2,326.3,1703750
2025-07-03 09:30:00,326.3,327.55,326.1,326.4,756700
2025-07-03 09:45:00,326.4,327.5,326.15,327.3,486450
2025-07-03 10:00:00,327.3,328.45,327.25,327.7,794300
2025-07-03 10:15:00,327.7,328.8,327.65,328.6,502900
2025-07-03 10:30:00,328.6,328.6,327.7,327.75,289050
2025-07-03 10:45:00,327.75,327.75,326.4,326.8,350150
2025-07-03 11:00:00,326.8,327.5,326.8,327.2,119850
2025-07-03 11:15:00,327.2,327.5,327.0,327.0,148050
2025-07-03 11:30:00,327.0,327.0,326.4,326.5,260850
2025-07-03 11:45:00,326.5,326.95,326.2,326.7,404200
2025-07-03 12:00:00,326.7,327.1,326.5,326.8,164500
2025-07-03 12:15:00,326.8,327.1,326.5,327.1,162150
2025-07-03 12:30:00,327.1,327.4,326.95,327.3,180950
2025-07-03 12:45:00,327.3,327.5,327.2,327.3,91650
2025-07-03 13:00:00,327.3,327.9,327.0,327.8,126900
2025-07-03 13:15:00,327.8,327.8,327.1,327.6,162150
2025-07-03 13:30:00,327.6,329.3,327.3,328.5,763750
2025-07-03 13:45:00,328.5,328.7,327.8,328.15,270250
2025-07-03 14:00:00,328.15,328.4,327.95,328.4,145700
2025-07-03 14:15:00,328.4,328.5,327.3,327.3,244400
2025-07-03 14:30:00,327.3,327.7,326.85,327.7,585150
2025-07-03 14:45:00,327.7,327.85,327.0,327.2,517000
2025-07-03 15:00:00,327.2,327.3,326.55,326.55,596900
2025-07-03 15:15:00,326.55,326.95,326.4,326.7,789600
2025-07-04 09:15:00,327.1,327.3,325.2,327.3,1064550
2025-07-04 09:30:00,327.3,327.9,326.6,327.25,613350
2025-07-04 09:45:00,327.25,328.5,327.15,328.0,1085700
2025-07-04 10:00:00,328.0,328.2,327.25,327.4,307850
2025-07-04 10:15:00,327.4,327.7,327.0,327.15,136300
2025-07-04 10:30:00,327.15,327.75,326.8,327.65,195050
2025-07-04 10:45:00,327.65,328.1,327.4,327.6,199750
2025-07-04 11:00:00,327.6,329.2,327.0,329.0,690900
2025-07-04 11:15:00,329.0,329.35,327.4,327.7,448850
2025-07-04 11:30:00,327.7,327.9,325.8,325.8,587500
2025-07-04 11:45:00,325.8,325.9,324.4,324.8,1318350
2025-07-04 12:00:00,324.8,325.75,324.6,325.5,425350
2025-07-04 12:15:00,325.5,325.85,325.35,325.65,131600
2025-07-04 12:30:00,325.65,326.2,325.65,325.75,202100
2025-07-04 12:45:00,325.75,325.75,325.2,325.55,155100
2025-07-04 13:00:00,325.4,326.2,325.2,325.95,124550
2025-07-04 13:15:00,325.95,326.05,325.4,325.55,195050
2025-07-04 13:30:00,325.55,325.8,325.25,325.55,110450
2025-07-04 13:45:00,325.55,326.7,325.55,326.3,176250
2025-07-04 14:00:00,326.3,326.35,325.6,325.75,94000
2025-07-04 14:15:00,325.75,325.75,325.4,325.6,119850
2025-07-04 14:30:00,325.55,326.8,325.55,326.8,359550
2025-07-04 14:45:00,326.8,327.3,326.5,326.9,399500
2025-07-04 15:00:00,326.9,327.0,326.45,326.5,373650
2025-07-04 15:15:00,326.5,326.7,326.1,326.7,876550
2025-07-07 09:15:00,325.45,326.4,324.25,326.0,975250
2025-07-07 09:30:00,326.0,327.9,325.95,326.8,1149150
2025-07-07 09:45:00,326.8,328.45,326.8,327.75,900050
2025-07-07 10:00:00,327.9,328.55,327.25,328.15,585150
2025-07-07 10:15:00,328.15,329.4,327.9,329.1,780200
2025-07-07 10:30:00,329.05,331.0,329.05,330.55,2300650
2025-07-07 10:45:00,330.55,330.7,329.65,330.7,568700
2025-07-07 11:00:00,330.75,330.95,329.35,329.6,853050
2025-07-07 11:15:00,329.6,330.15,329.4,329.6,498200
2025-07-07 11:30:00,329.6,329.9,329.5,329.8,218550
2025-07-07 11:45:00,329.8,330.0,329.0,329.7,465300
2025-07-07 12:00:00,329.85,329.95,329.15,329.25,223250
2025-07-07 12:15:00,329.25,330.5,328.9,330.25,632150
2025-07-07 12:30:00,330.25,330.7,330.0,330.0,479400
2025-07-07 12:45:00,330.0,330.1,329.5,329.65,227950
2025-07-07 13:00:00,329.65,330.5,329.55,330.3,324300
2025-07-07 13:15:00,330.3,331.0,330.2,330.2,744950
2025-07-07 13:30:00,330.2,330.8,330.2,330.25,244400
2025-07-07 13:45:00,330.25,330.6,329.8,329.8,415950
2025-07-07 14:00:00,329.8,330.15,329.55,329.6,286700
2025-07-07 14:15:00,329.6,329.95,329.3,329.35,404200
2025-07-07 14:30:00,329.35,329.45,328.05,328.1,1184400
2025-07-07 14:45:00,328.2,328.55,327.8,328.45,979950
2025-07-07 15:00:00,328.45,329.8,328.35,329.7,1520450
2025-07-07 15:15:00,329.6,330.2,329.4,330.05,2352350
2025-07-08 09:15:00,330.0,331.85,327.9,329.2,3388700
2025-07-08 09:30:00,329.2,329.75,326.95,327.35,2335900
2025-07-08 09:45:00,327.35,327.95,326.5,326.8,1043400
2025-07-08 10:00:00,326.8,327.4,326.5,326.75,531100
2025-07-08 10:15:00,326.75,327.4,326.5,327.0,404200
2025-07-08 10:30:00,327.0,327.3,326.9,327.1,232650
2025-07-08 10:45:00,327.1,327.35,326.2,327.1,545200
2025-07-08 11:00:00,327.1,327.1,325.55,326.0,740250
2025-07-08 11:15:00,326.0,326.6,325.85,326.25,406550
2025-07-08 11:30:00,326.25,326.65,325.65,325.85,430050
2025-07-08 11:45:00,325.85,327.1,325.4,327.1,514650
2025-07-08 12:00:00,327.1,328.0,326.75,327.65,622750
2025-07-08 12:15:00,327.65,328.2,326.7,328.1,458250
2025-07-08 12:30:00,328.1,328.8,327.9,328.1,571050
2025-07-08 12:45:00,328.1,328.4,327.8,328.15,159800
2025-07-08 13:00:00,328.15,328.65,328.1,328.25,216200
2025-07-08 13:15:00,328.25,328.8,328.15,328.25,352500
2025-07-08 13:30:00,328.25,328.45,327.9,328.4,195050
2025-07-08 13:45:00,328.4,329.25,328.3,329.25,470000
2025-07-08 14:00:00,329.25,330.5,328.35,329.4,1219650
2025-07-08 14:15:00,329.4,330.9,328.5,328.7,1626200
2025-07-08 14:30:00,328.7,329.2,328.6,329.15,392450
2025-07-08 14:45:00,329.15,330.2,328.8,330.1,578100
2025-07-08 15:00:00,330.1,330.35,329.85,330.15,878900
2025-07-08 15:15:00,330.25,330.5,329.65,329.65,1104500
2025-07-09 09:15:00,330.05,333.9,329.65,331.05,2953950
2025-07-09 09:30:00,331.2,332.75,331.0,332.2,1433500
2025-07-09 09:45:00,332.2,332.35,331.25,332.1,1290150
2025-07-09 10:00:00,332.1,333.0,331.1,332.45,1090400
2025-07-09 10:15:00,332.45,333.4,332.45,332.8,878900
2025-07-09 10:30:00,332.8,334.9,332.65,334.2,2018650
2025-07-09 10:45:00,334.3,335.0,333.8,334.55,1442900
2025-07-09 11:00:00,334.5,336.7,334.35,336.35,3038550
2025-07-09 11:15:00,336.35,336.8,336.05,336.25,1553350
2025-07-09 11:30:00,336.25,336.7,335.6,335.85,857750
2025-07-09 11:45:00,335.85,335.95,334.85,335.5,716750
2025-07-09 12:00:00,335.5,335.55,334.6,335.0,780200
2025-07-09 12:15:00,335.0,335.0,334.4,334.65,455900
2025-07-09 12:30:00,334.65,334.85,334.0,334.25,502900
2025-07-09 12:45:00,334.25,334.75,333.85,334.6,451200
2025-07-09 13:00:00,334.6,334.8,333.5,333.7,716750
2025-07-09 13:15:00,333.7,333.95,333.5,333.6,251450
2025-07-09 13:30:00,333.6,333.8,333.1,333.4,305500
2025-07-09 13:45:00,333.4,333.9,333.25,333.85,197400
2025-07-09 14:00:00,333.85,333.85,333.1,333.45,220900
2025-07-09 14:15:00,333.45,333.45,331.5,331.5,1515750
2025-07-09 14:30:00,331.5,331.8,330.4,331.2,1555700
2025-07-09 14:45:00,331.2,331.2,330.2,331.05,1005800
2025-07-09 15:00:00,331.05,331.9,331.05,331.65,662700
2025-07-09 15:15:00,331.7,331.8,330.9,331.55,1165600
2025-07-10 09:15:00,331.8,332.0,330.0,331.2,1229050
2025-07-10 09:30:00,331.2,332.95,331.2,332.25,1214950
2025-07-10 09:45:00,332.25,333.75,332.05,333.75,1175000
2025-07-10 10:00:00,333.75,333.9,332.9,333.3,655650
2025-07-10 10:15:00,333.3,333.85,333.2,333.65,310200
2025-07-10 10:30:00,333.65,334.3,333.1,333.15,439450
2025-07-10 10:45:00,333.15,333.2,332.5,332.6,413600
2025-07-10 11:00:00,332.6,333.3,332.3,333.3,232650
2025-07-10 11:15:00,333.3,333.4,332.4,332.65,220900
2025-07-10 11:30:00,332.65,332.9,332.15,332.45,185650
2025-07-10 11:45:00,332.45,333.2,332.4,332.85,230300
2025-07-10 12:00:00,332.85,333.8,332.6,333.8,394800
2025-07-10 12:15:00,333.8,334.25,333.2,334.0,411250
2025-07-10 12:30:00,334.0,334.25,333.35,333.45,171550
2025-07-10 12:45:00,333.45,334.0,333.25,333.4,244400
2025-07-10 13:00:00,333.4,333.5,333.1,333.45,169200
2025-07-10 13:15:00,333.45,333.7,333.1,333.4,138650
2025-07-10 13:30:00,333.4,333.65,332.8,332.9,350150
2025-07-10 13:45:00,332.9,333.45,332.4,333.45,352500
2025-07-10 14:00:00,333.45,334.15,333.25,333.5,383050
2025-07-10 14:15:00,333.5,333.75,333.35,333.65,166850
2025-07-10 14:30:00,333.65,333.75,333.4,333.65,155100
2025-07-10 14:45:00,333.65,333.75,332.5,332.5,1109200
2025-07-10 15:00:00,332.5,332.65,331.85,332.0,761400
2025-07-10 15:15:00,332.0,332.5,332.0,332.4,806050
2025-07-11 09:15:00,331.95,331.95,329.45,329.85,1818900
2025-07-11 09:30:00,329.85,330.1,328.7,329.8,1499300
2025-07-11 09:45:00,329.8,329.8,327.65,327.8,1567450
2025-07-11 10:00:00,327.9,328.1,327.1,327.45,770800
2025-07-11 10:15:00,327.45,327.9,327.0,327.45,566350
2025-07-11 10:30:00,327.45,327.7,326.3,327.2,862450
2025-07-11 10:45:00,327.2,327.7,326.75,326.85,413600
2025-07-11 11:00:00,326.85,327.7,326.15,327.4,556950
2025-07-11 11:15:00,327.4,327.9,326.85,327.9,279650
2025-07-11 11:30:00,327.9,328.5,327.5,327.5,448850
2025-07-11 11:45:00,327.5,327.8,327.05,327.05,225600
2025-07-11 12:00:00,327.05,327.4,326.7,326.95,789600
2025-07-11 12:15:00,326.95,327.25,326.8,326.8,359550
2025-07-11 12:30:00,326.8,328.3,326.8,328.0,1153850
2025-07-11 12:45:00,328.0,328.25,327.4,327.4,486450
2025-07-11 13:00:00,327.4,327.6,327.05,327.45,211500
2025-07-11 13:15:00,327.45,327.95,327.3,327.5,169200
2025-07-11 13:30:00,327.5,327.7,327.15,327.25,129250
2025-07-11 13:45:00,327.25,327.9,327.1,327.9,143350
2025-07-11 14:00:00,327.85,328.0,327.4,327.6,274950
2025-07-11 14:15:00,327.6,327.85,327.25,327.3,117500
2025-07-11 14:30:00,327.3,327.9,327.3,327.5,190350
2025-07-11 14:45:00,327.5,327.9,327.4,327.5,220900
2025-07-11 15:00:00,327.5,327.65,326.7,326.75,540500
2025-07-11 15:15:00,326.75,327.05,326.0,326.95,1311300
2025-07-14 09:15:00,325.0,328.4,325.0,326.25,1313650
2025-07-14 09:30:00,326.25,327.25,325.7,326.65,596900
2025-07-14 09:45:00,326.65,326.75,325.9,326.25,441800
2025-07-14 10:00:00,326.2,326.4,325.4,325.85,512300
2025-07-14 10:15:00,325.85,326.4,325.3,325.8,479400
2025-07-14 10:30:00,325.8,325.8,324.75,324.85,507600
2025-07-14 10:45:00,324.85,324.85,323.05,323.05,726150
2025-07-14 11:00:00,323.05,323.35,322.3,322.3,789600
2025-07-14 11:15:00,322.3,322.6,320.4,320.8,1003450
2025-07-14 11:30:00,320.8,321.4,320.8,321.0,566350
2025-07-14 11:45:00,321.0,321.45,320.5,321.25,366600
2025-07-14 12:00:00,321.25,322.25,320.8,321.65,392450
2025-07-14 12:15:00,321.65,322.0,321.0,321.25,204450
2025-07-14 12:30:00,321.25,321.75,320.8,321.75,223250
2025-07-14 12:45:00,321.75,321.9,319.8,319.85,1426450
2025-07-14 13:00:00,319.85,320.0,318.6,319.4,695600
