date,open,high,low,close,volume
2025-07-01 09:15:00,132.75,132.75,130.5,131.25,2265400
2025-07-01 09:30:00,131.25,132.04,131.08,132.04,615700
2025-07-01 09:45:00,132.04,132.3,131.76,132.11,376000
2025-07-01 10:00:00,132.11,132.11,131.3,131.3,531100
2025-07-01 10:15:00,131.3,131.53,130.83,131.23,1541600
2025-07-01 10:30:00,131.23,131.58,131.16,131.35,220900
2025-07-01 10:45:00,131.35,131.35,130.7,130.88,512300
2025-07-01 11:00:00,130.88,130.99,130.51,130.91,559300
2025-07-01 11:15:00,130.91,131.24,130.75,131.12,667400
2025-07-01 11:30:00,131.12,131.35,131.0,131.21,455900
2025-07-01 11:45:00,131.21,131.56,131.0,131.55,728500
2025-07-01 12:00:00,131.55,132.42,131.45,132.42,498200
2025-07-01 12:15:00,132.42,134.47,132.42,133.49,3764700
2025-07-01 12:30:00,133.49,133.65,132.94,132.94,441800
2025-07-01 12:45:00,132.94,133.15,132.56,132.7,460600
2025-07-01 13:00:00,132.7,132.9,132.42,132.63,535800
2025-07-01 13:15:00,132.63,133.0,132.61,133.0,1005800
2025-07-01 13:30:00,133.0,133.3,133.0,133.18,629800
2025-07-01 13:45:00,133.18,133.18,132.77,133.0,220900
2025-07-01 14:00:00,133.1,133.46,133.0,133.4,235000
2025-07-01 14:15:00,133.4,133.83,133.37,133.72,794300
2025-07-01 14:30:00,133.77,133.78,133.4,133.4,531100
2025-07-01 14:45:00,133.4,133.68,133.36,133.6,770800
2025-07-01 15:00:00,133.59,133.85,133.45,133.65,855400
2025-07-01 15:15:00,133.66,133.9,133.62,133.66,1297200
2025-07-02 09:15:00,134.05,134.9,133.99,134.52,2467500
2025-07-02 09:30:00,134.52,135.1,133.95,134.22,1156200
2025-07-02 09:45:00,134.22,134.5,134.01,134.07,446500
2025-07-02 10:00:00,134.07,134.39,133.85,133.9,705000
2025-07-02 10:15:00,133.9,134.53,133.65,134.31,564000
2025-07-02 10:30:00,134.31,134.31,133.88,134.26,338400
2025-07-02 10:45:00,134.26,134.9,134.06,134.54,658000
2025-07-02 11:00:00,134.54,134.75,134.41,134.48,141000
2025-07-02 11:15:00,134.48,136.24,134.48,135.95,2674300
2025-07-02 11:30:00,135.95,136.61,135.84,136.04,1663800
2025-07-02 11:45:00,136.04,137.69,136.04,137.51,3713000
2025-07-02 12:00:00,137.51,137.74,136.35,136.38,2570900
2025-07-02 12:15:00,136.38,136.57,136.15,136.21,958800
2025-07-02 12:30:00,136.21,136.28,135.21,135.97,2429900
2025-07-02 12:45:00,135.97,136.9,135.7,136.81,1630900
2025-07-02 13:00:00,136.81,137.49,136.57,137.0,2495700
2025-07-02 13:15:00,137.0,137.25,136.26,136.26,2063300
2025-07-02 13:30:00,136.26,136.89,136.18,136.42,991700
2025-07-02 13:45:00,136.42,136.47,135.91,136.17,479400
2025-07-02 14:00:00,136.17,137.55,136.17,137.36,1583900
2025-07-02 14:15:00,137.36,137.43,137.09,137.39,737900
2025-07-02 14:30:00,137.39,137.4,136.98,137.15,559300
2025-07-02 14:45:00,137.15,137.59,137.15,137.53,1287800
2025-07-02 15:00:00,137.53,138.64,137.5,138.41,3459200
2025-07-02 15:15:00,138.41,139.0,138.06,138.88,3957400
2025-07-03 09:15:00,138.5,140.19,138.12,139.87,6739800
2025-07-03 09:30:00,139.87,140.6,139.44,139.59,2820000
2025-07-03 09:45:00,139.59,139.61,138.01,138.18,1753100
2025-07-03 10:00:00,138.18,138.55,137.68,138.27,972900
2025-07-03 10:15:00,138.27,138.54,138.02,138.09,794300
2025-07-03 10:30:00,138.09,138.46,137.75,137.81,784900
2025-07-03 10:45:00,137.81,138.0,137.57,137.85,549900
2025-07-03 11:00:00,137.85,137.9,137.4,137.62,681500
2025-07-03 11:15:00,137.62,137.88,137.48,137.49,578100
2025-07-03 11:30:00,137.49,137.67,137.25,137.47,601600
2025-07-03 11:45:00,137.47,137.81,137.32,137.76,319600
2025-07-03 12:00:00,137.77,137.79,137.48,137.74,225600
2025-07-03 12:15:00,137.74,137.85,137.5,137.69,239700
2025-07-03 12:30:00,137.69,137.85,137.62,137.85,225600
2025-07-03 12:45:00,137.8,137.85,137.68,137.69,155100
2025-07-03 13:00:00,137.69,137.7,137.37,137.48,399500
2025-07-03 13:15:00,137.48,137.5,137.03,137.42,606300
2025-07-03 13:30:00,137.43,137.75,137.31,137.64,347800
2025-07-03 13:45:00,137.64,137.64,137.35,137.55,225600
2025-07-03 14:00:00,137.55,137.55,137.33,137.44,220900
2025-07-03 14:15:00,137.44,137.57,136.75,136.84,658000
2025-07-03 14:30:00,136.72,137.21,136.57,137.03,822500
2025-07-03 14:45:00,137.03,137.09,136.72,136.85,493500
2025-07-03 15:00:00,136.85,136.93,136.67,136.73,502900
2025-07-03 15:15:00,136.74,136.93,136.21,136.57,1372400
2025-07-04 09:15:00,136.49,136.55,135.4,136.0,761400
2025-07-04 09:30:00,136.0,136.29,135.72,135.92,380700
2025-07-04 09:45:00,135.92,136.45,135.92,136.19,258500
2025-07-04 10:00:00,136.19,137.19,136.19,136.62,1226700
2025-07-04 10:15:00,136.62,136.69,136.39,136.62,47000
2025-07-04 10:30:00,136.62,137.23,136.33,137.05,376000
2025-07-04 10:45:00,137.05,137.45,136.89,137.34,512300
2025-07-04 11:00:00,137.34,137.45,137.15,137.25,291400
2025-07-04 11:15:00,137.25,137.35,136.77,136.77,286700
2025-07-04 11:30:00,136.77,137.0,135.7,135.97,338400
2025-07-04 11:45:00,135.97,135.97,134.45,134.6,3637800
2025-07-04 12:00:00,134.6,134.93,134.25,134.81,413600
