date,open,high,low,close,volume
2025-07-01 09:15:00,20.49,20.56,20.43,20.48,6686500
2025-07-01 09:30:00,20.48,20.48,20.38,20.38,3545400
2025-07-01 09:45:00,20.38,20.45,20.37,20.41,4074100
2025-07-01 10:00:00,20.41,20.41,20.32,20.32,4602800
2025-07-01 10:15:00,20.32,20.36,20.3,20.35,2985600
2025-07-01 10:30:00,20.35,20.39,20.35,20.36,870800
2025-07-01 10:45:00,20.36,20.36,20.28,20.28,3607600
2025-07-01 11:00:00,20.28,20.32,20.26,20.32,2488000
2025-07-01 11:15:00,20.32,20.4,20.3,20.4,3763100
2025-07-01 11:30:00,20.4,20.41,20.39,20.4,1866000
2025-07-01 11:45:00,20.39,20.42,20.39,20.41,1461700
2025-07-01 12:00:00,20.4,20.45,20.39,20.45,3296600
2025-07-01 12:15:00,20.45,20.49,20.43,20.49,2021500
2025-07-01 12:30:00,20.49,20.53,20.49,20.51,3980800
2025-07-01 12:45:00,20.51,20.51,20.45,20.47,1897100
2025-07-01 13:00:00,20.47,20.51,20.46,20.5,1834900
2025-07-01 13:15:00,20.5,20.51,20.48,20.49,2674600
2025-07-01 13:30:00,20.49,20.51,20.48,20.49,2705700
2025-07-01 13:45:00,20.49,20.51,20.48,20.5,2052600
2025-07-01 14:00:00,20.5,20.52,20.48,20.5,1212900
2025-07-01 14:15:00,20.5,20.52,20.49,20.51,1150700
2025-07-01 14:30:00,20.49,20.52,20.49,20.51,1959300
2025-07-01 14:45:00,20.51,20.62,20.5,20.59,8365900
2025-07-01 15:00:00,20.58,20.58,20.54,20.55,3669800
2025-07-01 15:15:00,20.55,20.6,20.53,20.58,7246300
2025-07-02 09:15:00,20.6,20.61,20.5,20.57,5566900
2025-07-02 09:30:00,20.57,20.57,20.45,20.48,3452100
2025-07-02 09:45:00,20.48,20.49,20.41,20.42,2954500
2025-07-02 10:00:00,20.42,20.46,20.4,20.41,3794200
2025-07-02 10:15:00,20.41,20.44,20.38,20.44,2363600
2025-07-02 10:30:00,20.45,20.45,20.37,20.39,1586100
2025-07-02 10:45:00,20.39,20.42,20.38,20.41,684200
2025-07-02 11:00:00,20.4,20.43,20.4,20.41,1275100
2025-07-02 11:15:00,20.41,20.47,20.41,20.47,684200
2025-07-02 11:30:00,20.47,20.48,20.46,20.47,559800
2025-07-02 11:45:00,20.47,20.53,20.46,20.51,2954500
2025-07-02 12:00:00,20.51,20.52,20.47,20.5,4696100
2025-07-02 12:15:00,20.5,20.5,20.46,20.47,1119600
2025-07-02 12:30:00,20.47,20.48,20.46,20.46,684200
2025-07-02 12:45:00,20.46,20.46,20.42,20.42,746400
2025-07-02 13:00:00,20.42,20.46,20.42,20.44,933000
2025-07-02 13:15:00,20.44,20.44,20.28,20.31,4540600
2025-07-02 13:30:00,20.3,20.35,20.29,20.33,1959300
2025-07-02 13:45:00,20.33,20.36,20.27,20.36,2488000
2025-07-02 14:00:00,20.36,20.38,20.36,20.38,839700
2025-07-02 14:15:00,20.38,20.38,20.35,20.36,964100
2025-07-02 14:30:00,20.36,20.38,20.35,20.36,1555000
2025-07-02 14:45:00,20.36,20.4,20.36,20.4,1181800
2025-07-02 15:00:00,20.4,20.44,20.4,20.43,1866000
2025-07-02 15:15:00,20.42,20.42,20.38,20.41,4167400
2025-07-03 09:15:00,20.41,20.43,20.27,20.28,6375500
2025-07-03 09:30:00,20.28,20.34,20.28,20.32,3265500
2025-07-03 09:45:00,20.32,20.35,20.3,20.32,1803800
2025-07-03 10:00:00,20.32,20.34,20.31,20.33,1586100
2025-07-03 10:15:00,20.34,20.4,20.34,20.39,2239200
2025-07-03 10:30:00,20.39,20.41,20.37,20.39,1523900
2025-07-03 10:45:00,20.39,20.39,20.32,20.34,2332500
2025-07-03 11:00:00,20.32,20.36,20.32,20.35,1337300
2025-07-03 11:15:00,20.35,20.35,20.3,20.32,1244000
2025-07-03 11:30:00,20.32,20.32,20.28,20.29,1181800
2025-07-03 11:45:00,20.29,20.3,20.24,20.27,3203300
2025-07-03 12:00:00,20.27,20.28,20.25,20.26,1057400
2025-07-03 12:15:00,20.26,20.3,20.24,20.3,2301400
2025-07-03 12:30:00,20.3,20.35,20.29,20.34,11818000
2025-07-03 12:45:00,20.34,20.34,20.28,20.29,1337300
2025-07-03 13:00:00,20.29,20.34,20.29,20.33,1119600
2025-07-03 13:15:00,20.33,20.36,20.31,20.33,4074100
2025-07-03 13:30:00,20.33,20.37,20.32,20.36,1244000
2025-07-03 13:45:00,20.35,20.35,20.32,20.32,870800
2025-07-03 14:00:00,20.32,20.33,20.29,20.29,1088500
2025-07-03 14:15:00,20.29,20.31,20.27,20.28,1150700
2025-07-03 14:30:00,20.28,20.31,20.24,20.29,5007100
2025-07-03 14:45:00,20.29,20.33,20.27,20.29,3110000
2025-07-03 15:00:00,20.29,20.31,20.25,20.26,2799000
2025-07-03 15:15:00,20.26,20.31,20.25,20.3,5411400
