date,open,high,low,close,volume
2025-07-07 09:15:00,78.4,78.75,77.73,78.05,831668
2025-07-07 09:30:00,78.01,78.4,77.83,77.89,203775
2025-07-07 09:45:00,77.88,78.29,77.82,78.28,217343
2025-07-07 10:00:00,78.28,78.28,77.75,77.89,241495
2025-07-07 10:15:00,77.89,78.44,77.77,78.15,206195
2025-07-07 10:30:00,78.19,78.5,78.17,78.38,170973
2025-07-07 10:45:00,78.38,78.5,78.3,78.34,350690
2025-07-07 11:00:00,78.37,78.89,78.36,78.53,425833
2025-07-07 11:15:00,78.53,78.75,78.4,78.4,179939
2025-07-07 11:30:00,78.4,78.59,78.16,78.59,148487
2025-07-07 11:45:00,78.6,78.63,78.41,78.58,83600
2025-07-07 12:00:00,78.59,78.6,78.35,78.38,58848
2025-07-07 12:15:00,78.4,78.44,78.25,78.42,77808
2025-07-07 12:30:00,78.42,78.44,78.25,78.29,39578
2025-07-07 12:45:00,78.29,78.35,77.89,77.95,161343
2025-07-07 13:00:00,77.97,78.04,77.87,77.96,94788
2025-07-07 13:15:00,77.96,78.1,77.9,77.9,75536
2025-07-07 13:30:00,77.89,77.89,77.81,77.86,67928
2025-07-07 13:45:00,77.86,78.25,77.8,78.24,289239
2025-07-07 14:00:00,78.24,78.27,77.9,77.96,119768
2025-07-07 14:15:00,77.92,78.28,77.92,78.1,274655
2025-07-07 14:30:00,78.08,78.1,77.88,77.98,184536
2025-07-07 14:45:00,77.94,78.24,77.85,78.19,227431
2025-07-07 15:00:00,78.22,78.34,78.1,78.1,404363
2025-07-07 15:15:00,78.15,78.15,77.79,77.84,334363
2025-07-08 09:15:00,78.22,78.48,77.67,78.18,489900
2025-07-08 09:30:00,78.18,78.18,77.71,77.82,180509
2025-07-08 09:45:00,77.88,78.0,77.62,77.73,187607
2025-07-08 10:00:00,77.73,77.78,77.53,77.61,146767
2025-07-08 10:15:00,77.61,77.8,77.59,77.68,217476
2025-07-08 10:30:00,77.74,77.79,77.5,77.75,219905
2025-07-08 10:45:00,77.75,78.47,77.71,78.39,559318
2025-07-08 11:00:00,78.39,79.05,78.09,78.86,1597288
2025-07-08 11:15:00,78.84,78.84,78.27,78.76,731532
2025-07-08 11:30:00,78.76,78.8,78.36,78.63,362147
2025-07-08 11:45:00,78.62,79.24,78.57,79.12,769614
2025-07-08 12:00:00,79.1,79.19,78.95,79.1,752652
2025-07-08 12:15:00,79.1,79.15,78.81,79.0,470916
2025-07-08 12:30:00,79.02,79.02,78.63,78.78,291249
2025-07-08 12:45:00,78.79,78.9,78.57,78.58,289668
2025-07-08 13:00:00,78.58,78.65,78.22,78.58,524584
2025-07-08 13:15:00,78.62,78.91,78.5,78.84,222716
2025-07-08 13:30:00,78.84,78.93,78.68,78.74,99577
2025-07-08 13:45:00,78.74,79.15,78.65,79.12,297258
2025-07-08 14:00:00,79.14,79.5,79.1,79.29,993890
2025-07-08 14:15:00,79.29,79.44,79.2,79.35,596872
2025-07-08 14:30:00,79.35,79.43,79.12,79.14,559849
2025-07-08 14:45:00,79.14,79.36,79.13,79.27,361920
2025-07-08 15:00:00,79.27,79.67,79.22,79.6,855540
2025-07-08 15:15:00,79.6,79.65,79.41,79.41,952374
2025-07-09 09:15:00,80.0,80.09,79.17,79.55,797657
2025-07-09 09:30:00,79.55,79.6,79.0,79.11,454112
2025-07-09 09:45:00,79.08,79.17,78.79,78.88,411260
2025-07-09 10:00:00,78.9,79.0,78.72,78.95,197921
2025-07-09 10:15:00,78.95,79.47,78.86,79.39,378232
2025-07-09 10:30:00,79.36,79.43,79.18,79.3,171222
2025-07-09 10:45:00,79.26,79.3,78.85,78.88,205439
2025-07-09 11:00:00,78.88,78.9,78.44,78.51,355162
2025-07-09 11:15:00,78.52,78.64,78.41,78.47,210242
2025-07-09 11:30:00,78.44,78.9,78.31,78.56,496898
2025-07-09 11:45:00,78.57,78.59,78.35,78.45,88104
2025-07-09 12:00:00,78.5,78.5,78.25,78.41,160984
2025-07-09 12:15:00,78.41,78.54,78.36,78.46,86127
2025-07-09 12:30:00,78.45,78.92,78.4,78.83,320444
2025-07-09 12:45:00,78.83,79.05,78.8,79.0,199376
2025-07-09 13:00:00,79.0,79.03,78.78,78.78,337978
2025-07-09 13:15:00,78.78,79.05,78.73,79.03,123446
2025-07-09 13:30:00,79.03,79.04,78.82,78.95,90222
2025-07-09 13:45:00,78.9,78.97,78.87,78.92,34160
2025-07-09 14:00:00,78.92,79.05,78.82,78.99,79161
2025-07-09 14:15:00,78.99,79.03,78.53,78.89,377926
2025-07-09 14:30:00,78.89,78.89,78.61,78.8,215123
2025-07-09 14:45:00,78.79,78.87,78.54,78.85,324818
2025-07-09 15:00:00,78.85,78.96,78.79,78.85,442022
2025-07-09 15:15:00,78.87,78.91,78.75,78.8,519047
2025-07-10 09:15:00,79.0,79.1,78.69,78.92,249795
2025-07-10 09:30:00,78.87,79.05,78.8,78.92,165397
2025-07-10 09:45:00,78.92,78.97,78.41,78.53,174170
2025-07-10 10:00:00,78.51,78.64,78.45,78.48,87669
2025-07-10 10:15:00,78.5,78.59,78.42,78.47,55649
2025-07-10 10:30:00,78.48,78.56,78.29,78.52,222389
2025-07-10 10:45:00,78.5,78.57,78.0,78.0,288703
2025-07-10 11:00:00,78.03,78.1,77.7,77.97,310456
2025-07-10 11:15:00,77.97,78.03,77.74,77.8,96821
2025-07-10 11:30:00,77.8,77.95,77.7,77.73,66206
2025-07-10 11:45:00,77.73,77.81,77.65,77.75,96511
2025-07-10 12:00:00,77.75,77.78,77.4,77.54,348340
2025-07-10 12:15:00,77.54,77.86,77.54,77.82,79596
2025-07-10 12:30:00,77.82,77.91,77.8,77.8,67611
2025-07-10 12:45:00,77.8,77.88,77.75,77.79,38864
2025-07-10 13:00:00,77.79,77.84,77.66,77.7,52035
2025-07-10 13:15:00,77.7,77.78,77.52,77.59,149041
2025-07-10 13:30:00,77.59,77.64,77.52,77.52,62688
2025-07-10 13:45:00,77.48,77.85,77.4,77.72,161396
2025-07-10 14:00:00,77.72,77.88,77.65,77.76,61500
2025-07-10 14:15:00,77.76,78.5,77.57,78.27,703576
2025-07-10 14:30:00,78.3,78.43,78.22,78.33,267746
2025-07-10 14:45:00,78.32,78.32,78.1,78.1,144701
2025-07-10 15:00:00,78.09,78.16,78.01,78.07,209872
2025-07-10 15:15:00,78.08,78.08,77.71,77.8,534896
2025-07-11 09:15:00,77.96,77.99,77.22,77.6,561899
2025-07-11 09:30:00,77.65,77.65,77.32,77.45,219368
2025-07-11 09:45:00,77.45,77.48,77.16,77.22,385778
2025-07-11 10:00:00,77.22,77.22,76.52,76.59,793740
2025-07-11 10:15:00,76.59,76.68,76.45,76.57,138682
2025-07-11 10:30:00,76.58,76.6,76.34,76.49,351689
2025-07-11 10:45:00,76.49,76.6,76.31,76.36,111245
2025-07-11 11:00:00,76.36,76.53,76.24,76.48,164961
2025-07-11 11:15:00,76.49,76.58,76.41,76.56,54606
2025-07-11 11:30:00,76.56,76.9,76.5,76.81,218735
2025-07-11 11:45:00,76.81,76.89,76.6,76.6,296876
2025-07-11 12:00:00,76.66,76.78,76.54,76.74,138609
