date,open,high,low,close,volume
2025-07-07 09:15:00,35760,35790,35375,35530,10271
2025-07-07 09:30:00,35530,35965,35520,35950,7840
2025-07-07 09:45:00,35980,36200,35910,35930,11517
2025-07-07 10:00:00,35910,35910,35680,35815,5401
2025-07-07 10:15:00,35815,36000,35795,35830,2758
2025-07-07 10:30:00,35850,35945,35820,35845,1192
2025-07-07 10:45:00,35845,36040,35845,36015,1245
2025-07-07 11:00:00,36035,36165,36020,36155,3063
2025-07-07 11:15:00,36155,36340,36105,36180,5945
2025-07-07 11:30:00,36180,36265,36100,36265,1956
2025-07-07 11:45:00,36260,36260,36060,36145,2496
2025-07-07 12:00:00,36145,36180,36095,36165,616
2025-07-07 12:15:00,36165,36215,36130,36175,1025
2025-07-07 12:30:00,36155,36190,36090,36120,1112
2025-07-07 12:45:00,36120,36140,35985,36045,915
2025-07-07 13:00:00,36045,36045,35835,35990,2097
2025-07-07 13:15:00,35990,36160,35990,36100,2125
2025-07-07 13:30:00,36120,36150,36070,36070,884
2025-07-07 13:45:00,36075,36145,36025,36110,1669
2025-07-07 14:00:00,36110,36140,36090,36090,602
2025-07-07 14:15:00,36090,36145,36090,36100,735
2025-07-07 14:30:00,36100,36140,36080,36120,1195
2025-07-07 14:45:00,36120,36135,36000,36030,2747
2025-07-07 15:00:00,36030,36110,36000,36070,4344
2025-07-07 15:15:00,36075,36155,35975,36155,16172
2025-07-08 09:15:00,35990,36335,35890,36320,6600
2025-07-08 09:30:00,36320,36320,36125,36150,4074
2025-07-08 09:45:00,36150,36180,36045,36090,2704
2025-07-08 10:00:00,36090,36090,35905,35935,3750
2025-07-08 10:15:00,35935,35990,35855,35970,4431
2025-07-08 10:30:00,35955,35970,35765,35775,4328
2025-07-08 10:45:00,35790,35895,35750,35820,5074
2025-07-08 11:00:00,35820,35830,35510,35590,5825
2025-07-08 11:15:00,35570,35650,35540,35595,3811
2025-07-08 11:30:00,35595,35610,35450,35520,2780
2025-07-08 11:45:00,35520,35685,35500,35645,2900
2025-07-08 12:00:00,35645,35840,35625,35675,2291
2025-07-08 12:15:00,35660,35905,35650,35835,5390
2025-07-08 12:30:00,35835,35960,35815,35890,6279
2025-07-08 12:45:00,35890,35900,35735,35750,3207
2025-07-08 13:00:00,35750,35775,35625,35660,2241
2025-07-08 13:15:00,35660,35770,35650,35730,2428
2025-07-08 13:30:00,35745,35755,35585,35625,1819
2025-07-08 13:45:00,35625,35700,35550,35620,1182
2025-07-08 14:00:00,35610,35615,35550,35565,713
2025-07-08 14:15:00,35570,35585,35500,35540,705
2025-07-08 14:30:00,35525,35560,35500,35500,541
2025-07-08 14:45:00,35500,35520,35400,35460,1888
2025-07-08 15:00:00,35435,35550,35435,35515,2728
2025-07-08 15:15:00,35520,35575,35380,35485,5174
2025-07-09 09:15:00,35500,35690,35410,35525,2814
2025-07-09 09:30:00,35525,35560,35315,35330,1831
2025-07-09 09:45:00,35330,35395,35265,35310,1746
2025-07-09 10:00:00,35310,35575,35310,35575,2512
2025-07-09 10:15:00,35575,35715,35560,35615,2205
2025-07-09 10:30:00,35640,35740,35615,35690,1954
2025-07-09 10:45:00,35690,35790,35680,35750,2388
2025-07-09 11:00:00,35735,35795,35645,35720,1118
2025-07-09 11:15:00,35720,35775,35640,35765,892
2025-07-09 11:30:00,35765,35800,35680,35770,1080
2025-07-09 11:45:00,35755,35885,35755,35815,1240
2025-07-09 12:00:00,35815,35960,35775,35950,1435
2025-07-09 12:15:00,35950,36095,35885,35965,3382
2025-07-09 12:30:00,35965,36010,35935,35965,959
