date,open,high,low,close,volume
2025-07-07 09:15:00,436.75,436.75,432.05,432.6,59134
2025-07-07 09:30:00,433.0,436.0,432.6,436.0,48638
2025-07-07 09:45:00,435.9,438.0,435.25,438.0,58899
2025-07-07 10:00:00,437.75,438.8,435.25,435.6,41742
2025-07-07 10:15:00,435.6,438.3,435.15,436.7,188607
2025-07-07 10:30:00,436.65,436.75,435.9,436.15,7709
2025-07-07 10:45:00,436.15,436.55,435.2,435.9,130308
2025-07-07 11:00:00,435.9,436.25,435.2,435.55,19650
2025-07-07 11:15:00,435.55,436.05,434.95,435.35,18589
2025-07-07 11:30:00,435.35,435.55,434.0,435.1,68690
2025-07-07 11:45:00,435.2,435.35,434.0,434.5,53230
2025-07-07 12:00:00,434.45,434.8,433.85,434.1,60926
2025-07-07 12:15:00,434.1,434.8,433.45,434.25,40013
2025-07-07 12:30:00,434.25,434.8,433.65,433.95,27525
2025-07-07 12:45:00,433.95,434.05,432.85,433.0,15108
2025-07-07 13:00:00,433.0,434.0,432.9,433.95,21027
2025-07-07 13:15:00,433.95,434.5,433.75,434.4,30704
2025-07-07 13:30:00,434.4,434.4,433.0,433.25,11180
2025-07-07 13:45:00,433.25,433.75,433.2,433.55,8364
2025-07-07 14:00:00,433.55,433.8,433.1,433.2,16355
2025-07-07 14:15:00,433.2,433.6,432.95,433.15,17422
2025-07-07 14:30:00,433.15,433.15,432.2,432.35,26828
2025-07-07 14:45:00,432.3,433.75,432.0,433.4,77085
2025-07-07 15:00:00,433.55,433.85,432.4,432.65,174145
2025-07-07 15:15:00,432.6,436.0,432.0,435.45,162245
2025-07-08 09:15:00,433.2,436.35,433.2,435.9,50032
2025-07-08 09:30:00,435.9,436.0,433.5,433.7,42503
2025-07-08 09:45:00,433.75,436.6,433.15,434.6,76469
2025-07-08 10:00:00,434.6,434.95,433.6,434.75,32241
2025-07-08 10:15:00,434.45,435.6,433.3,433.5,43739
2025-07-08 10:30:00,433.8,434.3,432.55,432.6,127249
2025-07-08 10:45:00,432.7,433.1,431.3,432.85,44655
2025-07-08 11:00:00,432.85,433.0,431.75,432.5,46299
2025-07-08 11:15:00,432.5,433.1,431.5,432.5,32856
2025-07-08 11:30:00,432.5,433.35,432.0,432.0,33595
2025-07-08 11:45:00,432.4,433.15,432.05,433.0,27444
2025-07-08 12:00:00,433.0,433.15,432.5,433.0,25259
2025-07-08 12:15:00,433.0,433.15,432.15,432.95,26359
2025-07-08 12:30:00,432.95,434.0,432.5,433.0,46567
2025-07-08 12:45:00,433.0,435.8,432.95,435.25,99097
2025-07-08 13:00:00,435.25,435.8,435.05,435.2,50397
2025-07-08 13:15:00,435.2,436.85,435.05,435.8,42991
2025-07-08 13:30:00,435.8,436.25,434.7,435.95,30113
2025-07-08 13:45:00,435.95,436.4,434.75,435.25,29383
2025-07-08 14:00:00,435.25,435.25,432.6,432.9,49415
2025-07-08 14:15:00,432.9,433.95,431.4,433.9,53539
2025-07-08 14:30:00,433.9,434.0,432.4,433.0,41042
2025-07-08 14:45:00,432.9,433.35,432.65,433.0,36460
2025-07-08 15:00:00,433.0,435.7,432.8,434.9,48411
2025-07-08 15:15:00,435.0,435.0,432.8,432.95,60875
2025-07-09 09:15:00,433.95,434.2,431.05,432.55,109045
2025-07-09 09:30:00,432.25,433.5,432.25,432.7,33150
2025-07-09 09:45:00,432.7,432.7,431.35,431.9,24486
2025-07-09 10:00:00,432.2,432.25,431.5,432.0,24824
2025-07-09 10:15:00,432.0,432.95,431.75,432.45,9539
2025-07-09 10:30:00,432.45,432.5,431.8,432.0,11933
2025-07-09 10:45:00,432.0,433.0,431.8,432.85,14649
2025-07-09 11:00:00,432.85,432.85,432.05,432.55,5878
2025-07-09 11:15:00,432.55,433.0,432.2,432.7,8572
2025-07-09 11:30:00,432.7,433.0,432.1,432.7,7964
2025-07-09 11:45:00,432.7,432.9,432.05,432.1,6461
2025-07-09 12:00:00,432.1,434.0,432.0,433.75,50029
2025-07-09 12:15:00,433.75,433.8,432.95,433.55,7729
2025-07-09 12:30:00,433.55,433.7,433.0,433.45,11229
2025-07-09 12:45:00,433.45,433.45,432.8,433.05,6868
2025-07-09 13:00:00,433.05,433.05,431.1,432.15,43388
2025-07-09 13:15:00,432.05,432.5,431.65,432.5,17953
2025-07-09 13:30:00,432.5,432.7,431.55,432.1,11189
2025-07-09 13:45:00,432.1,432.45,431.75,432.1,15228
2025-07-09 14:00:00,432.35,432.35,431.5,431.55,18536
2025-07-09 14:15:00,431.55,432.0,430.3,430.75,35753
2025-07-09 14:30:00,430.75,430.95,429.45,429.7,35167
2025-07-09 14:45:00,429.75,430.5,429.55,430.45,25347
2025-07-09 15:00:00,430.45,430.55,429.3,429.5,57418
2025-07-09 15:15:00,429.5,430.2,428.3,428.8,85488
2025-07-10 09:15:00,430.25,430.85,427.1,428.3,93115
2025-07-10 09:30:00,428.5,431.4,428.25,430.0,54242
2025-07-10 09:45:00,430.0,430.75,428.2,429.0,13796
2025-07-10 10:00:00,429.0,429.3,428.05,428.5,15186
2025-07-10 10:15:00,428.5,428.7,426.2,426.6,83392
2025-07-10 10:30:00,426.75,427.1,426.05,426.2,23201
2025-07-10 10:45:00,426.2,426.65,425.3,426.5,23404
2025-07-10 11:00:00,426.5,426.75,425.95,426.25,20254
2025-07-10 11:15:00,426.25,426.25,423.1,423.45,106103
2025-07-10 11:30:00,423.4,424.05,422.65,422.7,61821
2025-07-10 11:45:00,422.85,423.3,422.65,422.9,20925
2025-07-10 12:00:00,422.9,423.5,422.45,423.3,23131
2025-07-10 12:15:00,423.3,425.4,423.0,424.75,133610
2025-07-10 12:30:00,424.75,426.9,424.75,426.0,56721
2025-07-10 12:45:00,426.0,426.4,425.4,425.7,19457
2025-07-10 13:00:00,425.7,426.0,425.05,425.65,11533
2025-07-10 13:15:00,425.65,426.05,424.8,425.45,12735
2025-07-10 13:30:00,425.45,425.85,424.6,424.85,13405
2025-07-10 13:45:00,424.85,425.55,424.5,425.15,22546
2025-07-10 14:00:00,425.15,426.65,425.05,425.8,19662
2025-07-10 14:15:00,425.8,427.05,425.75,426.85,24387
2025-07-10 14:30:00,426.6,428.5,426.6,428.5,75215
2025-07-10 14:45:00,428.5,429.5,428.1,428.5,47603
2025-07-10 15:00:00,428.6,428.6,427.4,427.85,32737
2025-07-10 15:15:00,427.85,428.85,427.15,428.1,52827
2025-07-11 09:15:00,423.0,428.85,422.65,426.2,131067
2025-07-11 09:30:00,426.2,426.35,425.05,426.05,43338
2025-07-11 09:45:00,426.05,426.9,424.3,425.5,44158
2025-07-11 10:00:00,425.85,427.95,424.95,427.4,51501
2025-07-11 10:15:00,427.4,427.45,425.15,425.95,35803
2025-07-11 10:30:00,425.95,425.95,423.5,423.65,35612
2025-07-11 10:45:00,423.65,423.85,422.3,423.1,35461
2025-07-11 11:00:00,423.1,423.1,421.0,422.1,41568
2025-07-11 11:15:00,422.1,423.35,421.75,422.55,23119
2025-07-11 11:30:00,422.55,422.55,421.0,421.45,33920
2025-07-11 11:45:00,421.45,422.0,420.5,420.95,29912
2025-07-11 12:00:00,420.8,421.0,419.85,421.0,55174
2025-07-11 12:15:00,421.0,421.3,420.5,420.8,18135
2025-07-11 12:30:00,420.8,422.35,420.65,422.0,22672
2025-07-11 12:45:00,422.0,422.0,420.35,420.4,15561
2025-07-11 13:00:00,420.4,420.75,420.0,420.4,29175
2025-07-11 13:15:00,420.4,421.6,420.05,421.15,14883
2025-07-11 13:30:00,421.15,421.45,420.5,421.1,12664
2025-07-11 13:45:00,421.1,421.25,420.55,421.25,10914
