date,open,high,low,close,volume
2025-07-07 09:15:00,676.6,677.6,668.0,675.55,180257
2025-07-07 09:30:00,675.55,678.0,672.0,672.4,138606
2025-07-07 09:45:00,672.35,674.8,670.75,674.0,39417
2025-07-07 10:00:00,674.0,674.8,673.0,674.05,35180
2025-07-07 10:15:00,674.05,679.0,673.8,676.8,100786
2025-07-07 10:30:00,676.8,679.9,676.7,677.7,77744
2025-07-07 10:45:00,677.7,678.0,675.1,675.85,27849
2025-07-07 11:00:00,675.85,677.2,675.75,676.85,14236
2025-07-07 11:15:00,676.85,678.6,676.15,677.95,158138
2025-07-07 11:30:00,677.95,678.3,677.0,678.2,21877
2025-07-07 11:45:00,678.2,682.0,677.35,680.5,263134
2025-07-07 12:00:00,680.75,681.75,680.15,681.5,58989
2025-07-07 12:15:00,681.5,681.95,680.0,680.8,45896
2025-07-07 12:30:00,680.8,681.0,678.55,680.0,37678
2025-07-07 12:45:00,679.75,681.0,679.3,680.0,25172
2025-07-07 13:00:00,680.0,680.4,678.75,679.4,23791
2025-07-07 13:15:00,679.4,680.2,679.3,679.75,25428
2025-07-07 13:30:00,680.0,680.55,679.5,680.0,27059
2025-07-07 13:45:00,680.0,680.4,679.8,680.0,20171
2025-07-07 14:00:00,680.0,680.75,679.75,680.1,66373
2025-07-07 14:15:00,680.0,680.4,679.75,680.0,27219
2025-07-07 14:30:00,680.25,680.3,679.0,679.15,43797
2025-07-07 14:45:00,679.35,680.45,679.0,680.1,76108
2025-07-07 15:00:00,680.1,681.0,680.1,680.25,78200
2025-07-07 15:15:00,680.15,681.35,679.3,680.0,177074
2025-07-08 09:15:00,678.0,679.35,670.15,672.7,707598
2025-07-08 09:30:00,672.7,675.1,670.0,670.85,240193
2025-07-08 09:45:00,670.9,671.9,666.05,666.15,351411
2025-07-08 10:00:00,666.3,671.35,665.05,670.3,236414
2025-07-08 10:15:00,670.3,671.55,669.25,670.35,64071
2025-07-08 10:30:00,670.3,673.45,669.65,671.6,88183
2025-07-08 10:45:00,671.6,672.1,669.8,670.0,80380
2025-07-08 11:00:00,670.0,670.55,666.5,666.55,97716
2025-07-08 11:15:00,666.75,667.5,666.5,666.65,52858
2025-07-08 11:30:00,666.8,667.4,666.0,666.1,48860
2025-07-08 11:45:00,666.1,669.55,666.05,668.9,58211
2025-07-08 12:00:00,668.9,671.9,668.0,670.65,75529
2025-07-08 12:15:00,670.65,671.2,669.3,670.9,73839
2025-07-08 12:30:00,670.9,672.0,670.0,670.5,92138
2025-07-08 12:45:00,670.75,671.35,669.5,669.7,96392
2025-07-08 13:00:00,669.7,670.0,669.0,669.75,60466
2025-07-08 13:15:00,669.75,670.05,669.35,669.8,74911
2025-07-08 13:30:00,669.8,670.0,668.8,669.6,59448
2025-07-08 13:45:00,669.6,671.6,669.5,670.65,84112
2025-07-08 14:00:00,670.65,671.3,670.35,671.1,57544
2025-07-08 14:15:00,671.1,672.95,670.6,672.75,100312
2025-07-08 14:30:00,672.75,674.9,672.3,674.25,172901
2025-07-08 14:45:00,674.25,678.8,673.7,677.95,177475
2025-07-08 15:00:00,678.1,678.75,675.8,676.0,215349
2025-07-08 15:15:00,676.0,676.0,673.0,673.95,189254
2025-07-09 09:15:00,675.8,676.95,672.15,673.5,162566
2025-07-09 09:30:00,673.8,676.0,673.8,674.6,77838
2025-07-09 09:45:00,674.6,676.1,673.1,673.5,58194
2025-07-09 10:00:00,673.5,673.7,671.1,673.1,79180
2025-07-09 10:15:00,673.3,673.3,670.5,670.55,60360
2025-07-09 10:30:00,670.7,671.35,668.3,668.5,127142
2025-07-09 10:45:00,668.5,670.0,668.5,669.15,37589
2025-07-09 11:00:00,669.15,670.0,669.0,669.5,61227
2025-07-09 11:15:00,669.5,671.8,669.15,671.45,50348
2025-07-09 11:30:00,671.55,672.4,670.75,671.7,92044
2025-07-09 11:45:00,671.55,671.7,670.4,670.45,35444
2025-07-09 12:00:00,670.45,670.9,669.9,670.5,59896
2025-07-09 12:15:00,670.3,670.9,669.45,670.1,94593
2025-07-09 12:30:00,670.05,670.85,669.9,670.5,65342
2025-07-09 12:45:00,670.6,673.25,670.1,671.4,71211
2025-07-09 13:00:00,671.3,671.5,668.5,670.25,163656
2025-07-09 13:15:00,670.25,670.8,669.95,670.4,77192
2025-07-09 13:30:00,670.4,670.6,670.0,670.4,52573
2025-07-09 13:45:00,670.35,670.65,670.05,670.6,34577
2025-07-09 14:00:00,670.6,671.5,670.2,671.4,72514
2025-07-09 14:15:00,671.4,672.0,669.5,670.05,125748
2025-07-09 14:30:00,670.05,671.35,669.8,671.2,96652
2025-07-09 14:45:00,671.3,673.5,671.0,673.2,131235
2025-07-09 15:00:00,673.0,673.75,671.1,671.4,135421
2025-07-09 15:15:00,671.5,672.65,670.9,672.0,163387
2025-07-10 09:15:00,672.05,677.85,671.5,676.55,156882
2025-07-10 09:30:00,676.55,680.45,676.45,678.25,431018
2025-07-10 09:45:00,678.25,678.75,674.65,676.2,69929
2025-07-10 10:00:00,676.2,677.65,675.3,676.4,39223
2025-07-10 10:15:00,676.4,677.0,675.25,675.6,39940
2025-07-10 10:30:00,675.6,676.4,674.2,674.4,37286
2025-07-10 10:45:00,674.25,674.55,671.25,671.7,64799
