date,open,high,low,close,volume
2025-07-07 09:15:00,355.05,358.0,355.05,355.85,93439
2025-07-07 09:30:00,355.85,356.95,354.6,355.05,57278
2025-07-07 09:45:00,355.25,355.7,353.55,355.4,86082
2025-07-07 10:00:00,355.45,356.0,354.3,355.6,73917
2025-07-07 10:15:00,355.6,356.5,354.8,355.0,46816
2025-07-07 10:30:00,355.0,355.35,354.15,354.9,48731
2025-07-07 10:45:00,354.8,355.2,354.55,355.0,34527
2025-07-07 11:00:00,355.0,355.1,354.4,354.6,17626
2025-07-07 11:15:00,354.6,354.85,354.05,354.3,11443
2025-07-07 11:30:00,354.3,354.55,352.2,352.75,26354
2025-07-07 11:45:00,352.75,352.85,351.55,352.0,34534
2025-07-07 12:00:00,352.0,352.05,351.55,351.85,31029
2025-07-07 12:15:00,351.9,352.05,351.65,352.0,6798
2025-07-07 12:30:00,351.75,353.9,351.75,352.95,40474
2025-07-07 12:45:00,353.0,353.25,352.05,352.05,18238
2025-07-07 13:00:00,352.2,352.6,351.85,352.1,20075
2025-07-07 13:15:00,352.1,352.3,351.75,352.1,16095
2025-07-07 13:30:00,351.9,352.1,351.1,351.45,32488
2025-07-07 13:45:00,351.45,351.45,350.5,350.85,34264
2025-07-07 14:00:00,350.85,351.45,350.55,351.45,26746
2025-07-07 14:15:00,351.45,351.8,351.1,351.35,31656
2025-07-07 14:30:00,351.3,351.5,349.55,350.0,65643
2025-07-07 14:45:00,350.0,350.85,349.15,350.6,49820
2025-07-07 15:00:00,350.6,352.05,350.6,351.7,101905
2025-07-07 15:15:00,351.7,351.75,351.0,351.0,99194
2025-07-08 09:15:00,351.55,351.95,349.0,349.0,79934
2025-07-08 09:30:00,349.0,349.25,347.55,348.3,85809
2025-07-08 09:45:00,348.3,349.8,348.0,348.6,54794
2025-07-08 10:00:00,348.35,348.45,346.4,346.9,74143
2025-07-08 10:15:00,346.9,347.1,346.25,346.25,26426
2025-07-08 10:30:00,346.3,346.6,345.3,345.45,75960
2025-07-08 10:45:00,345.45,347.7,345.45,347.45,242612
2025-07-08 11:00:00,347.45,347.8,346.65,346.95,152611
2025-07-08 11:15:00,346.95,348.8,346.95,348.0,79849
2025-07-08 11:30:00,348.0,348.8,347.65,347.75,44901
2025-07-08 11:45:00,347.75,348.2,347.35,347.8,36361
2025-07-08 12:00:00,347.8,348.15,347.25,347.4,40061
2025-07-08 12:15:00,347.4,347.45,346.6,347.15,17317
2025-07-08 12:30:00,347.15,347.7,347.0,347.0,17109
2025-07-08 12:45:00,347.0,347.7,346.0,347.2,51014
2025-07-08 13:00:00,347.2,347.2,346.45,346.5,18325
2025-07-08 13:15:00,346.5,346.75,343.5,344.7,197312
2025-07-08 13:30:00,344.7,344.85,344.1,344.2,49968
2025-07-08 13:45:00,344.35,344.4,342.75,343.9,113781
2025-07-08 14:00:00,343.9,344.1,343.4,343.6,36116
2025-07-08 14:15:00,343.6,343.75,343.0,343.25,55620
2025-07-08 14:30:00,343.25,343.75,342.9,343.6,366837
2025-07-08 14:45:00,343.6,343.6,342.4,342.95,108339
2025-07-08 15:00:00,342.7,344.0,342.55,343.75,235733
2025-07-08 15:15:00,343.75,343.95,343.15,343.15,330908
2025-07-09 09:15:00,343.45,345.6,343.45,345.3,79550
2025-07-09 09:30:00,345.3,345.75,344.5,344.5,50036
2025-07-09 09:45:00,344.5,344.5,342.45,343.0,61178
2025-07-09 10:00:00,342.85,343.75,342.6,343.65,22358
2025-07-09 10:15:00,343.7,344.0,342.85,343.0,30998
2025-07-09 10:30:00,343.1,343.35,342.6,342.9,37447
2025-07-09 10:45:00,342.9,343.25,342.3,342.4,32212
2025-07-09 11:00:00,342.4,343.35,341.5,343.2,78388
2025-07-09 11:15:00,343.05,344.0,343.05,343.1,30599
2025-07-09 11:30:00,343.3,344.4,343.05,344.4,25401
2025-07-09 11:45:00,344.25,344.5,343.6,343.6,17866
2025-07-09 12:00:00,343.85,343.9,343.05,343.45,17886
2025-07-09 12:15:00,343.45,345.0,343.35,344.6,45590
