date,open,high,low,close,volume
2025-07-07 09:15:00,15240,15489,15118,15417,93579
2025-07-07 09:30:00,15410,15460,15390,15430,28284
2025-07-07 09:45:00,15427,15445,15400,15427,16715
2025-07-07 10:00:00,15429,15546,15420,15523,54080
2025-07-07 10:15:00,15526,15555,15489,15539,33508
2025-07-07 10:30:00,15534,15560,15504,15544,27507
2025-07-07 10:45:00,15544,15646,15544,15642,51631
2025-07-07 11:00:00,15642,15668,15569,15576,36611
2025-07-07 11:15:00,15576,15590,15533,15562,17091
2025-07-07 11:30:00,15566,15570,15503,15519,17540
2025-07-07 11:45:00,15519,15565,15519,15541,8927
2025-07-07 12:00:00,15540,15544,15501,15520,15713
2025-07-07 12:15:00,15519,15521,15425,15440,23855
2025-07-07 12:30:00,15440,15460,15416,15422,15265
2025-07-07 12:45:00,15421,15423,15362,15371,22078
2025-07-07 13:00:00,15371,15385,15335,15367,17723
2025-07-07 13:15:00,15370,15448,15367,15414,20057
2025-07-07 13:30:00,15414,15432,15370,15380,8479
2025-07-07 13:45:00,15380,15414,15379,15406,8561
2025-07-07 14:00:00,15406,15425,15395,15402,7939
2025-07-07 14:15:00,15402,15419,15396,15400,7886
2025-07-07 14:30:00,15398,15446,15382,15437,17156
2025-07-07 14:45:00,15431,15468,15419,15460,17313
2025-07-07 15:00:00,15470,15476,15423,15423,23593
2025-07-07 15:15:00,15429,15440,15400,15401,27988
2025-07-08 09:15:00,15480,15498,15399,15414,38101
2025-07-08 09:30:00,15410,15446,15364,15421,17705
2025-07-08 09:45:00,15421,15437,15362,15362,9793
2025-07-08 10:00:00,15362,15410,15322,15387,10706
2025-07-08 10:15:00,15387,15410,15351,15369,4631
2025-07-08 10:30:00,15372,15378,15341,15359,4981
2025-07-08 10:45:00,15359,15377,15303,15373,11030
2025-07-08 11:00:00,15373,15376,15285,15305,10843
2025-07-08 11:15:00,15304,15330,15292,15309,5463
2025-07-08 11:30:00,15310,15328,15276,15286,5380
2025-07-08 11:45:00,15277,15310,15256,15303,6039
2025-07-08 12:00:00,15302,15317,15279,15279,3102
2025-07-08 12:15:00,15277,15342,15231,15342,9256
2025-07-08 12:30:00,15342,15390,15331,15387,13568
2025-07-08 12:45:00,15388,15490,15379,15471,26105
2025-07-08 13:00:00,15470,15484,15453,15480,10478
2025-07-08 13:15:00,15479,15525,15456,15471,21430
2025-07-08 13:30:00,15470,15471,15420,15448,5732
2025-07-08 13:45:00,15448,15454,15422,15428,3102
2025-07-08 14:00:00,15428,15441,15401,15428,10397
2025-07-08 14:15:00,15428,15440,15407,15422,2824
2025-07-08 14:30:00,15421,15435,15412,15431,3654
2025-07-08 14:45:00,15427,15460,15426,15455,8105
2025-07-08 15:00:00,15455,15495,15443,15479,17733
2025-07-08 15:15:00,15474,15493,15450,15460,24745
