date,open,high,low,close,volume
2025-07-07 09:15:00,215.51,216.55,215.21,215.94,256774
2025-07-07 09:30:00,216.09,216.45,214.96,215.7,277582
2025-07-07 09:45:00,215.7,216.1,215.57,215.8,60155
2025-07-07 10:00:00,215.86,216.33,215.78,216.2,101768
2025-07-07 10:15:00,216.15,216.5,216.05,216.13,113434
2025-07-07 10:30:00,216.13,216.4,216.0,216.15,57107
2025-07-07 10:45:00,216.14,216.9,216.13,216.89,130837
2025-07-07 11:00:00,216.95,217.2,216.1,216.21,161096
2025-07-07 11:15:00,216.22,216.49,216.08,216.23,194357
2025-07-07 11:30:00,216.23,216.68,216.22,216.58,112522
2025-07-07 11:45:00,216.61,216.67,216.0,216.17,341696
2025-07-07 12:00:00,216.23,216.24,215.18,215.48,169509
2025-07-07 12:15:00,215.46,215.51,215.05,215.37,94452
2025-07-07 12:30:00,215.37,215.67,215.26,215.54,70212
2025-07-07 12:45:00,215.5,215.6,215.32,215.46,92651
2025-07-07 13:00:00,215.45,215.75,215.21,215.72,119468
2025-07-07 13:15:00,215.72,215.8,215.01,215.59,341966
2025-07-07 13:30:00,215.59,215.67,215.01,215.4,247343
2025-07-07 13:45:00,215.4,215.8,215.4,215.64,76964
2025-07-07 14:00:00,215.71,215.92,215.53,215.7,72678
2025-07-07 14:15:00,215.7,215.79,215.09,215.3,479811
2025-07-07 14:30:00,215.27,215.45,215.01,215.1,247385
2025-07-07 14:45:00,215.06,215.14,214.82,215.05,133145
2025-07-07 15:00:00,215.09,215.39,215.0,215.04,277549
2025-07-07 15:15:00,215.04,215.26,214.78,214.98,404157
2025-07-08 09:15:00,215.5,215.58,214.14,214.88,218788
2025-07-08 09:30:00,214.8,215.15,214.5,214.82,107697
2025-07-08 09:45:00,214.78,215.39,214.53,214.56,73742
2025-07-08 10:00:00,214.56,215.01,214.1,215.0,211239
2025-07-08 10:15:00,215.0,215.3,214.68,215.24,601909
2025-07-08 10:30:00,215.2,215.6,214.92,215.43,89922
2025-07-08 10:45:00,215.43,215.44,214.54,215.0,148187
2025-07-08 11:00:00,214.95,214.99,213.7,213.94,179503
2025-07-08 11:15:00,213.94,214.24,213.52,214.16,124977
2025-07-08 11:30:00,214.16,214.4,213.95,214.08,135271
2025-07-08 11:45:00,214.13,214.19,213.79,214.0,151371
2025-07-08 12:00:00,214.0,214.0,213.58,213.69,87367
2025-07-08 12:15:00,213.6,214.06,213.41,213.76,770970
2025-07-08 12:30:00,213.77,214.4,213.68,213.76,297236
2025-07-08 12:45:00,213.76,213.9,213.5,213.6,142862
2025-07-08 13:00:00,213.55,213.63,213.37,213.41,81816
2025-07-08 13:15:00,213.41,213.7,213.03,213.23,548279
2025-07-08 13:30:00,213.24,213.65,213.23,213.62,83326
2025-07-08 13:45:00,213.53,214.05,213.53,213.88,101288
2025-07-08 14:00:00,213.96,214.03,213.55,213.73,112857
2025-07-08 14:15:00,213.71,213.91,213.58,213.71,102905
2025-07-08 14:30:00,213.7,213.92,213.64,213.75,112302
2025-07-08 14:45:00,213.76,213.88,213.6,213.88,116212
2025-07-08 15:00:00,213.84,213.87,213.33,213.65,332963
2025-07-08 15:15:00,213.57,213.63,213.27,213.63,460319
2025-07-09 09:15:00,213.61,214.58,212.8,213.3,445504
2025-07-09 09:30:00,213.3,213.74,213.15,213.22,212025
2025-07-09 09:45:00,213.23,213.73,213.2,213.65,178093
2025-07-09 10:00:00,213.7,213.74,213.1,213.32,67060
2025-07-09 10:15:00,213.32,213.53,213.04,213.05,179375
2025-07-09 10:30:00,212.95,213.0,212.81,212.9,110889
2025-07-09 10:45:00,212.91,213.12,212.72,212.83,156386
2025-07-09 11:00:00,212.75,213.62,212.75,213.22,92924
2025-07-09 11:15:00,213.22,213.3,213.0,213.01,82097
2025-07-09 11:30:00,213.01,213.24,213.0,213.21,58208
2025-07-09 11:45:00,213.15,213.35,212.91,212.91,91679
2025-07-09 12:00:00,212.91,213.31,212.86,213.3,59701
2025-07-09 12:15:00,213.3,213.73,213.23,213.56,84627
2025-07-09 12:30:00,213.53,213.56,213.31,213.41,49844
2025-07-09 12:45:00,213.41,213.74,213.2,213.5,87297
2025-07-09 13:00:00,213.55,213.61,213.19,213.59,81550
2025-07-09 13:15:00,213.59,214.2,213.44,214.0,206582
2025-07-09 13:30:00,214.0,214.25,213.99,214.02,103124
2025-07-09 13:45:00,214.01,214.26,213.97,214.25,99548
2025-07-09 14:00:00,214.3,214.55,213.82,214.16,381329
2025-07-09 14:15:00,214.11,214.17,213.53,213.6,146135
2025-07-09 14:30:00,213.6,213.7,213.37,213.61,93162
2025-07-09 14:45:00,213.66,213.69,213.35,213.46,235009
2025-07-09 15:00:00,213.51,213.98,213.25,213.91,568180
2025-07-09 15:15:00,213.95,214.17,213.83,214.0,707332
2025-07-10 09:15:00,213.15,214.21,213.15,214.1,168834
2025-07-10 09:30:00,214.1,214.48,213.9,214.18,211719
2025-07-10 09:45:00,214.19,214.68,213.7,213.95,284558
2025-07-10 10:00:00,213.99,214.09,213.64,213.68,82466
2025-07-10 10:15:00,213.68,213.81,213.35,213.35,71085
2025-07-10 10:30:00,213.38,213.63,213.23,213.32,55672
2025-07-10 10:45:00,213.32,213.5,212.8,212.85,86650
2025-07-10 11:00:00,212.82,212.85,212.35,212.7,82735
2025-07-10 11:15:00,212.7,212.77,212.07,212.25,58073
2025-07-10 11:30:00,212.25,212.4,211.99,211.99,65742
2025-07-10 11:45:00,211.96,212.16,211.72,211.76,97304
2025-07-10 12:00:00,211.71,211.99,211.6,211.94,53467
2025-07-10 12:15:00,211.94,212.39,211.78,212.21,39206
2025-07-10 12:30:00,212.21,212.32,211.43,211.5,154679
2025-07-10 12:45:00,211.47,211.65,211.3,211.39,151379
2025-07-10 13:00:00,211.38,211.39,211.1,211.16,152824
2025-07-10 13:15:00,211.16,211.35,210.72,210.77,180883
2025-07-10 13:30:00,210.79,211.0,210.42,210.9,452630
2025-07-10 13:45:00,210.9,211.01,210.71,210.98,48363
2025-07-10 14:00:00,210.93,211.49,210.92,210.98,439893
2025-07-10 14:15:00,210.99,211.29,210.8,210.99,191482
2025-07-10 14:30:00,210.97,210.99,210.6,210.71,73367
2025-07-10 14:45:00,210.75,210.8,210.2,210.65,139933
2025-07-10 15:00:00,210.67,211.14,210.5,211.05,205406
2025-07-10 15:15:00,211.08,211.2,211.05,211.18,397216
2025-07-11 09:15:00,210.98,211.8,210.69,211.53,168421
2025-07-11 09:30:00,211.57,211.6,211.02,211.3,65134
2025-07-11 09:45:00,211.26,211.26,210.51,210.51,87085
2025-07-11 10:00:00,210.54,210.58,209.64,209.8,96100
2025-07-11 10:15:00,209.89,209.93,209.16,209.25,69844
2025-07-11 10:30:00,209.3,209.45,208.72,209.05,137770
2025-07-11 10:45:00,209.05,209.7,208.75,209.5,99833
2025-07-11 11:00:00,209.5,209.71,209.1,209.51,119630
2025-07-11 11:15:00,209.43,209.72,209.2,209.35,31761
2025-07-11 11:30:00,209.33,209.55,209.23,209.34,27829
