date,open,high,low,close,volume
2025-07-07 09:15:00,781.05,791.75,781.05,787.85,124759
2025-07-07 09:30:00,787.8,790.9,787.25,788.3,49144
2025-07-07 09:45:00,788.35,789.6,787.35,789.25,31326
2025-07-07 10:00:00,789.45,789.65,785.2,786.0,92814
2025-07-07 10:15:00,786.0,786.45,785.05,785.65,42269
2025-07-07 10:30:00,785.8,787.45,785.65,787.0,30250
2025-07-07 10:45:00,787.15,787.2,786.25,786.7,33689
2025-07-07 11:00:00,786.7,787.45,785.85,785.9,42871
2025-07-07 11:15:00,785.9,788.45,785.05,788.4,39187
2025-07-07 11:30:00,788.4,788.4,786.25,786.6,56338
2025-07-07 11:45:00,786.6,788.0,786.3,787.55,48244
2025-07-07 12:00:00,787.75,788.4,786.75,787.25,51520
2025-07-07 12:15:00,787.25,787.8,784.6,784.85,155972
2025-07-07 12:30:00,784.85,787.5,784.85,787.0,135262
2025-07-07 12:45:00,787.0,787.0,785.05,786.0,68010
2025-07-07 13:00:00,785.15,787.5,785.0,786.9,66378
2025-07-07 13:15:00,786.9,788.0,786.45,787.6,53349
2025-07-07 13:30:00,787.8,787.95,785.4,785.7,71176
2025-07-07 13:45:00,785.75,786.7,785.6,786.0,57302
2025-07-07 14:00:00,786.0,787.4,785.5,787.4,72103
2025-07-07 14:15:00,787.4,788.9,786.95,787.5,119123
2025-07-07 14:30:00,787.5,788.15,785.75,786.7,138187
2025-07-07 14:45:00,786.7,787.65,786.65,787.15,141166
2025-07-07 15:00:00,787.35,789.05,787.35,789.0,254303
2025-07-07 15:15:00,788.95,792.75,788.6,789.35,193266
2025-07-08 09:15:00,785.0,789.2,783.1,789.05,222105
2025-07-08 09:30:00,789.0,790.0,786.25,788.85,105023
2025-07-08 09:45:00,789.0,790.5,786.05,787.35,371164
2025-07-08 10:00:00,787.5,789.2,786.15,787.3,97832
2025-07-08 10:15:00,787.3,788.5,787.0,787.95,68776
2025-07-08 10:30:00,788.0,790.0,788.0,790.0,95668
2025-07-08 10:45:00,790.0,790.3,788.4,789.3,164998
2025-07-08 11:00:00,789.3,791.8,789.15,790.55,303268
2025-07-08 11:15:00,790.0,791.6,789.5,790.0,110953
2025-07-08 11:30:00,789.55,790.55,788.15,788.45,69526
2025-07-08 11:45:00,788.45,789.5,786.55,787.4,131856
2025-07-08 12:00:00,787.35,787.9,786.5,786.9,89835
2025-07-08 12:15:00,786.9,788.2,786.3,787.8,146347
2025-07-08 12:30:00,787.8,789.0,787.0,787.15,108100
2025-07-08 12:45:00,787.15,788.75,787.1,788.05,111898
2025-07-08 13:00:00,788.1,791.0,787.2,791.0,91763
2025-07-08 13:15:00,791.0,791.6,790.2,791.15,61226
2025-07-08 13:30:00,791.1,792.65,789.85,792.0,117658
2025-07-08 13:45:00,792.0,794.35,791.8,793.9,234919
2025-07-08 14:00:00,794.0,794.1,791.5,792.15,122880
2025-07-08 14:15:00,792.05,793.4,791.15,792.75,126766
2025-07-08 14:30:00,792.75,794.2,790.65,790.9,181366
2025-07-08 14:45:00,791.0,793.25,789.15,792.2,605863
2025-07-08 15:00:00,792.35,793.9,792.05,793.6,614588
2025-07-08 15:15:00,793.6,796.5,793.5,795.15,669736
2025-07-09 09:15:00,792.0,797.95,785.7,788.1,441298
2025-07-09 09:30:00,787.8,791.0,787.25,789.5,104471
2025-07-09 09:45:00,789.8,790.1,787.0,789.5,77430
2025-07-09 10:00:00,789.5,790.9,788.75,790.9,59179
2025-07-09 10:15:00,790.9,791.65,790.4,790.4,62602
2025-07-09 10:30:00,790.65,791.3,788.45,789.65,46975
2025-07-09 10:45:00,789.85,792.55,789.7,791.75,72512
2025-07-09 11:00:00,791.75,792.75,788.65,789.6,58252
2025-07-09 11:15:00,789.6,791.6,789.6,789.95,31180
2025-07-09 11:30:00,789.85,790.2,788.85,789.0,41802
2025-07-09 11:45:00,789.1,789.1,787.2,787.9,65945
2025-07-09 12:00:00,787.9,789.0,787.5,788.5,41729
2025-07-09 12:15:00,788.5,788.65,784.95,785.6,79158
2025-07-09 12:30:00,785.65,785.7,784.0,784.75,28729
2025-07-09 12:45:00,784.75,786.6,784.55,786.3,35322
2025-07-09 13:00:00,786.3,786.8,784.9,786.5,49340
2025-07-09 13:15:00,786.45,787.2,786.0,786.7,63239
2025-07-09 13:30:00,786.7,787.25,785.7,785.95,40070
2025-07-09 13:45:00,785.95,787.4,785.6,786.75,63700
2025-07-09 14:00:00,786.8,787.0,785.9,786.1,30012
2025-07-09 14:15:00,786.1,786.3,785.35,785.8,32458
2025-07-09 14:30:00,785.8,786.4,785.05,785.95,68509
2025-07-09 14:45:00,786.0,786.45,784.9,785.8,106059
2025-07-09 15:00:00,785.85,787.55,785.85,785.95,246024
2025-07-09 15:15:00,786.0,788.3,785.1,785.1,212377
2025-07-10 09:15:00,783.0,788.0,782.0,784.65,123809
2025-07-10 09:30:00,784.65,786.0,784.1,785.4,38444
2025-07-10 09:45:00,785.4,786.0,784.15,784.5,40149
2025-07-10 10:00:00,784.4,784.65,778.3,779.35,106541
2025-07-10 10:15:00,779.35,779.35,777.8,779.1,57426
2025-07-10 10:30:00,779.1,780.7,778.45,778.55,42433
2025-07-10 10:45:00,778.75,779.1,775.55,776.35,59983
2025-07-10 11:00:00,776.35,780.0,776.35,779.6,60681
2025-07-10 11:15:00,779.55,779.9,778.0,778.05,27787
2025-07-10 11:30:00,778.1,778.45,777.0,777.8,159712
2025-07-10 11:45:00,777.9,780.95,777.85,780.6,208976
2025-07-10 12:00:00,780.7,781.4,780.0,781.0,39484
2025-07-10 12:15:00,781.4,781.45,765.25,766.4,291048
2025-07-10 12:30:00,766.4,770.5,763.4,768.85,296949
2025-07-10 12:45:00,768.85,770.65,767.5,770.5,106775
2025-07-10 13:00:00,770.5,774.0,769.7,773.6,99814
2025-07-10 13:15:00,773.6,774.85,773.0,773.8,102556
2025-07-10 13:30:00,773.85,775.4,773.85,775.05,61402
2025-07-10 13:45:00,775.2,776.45,773.05,774.8,120278
2025-07-10 14:00:00,774.8,776.4,774.2,774.7,57144
2025-07-10 14:15:00,774.75,775.5,774.55,775.2,30770
2025-07-10 14:30:00,775.25,775.3,773.1,774.0,28271
2025-07-10 14:45:00,774.0,774.4,771.5,771.5,67123
2025-07-10 15:00:00,771.5,772.55,770.6,771.2,166744
2025-07-10 15:15:00,771.2,771.65,770.05,770.15,200825
2025-07-11 09:15:00,765.0,777.4,765.0,776.9,193832
2025-07-11 09:30:00,776.6,776.7,772.1,772.95,192489
2025-07-11 09:45:00,773.15,775.5,772.65,775.5,60914
2025-07-11 10:00:00,775.45,775.5,772.85,773.0,38353
2025-07-11 10:15:00,773.0,774.7,772.95,773.8,41322
2025-07-11 10:30:00,773.75,773.8,769.05,769.15,163862
2025-07-11 10:45:00,769.15,769.45,764.15,765.25,102732
2025-07-11 11:00:00,765.35,768.05,764.95,766.55,56157
2025-07-11 11:15:00,766.65,767.95,765.0,765.5,57868
2025-07-11 11:30:00,765.7,766.5,764.4,764.6,35767
2025-07-11 11:45:00,764.6,767.1,764.6,766.35,32536
2025-07-11 12:00:00,766.55,766.7,765.6,766.45,25061
2025-07-11 12:15:00,766.45,766.45,765.4,765.45,16978
2025-07-11 12:30:00,765.45,768.3,765.3,767.55,37384
2025-07-11 12:45:00,767.4,767.4,764.0,764.85,522624
2025-07-11 13:00:00,764.85,765.05,763.05,763.75,65104
2025-07-11 13:15:00,763.75,763.8,760.95,761.4,196951
2025-07-11 13:30:00,761.2,761.25,759.8,759.8,190602
2025-07-11 13:45:00,759.8,760.95,759.15,760.8,197354
2025-07-11 14:00:00,760.8,761.0,758.3,758.35,179707
2025-07-11 14:15:00,758.35,759.0,756.85,757.1,204265
