date,open,high,low,close,volume
2025-07-07 09:15:00,49.35,49.65,49.1,49.48,933366
2025-07-07 09:30:00,49.47,49.7,49.42,49.59,427541
2025-07-07 09:45:00,49.59,49.94,49.54,49.88,1320310
2025-07-07 10:00:00,49.86,49.91,49.57,49.64,559330
2025-07-07 10:15:00,49.64,49.67,49.52,49.53,213301
2025-07-07 10:30:00,49.53,49.55,49.48,49.52,145608
2025-07-07 10:45:00,49.52,49.53,49.4,49.44,220521
2025-07-07 11:00:00,49.44,49.5,49.36,49.38,180279
2025-07-07 11:15:00,49.41,49.41,49.21,49.24,319451
2025-07-07 11:30:00,49.27,49.3,49.16,49.24,390824
2025-07-07 11:45:00,49.24,49.24,48.92,49.09,1005997
2025-07-07 12:00:00,49.07,49.12,49.02,49.05,160322
2025-07-07 12:15:00,49.05,49.16,49.03,49.09,341253
2025-07-07 12:30:00,49.09,49.15,49.06,49.1,53223
2025-07-07 12:45:00,49.1,49.55,49.08,49.32,902047
2025-07-07 13:00:00,49.31,49.36,49.2,49.23,104756
2025-07-07 13:15:00,49.19,49.29,49.19,49.25,45087
2025-07-07 13:30:00,49.25,49.25,49.13,49.17,70967
2025-07-07 13:45:00,49.17,49.27,49.15,49.2,134930
2025-07-07 14:00:00,49.21,49.23,49.1,49.13,125069
2025-07-07 14:15:00,49.13,49.16,49.11,49.14,75769
2025-07-07 14:30:00,49.13,49.18,49.04,49.12,268424
2025-07-07 14:45:00,49.14,49.18,49.05,49.16,179615
2025-07-07 15:00:00,49.2,49.22,49.07,49.07,379297
2025-07-07 15:15:00,49.05,49.12,48.99,49.09,729705
2025-07-08 09:15:00,49.34,49.44,49.01,49.34,645244
2025-07-08 09:30:00,49.35,49.5,49.24,49.32,677087
2025-07-08 09:45:00,49.32,49.47,49.27,49.27,222852
2025-07-08 10:00:00,49.26,49.3,49.12,49.27,390144
2025-07-08 10:15:00,49.27,49.28,49.18,49.24,90695
2025-07-08 10:30:00,49.24,49.26,49.09,49.12,224540
2025-07-08 10:45:00,49.1,49.18,49.02,49.16,173999
2025-07-08 11:00:00,49.16,49.24,48.93,48.98,455008
2025-07-08 11:15:00,48.99,49.08,48.88,48.91,204274
2025-07-08 11:30:00,48.91,49.08,48.91,49.06,398160
2025-07-08 11:45:00,49.06,49.07,49.01,49.03,65512
2025-07-08 12:00:00,49.03,49.19,49.03,49.1,153466
2025-07-08 12:15:00,49.1,49.19,49.04,49.18,324724
2025-07-08 12:30:00,49.18,49.27,49.14,49.23,224212
2025-07-08 12:45:00,49.23,49.38,49.23,49.31,193050
2025-07-08 13:00:00,49.31,49.41,49.3,49.4,269470
2025-07-08 13:15:00,49.38,49.64,49.38,49.53,547881
2025-07-08 13:30:00,49.53,49.59,49.5,49.52,133753
2025-07-08 13:45:00,49.51,49.58,49.5,49.57,151277
2025-07-08 14:00:00,49.57,49.6,49.46,49.46,536453
2025-07-08 14:15:00,49.49,49.49,49.3,49.4,279575
2025-07-08 14:30:00,49.39,49.45,49.37,49.42,177421
2025-07-08 14:45:00,49.42,49.51,49.35,49.5,238097
2025-07-08 15:00:00,49.5,49.55,49.44,49.52,364459
2025-07-08 15:15:00,49.54,49.54,49.36,49.43,508653
2025-07-09 09:15:00,49.6,49.6,49.26,49.33,565167
2025-07-09 09:30:00,49.34,49.36,49.24,49.27,219168
2025-07-09 09:45:00,49.27,49.27,49.05,49.08,420789
2025-07-09 10:00:00,49.09,49.12,49.01,49.03,315399
2025-07-09 10:15:00,49.03,49.16,49.01,49.01,324869
2025-07-09 10:30:00,49.01,49.08,48.9,48.94,504803
2025-07-09 10:45:00,48.92,49.02,48.91,49.02,167140
2025-07-09 11:00:00,49.01,49.04,48.9,48.94,418979
2025-07-09 11:15:00,48.94,49.06,48.93,49.03,144666
2025-07-09 11:30:00,49.03,49.05,49.02,49.03,124128
2025-07-09 11:45:00,49.03,49.06,48.9,48.99,275345
2025-07-09 12:00:00,48.97,48.99,48.71,48.81,716835
2025-07-09 12:15:00,48.81,48.84,48.75,48.78,285311
2025-07-09 12:30:00,48.78,48.81,48.7,48.71,370929
2025-07-09 12:45:00,48.71,48.72,48.56,48.61,569282
2025-07-09 13:00:00,48.61,48.62,48.41,48.58,449797
2025-07-09 13:15:00,48.59,48.63,48.52,48.58,321034
2025-07-09 13:30:00,48.58,48.62,48.45,48.45,551074
2025-07-09 13:45:00,48.45,48.6,48.41,48.57,495845
2025-07-09 14:00:00,48.59,48.91,48.59,48.88,600690
2025-07-09 14:15:00,48.88,48.93,48.59,48.6,547066
2025-07-09 14:30:00,48.63,48.63,48.44,48.5,726840
2025-07-09 14:45:00,48.5,48.55,48.46,48.53,264328
2025-07-09 15:00:00,48.53,48.58,48.49,48.57,426917
2025-07-09 15:15:00,48.58,48.58,48.5,48.52,967306
2025-07-10 09:15:00,48.56,48.82,48.44,48.73,557159
2025-07-10 09:30:00,48.75,48.85,48.64,48.66,249485
2025-07-10 09:45:00,48.66,48.77,48.54,48.59,297602
2025-07-10 10:00:00,48.59,48.64,48.56,48.6,100407
2025-07-10 10:15:00,48.58,48.66,48.55,48.66,87607
2025-07-10 10:30:00,48.68,48.71,48.62,48.65,80368
2025-07-10 10:45:00,48.64,48.65,48.46,48.52,138436
2025-07-10 11:00:00,48.52,48.54,48.41,48.54,234646
2025-07-10 11:15:00,48.53,48.56,48.4,48.47,161344
2025-07-10 11:30:00,48.47,48.47,48.42,48.47,104628
2025-07-10 11:45:00,48.47,48.47,48.42,48.43,44323
2025-07-10 12:00:00,48.43,48.43,48.27,48.38,287482
2025-07-10 12:15:00,48.39,48.45,48.32,48.45,117470
2025-07-10 12:30:00,48.45,48.46,48.39,48.42,64839
2025-07-10 12:45:00,48.42,48.43,48.35,48.37,62298
2025-07-10 13:00:00,48.37,48.38,48.28,48.3,197891
2025-07-10 13:15:00,48.3,48.33,48.25,48.32,104598
2025-07-10 13:30:00,48.32,48.33,48.25,48.26,107517
2025-07-10 13:45:00,48.26,48.26,48.16,48.25,463115
2025-07-10 14:00:00,48.26,48.28,48.12,48.22,516656
2025-07-10 14:15:00,48.22,48.31,48.2,48.28,184759
2025-07-10 14:30:00,48.29,48.39,48.28,48.38,165746
2025-07-10 14:45:00,48.41,48.48,48.36,48.43,311196
2025-07-10 15:00:00,48.43,48.44,48.29,48.31,281022
2025-07-10 15:15:00,48.3,48.33,48.2,48.2,609154
2025-07-11 09:15:00,48.21,48.39,48.11,48.33,539296
