date,open,high,low,close,volume
2025-07-07 09:15:00,153.5,154.32,153.07,153.84,287939
2025-07-07 09:30:00,153.88,154.35,153.51,153.56,204695
2025-07-07 09:45:00,153.56,153.79,153.24,153.7,80771
2025-07-07 10:00:00,153.64,153.7,153.21,153.42,76173
2025-07-07 10:15:00,153.42,155.0,153.25,154.63,794540
2025-07-07 10:30:00,154.56,155.11,154.56,155.0,473290
2025-07-07 10:45:00,154.94,154.98,154.55,154.98,133663
2025-07-07 11:00:00,154.97,155.15,154.91,155.02,212453
2025-07-07 11:15:00,155.05,155.1,154.82,155.0,175588
2025-07-07 11:30:00,155.0,155.05,154.89,154.99,200253
2025-07-07 11:45:00,154.99,155.37,154.21,155.3,1970840
2025-07-07 12:00:00,155.27,155.3,155.0,155.03,208077
2025-07-07 12:15:00,155.03,155.34,154.96,155.22,244633
2025-07-07 12:30:00,155.28,155.37,155.06,155.17,89626
2025-07-07 12:45:00,155.17,155.35,155.06,155.3,86130
2025-07-07 13:00:00,155.3,155.8,155.16,155.69,277261
2025-07-07 13:15:00,155.69,155.85,155.51,155.73,119007
2025-07-07 13:30:00,155.75,155.98,155.34,155.35,256800
2025-07-07 13:45:00,155.35,155.4,155.06,155.23,160871
2025-07-07 14:00:00,155.24,155.33,155.0,155.08,138899
2025-07-07 14:15:00,155.08,155.57,155.08,155.42,137218
2025-07-07 14:30:00,155.47,155.54,155.0,155.06,217591
2025-07-07 14:45:00,155.09,155.27,154.97,155.2,467743
2025-07-07 15:00:00,155.16,155.48,155.16,155.33,903948
2025-07-07 15:15:00,155.44,155.44,154.86,155.0,863557
2025-07-08 09:15:00,155.24,155.71,154.49,155.38,543433
2025-07-08 09:30:00,155.38,155.6,154.81,154.92,254962
2025-07-08 09:45:00,154.92,155.09,154.35,154.35,147077
2025-07-08 10:00:00,154.38,154.43,153.8,153.9,394644
2025-07-08 10:15:00,153.9,154.17,153.62,154.0,123743
2025-07-08 10:30:00,154.0,154.05,153.2,153.21,255205
2025-07-08 10:45:00,153.25,153.31,152.82,153.06,263929
2025-07-08 11:00:00,153.03,153.08,152.5,152.63,229732
2025-07-08 11:15:00,152.62,152.69,152.0,152.14,272161
2025-07-08 11:30:00,152.14,152.65,152.14,152.44,134393
2025-07-08 11:45:00,152.36,153.16,152.22,152.96,726181
2025-07-08 12:00:00,152.96,153.83,152.94,153.45,938344
2025-07-08 12:15:00,153.45,153.6,153.3,153.5,651813
2025-07-08 12:30:00,153.48,153.62,153.0,153.07,589533
2025-07-08 12:45:00,153.07,153.91,153.01,153.84,521322
2025-07-08 13:00:00,153.85,154.22,153.57,153.65,474319
2025-07-08 13:15:00,153.7,154.42,153.65,154.14,825155
2025-07-08 13:30:00,154.14,154.17,153.6,153.75,472009
2025-07-08 13:45:00,153.75,153.9,153.67,153.84,190435
2025-07-08 14:00:00,153.9,153.9,153.55,153.6,265720
2025-07-08 14:15:00,153.65,153.93,153.55,153.8,273730
2025-07-08 14:30:00,153.84,153.85,153.69,153.75,130734
2025-07-08 14:45:00,153.78,153.95,153.71,153.9,184469
2025-07-08 15:00:00,153.9,154.17,153.86,154.13,919407
2025-07-08 15:15:00,154.12,154.24,153.88,154.14,694908
2025-07-09 09:15:00,154.04,154.71,153.5,154.14,555688
2025-07-09 09:30:00,154.1,154.65,154.0,154.39,232678
2025-07-09 09:45:00,154.39,154.53,154.23,154.33,159634
2025-07-09 10:00:00,154.33,154.73,154.14,154.41,173623
2025-07-09 10:15:00,154.41,154.8,154.25,154.54,348639
2025-07-09 10:30:00,154.54,154.72,154.36,154.6,106956
2025-07-09 10:45:00,154.6,155.09,154.54,154.76,238403
2025-07-09 11:00:00,154.76,155.0,154.51,154.59,139298
2025-07-09 11:15:00,154.64,155.01,154.59,154.93,98510
2025-07-09 11:30:00,154.93,155.39,154.8,155.35,249740
2025-07-09 11:45:00,155.34,155.35,155.1,155.21,106281
2025-07-09 12:00:00,155.22,155.49,155.0,155.45,449362
2025-07-09 12:15:00,155.42,155.81,155.42,155.55,271665
2025-07-09 12:30:00,155.55,155.6,155.31,155.4,121141
2025-07-09 12:45:00,155.4,155.5,155.3,155.36,94842
2025-07-09 13:00:00,155.36,155.45,155.08,155.16,139356
2025-07-09 13:15:00,155.16,155.17,154.81,155.02,104411
2025-07-09 13:30:00,155.02,155.13,154.87,154.97,64677
2025-07-09 13:45:00,154.97,155.13,154.91,155.07,293532
2025-07-09 14:00:00,155.07,155.34,155.03,155.16,190419
2025-07-09 14:15:00,155.16,155.23,154.87,154.98,516297
2025-07-09 14:30:00,154.98,154.99,154.3,154.55,459510
