date,open,high,low,close,volume
2025-07-07 09:15:00,48800,48850,48575,48580,898
2025-07-07 09:30:00,48595,48830,48595,48705,645
2025-07-07 09:45:00,48705,49065,48700,49045,542
2025-07-07 10:00:00,49020,49080,48765,48785,557
2025-07-07 10:15:00,48785,48835,48705,48790,269
2025-07-07 10:30:00,48785,48835,48700,48785,261
2025-07-07 10:45:00,48785,48890,48700,48745,351
2025-07-07 11:00:00,48745,48795,48710,48745,173
2025-07-07 11:15:00,48745,48775,48700,48735,108
2025-07-07 11:30:00,48725,48770,48690,48715,357
2025-07-07 11:45:00,48715,48760,48700,48760,156
2025-07-07 12:00:00,48750,48765,48700,48730,332
2025-07-07 12:15:00,48730,48840,48685,48720,1176
2025-07-07 12:30:00,48710,48775,48690,48730,1314
2025-07-07 12:45:00,48735,48770,48730,48755,111
2025-07-07 13:00:00,48755,48815,48755,48805,158
2025-07-07 13:15:00,48800,48810,48765,48800,207
2025-07-07 13:30:00,48800,48800,48560,48560,1888
2025-07-07 13:45:00,48560,48640,48500,48560,410
2025-07-07 14:00:00,48560,48565,48440,48480,176
2025-07-07 14:15:00,48480,48575,48460,48525,344
2025-07-07 14:30:00,48550,48580,48510,48535,158
2025-07-07 14:45:00,48535,48915,48535,48885,2844
2025-07-07 15:00:00,48885,48995,48860,48950,3043
2025-07-07 15:15:00,48915,48975,48750,48975,2460
2025-07-08 09:15:00,48975,49195,48660,48700,792
2025-07-08 09:30:00,48720,48800,48670,48745,302
2025-07-08 09:45:00,48740,48980,48725,48820,385
2025-07-08 10:00:00,48800,48910,48730,48755,450
2025-07-08 10:15:00,48755,48840,48685,48710,410
2025-07-08 10:30:00,48705,48710,48570,48615,398
2025-07-08 10:45:00,48615,48685,48535,48675,312
2025-07-08 11:00:00,48675,48700,48580,48605,173
2025-07-08 11:15:00,48605,48690,48545,48585,199
2025-07-08 11:30:00,48585,48665,48585,48590,454
2025-07-08 11:45:00,48590,48610,48330,48415,1040
2025-07-08 12:00:00,48415,48600,48415,48520,214
2025-07-08 12:15:00,48520,48550,48450,48550,143
2025-07-08 12:30:00,48550,48600,48540,48600,142
2025-07-08 12:45:00,48600,48700,48600,48660,291
2025-07-08 13:00:00,48660,48700,48610,48610,106
2025-07-08 13:15:00,48610,48680,48585,48640,290
2025-07-08 13:30:00,48640,48640,48510,48520,216
2025-07-08 13:45:00,48520,48680,48520,48670,189
2025-07-08 14:00:00,48670,48680,48600,48640,156
2025-07-08 14:15:00,48640,48640,48545,48610,240
2025-07-08 14:30:00,48590,48675,48565,48675,297
2025-07-08 14:45:00,48675,48855,48675,48850,510
2025-07-08 15:00:00,48850,49000,48850,48995,3073
2025-07-08 15:15:00,48965,49060,48755,49025,3524
2025-07-09 09:15:00,49100,49165,48830,48890,912
2025-07-09 09:30:00,48890,49000,48735,48735,784
2025-07-09 09:45:00,48720,48760,48620,48670,510
2025-07-09 10:00:00,48670,48720,48600,48660,553
2025-07-09 10:15:00,48645,48655,48555,48565,353
2025-07-09 10:30:00,48565,48590,48440,48510,602
2025-07-09 10:45:00,48510,48520,48480,48500,333
2025-07-09 11:00:00,48500,48500,48455,48490,161
2025-07-09 11:15:00,48490,48500,48475,48500,171
2025-07-09 11:30:00,48500,48500,48430,48470,216
2025-07-09 11:45:00,48470,48505,48455,48495,136
2025-07-09 12:00:00,48495,48515,48340,48500,592
2025-07-09 12:15:00,48500,48500,48450,48495,643
2025-07-09 12:30:00,48495,48515,48410,48470,536
2025-07-09 12:45:00,48470,48500,48470,48500,189
2025-07-09 13:00:00,48500,48500,48475,48495,254
2025-07-09 13:15:00,48495,48500,48490,48495,69
2025-07-09 13:30:00,48495,48500,48495,48500,92
2025-07-09 13:45:00,48500,48500,48490,48500,146
2025-07-09 14:00:00,48500,48500,48490,48495,236
2025-07-09 14:15:00,48495,48500,48400,48470,373
2025-07-09 14:30:00,48470,48500,48425,48490,187
2025-07-09 14:45:00,48490,48500,48415,48460,594
2025-07-09 15:00:00,48470,48550,48455,48545,1661
2025-07-09 15:15:00,48550,48775,48430,48520,2541
2025-07-10 09:15:00,48890,48890,48660,48715,1090
2025-07-10 09:30:00,48725,48760,48630,48635,430
2025-07-10 09:45:00,48645,48690,48525,48525,582
2025-07-10 10:00:00,48525,48630,48500,48620,319
2025-07-10 10:15:00,48620,48790,48620,48775,768
2025-07-10 10:30:00,48775,48985,48775,48805,971
2025-07-10 10:45:00,48825,48825,48720,48800,437
2025-07-10 11:00:00,48800,48800,48680,48740,613
2025-07-10 11:15:00,48740,48740,48540,48555,328
2025-07-10 11:30:00,48550,48550,48420,48455,368
2025-07-10 11:45:00,48455,48455,48185,48365,1320
2025-07-10 12:00:00,48365,48390,48325,48370,286
2025-07-10 12:15:00,48370,48430,48345,48400,229
2025-07-10 12:30:00,48400,48420,48365,48385,174
2025-07-10 12:45:00,48385,48420,48345,48410,302
2025-07-10 13:00:00,48410,48420,48360,48365,174
2025-07-10 13:15:00,48365,48410,48360,48375,140
2025-07-10 13:30:00,48375,48415,48350,48350,217
2025-07-10 13:45:00,48350,48370,48315,48370,236
2025-07-10 14:00:00,48370,48450,48370,48380,274
2025-07-10 14:15:00,48380,48400,48345,48350,281
2025-07-10 14:30:00,48350,48420,48350,48370,288
2025-07-10 14:45:00,48370,48495,48345,48450,723
2025-07-10 15:00:00,48455,48495,48310,48310,816
2025-07-10 15:15:00,48330,48340,48000,48115,1779
2025-07-11 09:15:00,48365,48570,48300,48335,1380
2025-07-11 09:30:00,48335,48485,48335,48475,489
2025-07-11 09:45:00,48475,48475,48320,48330,248
2025-07-11 10:00:00,48330,48360,48235,48265,391
2025-07-11 10:15:00,48265,48300,48165,48200,341
2025-07-11 10:30:00,48200,48215,48045,48065,308
2025-07-11 10:45:00,48065,48085,48000,48065,320
2025-07-11 11:00:00,48065,48120,47980,48090,335
2025-07-11 11:15:00,48090,48110,48030,48060,116
2025-07-11 11:30:00,48060,48115,48060,48085,92
2025-07-11 11:45:00,48085,48195,48075,48115,150
2025-07-11 12:00:00,48115,48125,48010,48090,140
