date,open,high,low,close,volume
2025-07-07 09:15:00,16856,16944,16840,16866,8121
2025-07-07 09:30:00,16866,16893,16794,16800,9747
2025-07-07 09:45:00,16801,16801,16639,16660,10454
2025-07-07 10:00:00,16662,16704,16624,16631,8767
2025-07-07 10:15:00,16631,16683,16606,16638,9531
2025-07-07 10:30:00,16635,16660,16623,16653,2711
2025-07-07 10:45:00,16653,16725,16627,16640,8900
2025-07-07 11:00:00,16640,16660,16614,16643,3490
2025-07-07 11:15:00,16643,16655,16612,16648,5615
2025-07-07 11:30:00,16648,16655,16615,16617,5065
2025-07-07 11:45:00,16617,16619,16578,16603,4071
2025-07-07 12:00:00,16603,16724,16570,16717,14536
2025-07-07 12:15:00,16717,16761,16705,16742,5932
2025-07-07 12:30:00,16744,16844,16735,16793,16734
2025-07-07 12:45:00,16793,16805,16740,16750,3202
2025-07-07 13:00:00,16750,16781,16737,16776,5215
2025-07-07 13:15:00,16783,16857,16783,16834,4979
2025-07-07 13:30:00,16834,16839,16790,16800,3917
2025-07-07 13:45:00,16798,16810,16752,16791,5287
2025-07-07 14:00:00,16791,16796,16753,16754,2717
2025-07-07 14:15:00,16754,16782,16740,16744,2868
2025-07-07 14:30:00,16750,16760,16725,16725,3763
2025-07-07 14:45:00,16723,16731,16673,16702,3123
2025-07-07 15:00:00,16703,16723,16702,16718,6856
2025-07-07 15:15:00,16718,16725,16703,16720,7823
2025-07-08 09:15:00,16710,16837,16650,16754,6540
2025-07-08 09:30:00,16754,16757,16578,16594,8757
2025-07-08 09:45:00,16585,16613,16517,16517,4181
2025-07-08 10:00:00,16519,16550,16510,16545,2564
2025-07-08 10:15:00,16545,16552,16520,16534,2930
2025-07-08 10:30:00,16534,16536,16515,16517,10682
2025-07-08 10:45:00,16517,16530,16480,16510,4965
2025-07-08 11:00:00,16510,16514,16429,16437,3683
2025-07-08 11:15:00,16436,16450,16408,16409,2200
2025-07-08 11:30:00,16414,16450,16414,16441,2621
2025-07-08 11:45:00,16441,16443,16352,16385,4394
2025-07-08 12:00:00,16385,16385,16328,16330,3077
2025-07-08 12:15:00,16330,16341,16239,16297,8600
2025-07-08 12:30:00,16294,16406,16290,16404,5450
2025-07-08 12:45:00,16404,16494,16402,16478,3124
2025-07-08 13:00:00,16478,16517,16464,16480,4329
2025-07-08 13:15:00,16480,16509,16479,16485,2338
2025-07-08 13:30:00,16485,16523,16470,16500,9556
2025-07-08 13:45:00,16500,16530,16485,16496,8220
2025-07-08 14:00:00,16495,16505,16425,16431,2080
2025-07-08 14:15:00,16431,16485,16431,16485,1784
2025-07-08 14:30:00,16480,16507,16480,16494,2178
2025-07-08 14:45:00,16494,16502,16485,16499,2119
2025-07-08 15:00:00,16499,16523,16483,16521,10564
2025-07-08 15:15:00,16524,16530,16489,16520,14153
2025-07-09 09:15:00,16514,16670,16469,16469,9239
2025-07-09 09:30:00,16469,16560,16456,16539,4894
2025-07-09 09:45:00,16539,16619,16536,16576,3449
2025-07-09 10:00:00,16574,16583,16542,16566,3469
2025-07-09 10:15:00,16573,16620,16555,16570,7029
2025-07-09 10:30:00,16567,16575,16548,16559,3034
2025-07-09 10:45:00,16559,16574,16559,16566,1899
2025-07-09 11:00:00,16565,16572,16503,16511,7204
2025-07-09 11:15:00,16517,16530,16491,16518,2803
2025-07-09 11:30:00,16518,16518,16470,16481,1466
2025-07-09 11:45:00,16481,16512,16465,16498,2036
2025-07-09 12:00:00,16502,16577,16502,16552,5155
2025-07-09 12:15:00,16552,16583,16529,16575,2296
2025-07-09 12:30:00,16575,16605,16560,16579,3995
2025-07-09 12:45:00,16582,16613,16572,16599,3598
2025-07-09 13:00:00,16599,16610,16594,16599,4028
2025-07-09 13:15:00,16603,16606,16584,16597,4659
2025-07-09 13:30:00,16600,16605,16585,16601,2752
2025-07-09 13:45:00,16601,16610,16593,16598,20936
2025-07-09 14:00:00,16598,16705,16595,16660,8993
2025-07-09 14:15:00,16660,16669,16553,16567,6393
2025-07-09 14:30:00,16567,16593,16551,16572,2449
2025-07-09 14:45:00,16575,16592,16497,16500,13560
2025-07-09 15:00:00,16502,16539,16486,16486,29963
2025-07-09 15:15:00,16486,16525,16485,16486,23282
2025-07-10 09:15:00,16550,16570,16258,16278,14496
2025-07-10 09:30:00,16284,16334,16246,16332,7445
2025-07-10 09:45:00,16334,16385,16322,16351,3474
2025-07-10 10:00:00,16351,16436,16327,16384,14792
2025-07-10 10:15:00,16384,16417,16366,16401,2009
2025-07-10 10:30:00,16401,16427,16351,16370,3047
2025-07-10 10:45:00,16370,16370,16298,16319,2491
2025-07-10 11:00:00,16319,16319,16280,16290,2151
2025-07-10 11:15:00,16290,16295,16270,16290,2312
2025-07-10 11:30:00,16290,16295,16186,16197,5480
2025-07-10 11:45:00,16197,16234,16157,16229,5718
2025-07-10 12:00:00,16229,16230,16195,16222,3993
2025-07-10 12:15:00,16222,16250,16178,16240,8608
2025-07-10 12:30:00,16240,16245,16180,16183,2077
2025-07-10 12:45:00,16183,16196,16105,16110,8340
2025-07-10 13:00:00,16110,16131,16082,16082,5843
2025-07-10 13:15:00,16083,16090,15935,15953,10928
2025-07-10 13:30:00,15953,16009,15916,15920,6154
2025-07-10 13:45:00,15924,15990,15911,15972,4770
2025-07-10 14:00:00,15967,16000,15920,15920,4940
2025-07-10 14:15:00,15920,15964,15900,15954,8446
2025-07-10 14:30:00,15956,15971,15915,15924,5838
2025-07-10 14:45:00,15924,15945,15911,15937,5573
2025-07-10 15:00:00,15941,15970,15870,15892,11790
2025-07-10 15:15:00,15889,15960,15873,15960,18796
2025-07-11 09:15:00,15905,15984,15647,15724,15617
2025-07-11 09:30:00,15724,15765,15713,15747,4681
2025-07-11 09:45:00,15747,15747,15673,15673,7071
2025-07-11 10:00:00,15666,15683,15625,15641,6426
2025-07-11 10:15:00,15648,15675,15636,15645,2802
2025-07-11 10:30:00,15645,15668,15548,15551,5399
2025-07-11 10:45:00,15551,15582,15533,15555,3446
2025-07-11 11:00:00,15555,15580,15504,15572,4696
2025-07-11 11:15:00,15572,15614,15486,15502,8265
2025-07-11 11:30:00,15502,15542,15470,15479,7938
2025-07-11 11:45:00,15476,15500,15459,15461,5375
2025-07-11 12:00:00,15463,15474,15440,15462,6335
2025-07-11 12:15:00,15462,15500,15448,15455,6636
2025-07-11 12:30:00,15448,15595,15448,15561,24021
2025-07-11 12:45:00,15561,15580,15526,15544,7496
2025-07-11 13:00:00,15541,15570,15530,15570,2453
2025-07-11 13:15:00,15570,15599,15552,15586,10569
2025-07-11 13:30:00,15586,15599,15550,15563,1747
2025-07-11 13:45:00,15563,15570,15551,15556,1453
2025-07-11 14:00:00,15556,15557,15493,15498,2497
2025-07-11 14:15:00,15498,15500,15471,15472,2924
2025-07-11 14:30:00,15472,15496,15456,15482,2689
2025-07-11 14:45:00,15475,15475,15409,15423,5610
2025-07-11 15:00:00,15423,15447,15395,15407,10420
2025-07-11 15:15:00,15407,15470,15380,15401,19400
2025-07-14 09:15:00,15400,15464,15237,15294,19560
2025-07-14 09:30:00,15294,15399,15241,15322,21770
2025-07-14 09:45:00,15320,15325,15258,15295,17145
2025-07-14 10:00:00,15295,15315,15258,15270,12393
2025-07-14 10:15:00,15270,15317,15268,15292,12818
2025-07-14 10:30:00,15292,15292,15240,15262,6176
2025-07-14 10:45:00,15262,15335,15250,15308,5345
2025-07-14 11:00:00,15308,15315,15260,15260,3234
2025-07-14 11:15:00,15264,15276,15220,15258,3416
2025-07-14 11:30:00,15258,15270,15210,15210,4476
2025-07-14 11:45:00,15210,15241,15191,15198,4057
2025-07-14 12:00:00,15198,15253,15196,15248,2502
2025-07-14 12:15:00,15248,15253,15222,15233,4396
2025-07-14 12:30:00,15233,15270,15216,15270,3241
2025-07-14 12:45:00,15270,15270,15256,15258,3283
2025-07-14 13:00:00,15258,15270,15211,15220,2378
2025-07-14 13:15:00,15220,15258,15220,15242,2434
2025-07-14 13:30:00,15242,15278,15239,15264,4390
2025-07-14 13:45:00,15260,15264,15199,15204,4301
2025-07-14 14:00:00,15204,15240,15204,15237,2412
2025-07-14 14:15:00,15237,15250,15226,15242,1506
2025-07-14 14:30:00,15242,15253,15222,15247,1313
2025-07-14 14:45:00,15247,15255,15219,15252,2370
2025-07-14 15:00:00,15256,15264,15201,15201,8331
2025-07-14 15:15:00,15201,15256,15168,15192,20091
