date,open,high,low,close,volume
2025-07-07 09:15:00,939.35,941.8,937.5,940.0,32225
2025-07-07 09:30:00,940.0,941.9,938.0,938.0,23057
2025-07-07 09:45:00,938.2,938.8,934.75,937.1,19243
2025-07-07 10:00:00,937.3,938.85,935.5,936.0,8627
2025-07-07 10:15:00,936.0,936.9,934.05,936.0,11677
2025-07-07 10:30:00,936.0,937.75,935.25,936.5,4182
2025-07-07 10:45:00,936.5,937.35,934.3,935.5,13970
2025-07-07 11:00:00,935.45,935.95,932.8,933.0,9059
2025-07-07 11:15:00,933.0,933.85,932.0,932.2,13167
2025-07-07 11:30:00,932.2,932.6,930.0,931.0,27206
2025-07-07 11:45:00,930.65,931.1,928.6,930.0,25441
2025-07-07 12:00:00,930.0,930.9,927.2,930.05,22043
2025-07-07 12:15:00,930.05,932.5,929.75,932.25,12611
2025-07-07 12:30:00,932.25,932.35,931.25,932.05,4274
2025-07-07 12:45:00,932.05,932.05,929.5,929.5,3876
2025-07-07 13:00:00,929.55,930.0,928.65,929.4,4770
2025-07-07 13:15:00,929.4,930.55,929.4,929.6,2170
2025-07-07 13:30:00,929.6,929.95,927.8,928.5,6040
2025-07-07 13:45:00,928.5,930.0,928.25,929.55,8478
2025-07-07 14:00:00,929.9,930.0,929.25,929.9,3984
2025-07-07 14:15:00,929.9,930.0,929.25,929.45,6693
2025-07-07 14:30:00,929.45,929.45,928.2,928.85,11232
2025-07-07 14:45:00,928.4,929.35,928.1,928.7,13674
2025-07-07 15:00:00,929.5,930.1,928.55,929.25,36197
2025-07-07 15:15:00,928.8,930.95,928.15,929.0,40529
2025-07-08 09:15:00,930.95,934.05,927.55,932.3,19314
2025-07-08 09:30:00,932.3,934.5,929.25,930.95,13935
2025-07-08 09:45:00,931.5,931.8,928.0,928.0,6334
2025-07-08 10:00:00,928.15,928.8,926.0,926.4,15101
2025-07-08 10:15:00,926.4,926.95,923.55,924.05,25945
2025-07-08 10:30:00,923.95,924.05,922.05,922.8,14466
2025-07-08 10:45:00,922.8,925.75,921.0,924.95,19415
2025-07-08 11:00:00,924.95,924.95,923.1,923.4,7455
2025-07-08 11:15:00,923.45,923.9,921.5,923.75,10938
2025-07-08 11:30:00,923.5,924.35,923.1,923.1,4015
2025-07-08 11:45:00,923.1,924.05,921.0,923.0,18023
2025-07-08 12:00:00,923.0,923.3,921.5,921.8,4825
2025-07-08 12:15:00,921.8,921.8,919.0,920.6,12981
2025-07-08 12:30:00,920.7,922.35,920.25,921.8,4382
2025-07-08 12:45:00,921.8,922.35,919.4,920.55,14999
2025-07-08 13:00:00,920.55,921.8,920.15,921.55,3891
2025-07-08 13:15:00,921.55,922.9,921.05,921.2,3236
2025-07-08 13:30:00,921.75,921.8,920.55,920.8,2260
2025-07-08 13:45:00,920.8,921.8,920.2,921.35,2860
2025-07-08 14:00:00,921.35,921.45,920.2,920.4,4233
2025-07-08 14:15:00,920.4,921.6,919.7,921.25,9667
2025-07-08 14:30:00,921.25,922.95,921.0,921.55,9792
2025-07-08 14:45:00,921.55,922.5,921.15,922.15,12059
2025-07-08 15:00:00,922.45,927.3,921.8,927.0,36457
2025-07-08 15:15:00,927.25,928.25,926.0,927.0,41740
2025-07-09 09:15:00,927.0,928.85,925.0,927.55,16736
2025-07-09 09:30:00,927.55,930.0,926.65,928.35,16854
2025-07-09 09:45:00,928.35,928.7,924.55,925.7,9750
2025-07-09 10:00:00,925.7,927.05,924.5,926.75,7283
2025-07-09 10:15:00,926.7,928.7,926.15,927.0,9427
2025-07-09 10:30:00,927.0,927.5,925.25,925.55,6348
2025-07-09 10:45:00,925.55,928.9,925.3,927.9,9994
2025-07-09 11:00:00,927.9,930.0,925.1,925.7,17909
2025-07-09 11:15:00,925.7,926.65,924.6,925.95,5688
2025-07-09 11:30:00,925.85,926.0,924.2,924.2,9589
2025-07-09 11:45:00,924.4,925.95,924.3,925.4,11490
2025-07-09 12:00:00,925.4,925.6,921.6,924.55,13514
2025-07-09 12:15:00,924.55,924.95,923.75,924.0,3643
2025-07-09 12:30:00,924.0,926.0,923.9,925.8,3611
2025-07-09 12:45:00,925.8,927.4,925.4,926.55,5959
2025-07-09 13:00:00,926.55,927.45,923.0,923.25,9522
2025-07-09 13:15:00,923.25,926.85,922.75,926.05,12925
2025-07-09 13:30:00,926.05,926.45,923.55,925.4,7267
