date,open,high,low,close,volume
2025-07-07 09:15:00,20.05,20.13,19.98,20.07,5611221
2025-07-07 09:30:00,20.07,20.15,20.06,20.07,4126947
2025-07-07 09:45:00,20.07,20.1,20.03,20.05,2511879
2025-07-07 10:00:00,20.05,20.12,20.04,20.11,2047257
2025-07-07 10:15:00,20.11,20.19,20.08,20.12,3630630
2025-07-07 10:30:00,20.14,20.15,20.1,20.14,1778953
2025-07-07 10:45:00,20.13,20.17,20.12,20.17,1794759
2025-07-07 11:00:00,20.16,20.19,20.14,20.14,1288666
2025-07-07 11:15:00,20.14,20.16,20.13,20.13,891822
2025-07-07 11:30:00,20.15,20.15,20.1,20.11,1119139
2025-07-07 11:45:00,20.11,20.12,20.06,20.07,1917808
2025-07-07 12:00:00,20.07,20.08,20.01,20.01,1862129
2025-07-07 12:15:00,20.02,20.05,20.0,20.04,1087783
2025-07-07 12:30:00,20.05,20.05,20.03,20.04,1116112
2025-07-07 12:45:00,20.03,20.04,19.98,20.0,2892913
2025-07-07 13:00:00,20.0,20.04,19.98,20.02,1291460
2025-07-07 13:15:00,20.02,20.05,20.02,20.03,791354
2025-07-07 13:30:00,20.04,20.05,20.01,20.01,636018
2025-07-07 13:45:00,20.01,20.03,20.01,20.02,547725
2025-07-07 14:00:00,20.02,20.04,20.01,20.02,673583
2025-07-07 14:15:00,20.03,20.04,20.02,20.03,888190
2025-07-07 14:30:00,20.03,20.04,20.01,20.01,929070
2025-07-07 14:45:00,20.01,20.02,20.0,20.0,1248012
2025-07-07 15:00:00,20.0,20.03,20.0,20.01,3509019
2025-07-07 15:15:00,20.0,20.02,19.98,20.01,5252851
2025-07-08 09:15:00,20.03,20.07,20.0,20.03,5258452
2025-07-08 09:30:00,20.04,20.09,20.01,20.02,2910133
2025-07-08 09:45:00,20.04,20.06,20.0,20.0,2154219
2025-07-08 10:00:00,20.01,20.01,19.97,19.98,2099921
2025-07-08 10:15:00,19.99,20.02,19.97,20.01,1463773
2025-07-08 10:30:00,20.01,20.01,19.98,19.98,773380
2025-07-08 10:45:00,19.99,19.99,19.96,19.98,1150999
2025-07-08 11:00:00,19.97,19.99,19.93,19.95,1747620
2025-07-08 11:15:00,19.95,19.95,19.9,19.92,1217940
2025-07-08 11:30:00,19.93,19.96,19.92,19.94,1109256
2025-07-08 11:45:00,19.93,19.96,19.92,19.94,742331
2025-07-08 12:00:00,19.95,19.96,19.94,19.96,469450
2025-07-08 12:15:00,19.96,19.96,19.92,19.94,756176
2025-07-08 12:30:00,19.94,19.98,19.93,19.96,1293634
2025-07-08 12:45:00,19.96,20.0,19.96,19.99,1178418
2025-07-08 13:00:00,19.99,20.01,19.97,20.01,1415748
2025-07-08 13:15:00,20.01,20.01,19.98,19.99,610304
2025-07-08 13:30:00,19.99,20.0,19.97,19.99,484711
2025-07-08 13:45:00,19.99,20.0,19.98,19.99,323343
2025-07-08 14:00:00,19.99,19.99,19.95,19.98,490132
2025-07-08 14:15:00,19.97,19.98,19.96,19.97,462455
2025-07-08 14:30:00,19.96,19.98,19.95,19.97,646765
2025-07-08 14:45:00,19.97,19.98,19.95,19.98,1398443
2025-07-08 15:00:00,19.99,20.02,19.98,20.01,3325157
2025-07-08 15:15:00,20.01,20.02,20.0,20.02,5996187
2025-07-09 09:15:00,20.01,20.11,19.98,20.07,5439319
2025-07-09 09:30:00,20.07,20.09,20.02,20.04,2226902
2025-07-09 09:45:00,20.04,20.05,19.97,20.0,2428439
2025-07-09 10:00:00,20.01,20.02,19.98,20.02,950965
2025-07-09 10:15:00,20.01,20.04,20.01,20.02,1007356
2025-07-09 10:30:00,20.03,20.03,20.01,20.01,643295
2025-07-09 10:45:00,20.01,20.04,20.01,20.02,920573
2025-07-09 11:00:00,20.01,20.03,20.01,20.01,625336
2025-07-09 11:15:00,20.02,20.06,20.01,20.05,1392066
2025-07-09 11:30:00,20.05,20.05,20.03,20.04,415089
2025-07-09 11:45:00,20.04,20.05,19.99,19.99,1566809
2025-07-09 12:00:00,19.99,20.0,19.98,19.99,805796
2025-07-09 12:15:00,19.99,20.03,19.99,20.01,1613034
2025-07-09 12:30:00,20.02,20.04,20.01,20.02,1289476
2025-07-09 12:45:00,20.03,20.03,20.0,20.0,1311766
2025-07-09 13:00:00,20.01,20.01,19.98,19.99,647630
2025-07-09 13:15:00,20.0,20.0,19.98,20.0,535805
2025-07-09 13:30:00,20.0,20.0,19.86,19.92,4911015
2025-07-09 13:45:00,19.91,19.95,19.91,19.94,724373
2025-07-09 14:00:00,19.96,19.97,19.94,19.94,1129804
2025-07-09 14:15:00,19.95,19.95,19.91,19.92,945636
2025-07-09 14:30:00,19.91,19.94,19.9,19.92,1203054
2025-07-09 14:45:00,19.93,19.93,19.89,19.91,2068115
2025-07-09 15:00:00,19.9,19.93,19.9,19.9,3663255
2025-07-09 15:15:00,19.9,19.94,19.88,19.93,5886965
2025-07-10 09:15:00,19.95,19.99,19.93,19.97,3982031
2025-07-10 09:30:00,19.96,19.98,19.92,19.94,2431390
2025-07-10 09:45:00,19.93,19.94,19.9,19.91,2175446
2025-07-10 10:00:00,19.92,19.92,19.88,19.9,2377863
2025-07-10 10:15:00,19.9,19.93,19.88,19.91,2741992
2025-07-10 10:30:00,19.91,19.93,19.89,19.9,1079348
2025-07-10 10:45:00,19.9,19.91,19.86,19.88,1809587
2025-07-10 11:00:00,19.88,19.88,19.82,19.85,2202070
2025-07-10 11:15:00,19.86,19.86,19.8,19.83,1703807
2025-07-10 11:30:00,19.83,19.83,19.8,19.81,1151406
2025-07-10 11:45:00,19.81,19.82,19.8,19.81,1101118
2025-07-10 12:00:00,19.81,19.81,19.76,19.79,1939452
2025-07-10 12:15:00,19.79,19.82,19.78,19.82,886722
2025-07-10 12:30:00,19.82,19.82,19.79,19.82,1291099
2025-07-10 12:45:00,19.82,19.82,19.79,19.79,1069461
2025-07-10 13:00:00,19.8,19.8,19.77,19.78,738259
2025-07-10 13:15:00,19.78,19.79,19.77,19.79,555900
2025-07-10 13:30:00,19.79,19.79,19.76,19.77,598280
2025-07-10 13:45:00,19.77,19.77,19.76,19.76,519917
2025-07-10 14:00:00,19.77,19.8,19.76,19.79,1180472
2025-07-10 14:15:00,19.79,19.81,19.77,19.81,1524229
2025-07-10 14:30:00,19.81,19.83,19.79,19.83,1194742
2025-07-10 14:45:00,19.83,19.84,19.79,19.8,1197155
2025-07-10 15:00:00,19.8,19.84,19.79,19.83,2676599
2025-07-10 15:15:00,19.83,19.84,19.8,19.82,5381478
2025-07-11 09:15:00,19.81,19.95,19.81,19.9,4440305
2025-07-11 09:30:00,19.91,19.91,19.8,19.83,3724520
2025-07-11 09:45:00,19.83,19.84,19.8,19.82,1560606
2025-07-11 10:00:00,19.82,19.82,19.74,19.74,2770455
2025-07-11 10:15:00,19.74,19.75,19.71,19.72,1421327
2025-07-11 10:30:00,19.73,19.73,19.69,19.71,1944833
2025-07-11 10:45:00,19.7,19.73,19.7,19.7,784112
2025-07-11 11:00:00,19.71,19.72,19.67,19.71,1523473
2025-07-11 11:15:00,19.71,19.72,19.69,19.71,931194
2025-07-11 11:30:00,19.7,19.74,19.7,19.73,642400
2025-07-11 11:45:00,19.73,19.78,19.72,19.73,1227219
2025-07-11 12:00:00,19.73,19.74,19.7,19.73,827899
2025-07-11 12:15:00,19.73,19.74,19.71,19.73,301940
2025-07-11 12:30:00,19.73,19.82,19.72,19.77,2324969
2025-07-11 12:45:00,19.76,19.78,19.73,19.75,568988
2025-07-11 13:00:00,19.75,19.75,19.72,19.74,654094
2025-07-11 13:15:00,19.74,19.75,19.73,19.74,433057
2025-07-11 13:30:00,19.73,19.74,19.71,19.72,609448
