symbol,date,open,high,low,close,Signal,entry_price,target1,target2,target3,stop_loss
LTIM-I,2025-07-14 09:30:00,5127.5,5147.0,5110.5,5136.0,Buy,5147.0,5172.73,5194.35,5239.13,5121.27
PIDILITIND-I,2025-07-14 13:45:00,2940.8,2940.8,2933.4,2933.8,Buy,2940.8,2955.5,2967.86,2993.44,2926.1
IREDA-I,2025-07-14 11:30:00,157.92,157.99,157.65,157.75,Buy,157.99,158.78,159.44,160.82,157.2
IREDA-I,2025-07-14 09:30:00,157.1,157.69,156.25,157.69,Buy,157.69,158.48,159.14,160.51,156.9
AARTIIND-I,2025-07-14 11:45:00,442.35,443.5,442.2,443.2,Buy,443.5,445.72,447.58,451.44,441.28
AARTIIND-I,2025-07-14 09:15:00,439.55,439.7,437.1,438.3,Buy,439.7,441.9,443.75,447.57,437.5
SHRIRAMFIN-I,2025-07-14 13:45:00,670.0,670.15,668.0,669.3,Buy,670.15,673.5,676.32,682.15,666.8
SHRIRAMFIN-I,2025-07-14 11:15:00,668.9,668.9,667.2,667.65,Buy,668.9,672.24,675.05,680.87,665.56
SHRIRAMFIN-I,2025-07-14 09:15:00,670.15,671.0,665.3,668.45,Buy,671.0,674.35,677.17,683.01,667.64
WIPRO-I,2025-07-14 13:00:00,249.25,249.55,249.0,249.45,Buy,249.55,250.8,251.85,254.02,248.3
AMBER-I,2025-07-14 13:15:00,7551.0,7564.0,7538.0,7564.0,Buy,7564.0,7601.82,7633.59,7699.4,7526.18
UNOMINDA-I,2025-07-14 13:00:00,1081.3,1081.3,1078.7,1080.2,Buy,1081.3,1086.71,1091.25,1100.66,1075.89
UNOMINDA-I,2025-07-14 09:15:00,1063.9,1071.9,1063.9,1069.2,Buy,1071.9,1077.26,1081.76,1091.09,1066.54
MPHASIS-I,2025-07-14 13:00:00,2816.0,2816.7,2811.2,2814.5,Buy,2816.7,2830.78,2842.61,2867.12,2802.62
MPHASIS-I,2025-07-14 09:30:00,2801.8,2819.6,2788.2,2810.5,Buy,2819.6,2833.7,2845.54,2870.07,2805.5
CHOLAFIN-I,2025-07-14 13:00:00,1527.9,1527.9,1523.4,1524.1,Buy,1527.9,1535.54,1541.96,1555.25,1520.26
ADANIPORTS-I,2025-07-14 13:45:00,1437.8,1437.8,1433.0,1433.9,Buy,1437.8,1444.99,1451.03,1463.54,1430.61
ADANIPORTS-I,2025-07-14 11:15:00,1443.5,1443.5,1437.3,1439.6,Buy,1443.5,1450.72,1456.78,1469.34,1436.28
ADANIPORTS-I,2025-07-14 09:15:00,1436.9,1439.9,1431.1,1436.2,Buy,1439.9,1447.1,1453.15,1465.67,1432.7
TATASTEEL-I,2025-07-14 13:00:00,159.9,160.0,159.52,159.8,Buy,160.0,160.8,161.47,162.86,159.2
TATASTEEL-I,2025-07-14 09:15:00,161.07,161.07,159.84,160.69,Buy,161.07,161.88,162.55,163.95,160.26
NESTLEIND-I,2025-07-14 10:00:00,2388.9,2390.0,2382.4,2389.0,Buy,2390.0,2401.95,2411.99,2432.78,2378.05
ABB-I,2025-07-14 12:15:00,5630.0,5632.0,5589.5,5609.5,Buy,5632.0,5660.16,5683.81,5732.81,5603.84
ABB-I,2025-07-14 09:45:00,5750.5,5754.0,5714.0,5738.5,Buy,5754.0,5782.77,5806.94,5857.0,5725.23
UNITDSPR-I,2025-07-14 11:30:00,1371.6,1372.1,1367.3,1369.1,Buy,1372.1,1378.96,1384.72,1396.66,1365.24
UNITDSPR-I,2025-07-14 09:15:00,1366.2,1377.0,1351.3,1370.3,Buy,1377.0,1383.88,1389.67,1401.65,1370.12
INDHOTEL-I,2025-07-14 09:15:00,736.45,740.0,735.5,739.95,Buy,740.0,743.7,746.81,753.25,736.3
MANAPPURAM-I,2025-07-14 13:45:00,264.25,264.25,263.0,263.3,Buy,264.25,265.57,266.68,268.98,262.93
SUPREMEIND-I,2025-07-14 09:45:00,4098.8,4102.2,4075.1,4083.1,Buy,4102.2,4122.71,4139.94,4175.63,4081.69
SUPREMEIND-I,2025-07-14 11:45:00,4096.4,4102.8,4093.2,4102.5,Buy,4102.8,4123.31,4140.55,4176.24,4082.29
NYKAA-I,2025-07-14 09:15:00,217.0,218.3,215.73,216.89,Buy,218.3,219.39,220.31,222.21,217.21
NYKAA-I,2025-07-14 11:15:00,217.07,217.4,216.67,217.09,Buy,217.4,218.49,219.4,221.29,216.31
EICHERMOT-I,2025-07-14 10:30:00,5540.5,5548.5,5535.5,5548.0,Buy,5548.5,5576.24,5599.55,5647.82,5520.76
CHAMBLFERT-I,2025-07-14 11:30:00,543.25,543.4,541.6,542.4,Buy,543.4,546.12,548.4,553.13,540.68
CHAMBLFERT-I,2025-07-14 09:15:00,541.35,541.35,533.0,534.95,Buy,541.35,544.06,546.33,551.04,538.64
TECHM-I,2025-07-14 13:00:00,1570.6,1573.1,1568.6,1571.8,Buy,1573.1,1580.97,1587.57,1601.26,1565.23
TECHM-I,2025-07-14 09:15:00,1597.1,1597.1,1585.2,1589.6,Buy,1597.1,1605.09,1611.79,1625.69,1589.11
SBICARD-I,2025-07-14 13:45:00,894.6,895.45,878.5,883.0,Buy,895.45,899.93,903.69,911.48,890.97
SBICARD-I,2025-07-14 11:45:00,896.15,898.9,895.5,898.65,Buy,898.9,903.39,907.17,914.99,894.41
SBICARD-I,2025-07-14 09:30:00,902.8,905.5,892.6,897.2,Buy,905.5,910.03,913.83,921.71,900.97
BANKBARODA-I,2025-07-14 11:30:00,241.36,241.47,239.8,240.23,Buy,241.47,242.68,243.69,245.79,240.26
BANKBARODA-I,2025-07-14 09:15:00,237.43,239.76,236.85,239.22,Buy,239.76,240.96,241.97,244.05,238.56
DRREDDY-I,2025-07-14 13:30:00,1259.3,1259.3,1250.8,1253.8,Buy,1259.3,1265.6,1270.89,1281.84,1253.0
DRREDDY-I,2025-07-14 11:15:00,1257.8,1258.6,1256.1,1256.5,Buy,1258.6,1264.89,1270.18,1281.13,1252.31
DRREDDY-I,2025-07-14 09:15:00,1244.0,1260.2,1244.0,1255.6,Buy,1260.2,1266.5,1271.79,1282.76,1253.9
MANAPPURAM-I,2025-07-14 09:15:00,263.1,263.1,260.6,261.9,Buy,263.1,264.42,265.52,267.81,261.78
MCX-I,2025-07-14 14:00:00,8240.0,8241.5,8196.5,8222.5,Buy,8241.5,8282.71,8317.32,8389.02,8200.29
DMART-I,2025-07-14 11:30:00,3991.1,3992.9,3979.0,3984.7,Buy,3992.9,4012.86,4029.63,4064.37,3972.94
DMART-I,2025-07-14 09:30:00,3940.1,3957.3,3902.4,3925.0,Buy,3957.3,3977.09,3993.71,4028.14,3937.51
HAVELLS-I,2025-07-14 12:30:00,1520.5,1520.5,1512.9,1516.9,Buy,1520.5,1528.1,1534.49,1547.72,1512.9
HAVELLS-I,2025-07-14 09:30:00,1528.8,1528.9,1515.8,1521.9,Buy,1528.9,1536.54,1542.97,1556.27,1521.26
SIEMENS-I,2025-07-14 12:00:00,3095.4,3098.6,3076.2,3090.1,Buy,3098.6,3114.09,3127.11,3154.06,3083.11
BRITANNIA-I,2025-07-14 12:30:00,5784.5,5784.5,5770.0,5776.5,Buy,5784.5,5813.42,5837.72,5888.04,5755.58
BRITANNIA-I,2025-07-14 10:30:00,5771.0,5774.0,5755.5,5774.0,Buy,5774.0,5802.87,5827.12,5877.35,5745.13
TATACOMM-I,2025-07-14 13:00:00,1704.1,1705.5,1700.0,1703.3,Buy,1705.5,1714.03,1721.19,1736.03,1696.97
TATACOMM-I,2025-07-14 09:30:00,1710.0,1713.3,1698.3,1703.7,Buy,1713.3,1721.87,1729.06,1743.97,1704.73
NIFTYNXT50-I,2025-07-14 11:45:00,68100.0,68175.2,68047.4,68174.2,Buy,68175.2,68516.08,68802.41,69395.54,67834.32
NIFTYNXT50-I,2025-07-14 09:15:00,67945.2,68074.2,67855.0,68074.2,Buy,68074.2,68414.57,68700.48,69292.73,67733.83
APOLLOHOSP-I,2025-07-14 09:15:00,7214.5,7240.0,7191.5,7237.0,Buy,7240.0,7276.2,7306.61,7369.6,7203.8
NYKAA-I,2025-07-14 13:45:00,219.26,219.41,218.66,219.12,Buy,219.41,220.51,221.43,223.34,218.31
MCX-I,2025-07-14 12:00:00,8234.5,8264.0,8222.5,8259.0,Buy,8264.0,8305.32,8340.03,8411.93,8222.68
EICHERMOT-I,2025-07-14 13:45:00,5550.0,5552.5,5543.0,5549.5,Buy,5552.5,5580.26,5603.58,5651.89,5524.74
GRASIM-I,2025-07-14 13:00:00,2772.9,2773.0,2763.8,2766.4,Buy,2773.0,2786.86,2798.51,2822.64,2759.14
BHEL-I,2025-07-14 14:00:00,257.1,258.25,256.4,258.2,Buy,258.25,259.54,260.63,262.87,256.96
PERSISTENT-I,2025-07-14 11:45:00,5551.0,5556.0,5546.0,5550.5,Buy,5556.0,5583.78,5607.12,5655.45,5528.22
PERSISTENT-I,2025-07-14 09:15:00,5557.5,5562.0,5506.0,5536.5,Buy,5562.0,5589.81,5613.17,5661.56,5534.19
POWERGRID-I,2025-07-14 13:00:00,298.95,298.95,298.2,298.75,Buy,298.95,300.44,301.7,304.3,297.46
POWERGRID-I,2025-07-14 09:45:00,299.3,299.65,298.6,299.2,Buy,299.65,301.15,302.41,305.01,298.15
SAIL-I,2025-07-14 13:00:00,133.71,133.76,133.14,133.58,Buy,133.76,134.43,134.99,136.15,133.09
SAIL-I,2025-07-14 09:15:00,134.02,134.98,133.5,134.8,Buy,134.98,135.65,136.22,137.4,134.31
NIFTY-I,2025-07-14 13:00:00,25102.0,25114.0,25076.3,25090.0,Buy,25114.0,25239.57,25345.05,25563.54,24988.43
NIFTY-I,2025-07-14 11:30:00,25105.0,25120.9,25088.0,25105.3,Buy,25120.9,25246.5,25352.01,25570.56,24995.3
NIFTY-I,2025-07-14 09:30:00,25130.0,25148.6,25100.0,25147.9,Buy,25148.6,25274.34,25379.97,25598.76,25022.86
IOC-I,2025-07-14 14:00:00,149.88,150.14,149.83,150.1,Buy,150.14,150.89,151.52,152.83,149.39
IOC-I,2025-07-14 09:15:00,150.53,151.82,149.61,151.7,Buy,151.82,152.58,153.22,154.54,151.06
INDIANB-I,2025-07-14 14:00:00,634.35,635.25,632.95,635.15,Buy,635.25,638.43,641.09,646.62,632.07
INDIANB-I,2025-07-14 11:15:00,640.05,640.05,635.0,635.5,Buy,640.05,643.25,645.94,651.51,636.85
BDL-I,2025-07-14 11:45:00,1831.0,1832.7,1828.1,1830.7,Buy,1832.7,1841.86,1849.56,1865.51,1823.54
BDL-I,2025-07-14 09:30:00,1834.6,1838.1,1822.8,1829.3,Buy,1838.1,1847.29,1855.01,1871.0,1828.91
PEL-I,2025-07-14 14:00:00,1273.0,1284.8,1271.3,1282.0,Buy,1284.8,1291.22,1296.62,1307.8,1278.38
JSWSTEEL-I,2025-07-14 09:15:00,1040.0,1042.2,1036.1,1040.0,Buy,1042.2,1047.41,1051.79,1060.86,1036.99
HINDALCO-I,2025-07-14 13:00:00,668.3,668.65,666.3,667.95,Buy,668.65,671.99,674.8,680.62,665.31
HINDALCO-I,2025-07-14 11:15:00,673.35,673.35,667.0,668.0,Buy,673.35,676.72,679.54,685.4,669.98
HINDALCO-I,2025-07-14 09:15:00,673.55,675.9,668.95,674.15,Buy,675.9,679.28,682.12,688.0,672.52
DABUR-I,2025-07-14 11:30:00,522.5,522.65,521.3,521.95,Buy,522.65,525.26,527.46,532.01,520.04
INDUSINDBK-I,2025-07-14 12:00:00,862.0,862.5,860.6,862.4,Buy,862.5,866.81,870.44,877.94,858.19
CIPLA-I,2025-07-14 09:15:00,1484.9,1487.2,1477.8,1481.2,Buy,1487.2,1494.64,1500.88,1513.82,1479.76
IDFCFIRSTB-I,2025-07-14 11:15:00,76.12,76.16,75.93,76.1,Buy,76.16,76.54,76.86,77.52,75.78
IDFCFIRSTB-I,2025-07-14 09:15:00,75.18,75.67,74.99,75.65,Buy,75.67,76.05,76.37,77.02,75.29
NBCC-I,2025-07-14 13:45:00,113.46,113.53,112.93,113.06,Buy,113.53,114.1,114.57,115.56,112.96
NBCC-I,2025-07-14 09:15:00,112.9,114.0,112.52,113.76,Buy,114.0,114.57,115.05,116.04,113.43
COFORGE-I,2025-07-14 09:15:00,1869.5,1870.0,1843.5,1852.1,Buy,1870.0,1879.35,1887.2,1903.47,1860.65
COFORGE-I,2025-07-14 13:00:00,1867.0,1869.5,1863.7,1868.5,Buy,1869.5,1878.85,1886.7,1902.96,1860.15
LICHSGFIN-I,2025-07-14 09:15:00,605.0,605.2,601.65,603.9,Buy,605.2,608.23,610.77,616.03,602.17
MGL-I,2025-07-14 09:15:00,1476.9,1485.4,1475.6,1484.7,Buy,1485.4,1492.83,1499.07,1511.99,1477.97
BHEL-I,2025-07-14 11:30:00,257.95,258.25,257.5,257.85,Buy,258.25,259.54,260.63,262.87,256.96
BHEL-I,2025-07-14 09:15:00,257.95,258.95,255.8,257.75,Buy,258.95,260.24,261.33,263.59,257.66
INDIGO-I,2025-07-14 09:15:00,5914.0,5946.5,5904.0,5938.0,Buy,5946.5,5976.23,6001.21,6052.94,5916.77
KEI-I,2025-07-14 11:15:00,3723.8,3726.7,3704.3,3714.5,Buy,3726.7,3745.33,3760.99,3793.41,3708.07
ANGELONE-I,2025-07-14 13:00:00,2640.0,2643.0,2628.2,2632.9,Buy,2643.0,2656.21,2667.32,2690.31,2629.78
ANGELONE-I,2025-07-14 11:30:00,2645.0,2647.0,2626.9,2630.9,Buy,2647.0,2660.23,2671.35,2694.38,2633.76
ETERNAL-I,2025-07-14 09:15:00,264.9,264.9,262.85,264.1,Buy,264.9,266.22,267.34,269.64,263.58
AUBANK-I,2025-07-14 09:15:00,813.1,815.7,801.4,805.95,Buy,815.7,819.78,823.2,830.3,811.62
TATAELXSI-I,2025-07-14 12:45:00,6039.5,6057.5,6032.0,6048.5,Buy,6057.5,6087.79,6113.23,6165.93,6027.21
TATAELXSI-I,2025-07-14 09:15:00,6030.0,6140.0,6020.0,6109.0,Buy,6140.0,6170.7,6196.49,6249.91,6109.3
MARICO-I,2025-07-14 12:30:00,729.0,730.55,728.45,730.05,Buy,730.55,734.2,737.27,743.63,726.9
MARICO-I,2025-07-14 09:15:00,720.1,729.7,720.1,726.4,Buy,729.7,733.35,736.41,742.76,726.05
OFSS-I,2025-07-14 11:30:00,8663.5,8676.0,8656.5,8672.0,Buy,8676.0,8719.38,8755.82,8831.3,8632.62
GRASIM-I,2025-07-14 11:30:00,2778.3,2780.1,2765.6,2767.2,Buy,2780.1,2794.0,2805.68,2829.86,2766.2
